# BEGIN PLOT
Scale=1000.0
DrawOnly=//home/n597m389/Merging-Project/Production/HJETS/New-Analysis/yodafile/Scale-variation/H-N2-N3-4-25gev-central-hjets.yoda/MC_H_KTSPLITTINGS/log10_d_34 //home/n597m389/Merging-Project/Production/HJETS/New-Analysis/yodafile/Scale-variation/H-N2-N3-4-merging.yoda/MC_H_KTSPLITTINGS/log10_d_34
RightMargin=0.5
RatioPlotReference=//home/n597m389/Merging-Project/Production/HJETS/New-Analysis/yodafile/Scale-variation/H-N2-N3-4-25gev-central-hjets.yoda/MC_H_KTSPLITTINGS/log10_d_34
RatioPlot=1
LogY=1
RatioPlotYMax=1.3
RatioPlotYLabel=Ratio
LegendOnly=//home/n597m389/Merging-Project/Production/HJETS/New-Analysis/yodafile/Scale-variation/H-N2-N3-4-25gev-central-hjets.yoda/MC_H_KTSPLITTINGS/log10_d_34 //home/n597m389/Merging-Project/Production/HJETS/New-Analysis/yodafile/Scale-variation/H-N2-N3-4-merging.yoda/MC_H_KTSPLITTINGS/log10_d_34
XLabel=$\log_{10}(\sqrt{d_{3}}/\text{GeV})$

LegendXPos=0.06
LegendYPos=0.5

XMax=3
YLabel=$\text{d}\sigma/\text{d}\log_{10}(\sqrt{d_{3}}/\text{GeV})$ [fb]
Legend=1
RatioPlotYMin=0.7
# END PLOT


# BEGIN SPECIAL /MC_H_KTSPLITTINGS/log10_d_34
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //home/n597m389/Merging-Project/Production/HJETS/New-Analysis/yodafile/Scale-variation/H-N2-N3-4-25gev-central-hjets.yoda/MC_H_KTSPLITTINGS/log10_d_34
ErrorBars=1
ErrorType=stat
LineColor=red
LineStyle=solid
Path=//home/n597m389/Merging-Project/Production/HJETS/New-Analysis/yodafile/Scale-variation/H-N2-N3-4-25gev-central-hjets.yoda/MC_H_KTSPLITTINGS/log10_d_34
RatioPlotSameStyle=1
Title=h(2*,3*,4), $\rho=25$ GeV
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361291e-01	5.377183e-01	3.081838e-03	3.081838e-03
2.361291e-01	2.722583e-01	7.111973e-01	3.372133e-03	3.372133e-03
2.722583e-01	3.083874e-01	9.541804e-01	4.018802e-03	4.018802e-03
3.083874e-01	3.445165e-01	1.259747e+00	3.044695e-03	3.044695e-03
3.445165e-01	3.806457e-01	1.618220e+00	2.641606e-03	2.641606e-03
3.806457e-01	4.167748e-01	2.045509e+00	1.065198e-02	1.065198e-02
4.167748e-01	4.529039e-01	2.524433e+00	5.955321e-03	5.955321e-03
4.529039e-01	4.890331e-01	3.042271e+00	9.971157e-03	9.971157e-03
4.890331e-01	5.251622e-01	3.616008e+00	6.305721e-03	6.305721e-03
5.251622e-01	5.612913e-01	4.190096e+00	1.362727e-02	1.362727e-02
5.612913e-01	5.974205e-01	4.730406e+00	7.636416e-03	7.636416e-03
5.974205e-01	6.335496e-01	5.206449e+00	1.190275e-02	1.190275e-02
6.335496e-01	6.696787e-01	5.648259e+00	8.189287e-03	8.189287e-03
6.696787e-01	7.058079e-01	6.018484e+00	1.044700e-02	1.044700e-02
7.058079e-01	7.419370e-01	6.333584e+00	1.557317e-02	1.557317e-02
7.419370e-01	7.780661e-01	6.467886e+00	1.257664e-02	1.257664e-02
7.780661e-01	8.141953e-01	6.562324e+00	1.307659e-02	1.307659e-02
8.141953e-01	8.503244e-01	6.538574e+00	1.423692e-02	1.423692e-02
8.503244e-01	8.864535e-01	6.446729e+00	2.072624e-02	2.072624e-02
8.864535e-01	9.225827e-01	6.282857e+00	2.118186e-02	2.118186e-02
9.225827e-01	9.587118e-01	6.080276e+00	1.204024e-02	1.204024e-02
9.587118e-01	9.948409e-01	5.777373e+00	3.894289e-02	3.894289e-02
9.948409e-01	1.030970e+00	5.549510e+00	2.243563e-02	2.243563e-02
1.030970e+00	1.067099e+00	5.147854e+00	1.721169e-02	1.721169e-02
1.067099e+00	1.103228e+00	4.765238e+00	1.356060e-02	1.356060e-02
1.103228e+00	1.139357e+00	4.423690e+00	1.167861e-02	1.167861e-02
1.139357e+00	1.175487e+00	4.049784e+00	2.739212e-02	2.739212e-02
