# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-N2-3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-2-3-4-25gev-hjets.yoda/MC_H2JETS_04_INC/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-N2-3-25gev-hjets-1.yoda/MC_H2JETS_04_INC/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-2-3-25gev-hjets.yoda/MC_H2JETS_04_INC/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H2Jets-NLOPS-hjets.yoda/MC_H2JETS_04_INC/deltay_jj
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/deltay_jj
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-N2-3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-2-3-4-25gev-hjets.yoda/MC_H2JETS_04_INC/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-N2-3-25gev-hjets-1.yoda/MC_H2JETS_04_INC/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-2-3-25gev-hjets.yoda/MC_H2JETS_04_INC/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H2Jets-NLOPS-hjets.yoda/MC_H2JETS_04_INC/deltay_jj
XLabel=$\Delta y_{j_1j_2}$ 
LegendAlign=l
XMax=9.0
YLabel=$ \text{d} \sigma/ \text{d}  \Delta y_{j_1j_2}$ (fb)
Legend=0
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,4,6]};
RatioPlotSameStyle=1
RatioPlotYMax=1.2
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltay_jj
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/deltay_jj
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-plots/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/deltay_jj
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	8.443510e-01	9.340000e-03	8.549000e-03
2.000000e-01	4.000000e-01	8.773040e-01	7.646500e-03	3.234500e-03
4.000000e-01	6.000000e-01	9.304870e-01	2.211550e-02	1.364900e-02
6.000000e-01	8.000000e-01	8.057635e-01	7.445500e-03	6.214500e-03
8.000000e-01	1.000000e+00	6.922695e-01	0.000000e+00	1.847200e-02
1.000000e+00	1.200000e+00	5.966685e-01	7.575500e-03	9.123500e-03
1.200000e+00	1.400000e+00	5.080570e-01	8.775150e-03	7.859500e-03
1.400000e+00	1.600000e+00	4.264621e-01	1.642570e-02	7.873250e-03
1.600000e+00	1.800000e+00	3.600318e-01	3.576000e-03	1.328500e-02
1.800000e+00	2.000000e+00	3.285366e-01	8.383100e-03	8.996100e-03
2.000000e+00	2.200000e+00	3.172583e-01	3.771400e-03	4.342800e-03
2.200000e+00	2.400000e+00	3.259419e-01	5.376850e-03	3.596450e-03
2.400000e+00	2.600000e+00	3.399643e-01	6.151750e-03	8.886800e-03
2.600000e+00	2.800000e+00	3.622600e-01	6.524000e-03	1.468265e-02
2.800000e+00	3.000000e+00	3.902799e-01	1.129415e-02	1.827880e-02
3.000000e+00	3.200000e+00	4.150805e-01	1.442190e-02	1.806045e-02
3.200000e+00	3.400000e+00	4.395436e-01	1.315710e-02	2.161400e-02
3.400000e+00	3.600000e+00	4.672977e-01	2.508390e-02	1.564020e-02
3.600000e+00	3.800000e+00	4.829795e-01	2.444900e-02	2.205750e-02
3.800000e+00	4.000000e+00	4.962039e-01	2.141560e-02	2.046960e-02
4.000000e+00	4.200000e+00	5.021265e-01	2.137605e-02	2.325800e-02
4.200000e+00	4.400000e+00	5.051215e-01	1.660610e-02	2.065050e-02
4.400000e+00	4.600000e+00	5.028575e-01	2.655635e-02	1.526850e-02
4.600000e+00	4.800000e+00	4.916324e-01	1.510885e-02	1.604860e-02
4.800000e+00	5.000000e+00	4.723763e-01	1.916375e-02	2.048030e-02
5.000000e+00	5.200000e+00	4.533888e-01	1.611840e-02	1.442595e-02
5.200000e+00	5.400000e+00	4.294949e-01	2.391030e-02	1.276325e-02
5.400000e+00	5.600000e+00	3.990486e-01	1.613760e-02	1.033180e-02
5.600000e+00	5.800000e+00	3.656763e-01	1.341920e-02	1.082070e-02
5.800000e+00	6.000000e+00	3.299746e-01	1.357415e-02	1.028370e-02
6.000000e+00	6.200000e+00	2.961943e-01	1.110490e-02	6.396500e-03
6.200000e+00	6.400000e+00	2.606414e-01	9.361100e-03	6.530000e-03
6.400000e+00	6.600000e+00	2.217907e-01	5.851650e-03	8.262550e-03
6.600000e+00	6.800000e+00	1.914750e-01	6.943050e-03	3.968050e-03
6.800000e+00	7.000000e+00	1.597727e-01	5.921800e-03	2.799550e-03
7.000000e+00	7.200000e+00	1.299209e-01	5.661600e-03	1.988550e-03
7.200000e+00	7.400000e+00	1.030442e-01	4.147500e-03	1.276050e-03
7.400000e+00	7.600000e+00	7.933140e-02	2.597400e-03	1.142950e-03
7.600000e+00	7.800000e+00	5.866590e-02	2.370200e-03	6.720500e-04
7.800000e+00	8.000000e+00	4.155329e-02	1.583855e-03	5.670800e-04
8.000000e+00	8.200000e+00	2.793819e-02	1.123335e-03	3.617150e-04
8.200000e+00	8.400000e+00	1.762241e-02	6.971450e-04	0.000000e+00
8.400000e+00	8.600000e+00	9.747350e-03	4.663050e-04	2.367500e-05
8.600000e+00	8.800000e+00	4.386717e-03	1.533415e-04	1.966500e-06
8.800000e+00	9.000000e+00	1.109391e-03	3.238100e-05	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


