# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-2-3-4-25gev-hjets.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-3-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-2-3-25gev-hjets.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H3Jets-NLOPS-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H2Jets-NLOPS-hjets.yoda/MC_H2JETS_04_INC/jet3_pT_incl 
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-2-3-4-25gev-hjets.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-3-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-2-3-25gev-hjets.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H3Jets-NLOPS-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H2Jets-NLOPS-hjets.yoda/MC_H2JETS_04_INC/jet3_pT_incl 
XLabel=$p_{T,j_3}$ (GeV)
LegendAlign=l
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_3}$ (fb/GeV)
Legend=0
RatioPlot=5
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,4,7]};
RatioPlotSameStyle=1
RatioPlotYMin=0.1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet3_pT_incl
\rput[tl](0.2,0.6){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.753430e-02	1.207160e-03	1.675280e-03
3.000000e+01	4.000000e+01	3.232297e-02	6.636200e-04	1.228110e-03
4.000000e+01	5.000000e+01	1.528560e-02	2.792500e-04	0.000000e+00
5.000000e+01	6.000000e+01	7.479394e-03	2.275530e-04	0.000000e+00
6.000000e+01	7.000000e+01	3.958039e-03	2.154930e-04	0.000000e+00
7.000000e+01	8.000000e+01	2.108970e-03	7.181000e-05	0.000000e+00
8.000000e+01	9.000000e+01	1.162500e-03	5.311000e-06	1.369300e-05
9.000000e+01	1.000000e+02	6.718709e-04	1.588840e-05	0.000000e+00
1.000000e+02	1.100000e+02	4.152805e-04	2.401310e-05	3.169400e-06
1.100000e+02	1.200000e+02	2.517727e-04	3.349400e-06	1.276930e-05
1.200000e+02	1.300000e+02	1.611600e-04	9.854600e-06	2.695300e-06
1.300000e+02	1.400000e+02	1.117410e-04	1.233472e-05	0.000000e+00
1.400000e+02	1.500000e+02	7.017239e-05	4.826870e-06	9.314100e-06
1.500000e+02	1.600000e+02	4.809677e-05	6.415460e-06	1.330160e-06
1.600000e+02	1.700000e+02	2.982352e-05	4.552120e-06	2.974980e-06
1.700000e+02	1.800000e+02	2.191715e-05	2.352000e-06	1.458490e-06
1.800000e+02	1.900000e+02	1.476803e-05	1.022630e-06	2.499990e-06
1.900000e+02	2.000000e+02	1.023015e-05	2.270569e-06	2.450800e-07
2.000000e+02	2.100000e+02	7.235150e-06	1.684729e-06	2.680672e-06
2.100000e+02	2.200000e+02	5.653682e-06	7.291850e-07	1.670843e-06
2.200000e+02	2.300000e+02	4.606798e-06	1.073873e-06	5.485120e-07
2.300000e+02	2.400000e+02	3.161281e-06	3.815700e-06	2.807310e-07
2.400000e+02	2.500000e+02	1.982936e-06	0.000000e+00	1.110501e-06
2.500000e+02	2.600000e+02	1.924921e-06	3.994450e-07	1.217084e-06
2.600000e+02	2.700000e+02	1.729035e-06	3.821620e-07	3.482200e-08
2.700000e+02	2.800000e+02	1.179344e-06	0.000000e+00	5.341760e-07
2.800000e+02	2.900000e+02	1.270255e-06	6.076227e-07	0.000000e+00
2.900000e+02	3.000000e+02	7.824856e-07	4.296600e-08	2.913304e-07
3.000000e+02	3.100000e+02	6.869472e-07	8.296400e-08	2.798376e-07
3.100000e+02	3.200000e+02	6.073321e-07	5.791150e-08	8.168910e-08
3.200000e+02	3.300000e+02	5.416924e-07	3.595700e-09	3.721000e-10
3.300000e+02	3.400000e+02	3.595776e-07	4.997400e-08	2.108147e-07
3.400000e+02	3.500000e+02	3.624270e-07	1.013243e-07	3.358696e-07
3.500000e+02	3.600000e+02	2.612075e-07	3.783310e-08	1.069662e-07
3.600000e+02	3.700000e+02	2.804265e-07	1.397737e-07	2.947558e-07
3.700000e+02	3.800000e+02	2.348966e-07	1.208780e-07	0.000000e+00
3.800000e+02	3.900000e+02	1.931780e-07	8.456840e-08	4.251700e-08
3.900000e+02	4.000000e+02	1.782453e-07	2.957410e-08	0.000000e+00
4.000000e+02	4.100000e+02	1.371744e-07	6.458900e-09	8.690180e-08
4.100000e+02	4.200000e+02	1.374821e-07	2.705570e-08	3.729530e-08
4.200000e+02	4.300000e+02	1.277089e-07	1.055260e-08	7.618280e-08
4.300000e+02	4.400000e+02	1.197031e-07	3.839004e-08	1.046220e-08
4.400000e+02	4.500000e+02	1.214895e-07	5.052334e-08	0.000000e+00
4.500000e+02	4.600000e+02	7.915375e-08	1.601020e-08	2.375665e-08
4.600000e+02	4.700000e+02	7.950094e-08	3.293553e-08	5.674396e-08
4.700000e+02	4.800000e+02	5.599618e-08	0.000000e+00	7.326452e-08
4.800000e+02	4.900000e+02	5.139329e-08	5.320810e-09	1.516924e-08
4.900000e+02	5.000000e+02	2.176330e-08	0.000000e+00	4.826187e-08
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/Scale-variation/H-N2-3-4-25gev-hjets-1.yoda/MC_H2JETS_04_INC/jet3_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.663702e-02	1.475510e-03	2.154730e-03
3.000000e+01	4.000000e+01	3.112595e-02	1.652090e-03	1.994200e-03
4.000000e+01	5.000000e+01	1.481820e-02	8.771400e-04	9.692000e-04
5.000000e+01	6.000000e+01	7.310601e-03	4.905110e-04	4.314100e-04
6.000000e+01	7.000000e+01	3.761733e-03	2.461890e-04	2.705120e-04
7.000000e+01	8.000000e+01	2.054148e-03	1.501810e-04	1.464570e-04
8.000000e+01	9.000000e+01	1.159295e-03	9.486700e-05	1.085490e-04
9.000000e+01	1.000000e+02	6.992113e-04	8.058940e-05	6.195810e-05
1.000000e+02	1.100000e+02	4.122762e-04	3.295570e-05	4.426420e-05
1.100000e+02	1.200000e+02	2.599202e-04	2.374790e-05	2.126850e-05
1.200000e+02	1.300000e+02	1.676659e-04	1.620300e-05	1.784870e-05
1.300000e+02	1.400000e+02	1.111370e-04	1.337569e-05	1.186040e-05
1.400000e+02	1.500000e+02	7.336238e-05	7.899090e-06	8.117900e-06
1.500000e+02	1.600000e+02	4.992439e-05	6.630530e-06	7.275860e-06
1.600000e+02	1.700000e+02	3.552627e-05	5.906010e-06	2.271790e-06
1.700000e+02	1.800000e+02	2.382954e-05	2.637990e-06	4.696380e-06
1.800000e+02	1.900000e+02	1.592609e-05	1.260330e-06	3.718540e-06
1.900000e+02	2.000000e+02	1.236255e-05	1.864900e-06	2.381820e-06
2.000000e+02	2.100000e+02	9.286265e-06	1.473566e-06	3.596875e-06
2.100000e+02	2.200000e+02	6.945463e-06	1.225179e-06	1.051021e-06
2.200000e+02	2.300000e+02	5.038028e-06	6.798860e-07	1.593031e-06
2.300000e+02	2.400000e+02	4.164782e-06	8.212260e-07	1.104545e-06
2.400000e+02	2.500000e+02	3.138465e-06	6.434840e-07	9.681490e-07
2.500000e+02	2.600000e+02	2.406848e-06	2.936470e-07	5.215600e-07
2.600000e+02	2.700000e+02	1.904360e-06	2.677970e-07	6.507500e-07
2.700000e+02	2.800000e+02	1.623923e-06	2.114250e-07	4.114620e-07
2.800000e+02	2.900000e+02	1.220387e-06	1.843050e-07	6.167970e-07
2.900000e+02	3.000000e+02	9.967628e-07	1.166596e-07	3.152772e-07
3.000000e+02	3.100000e+02	9.442153e-07	1.854194e-07	1.528287e-07
3.100000e+02	3.200000e+02	6.896202e-07	7.587850e-08	1.745789e-07
3.200000e+02	3.300000e+02	5.806924e-07	1.038155e-07	1.800778e-07
3.300000e+02	3.400000e+02	4.297524e-07	3.536790e-08	1.932380e-07
3.400000e+02	3.500000e+02	5.015829e-07	1.391956e-07	3.260160e-08
3.500000e+02	3.600000e+02	3.365052e-07	5.193260e-08	1.000678e-07
3.600000e+02	3.700000e+02	3.273609e-07	9.162970e-08	1.054736e-07
3.700000e+02	3.800000e+02	2.709980e-07	6.113370e-08	1.054423e-07
3.800000e+02	3.900000e+02	2.353426e-07	5.575370e-08	1.062912e-07
3.900000e+02	4.000000e+02	1.883701e-07	1.810260e-08	6.428050e-08
4.000000e+02	4.100000e+02	1.615544e-07	2.617530e-08	7.519940e-08
4.100000e+02	4.200000e+02	1.609311e-07	2.148500e-08	3.799050e-08
4.200000e+02	4.300000e+02	1.209062e-07	9.887700e-09	9.800040e-08
4.300000e+02	4.400000e+02	1.156351e-07	0.000000e+00	4.993110e-08
