# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-4-25gev-hjets.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-25gev-hjets.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.3
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-4-25gev-hjets.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-25gev-hjets.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
XLabel=$p_{T,j_3}$ (GeV)
LegendAlign=l
XMax=150
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_3}$ (fb/GeV)
Legend=0
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet3_pT_incl
\rput[tl](0.15,0.7){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull \\ VBFNLO 3}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.212098e-02	4.786100e-04	7.373400e-04
3.000000e+01	4.000000e+01	1.483340e-02	2.819100e-04	3.157700e-04
4.000000e+01	5.000000e+01	7.633642e-03	1.564180e-04	0.000000e+00
5.000000e+01	6.000000e+01	3.938135e-03	2.451040e-04	0.000000e+00
6.000000e+01	7.000000e+01	2.087912e-03	6.604100e-05	0.000000e+00
7.000000e+01	8.000000e+01	1.155745e-03	5.823200e-05	0.000000e+00
8.000000e+01	9.000000e+01	6.565908e-04	3.637240e-05	0.000000e+00
9.000000e+01	1.000000e+02	3.707324e-04	2.193180e-05	5.205200e-06
1.000000e+02	1.100000e+02	2.243425e-04	1.491590e-05	3.747100e-06
1.100000e+02	1.200000e+02	1.383847e-04	7.148800e-06	2.891700e-06
1.200000e+02	1.300000e+02	8.364385e-05	4.578410e-06	6.755490e-06
1.300000e+02	1.400000e+02	5.372586e-05	2.319520e-06	1.288710e-06
1.400000e+02	1.500000e+02	3.732927e-05	2.796020e-06	8.685440e-06
1.500000e+02	1.600000e+02	2.689409e-05	5.476250e-06	0.000000e+00
1.600000e+02	1.700000e+02	1.640127e-05	4.109190e-06	2.712600e-07
1.700000e+02	1.800000e+02	1.202736e-05	2.316249e-06	7.047500e-07
1.800000e+02	1.900000e+02	7.891823e-06	5.241570e-07	1.921723e-06
1.900000e+02	2.000000e+02	5.365987e-06	5.249480e-07	0.000000e+00
2.000000e+02	2.100000e+02	3.903253e-06	1.143243e-06	1.255367e-06
2.100000e+02	2.200000e+02	2.926597e-06	3.530080e-07	1.194163e-06
2.200000e+02	2.300000e+02	2.220325e-06	4.666650e-07	2.080620e-07
2.300000e+02	2.400000e+02	1.508662e-06	3.477470e-06	2.039060e-07
2.400000e+02	2.500000e+02	9.325705e-07	0.000000e+00	3.627175e-07
2.500000e+02	2.600000e+02	1.254069e-06	4.379411e-07	5.174350e-07
2.600000e+02	2.700000e+02	7.931825e-07	8.620550e-08	0.000000e+00
2.700000e+02	2.800000e+02	6.260389e-07	1.736570e-08	3.059545e-07
2.800000e+02	2.900000e+02	6.813810e-07	3.641357e-07	0.000000e+00
2.900000e+02	3.000000e+02	3.464311e-07	2.063000e-10	2.033980e-08
3.000000e+02	3.100000e+02	3.395821e-07	7.328420e-08	1.556060e-07
3.100000e+02	3.200000e+02	2.645551e-07	2.359520e-08	0.000000e+00
3.200000e+02	3.300000e+02	2.207048e-07	2.443610e-08	0.000000e+00
3.300000e+02	3.400000e+02	1.631781e-07	2.458680e-08	8.228890e-08
3.400000e+02	3.500000e+02	1.341980e-07	1.687640e-08	9.580870e-08
3.500000e+02	3.600000e+02	1.294227e-07	3.007305e-08	3.129420e-08
3.600000e+02	3.700000e+02	1.222172e-07	4.207305e-08	2.439027e-07
3.700000e+02	3.800000e+02	9.929015e-08	3.516736e-08	3.512595e-08
3.800000e+02	3.900000e+02	8.472138e-08	5.495393e-08	1.865722e-08
3.900000e+02	4.000000e+02	6.073941e-08	2.121341e-08	4.486890e-09
4.000000e+02	4.100000e+02	7.596856e-08	5.244110e-09	2.256107e-08
4.100000e+02	4.200000e+02	4.464555e-08	0.000000e+00	1.992634e-08
4.200000e+02	4.300000e+02	3.886258e-08	7.570000e-12	4.577800e-08
4.300000e+02	4.400000e+02	6.001129e-08	2.473454e-08	1.691900e-10
4.400000e+02	4.500000e+02	5.348876e-08	1.941210e-08	0.000000e+00
4.500000e+02	4.600000e+02	3.862395e-08	1.590451e-08	1.428915e-08
4.600000e+02	4.700000e+02	2.440295e-08	4.350600e-09	4.192656e-08
4.700000e+02	4.800000e+02	2.815921e-08	1.507956e-08	1.215114e-08
4.800000e+02	4.900000e+02	3.408547e-08	1.333952e-08	0.000000e+00
4.900000e+02	5.000000e+02	1.379054e-08	0.000000e+00	1.320509e-08
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.088084e-02	3.637800e-04	4.941000e-04
3.000000e+01	4.000000e+01	1.291483e-02	1.624500e-04	1.958900e-04
4.000000e+01	5.000000e+01	6.308076e-03	1.305780e-04	7.908000e-06
5.000000e+01	6.000000e+01	3.096455e-03	1.316770e-04	1.754400e-05
6.000000e+01	7.000000e+01	1.565629e-03	1.080480e-04	7.268000e-06
7.000000e+01	8.000000e+01	7.962625e-04	4.039590e-05	1.196650e-05
8.000000e+01	9.000000e+01	4.301842e-04	4.140290e-05	3.213200e-06
9.000000e+01	1.000000e+02	2.357921e-04	1.391710e-05	0.000000e+00
1.000000e+02	1.100000e+02	1.302398e-04	9.058600e-06	1.152600e-06
1.100000e+02	1.200000e+02	7.146219e-05	5.334130e-06	8.518040e-06
1.200000e+02	1.300000e+02	4.702644e-05	3.392490e-06	0.000000e+00
1.300000e+02	1.400000e+02	2.925219e-05	4.373380e-06	0.000000e+00
1.400000e+02	1.500000e+02	1.536886e-05	4.159300e-07	2.372600e-07
1.500000e+02	1.600000e+02	1.086327e-05	1.903298e-06	0.000000e+00
1.600000e+02	1.700000e+02	7.205908e-06	8.699660e-07	0.000000e+00
1.700000e+02	1.800000e+02	4.409383e-06	3.635680e-07	4.103200e-08
1.800000e+02	1.900000e+02	2.853343e-06	2.573460e-07	9.198760e-07
1.900000e+02	2.000000e+02	2.332743e-06	5.756570e-07	0.000000e+00
2.000000e+02	2.100000e+02	1.521735e-06	1.275330e-07	8.315050e-07
2.100000e+02	2.200000e+02	8.849353e-07	0.000000e+00	4.757747e-07
2.200000e+02	2.300000e+02	5.648736e-07	2.306470e-08	8.212430e-08
2.300000e+02	2.400000e+02	5.939539e-07	1.804907e-07	0.000000e+00
2.400000e+02	2.500000e+02	3.654167e-07	1.693087e-07	0.000000e+00
2.500000e+02	2.600000e+02	2.350176e-07	0.000000e+00	2.409282e-07
2.600000e+02	2.700000e+02	2.138485e-07	3.922781e-07	0.000000e+00
2.700000e+02	2.800000e+02	1.496500e-07	4.756840e-08	2.787300e-09
2.800000e+02	2.900000e+02	1.158693e-07	5.674402e-08	0.000000e+00
2.900000e+02	3.000000e+02	2.483905e-07	2.644247e-07	0.000000e+00
3.000000e+02	3.100000e+02	6.988944e-08	3.723678e-08	0.000000e+00
3.100000e+02	3.200000e+02	-6.525652e-09	0.000000e+00	5.252063e-08
3.200000e+02	3.300000e+02	3.953250e-08	2.727173e-08	0.000000e+00
3.300000e+02	3.400000e+02	2.728650e-08	2.495918e-08	0.000000e+00
3.400000e+02	3.500000e+02	4.501880e-09	0.000000e+00	1.370247e-08
