# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-4-25gev-hjets.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-25gev-hjets.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-4-25gev-hjets.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-25gev-hjets.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-2-3-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
XLabel=$p_{T,hj_1j_2}$ (GeV)
LegendAlign=l
XMax=200
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1j_2}$ (fb/GeV)
Legend=0
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/Hjj_pT_incl
\rput[tl](0.05,0.65){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull \\ VBFNLO 3}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-hjets-1.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.861867e-02	1.717101e-02	1.585121e-02
1.000000e+01	2.000000e+01	4.726163e-02	2.518880e-03	1.416990e-03
2.000000e+01	3.000000e+01	2.825662e-02	2.230170e-03	2.736350e-03
3.000000e+01	4.000000e+01	1.858046e-02	1.537500e-03	1.806930e-03
4.000000e+01	5.000000e+01	1.162828e-02	1.014850e-03	1.190330e-03
5.000000e+01	6.000000e+01	7.059742e-03	6.997080e-04	8.710590e-04
6.000000e+01	7.000000e+01	4.320413e-03	4.611270e-04	5.862620e-04
7.000000e+01	8.000000e+01	2.635676e-03	2.573990e-04	4.408550e-04
8.000000e+01	9.000000e+01	1.718375e-03	2.759390e-04	1.500270e-04
9.000000e+01	1.000000e+02	1.045553e-03	1.299819e-04	1.336620e-04
1.000000e+02	1.100000e+02	6.821936e-04	1.135091e-04	1.046424e-04
1.100000e+02	1.200000e+02	4.408455e-04	6.642210e-05	7.773110e-05
1.200000e+02	1.300000e+02	3.038940e-04	4.991140e-05	6.653510e-05
1.300000e+02	1.400000e+02	1.981075e-04	2.810240e-05	4.272920e-05
1.400000e+02	1.500000e+02	1.460174e-04	2.165790e-05	2.998460e-05
1.500000e+02	1.600000e+02	1.008598e-04	1.834912e-05	1.349050e-05
1.600000e+02	1.700000e+02	7.143167e-05	1.631089e-05	1.989485e-05
1.700000e+02	1.800000e+02	5.403835e-05	1.499529e-05	8.797840e-06
1.800000e+02	1.900000e+02	4.025034e-05	9.937490e-06	1.042162e-05
1.900000e+02	2.000000e+02	2.932383e-05	6.616440e-06	7.509930e-06
2.000000e+02	2.100000e+02	2.134456e-05	4.017060e-06	8.512200e-06
2.100000e+02	2.200000e+02	1.675280e-05	4.546750e-06	5.997220e-06
2.200000e+02	2.300000e+02	1.371037e-05	3.935484e-06	1.409399e-05
2.300000e+02	2.400000e+02	9.919292e-06	2.308279e-06	3.734998e-06
2.400000e+02	2.500000e+02	7.756408e-06	1.370291e-06	1.681986e-06
2.500000e+02	2.600000e+02	6.054549e-06	1.152334e-06	2.819875e-06
2.600000e+02	2.700000e+02	5.312088e-06	4.984462e-06	8.600280e-07
2.700000e+02	2.800000e+02	4.076923e-06	1.220736e-06	7.585070e-07
2.800000e+02	2.900000e+02	3.141061e-06	7.858260e-07	0.000000e+00
2.900000e+02	3.000000e+02	2.918547e-06	8.564780e-07	1.109181e-06
3.000000e+02	3.100000e+02	1.980917e-06	8.994100e-08	1.040948e-06
3.100000e+02	3.200000e+02	1.614399e-06	2.194590e-07	7.629420e-07
3.200000e+02	3.300000e+02	1.765845e-06	4.009140e-07	0.000000e+00
3.300000e+02	3.400000e+02	1.125617e-06	1.705700e-08	6.218890e-07
3.400000e+02	3.500000e+02	1.061433e-06	2.540098e-07	3.384060e-07
3.500000e+02	3.600000e+02	9.075610e-07	4.288348e-07	0.000000e+00
3.600000e+02	3.700000e+02	7.704684e-07	2.446643e-07	2.162417e-07
3.700000e+02	3.800000e+02	5.516575e-07	6.334590e-08	2.009837e-07
3.800000e+02	3.900000e+02	4.336293e-07	4.296220e-08	2.844172e-07
3.900000e+02	4.000000e+02	4.027139e-07	1.163969e-07	1.534494e-07
4.000000e+02	4.100000e+02	3.484531e-07	1.514968e-07	1.257649e-07
4.100000e+02	4.200000e+02	3.232869e-07	8.996880e-08	9.010470e-08
4.200000e+02	4.300000e+02	2.364208e-07	6.725570e-08	1.069715e-07
4.300000e+02	4.400000e+02	2.330664e-07	5.410050e-08	1.161697e-07
4.400000e+02	4.500000e+02	1.903375e-07	4.394740e-08	4.167770e-08
4.500000e+02	4.600000e+02	1.698682e-07	2.016620e-08	1.997231e-07
4.600000e+02	4.700000e+02	7.415536e-08	0.000000e+00	6.672714e-08
4.700000e+02	4.800000e+02	9.565357e-08	5.410810e-09	8.330233e-08
4.800000e+02	4.900000e+02	1.066930e-07	3.629002e-08	7.625350e-08
4.900000e+02	5.000000e+02	4.898612e-08	1.816443e-08	8.702828e-08
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/New-Analysis/HJETS-VBFNLO/H-N2-N3-4-25gev-vbfnlo.yoda/MC_H2JETS_04_LOOSE/Hjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.891992e-02	1.764629e-02	1.583524e-02
1.000000e+01	2.000000e+01	4.643691e-02	2.583550e-03	1.016660e-03
2.000000e+01	3.000000e+01	2.697052e-02	2.252580e-03	2.566960e-03
3.000000e+01	4.000000e+01	1.698379e-02	1.278490e-03	1.684800e-03
4.000000e+01	5.000000e+01	1.027857e-02	9.040340e-04	1.231630e-03
5.000000e+01	6.000000e+01	6.103237e-03	6.137240e-04	8.103190e-04
6.000000e+01	7.000000e+01	3.626573e-03	4.406900e-04	4.194250e-04
7.000000e+01	8.000000e+01	2.118162e-03	2.368100e-04	3.057310e-04
8.000000e+01	9.000000e+01	1.266704e-03	1.525050e-04	1.805470e-04
9.000000e+01	1.000000e+02	7.809825e-04	1.044304e-04	1.339950e-04
1.000000e+02	1.100000e+02	4.809169e-04	6.455190e-05	6.856800e-05
1.100000e+02	1.200000e+02	2.994651e-04	3.688640e-05	5.209040e-05
1.200000e+02	1.300000e+02	1.853132e-04	1.870890e-05	3.556970e-05
1.300000e+02	1.400000e+02	1.267040e-04	2.100930e-05	1.844900e-05
1.400000e+02	1.500000e+02	8.061462e-05	9.777140e-06	1.878973e-05
1.500000e+02	1.600000e+02	5.360836e-05	6.538690e-06	8.310290e-06
1.600000e+02	1.700000e+02	3.674658e-05	4.255230e-06	7.242850e-06
1.700000e+02	1.800000e+02	2.520309e-05	2.730860e-06	3.275240e-06
1.800000e+02	1.900000e+02	1.911932e-05	3.346560e-06	3.310180e-06
1.900000e+02	2.000000e+02	1.273100e-05	1.344940e-06	4.737360e-06
2.000000e+02	2.100000e+02	9.604549e-06	2.133871e-06	1.221811e-06
2.100000e+02	2.200000e+02	6.609660e-06	9.553170e-07	2.896323e-06
2.200000e+02	2.300000e+02	4.661678e-06	4.733720e-07	7.087900e-07
2.300000e+02	2.400000e+02	3.492620e-06	6.437570e-07	7.481200e-07
2.400000e+02	2.500000e+02	2.730122e-06	3.834540e-07	8.949360e-07
2.500000e+02	2.600000e+02	1.914527e-06	2.732120e-07	1.590790e-07
