# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/HT_all
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/HT_all //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/HT_all
XLabel=$H_{T}(\text{all})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{all})$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/HT_all
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/HT_all
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	3.898780e-04	2.676300e-05	1.954350e-05
8.000000e+01	1.200000e+02	4.034432e-03	2.440700e-04	2.283275e-04
1.200000e+02	1.600000e+02	8.392083e-03	3.199275e-04	3.768775e-04
1.600000e+02	2.000000e+02	1.120064e-02	2.614675e-04	3.301325e-04
2.000000e+02	2.400000e+02	1.213395e-02	2.379100e-04	3.553400e-04
2.400000e+02	2.800000e+02	1.092007e-02	2.500200e-04	1.826875e-04
2.800000e+02	3.200000e+02	8.784115e-03	3.161675e-04	0.000000e+00
3.200000e+02	3.600000e+02	6.507495e-03	1.141700e-04	1.112300e-04
3.600000e+02	4.000000e+02	4.731270e-03	5.807250e-05	5.334000e-05
4.000000e+02	4.400000e+02	3.418440e-03	9.702250e-05	5.510000e-06
4.400000e+02	4.800000e+02	2.412476e-03	0.000000e+00	5.017525e-05
4.800000e+02	5.200000e+02	1.758288e-03	2.506875e-05	0.000000e+00
5.200000e+02	5.600000e+02	1.293488e-03	2.511575e-05	0.000000e+00
5.600000e+02	6.000000e+02	9.604642e-04	2.753975e-05	0.000000e+00
6.000000e+02	6.400000e+02	6.883710e-04	2.526500e-06	1.395500e-05
6.400000e+02	6.800000e+02	5.275525e-04	1.272600e-05	0.000000e+00
6.800000e+02	7.200000e+02	3.900390e-04	2.228000e-06	6.492250e-06
7.200000e+02	7.600000e+02	3.055772e-04	2.515800e-05	0.000000e+00
7.600000e+02	8.000000e+02	2.334285e-04	1.589972e-05	9.278950e-06
8.000000e+02	8.400000e+02	1.743995e-04	1.210000e-08	2.510375e-05
8.400000e+02	8.800000e+02	1.847637e-04	5.095772e-05	0.000000e+00
8.800000e+02	9.200000e+02	1.080304e-04	2.309950e-06	0.000000e+00
9.200000e+02	9.600000e+02	7.989793e-05	5.429500e-07	6.518500e-06
9.600000e+02	1.000000e+03	7.235625e-05	6.263975e-06	0.000000e+00
1.000000e+03	1.040000e+03	5.935900e-05	9.470375e-06	5.854250e-07
1.040000e+03	1.080000e+03	4.106718e-05	1.987750e-06	9.788100e-06
1.080000e+03	1.120000e+03	3.426037e-05	8.479297e-05	0.000000e+00
1.120000e+03	1.160000e+03	2.668332e-05	0.000000e+00	3.706450e-06
1.160000e+03	1.200000e+03	2.611330e-05	3.823942e-06	0.000000e+00
1.200000e+03	1.240000e+03	2.071928e-05	2.473210e-06	2.061785e-06
1.240000e+03	1.280000e+03	1.176763e-05	0.000000e+00	5.681190e-06
1.280000e+03	1.320000e+03	1.454583e-05	1.718082e-06	0.000000e+00
1.320000e+03	1.360000e+03	1.244551e-05	1.619000e-06	0.000000e+00
1.360000e+03	1.400000e+03	6.972525e-06	0.000000e+00	5.421612e-06
1.400000e+03	1.440000e+03	8.126053e-06	1.094545e-06	2.688150e-07
1.440000e+03	1.480000e+03	6.460745e-06	0.000000e+00	9.419625e-07
1.480000e+03	1.520000e+03	4.431915e-06	0.000000e+00	2.548287e-06
1.520000e+03	1.560000e+03	4.104732e-06	0.000000e+00	1.463463e-06
1.560000e+03	1.600000e+03	3.471568e-06	0.000000e+00	2.803565e-06
1.600000e+03	1.640000e+03	3.368655e-06	0.000000e+00	1.574648e-06
1.640000e+03	1.680000e+03	5.132075e-06	7.490123e-06	5.596150e-07
1.680000e+03	1.720000e+03	2.169899e-06	1.602745e-07	1.372934e-06
1.720000e+03	1.760000e+03	1.841642e-06	0.000000e+00	1.292879e-05
1.760000e+03	1.800000e+03	2.159922e-06	4.103325e-07	1.634031e-06
1.800000e+03	1.840000e+03	2.499672e-06	1.694723e-06	0.000000e+00
1.840000e+03	1.880000e+03	1.638811e-06	3.178058e-07	5.861667e-07
1.880000e+03	1.920000e+03	1.228669e-06	0.000000e+00	5.021522e-07
1.920000e+03	1.960000e+03	5.812253e-08	0.000000e+00	1.269228e-06
1.960000e+03	2.000000e+03	5.479263e-06	4.634251e-06	0.000000e+00
