# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/H_y
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/H_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/H_y
XLabel=$y_{h}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{h}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/H_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.732481e-02	8.769300e-04	1.114740e-03
-4.600000e+00	-4.200000e+00	1.978775e-02	7.170225e-04	1.171813e-03
-4.200000e+00	-3.800000e+00	2.394715e-02	1.188980e-03	1.797345e-03
-3.800000e+00	-3.400000e+00	2.796095e-02	9.031750e-04	8.650000e-06
-3.400000e+00	-3.000000e+00	3.482603e-02	2.385575e-03	1.261975e-03
-3.000000e+00	-2.600000e+00	4.236575e-02	6.748000e-04	2.781250e-04
-2.600000e+00	-2.200000e+00	5.530075e-02	1.420575e-03	1.361725e-03
-2.200000e+00	-1.800000e+00	7.378697e-02	8.524000e-04	1.906325e-03
-1.800000e+00	-1.400000e+00	1.055467e-01	3.170925e-03	1.703125e-03
-1.400000e+00	-1.000000e+00	1.612519e-01	2.168525e-03	4.349550e-03
-1.000000e+00	-6.000000e-01	3.122348e-01	9.475000e-04	5.636000e-03
-6.000000e-01	-2.000000e-01	1.310928e+00	4.573500e-02	3.176800e-02
-2.000000e-01	2.000000e-01	3.238315e+00	1.511150e-01	1.158975e-01
2.000000e-01	6.000000e-01	1.305813e+00	5.656925e-02	3.684550e-02
6.000000e-01	1.000000e+00	3.089275e-01	0.000000e+00	1.282750e-03
1.000000e+00	1.400000e+00	1.556997e-01	0.000000e+00	6.629700e-03
1.400000e+00	1.800000e+00	1.008969e-01	1.520125e-03	5.022100e-03
1.800000e+00	2.200000e+00	7.419055e-02	0.000000e+00	2.283075e-03
2.200000e+00	2.600000e+00	5.512833e-02	7.335750e-04	1.723675e-03
2.600000e+00	3.000000e+00	4.434865e-02	2.323200e-03	4.928000e-04
3.000000e+00	3.400000e+00	3.500603e-02	6.261550e-03	0.000000e+00
3.400000e+00	3.800000e+00	2.938025e-02	1.683400e-03	8.209000e-04
3.800000e+00	4.200000e+00	2.326264e-02	8.165950e-04	1.701457e-03
4.200000e+00	4.600000e+00	1.965174e-02	7.790475e-04	1.581413e-03
4.600000e+00	5.000000e+00	1.766969e-02	1.484550e-03	4.446425e-04
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/H_y
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.703183e-02	8.030675e-04	1.511045e-03
-4.600000e+00	-4.200000e+00	1.968963e-02	6.982900e-04	1.981995e-03
-4.200000e+00	-3.800000e+00	2.339055e-02	1.205505e-03	3.009250e-03
-3.800000e+00	-3.400000e+00	2.788708e-02	1.193825e-03	1.793075e-03
-3.400000e+00	-3.000000e+00	3.409423e-02	1.376550e-03	2.050500e-03
-3.000000e+00	-2.600000e+00	4.241690e-02	1.568925e-03	2.210200e-03
-2.600000e+00	-2.200000e+00	5.461465e-02	1.575400e-03	2.918325e-03
-2.200000e+00	-1.800000e+00	7.309457e-02	1.877225e-03	3.802275e-03
-1.800000e+00	-1.400000e+00	1.040155e-01	2.509500e-03	2.499350e-03
-1.400000e+00	-1.000000e+00	1.604249e-01	1.890275e-03	2.046425e-03
-1.000000e+00	-6.000000e-01	3.077135e-01	1.914500e-03	9.320000e-04
-6.000000e-01	-2.000000e-01	1.298468e+00	4.853350e-02	4.296925e-02
-2.000000e-01	2.000000e-01	3.234335e+00	1.488700e-01	1.251775e-01
2.000000e-01	6.000000e-01	1.300057e+00	5.156625e-02	4.295050e-02
6.000000e-01	1.000000e+00	3.071470e-01	1.326750e-03	1.389500e-03
1.000000e+00	1.400000e+00	1.601483e-01	3.023925e-03	2.574200e-03
1.400000e+00	1.800000e+00	1.033446e-01	1.844450e-03	3.320650e-03
1.800000e+00	2.200000e+00	7.283912e-02	1.501625e-03	3.727450e-03
2.200000e+00	2.600000e+00	5.557728e-02	2.907625e-03	1.634525e-03
2.600000e+00	3.000000e+00	4.260745e-02	1.969725e-03	3.493875e-03
3.000000e+00	3.400000e+00	3.413945e-02	1.432625e-03	2.223650e-03
3.400000e+00	3.800000e+00	2.734403e-02	6.689250e-04	2.333700e-03
3.800000e+00	4.200000e+00	2.324957e-02	8.806575e-04	1.598760e-03
4.200000e+00	4.600000e+00	1.984820e-02	1.188940e-03	1.822662e-03
