# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
XLabel=$\Delta \phi_{h,j_1j_2}^{excl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{h,j_1j_2}^{excl}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/deltaphi_Hjj_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	6.860133e-03	0.000000e+00	7.761323e-03
1.047198e-01	2.094395e-01	1.293147e-02	3.282630e-03	7.579949e-04
2.094395e-01	3.141593e-01	1.228584e-02	1.381983e-03	1.279472e-03
3.141594e-01	4.188790e-01	1.353547e-02	3.279182e-03	1.003909e-03
4.188790e-01	5.235988e-01	1.254526e-02	1.853288e-03	1.736539e-03
5.235989e-01	6.283186e-01	1.312953e-02	1.680849e-03	7.537073e-04
6.283185e-01	7.330383e-01	1.443700e-02	2.124632e-03	2.133837e-03
7.330384e-01	8.377581e-01	1.431704e-02	1.450682e-03	8.582339e-04
8.377580e-01	9.424778e-01	1.561709e-02	2.395049e-03	2.157644e-03
9.424778e-01	1.047198e+00	1.687526e-02	1.870327e-03	2.906832e-03
1.047197e+00	1.151917e+00	1.899017e-02	2.801134e-03	3.906263e-03
1.151917e+00	1.256637e+00	2.090145e-02	2.039544e-03	2.846486e-03
1.256637e+00	1.361357e+00	2.238658e-02	2.325859e-03	4.072422e-03
1.361357e+00	1.466077e+00	2.473015e-02	2.413273e-03	5.702932e-03
1.466076e+00	1.570796e+00	3.005700e-02	3.828169e-03	5.422875e-03
1.570796e+00	1.675516e+00	3.481555e-02	5.100057e-03	5.639228e-03
1.675516e+00	1.780236e+00	4.089642e-02	5.951404e-03	6.670913e-03
1.780236e+00	1.884956e+00	4.985585e-02	6.979125e-03	7.269156e-03
1.884955e+00	1.989675e+00	5.973658e-02	7.473171e-03	9.149734e-03
1.989675e+00	2.094395e+00	7.458928e-02	9.304030e-03	1.153846e-02
2.094395e+00	2.199115e+00	9.640556e-02	1.180829e-02	1.273281e-02
2.199115e+00	2.303835e+00	1.018355e-01	0.000000e+00	4.658270e-02
2.303834e+00	2.408554e+00	1.720109e-01	2.123913e-02	2.870711e-02
2.408554e+00	2.513274e+00	2.435482e-01	1.657057e-02	3.768201e-02
2.513274e+00	2.617994e+00	3.689544e-01	3.905586e-02	4.584807e-02
2.617994e+00	2.722714e+00	5.960420e-01	7.012701e-02	7.054326e-02
2.722713e+00	2.827433e+00	1.018193e+00	8.614779e-02	9.219721e-02
2.827433e+00	2.932153e+00	1.937468e+00	1.387863e-01	1.088426e-01
2.932153e+00	3.036873e+00	4.195799e+00	1.404030e-01	1.386058e-01
3.036873e+00	3.141593e+00	1.256280e+01	1.605223e+00	1.334645e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	1.134618e-02	1.779940e-03	2.124813e-03
1.047198e-01	2.094395e-01	1.142813e-02	1.458790e-03	2.110701e-03
2.094395e-01	3.141593e-01	1.173689e-02	1.577066e-03	2.266267e-03
3.141594e-01	4.188790e-01	1.207704e-02	1.568253e-03	2.002756e-03
4.188790e-01	5.235988e-01	1.273391e-02	1.930733e-03	1.756583e-03
5.235989e-01	6.283186e-01	1.292398e-02	1.764711e-03	2.388767e-03
6.283185e-01	7.330383e-01	1.363309e-02	1.824450e-03	3.813510e-03
7.330384e-01	8.377581e-01	1.456582e-02	1.986828e-03	2.694374e-03
8.377580e-01	9.424778e-01	1.550790e-02	1.949488e-03	2.317842e-03
9.424778e-01	1.047198e+00	1.662292e-02	2.069973e-03	2.631364e-03
1.047197e+00	1.151917e+00	1.888180e-02	3.178869e-03	2.595871e-03
1.151917e+00	1.256637e+00	2.032363e-02	2.910953e-03	3.984511e-03
1.256637e+00	1.361357e+00	2.241256e-02	2.812653e-03	4.065269e-03
1.361357e+00	1.466077e+00	2.578190e-02	2.873252e-03	3.894786e-03
1.466076e+00	1.570796e+00	2.939734e-02	3.069529e-03	5.295801e-03
1.570796e+00	1.675516e+00	3.359265e-02	3.777846e-03	7.161612e-03
1.675516e+00	1.780236e+00	4.023927e-02	5.145798e-03	6.872364e-03
1.780236e+00	1.884956e+00	4.767078e-02	5.797422e-03	8.521362e-03
1.884955e+00	1.989675e+00	5.889916e-02	7.027894e-03	9.547360e-03
1.989675e+00	2.094395e+00	7.377538e-02	8.863283e-03	1.176853e-02
2.094395e+00	2.199115e+00	9.469605e-02	1.069112e-02	1.467943e-02
2.199115e+00	2.303835e+00	1.254586e-01	1.451910e-02	1.896142e-02
2.303834e+00	2.408554e+00	1.723516e-01	2.081743e-02	2.611045e-02
2.408554e+00	2.513274e+00	2.461531e-01	2.897374e-02	3.481780e-02
2.513274e+00	2.617994e+00	3.648165e-01	3.493191e-02	5.393812e-02
2.617994e+00	2.722714e+00	5.892771e-01	5.941912e-02	7.321725e-02
2.722713e+00	2.827433e+00	1.020794e+00	8.693179e-02	1.051070e-01
2.827433e+00	2.932153e+00	1.932028e+00	1.212901e-01	1.377187e-01
2.932153e+00	3.036873e+00	4.228507e+00	1.238464e-01	6.729947e-02
3.036873e+00	3.141593e+00	1.264260e+01	1.883862e+00	1.611459e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	1.086982e-02	1.527797e-03	1.630599e-03
1.047198e-01	2.094395e-01	1.083085e-02	1.080580e-03	1.543100e-03
2.094395e-01	3.141593e-01	1.111291e-02	1.617156e-03	1.725022e-03
3.141594e-01	4.188790e-01	1.124211e-02	1.457701e-03	1.822618e-03
4.188790e-01	5.235988e-01	1.145061e-02	1.370514e-03	2.114433e-03
5.235989e-01	6.283186e-01	1.210999e-02	7.886195e-04	1.931967e-03
6.283185e-01	7.330383e-01	1.288248e-02	1.899068e-03	2.147407e-03
7.330384e-01	8.377581e-01	1.356906e-02	1.718970e-03	2.419764e-03
8.377580e-01	9.424778e-01	1.460246e-02	1.892393e-03	2.214892e-03
9.424778e-01	1.047198e+00	1.564024e-02	1.871396e-03	2.689032e-03
1.047197e+00	1.151917e+00	1.718494e-02	2.090222e-03	2.902654e-03
1.151917e+00	1.256637e+00	1.875196e-02	2.220789e-03	3.111411e-03
1.256637e+00	1.361357e+00	2.129933e-02	2.430118e-03	3.373692e-03
1.361357e+00	1.466077e+00	2.427054e-02	3.245340e-03	3.253963e-03
1.466076e+00	1.570796e+00	2.747666e-02	3.245600e-03	4.232136e-03
1.570796e+00	1.675516e+00	3.221116e-02	4.239973e-03	4.976681e-03
1.675516e+00	1.780236e+00	3.799806e-02	4.838340e-03	1.580844e-03
1.780236e+00	1.884956e+00	4.570574e-02	6.050067e-03	6.460982e-03
1.884955e+00	1.989675e+00	5.527851e-02	6.973491e-03	9.012147e-03
1.989675e+00	2.094395e+00	6.900094e-02	7.433824e-03	1.123388e-02
2.094395e+00	2.199115e+00	8.909431e-02	1.101575e-02	1.325882e-02
2.199115e+00	2.303835e+00	1.176960e-01	1.369528e-02	1.599303e-02
2.303834e+00	2.408554e+00	1.611405e-01	1.871217e-02	2.338831e-02
2.408554e+00	2.513274e+00	2.296465e-01	2.568755e-02	3.159339e-02
2.513274e+00	2.617994e+00	3.458375e-01	3.822173e-02	4.530768e-02
2.617994e+00	2.722714e+00	5.519471e-01	5.479393e-02	7.021562e-02
2.722713e+00	2.827433e+00	9.583695e-01	8.602154e-02	1.009377e-01
2.827433e+00	2.932153e+00	1.825600e+00	1.337137e-01	1.374160e-01
2.932153e+00	3.036873e+00	4.004481e+00	1.672622e-01	1.043650e-01
3.036873e+00	3.141593e+00	1.209742e+01	1.577483e+00	1.231283e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/deltaphi_Hjj_excl
ErrorBandColor=green
ErrorBandOpacity=0.3
