# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j2j3_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	4.343575e-05	0.000000e+00	1.295733e-05
1.200000e+01	1.600000e+01	9.885143e-04	0.000000e+00	1.839767e-04
1.600000e+01	2.000000e+01	2.628593e-03	2.482355e-04	2.387675e-04
2.000000e+01	2.400000e+01	3.610848e-03	7.244000e-05	5.561875e-04
2.400000e+01	2.800000e+01	3.887137e-03	9.788500e-05	5.267750e-04
2.800000e+01	3.200000e+01	4.144825e-03	3.635825e-04	4.446150e-04
3.200000e+01	3.600000e+01	3.897890e-03	1.626850e-04	3.797150e-04
3.600000e+01	4.000000e+01	3.775927e-03	1.213250e-04	4.792525e-04
4.000000e+01	4.400000e+01	3.810982e-03	1.899225e-04	3.885900e-04
4.400000e+01	4.800000e+01	4.000620e-03	3.152075e-04	2.030750e-04
4.800000e+01	5.200000e+01	4.249798e-03	2.663950e-04	1.727825e-04
5.200000e+01	5.600000e+01	4.590835e-03	9.148500e-05	3.463975e-04
5.600000e+01	6.000000e+01	4.919825e-03	1.540325e-04	3.699175e-04
6.000000e+01	6.400000e+01	5.385048e-03	1.838775e-04	4.770800e-04
6.400000e+01	6.800000e+01	5.876147e-03	3.119825e-04	2.576125e-04
6.800000e+01	7.200000e+01	6.290797e-03	2.951350e-04	7.214750e-05
7.200000e+01	7.600000e+01	6.867680e-03	2.923175e-04	2.260000e-06
7.600000e+01	8.000000e+01	7.877202e-03	6.572800e-04	0.000000e+00
8.000000e+01	8.400000e+01	6.541965e-03	2.808725e-04	1.979025e-04
8.400000e+01	8.800000e+01	5.382502e-03	2.209750e-04	0.000000e+00
8.800000e+01	9.200000e+01	4.892050e-03	2.429675e-04	6.866975e-04
9.200000e+01	9.600000e+01	4.101315e-03	2.649250e-05	2.360100e-04
9.600000e+01	1.000000e+02	3.705760e-03	2.578300e-04	0.000000e+00
1.000000e+02	1.040000e+02	3.062327e-03	7.453500e-05	1.653100e-04
1.040000e+02	1.080000e+02	3.187243e-03	1.423000e-04	4.747500e-05
1.080000e+02	1.120000e+02	2.880388e-03	0.000000e+00	5.009925e-04
1.120000e+02	1.160000e+02	2.684750e-03	0.000000e+00	1.764125e-04
1.160000e+02	1.200000e+02	2.728660e-03	2.363910e-04	4.692000e-05
1.200000e+02	1.240000e+02	2.594600e-03	2.200850e-04	0.000000e+00
1.240000e+02	1.280000e+02	2.340678e-03	0.000000e+00	1.488983e-04
1.280000e+02	1.320000e+02	2.289474e-03	1.447522e-04	2.178125e-05
1.320000e+02	1.360000e+02	2.199900e-03	9.444650e-05	0.000000e+00
1.360000e+02	1.400000e+02	1.992476e-03	4.687025e-05	4.178000e-06
1.400000e+02	1.440000e+02	1.952832e-03	1.282863e-04	3.701150e-05
1.440000e+02	1.480000e+02	1.769403e-03	2.184150e-05	1.275070e-04
1.480000e+02	1.520000e+02	1.753844e-03	5.356975e-05	0.000000e+00
1.520000e+02	1.560000e+02	1.731168e-03	1.426463e-04	1.358850e-05
1.560000e+02	1.600000e+02	1.593419e-03	1.772250e-05	6.550725e-05
1.600000e+02	1.640000e+02	1.587065e-03	5.568500e-06	2.933975e-05
1.640000e+02	1.680000e+02	1.552430e-03	1.423578e-04	0.000000e+00
1.680000e+02	1.720000e+02	1.403041e-03	6.473550e-05	0.000000e+00
1.720000e+02	1.760000e+02	1.265792e-03	0.000000e+00	1.137540e-04
1.760000e+02	1.800000e+02	1.320191e-03	6.118100e-05	6.681500e-05
1.800000e+02	1.840000e+02	1.261601e-03	0.000000e+00	5.445125e-05
1.840000e+02	1.880000e+02	1.281369e-03	1.016020e-04	8.519500e-06
1.880000e+02	1.920000e+02	1.197031e-03	4.334763e-04	0.000000e+00
1.920000e+02	1.960000e+02	1.217143e-03	1.168627e-04	0.000000e+00
1.960000e+02	2.000000e+02	1.074902e-03	0.000000e+00	4.591625e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j2j3_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	4.174173e-05	0.000000e+00	1.424022e-05
1.200000e+01	1.600000e+01	1.004304e-03	0.000000e+00	1.627227e-04
1.600000e+01	2.000000e+01	2.627587e-03	0.000000e+00	2.318375e-04
2.000000e+01	2.400000e+01	3.690110e-03	9.735750e-05	2.709175e-04
2.400000e+01	2.800000e+01	4.022797e-03	1.713875e-04	3.740625e-04
2.800000e+01	3.200000e+01	4.035287e-03	2.176175e-04	3.850425e-04
3.200000e+01	3.600000e+01	3.899780e-03	2.024475e-04	3.645550e-04
3.600000e+01	4.000000e+01	3.822940e-03	2.319825e-04	3.591525e-04
4.000000e+01	4.400000e+01	3.836002e-03	2.809925e-04	3.218275e-04
4.400000e+01	4.800000e+01	3.937787e-03	2.951550e-04	2.866800e-04
4.800000e+01	5.200000e+01	4.152885e-03	2.954875e-04	3.394250e-04
5.200000e+01	5.600000e+01	4.538228e-03	3.243500e-04	4.555300e-04
5.600000e+01	6.000000e+01	4.931017e-03	3.480150e-04	5.255075e-04
6.000000e+01	6.400000e+01	5.240860e-03	3.696900e-04	5.407750e-04
6.400000e+01	6.800000e+01	5.613412e-03	4.602450e-04	4.646450e-04
6.800000e+01	7.200000e+01	5.944360e-03	4.106100e-04	4.676275e-04
7.200000e+01	7.600000e+01	6.506000e-03	4.741800e-04	2.667500e-04
7.600000e+01	8.000000e+01	7.011045e-03	1.338625e-04	1.951150e-04
8.000000e+01	8.400000e+01	6.124200e-03	5.746000e-05	9.522500e-06
8.400000e+01	8.800000e+01	5.040530e-03	2.346850e-04	1.641050e-04
8.800000e+01	9.200000e+01	4.760983e-03	8.984750e-05	1.096000e-05
9.200000e+01	9.600000e+01	3.928320e-03	1.326425e-04	2.781500e-04
9.600000e+01	1.000000e+02	3.473077e-03	2.071575e-04	2.352175e-04
1.000000e+02	1.040000e+02	3.252515e-03	1.861200e-04	2.137850e-04
1.040000e+02	1.080000e+02	3.045945e-03	1.920475e-04	2.147225e-04
1.080000e+02	1.120000e+02	2.895662e-03	1.765700e-04	1.609325e-04
1.120000e+02	1.160000e+02	2.756862e-03	2.305425e-04	1.899125e-04
1.160000e+02	1.200000e+02	2.544130e-03	1.410263e-04	2.156000e-04
1.200000e+02	1.240000e+02	2.388983e-03	1.366605e-04	1.539267e-04
