# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl
XLabel=$y_{j_1}^{incl}$
LegendAlign=r
XMax=5.0
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_1}^{incl}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.747152e-02	8.667500e-04	6.304800e-04
-4.400000e+00	-4.200000e+00	7.850110e-02	1.338650e-03	1.177550e-03
-4.200000e+00	-4.000000e+00	1.164285e-01	2.622400e-03	2.808200e-03
-4.000000e+00	-3.800000e+00	1.603479e-01	1.832500e-03	4.165550e-03
-3.800000e+00	-3.600000e+00	2.078004e-01	9.033850e-03	5.546100e-03
-3.600000e+00	-3.400000e+00	2.550551e-01	1.101175e-02	6.884300e-03
-3.400000e+00	-3.200000e+00	2.979092e-01	1.311935e-02	7.901050e-03
-3.200000e+00	-3.000000e+00	3.379728e-01	1.407220e-02	1.635540e-02
-3.000000e+00	-2.800000e+00	3.713595e-01	8.757200e-03	1.112565e-02
-2.800000e+00	-2.600000e+00	4.025915e-01	1.732635e-02	9.112950e-03
-2.600000e+00	-2.400000e+00	4.203898e-01	1.194895e-02	1.313925e-02
-2.400000e+00	-2.200000e+00	4.315563e-01	7.769050e-03	1.595890e-02
-2.200000e+00	-2.000000e+00	4.450458e-01	6.822750e-03	7.480650e-03
-2.000000e+00	-1.800000e+00	4.549985e-01	1.655935e-02	3.149800e-03
-1.800000e+00	-1.600000e+00	4.589473e-01	1.237365e-02	9.292050e-03
-1.600000e+00	-1.400000e+00	4.554976e-01	1.199605e-02	4.366850e-03
-1.400000e+00	-1.200000e+00	4.522479e-01	3.146300e-03	8.438400e-03
-1.200000e+00	-1.000000e+00	4.444677e-01	3.529750e-03	1.372535e-02
-1.000000e+00	-8.000000e-01	4.462906e-01	1.333415e-02	0.000000e+00
-8.000000e-01	-6.000000e-01	4.377559e-01	4.843150e-03	6.645000e-03
-6.000000e-01	-4.000000e-01	4.219310e-01	0.000000e+00	1.480255e-02
-4.000000e-01	-2.000000e-01	4.347400e-01	1.242515e-02	6.828100e-03
-2.000000e-01	0.000000e+00	4.229886e-01	0.000000e+00	1.691835e-02
0.000000e+00	2.000000e-01	4.437748e-01	1.619510e-02	0.000000e+00
2.000000e-01	4.000000e-01	4.328025e-01	1.450720e-02	0.000000e+00
4.000000e-01	6.000000e-01	4.372371e-01	2.792785e-02	0.000000e+00
6.000000e-01	8.000000e-01	4.424419e-01	1.375260e-02	2.855300e-03
8.000000e-01	1.000000e+00	4.392523e-01	1.025025e-02	1.075975e-02
1.000000e+00	1.200000e+00	4.497065e-01	6.601100e-03	5.187000e-04
1.200000e+00	1.400000e+00	4.462950e-01	2.654950e-03	9.432050e-03
1.400000e+00	1.600000e+00	4.535539e-01	1.267540e-02	8.827500e-03
1.600000e+00	1.800000e+00	4.559026e-01	1.349685e-02	3.664300e-03
1.800000e+00	2.000000e+00	4.635081e-01	2.265600e-02	0.000000e+00
2.000000e+00	2.200000e+00	4.475371e-01	1.080875e-02	1.435630e-02
2.200000e+00	2.400000e+00	4.336253e-01	3.314250e-03	1.802955e-02
2.400000e+00	2.600000e+00	4.229093e-01	9.991500e-03	7.152150e-03
2.600000e+00	2.800000e+00	3.966483e-01	8.058950e-03	1.340020e-02
2.800000e+00	3.000000e+00	3.743365e-01	1.780725e-02	1.238410e-02
3.000000e+00	3.200000e+00	3.393952e-01	9.173400e-03	8.176000e-03
3.200000e+00	3.400000e+00	2.993788e-01	1.340140e-02	5.760300e-03
3.400000e+00	3.600000e+00	2.554474e-01	8.883350e-03	1.838050e-03
3.600000e+00	3.800000e+00	2.067315e-01	4.362950e-03	4.739100e-03
3.800000e+00	4.000000e+00	1.613511e-01	4.312450e-03	2.823450e-03
4.000000e+00	4.200000e+00	1.167278e-01	3.129550e-03	2.177200e-03
4.200000e+00	4.400000e+00	7.498660e-02	0.000000e+00	5.158600e-03
4.400000e+00	4.600000e+00	2.751703e-02	2.117400e-04	1.799900e-04
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.737264e-02	6.417900e-04	3.962700e-04
-4.400000e+00	-4.200000e+00	7.854420e-02	1.526250e-03	9.685500e-04
-4.200000e+00	-4.000000e+00	1.167911e-01	3.619550e-03	1.750550e-03
-4.000000e+00	-3.800000e+00	1.603530e-01	4.997300e-03	3.485150e-03
-3.800000e+00	-3.600000e+00	2.075138e-01	6.077300e-03	3.648100e-03
-3.600000e+00	-3.400000e+00	2.545854e-01	8.210650e-03	5.496950e-03
-3.400000e+00	-3.200000e+00	2.998503e-01	1.057700e-02	5.988200e-03
-3.200000e+00	-3.000000e+00	3.380694e-01	1.083905e-02	8.723350e-03
-3.000000e+00	-2.800000e+00	3.722401e-01	1.079640e-02	7.874350e-03
-2.800000e+00	-2.600000e+00	3.997784e-01	1.197075e-02	9.671300e-03
-2.600000e+00	-2.400000e+00	4.208203e-01	9.444500e-03	1.024320e-02
-2.400000e+00	-2.200000e+00	4.364458e-01	1.321115e-02	9.573000e-03
-2.200000e+00	-2.000000e+00	4.461310e-01	1.064575e-02	9.526000e-03
-2.000000e+00	-1.800000e+00	4.514736e-01	1.051760e-02	8.263950e-03
-1.800000e+00	-1.600000e+00	4.529083e-01	1.042420e-02	9.710350e-03
-1.600000e+00	-1.400000e+00	4.504511e-01	1.058225e-02	9.945300e-03
-1.400000e+00	-1.200000e+00	4.470081e-01	5.858800e-03	8.594100e-03
-1.200000e+00	-1.000000e+00	4.462712e-01	9.052550e-03	5.540800e-03
-1.000000e+00	-8.000000e-01	4.398948e-01	7.670950e-03	7.294800e-03
-8.000000e-01	-6.000000e-01	4.348410e-01	5.605400e-03	6.537350e-03
