# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl
XLabel=$y_{j_4}^{incl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_4}^{incl}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet4_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.245054e-03	2.058030e-04	2.152670e-04
-4.400000e+00	-4.200000e+00	6.063220e-03	0.000000e+00	8.828150e-04
-4.200000e+00	-4.000000e+00	8.402505e-03	1.508415e-03	0.000000e+00
-4.000000e+00	-3.800000e+00	1.002498e-02	9.458900e-04	1.652810e-03
-3.800000e+00	-3.600000e+00	1.425476e-02	2.369330e-03	0.000000e+00
-3.600000e+00	-3.400000e+00	1.464171e-02	2.544280e-03	1.648040e-03
-3.400000e+00	-3.200000e+00	1.935180e-02	3.653555e-03	8.409000e-05
-3.200000e+00	-3.000000e+00	2.074687e-02	3.306635e-03	2.681000e-05
-3.000000e+00	-2.800000e+00	2.455904e-02	4.722555e-03	5.191950e-04
-2.800000e+00	-2.600000e+00	2.480751e-02	2.742455e-03	2.618685e-03
-2.600000e+00	-2.400000e+00	2.619498e-02	4.194810e-03	6.112670e-03
-2.400000e+00	-2.200000e+00	2.825933e-02	3.342345e-03	2.340355e-03
-2.200000e+00	-2.000000e+00	2.846445e-02	2.289670e-03	7.213310e-03
-2.000000e+00	-1.800000e+00	3.172073e-02	4.462935e-03	2.676065e-03
-1.800000e+00	-1.600000e+00	3.458187e-02	5.883495e-03	1.808545e-03
-1.600000e+00	-1.400000e+00	3.515371e-02	5.332775e-03	4.813365e-03
-1.400000e+00	-1.200000e+00	3.538556e-02	3.858515e-03	1.709175e-03
-1.200000e+00	-1.000000e+00	3.608118e-02	4.010205e-03	4.223150e-04
-1.000000e+00	-8.000000e-01	3.629294e-02	4.877510e-03	3.678600e-03
-8.000000e-01	-6.000000e-01	3.574301e-02	0.000000e+00	6.325060e-03
-6.000000e-01	-4.000000e-01	3.350251e-02	1.707875e-03	7.110375e-03
-4.000000e-01	-2.000000e-01	3.810579e-02	4.722575e-03	3.962485e-03
-2.000000e-01	0.000000e+00	3.679493e-02	2.504285e-03	5.874660e-03
0.000000e+00	2.000000e-01	3.531731e-02	2.080325e-03	5.200215e-03
2.000000e-01	4.000000e-01	3.543591e-02	1.901590e-03	7.206045e-03
4.000000e-01	6.000000e-01	3.735629e-02	4.938830e-03	7.047310e-03
6.000000e-01	8.000000e-01	3.557325e-02	1.110965e-03	3.762310e-03
8.000000e-01	1.000000e+00	3.525381e-02	3.741730e-03	2.403090e-03
1.000000e+00	1.200000e+00	3.507155e-02	4.886835e-03	4.758115e-03
1.200000e+00	1.400000e+00	3.486521e-02	1.897300e-03	3.338480e-03
1.400000e+00	1.600000e+00	3.386911e-02	3.003200e-03	4.488990e-03
1.600000e+00	1.800000e+00	3.244748e-02	4.351530e-03	0.000000e+00
1.800000e+00	2.000000e+00	3.333657e-02	5.124150e-03	2.883945e-03
2.000000e+00	2.200000e+00	3.220319e-02	3.458870e-03	2.963735e-03
2.200000e+00	2.400000e+00	2.736245e-02	2.240890e-03	4.466430e-03
2.400000e+00	2.600000e+00	3.506020e-02	1.098731e-02	0.000000e+00
2.600000e+00	2.800000e+00	2.572258e-02	3.724485e-03	1.048825e-03
2.800000e+00	3.000000e+00	2.229311e-02	1.351410e-03	2.486890e-03
3.000000e+00	3.200000e+00	1.899809e-02	7.220000e-04	2.031290e-03
3.200000e+00	3.400000e+00	1.678110e-02	1.258235e-03	3.861585e-03
3.400000e+00	3.600000e+00	1.502672e-02	1.503585e-03	1.433080e-03
3.600000e+00	3.800000e+00	1.273576e-02	2.337545e-03	1.089600e-04
3.800000e+00	4.000000e+00	1.012621e-02	6.516950e-04	1.243600e-04
4.000000e+00	4.200000e+00	7.363435e-03	5.755500e-04	2.097360e-03
4.200000e+00	4.400000e+00	6.030385e-03	6.805900e-04	2.888900e-04
4.400000e+00	4.600000e+00	2.594789e-03	5.114825e-04	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet4_y_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.094906e-03	2.838265e-04	4.656985e-04
-4.400000e+00	-4.200000e+00	5.716310e-03	1.018901e-03	1.219700e-03
-4.200000e+00	-4.000000e+00	7.823690e-03	1.255670e-03	1.436250e-03
-4.000000e+00	-3.800000e+00	9.595195e-03	1.464695e-03	1.976865e-03
-3.800000e+00	-3.600000e+00	1.178064e-02	1.610275e-03	2.378775e-03
-3.600000e+00	-3.400000e+00	1.425998e-02	2.116215e-03	2.911755e-03
-3.400000e+00	-3.200000e+00	1.630735e-02	1.240915e-03	3.549715e-03
-3.200000e+00	-3.000000e+00	1.942453e-02	3.203655e-03	3.349700e-03
-3.000000e+00	-2.800000e+00	2.190840e-02	3.519815e-03	3.978625e-03
-2.800000e+00	-2.600000e+00	2.361784e-02	3.309060e-03	4.731145e-03
-2.600000e+00	-2.400000e+00	2.586374e-02	3.568500e-03	4.083885e-03
-2.400000e+00	-2.200000e+00	2.767139e-02	3.782590e-03	4.841955e-03
-2.200000e+00	-2.000000e+00	2.933577e-02	3.873905e-03	4.325520e-03
-2.000000e+00	-1.800000e+00	3.083349e-02	4.066740e-03	5.824510e-03
-1.800000e+00	-1.600000e+00	3.213636e-02	4.436045e-03	5.130485e-03
-1.600000e+00	-1.400000e+00	3.292362e-02	4.232380e-03	6.359100e-03
-1.400000e+00	-1.200000e+00	3.375005e-02	4.730045e-03	6.160295e-03
-1.200000e+00	-1.000000e+00	3.477560e-02	5.287900e-03	5.032720e-03
-1.000000e+00	-8.000000e-01	3.468152e-02	4.454130e-03	6.504835e-03
-8.000000e-01	-6.000000e-01	3.556334e-02	4.987530e-03	5.717770e-03
-6.000000e-01	-4.000000e-01	3.510380e-02	5.067995e-03	1.091199e-02
