# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/log10_d_23
Title=$\log_{10}$($k_\perp$ jet resolution $2 \to 3$ [GeV])
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23
RightMargin=0.5
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_INC/log10_d_23
XLabel=$\log_{10}(\sqrt{d_{23}}/\text{GeV})$
LegendAlign=r
YLabel=$\text{d}\sigma/\text{d}\log_{10}(\sqrt{d_{23}}/\text{GeV})$ [fb]
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/log10_d_23
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	3.504189e+00	4.564271e-01	1.627746e-01
2.361291e-01	2.722583e-01	3.465911e+00	4.980625e-01	1.436484e-01
2.722583e-01	3.083875e-01	3.266043e+00	3.643600e-01	2.800513e-01
3.083874e-01	3.445165e-01	3.290112e+00	5.033699e-01	1.434439e-01
3.445165e-01	3.806457e-01	3.110728e+00	4.325025e-01	5.905196e-02
3.806457e-01	4.167748e-01	2.979050e+00	3.476524e-01	8.222181e-02
4.167748e-01	4.529039e-01	2.815625e+00	3.190478e-01	1.097758e-01
4.529039e-01	4.890331e-01	2.664281e+00	2.603138e-01	1.269430e-01
4.890331e-01	5.251621e-01	2.552652e+00	2.244850e-01	1.116875e-01
5.251623e-01	5.612913e-01	2.496363e+00	1.544589e-01	1.060339e-01
5.612913e-01	5.974205e-01	2.455837e+00	1.678988e-01	6.746205e-02
5.974204e-01	6.335495e-01	2.335300e+00	9.125110e-02	3.780886e-02
6.335497e-01	6.696787e-01	2.255232e+00	1.153973e-02	1.670260e-02
6.696787e-01	7.058079e-01	2.171044e+00	6.490263e-02	1.261694e-02
7.058080e-01	7.419370e-01	2.020745e+00	5.738117e-02	4.034975e-03
7.419370e-01	7.780660e-01	1.811153e+00	6.932860e-02	1.947400e-01
7.780661e-01	8.141953e-01	1.758589e+00	9.870825e-02	1.011619e-01
8.141954e-01	8.503245e-01	1.560595e+00	4.837153e-02	1.327561e-01
8.503244e-01	8.864534e-01	1.431709e+00	1.032174e-01	1.362888e-01
8.864535e-01	9.225827e-01	1.298400e+00	1.038133e-01	1.078266e-01
9.225828e-01	9.587118e-01	1.127498e+00	5.951657e-02	1.440302e-01
9.587118e-01	9.948408e-01	9.954159e-01	8.014814e-02	1.190093e-01
9.948404e-01	1.030970e+00	8.600494e-01	9.099286e-02	1.275800e-01
1.030970e+00	1.067098e+00	7.407446e-01	7.669379e-02	1.143187e-01
1.067100e+00	1.103228e+00	6.393194e-01	7.398904e-02	9.249218e-02
1.103229e+00	1.139358e+00	5.655997e-01	8.397852e-02	6.218938e-02
1.139357e+00	1.175487e+00	4.525239e-01	5.569305e-02	8.365873e-02
1.175487e+00	1.211615e+00	3.857057e-01	3.981787e-02	6.643444e-02
1.211617e+00	1.247745e+00	3.225860e-01	4.925157e-02	5.806637e-02
1.247746e+00	1.283875e+00	2.832888e-01	4.206593e-02	3.462177e-02
1.283874e+00	1.320002e+00	2.236431e-01	2.285676e-02	4.417587e-02
1.320002e+00	1.356131e+00	1.961103e-01	2.813432e-02	2.564801e-02
1.356132e+00	1.392261e+00	1.541342e-01	1.980492e-02	3.043049e-02
1.392261e+00	1.428391e+00	1.299745e-01	1.435223e-02	2.635646e-02
1.428391e+00	1.464519e+00	1.025926e-01	2.861386e-03	2.743115e-02
1.464519e+00	1.500648e+00	9.396432e-02	1.683598e-02	1.450173e-02
1.500649e+00	1.536778e+00	7.447126e-02	1.089216e-02	1.585588e-02
1.536778e+00	1.572906e+00	6.045794e-02	5.361953e-03	1.615923e-02
1.572906e+00	1.609035e+00	5.022057e-02	5.530543e-03	1.016715e-02
1.609036e+00	1.645165e+00	4.661435e-02	7.446733e-03	4.857538e-03
1.645165e+00	1.681293e+00	3.638260e-02	4.795400e-03	8.724183e-03
1.681294e+00	1.717424e+00	2.783404e-02	1.123916e-03	1.337268e-02
1.717423e+00	1.753552e+00	2.464134e-02	4.281978e-03	6.658751e-03
1.753553e+00	1.789682e+00	2.092890e-02	4.137922e-04	5.049976e-03
1.789682e+00	1.825811e+00	1.907514e-02	2.975601e-03	2.837374e-03
1.825812e+00	1.861940e+00	1.655279e-02	3.362354e-03	2.047278e-03
1.861940e+00	1.898069e+00	1.201430e-02	1.035625e-03	3.138368e-03
1.898069e+00	1.934198e+00	1.056831e-02	1.522212e-03	2.845357e-03
1.934198e+00	1.970328e+00	8.956031e-03	6.770191e-04	2.152555e-03
1.970329e+00	2.006458e+00	7.665692e-03	1.766246e-03	1.097800e-03
2.006458e+00	2.042587e+00	6.726469e-03	1.198032e-03	3.610673e-05
2.042585e+00	2.078714e+00	5.778142e-03	1.597863e-03	5.225581e-04
2.078715e+00	2.114844e+00	4.631750e-03	8.412217e-04	1.129298e-03
2.114845e+00	2.150974e+00	3.516964e-03	2.719976e-04	1.214523e-03
2.150972e+00	2.187101e+00	2.837159e-03	2.811514e-04	1.090459e-03
2.187102e+00	2.223231e+00	2.609891e-03	0.000000e+00	7.733416e-04
2.223231e+00	2.259361e+00	2.141608e-03	6.794077e-06	7.341268e-04
2.259362e+00	2.295491e+00	2.277880e-03	7.013324e-04	1.325420e-04
2.295489e+00	2.331618e+00	1.681479e-03	1.005851e-04	4.149547e-04
2.331619e+00	2.367748e+00	1.403016e-03	2.496579e-04	1.417720e-04
2.367749e+00	2.403878e+00	1.185350e-03	0.000000e+00	2.944449e-04
2.403876e+00	2.440005e+00	1.317013e-03	4.558288e-04	0.000000e+00
2.440006e+00	2.476135e+00	6.162412e-04	0.000000e+00	4.648606e-04
2.476135e+00	2.512265e+00	7.059552e-04	1.381317e-05	1.183786e-04
2.512266e+00	2.548395e+00	6.656763e-04	2.627620e-04	3.018157e-05
2.548393e+00	2.584522e+00	2.125049e-05	0.000000e+00	1.129228e-03
2.584523e+00	2.620652e+00	4.515838e-04	0.000000e+00	1.795231e-04
2.620653e+00	2.656782e+00	3.947621e-04	7.858258e-05	1.889369e-05
2.656780e+00	2.692909e+00	2.117757e-04	4.078815e-04	1.223772e-04
2.692910e+00	2.729039e+00	2.643101e-04	0.000000e+00	7.852285e-05
2.729040e+00	2.765169e+00	2.229660e-04	1.589343e-04	7.848936e-05
2.765168e+00	2.801298e+00	2.075921e-04	8.649784e-05	3.542735e-06
2.801297e+00	2.837426e+00	1.950649e-04	8.230931e-05	2.505254e-04
2.837427e+00	2.873556e+00	1.415140e-04	8.859077e-05	0.000000e+00
2.873557e+00	2.909686e+00	1.393183e-04	1.191627e-05	6.997730e-06
2.909686e+00	2.945815e+00	1.042302e-04	0.000000e+00	2.514473e-05
2.945813e+00	2.981942e+00	1.056388e-04	2.597049e-05	0.000000e+00
2.981943e+00	3.018072e+00	1.402057e-04	8.551762e-05	0.000000e+00
3.018072e+00	3.054202e+00	7.195062e-05	1.103177e-05	3.255328e-06
3.054203e+00	3.090332e+00	3.788607e-05	0.000000e+00	9.288328e-06
3.090330e+00	3.126459e+00	4.063182e-05	1.015860e-05	1.132843e-05
3.126460e+00	3.162589e+00	3.434266e-05	0.000000e+00	4.515763e-06
3.162590e+00	3.198719e+00	2.832008e-05	1.287315e-06	1.129359e-05
3.198717e+00	3.234846e+00	2.849185e-05	1.325743e-05	2.181765e-06
3.234847e+00	3.270976e+00	2.377785e-05	1.236405e-05	0.000000e+00
3.270977e+00	3.307106e+00	1.990416e-05	0.000000e+00	1.876658e-05
3.307105e+00	3.343235e+00	2.450622e-05	1.103100e-05	0.000000e+00
3.343234e+00	3.379363e+00	1.279797e-05	3.196031e-06	0.000000e+00
3.379364e+00	3.415493e+00	1.128476e-05	0.000000e+00	6.573520e-06
3.415494e+00	3.451623e+00	1.093060e-05	2.591647e-06	0.000000e+00
3.451621e+00	3.487750e+00	1.175985e-05	5.449293e-06	1.067835e-05
3.487751e+00	3.523880e+00	8.421722e-06	0.000000e+00	1.685408e-06
3.523881e+00	3.560010e+00	3.132099e-06	0.000000e+00	3.301306e-06
3.560009e+00	3.596139e+00	2.405342e-06	1.130815e-06	1.978179e-06
3.596138e+00	3.632267e+00	4.233015e-06	6.758781e-07	0.000000e+00
3.632268e+00	3.668397e+00	2.752791e-06	9.166326e-07	1.072385e-07
3.668398e+00	3.704527e+00	1.454233e-07	0.000000e+00	3.322636e-06
3.704525e+00	3.740654e+00	8.072319e-06	6.178471e-06	0.000000e+00
3.740655e+00	3.776784e+00	3.032356e-06	1.248732e-06	0.000000e+00
3.776785e+00	3.812914e+00	2.108080e-06	2.609613e-06	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/log10_d_23
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	3.475387e+00	4.728183e-01	1.782607e-01
2.361291e-01	2.722583e-01	3.416073e+00	4.801905e-01	1.781302e-01
2.722583e-01	3.083875e-01	3.317248e+00	4.530863e-01	2.117296e-01
3.083874e-01	3.445165e-01	3.211159e+00	4.284884e-01	1.878569e-01
3.445165e-01	3.806457e-01	3.091336e+00	4.010977e-01	1.638591e-01
3.806457e-01	4.167748e-01	2.931714e+00	3.311605e-01	1.687587e-01
4.167748e-01	4.529039e-01	2.793659e+00	3.021872e-01	1.552018e-01
4.529039e-01	4.890331e-01	2.648730e+00	2.508904e-01	1.197043e-01
4.890331e-01	5.251621e-01	2.553442e+00	2.290832e-01	1.204364e-01
5.251623e-01	5.612913e-01	2.503219e+00	1.935531e-01	1.209811e-01
5.612913e-01	5.974205e-01	2.425938e+00	1.355203e-01	6.401719e-02
5.974204e-01	6.335495e-01	2.333107e+00	6.427118e-02	5.040120e-02
6.335497e-01	6.696787e-01	2.248199e+00	3.067583e-02	0.000000e+00
6.696787e-01	7.058079e-01	2.129399e+00	1.048266e-02	3.167023e-02
7.058080e-01	7.419370e-01	2.018311e+00	4.553919e-02	5.779773e-02
7.419370e-01	7.780660e-01	1.879090e+00	5.627043e-02	9.225555e-02
7.780661e-01	8.141953e-01	1.734851e+00	7.691673e-02	1.134312e-01
8.141954e-01	8.503245e-01	1.585793e+00	8.899530e-02	1.443833e-01
8.503244e-01	8.864534e-01	1.424771e+00	8.501734e-02	1.457493e-01
8.864535e-01	9.225827e-01	1.281368e+00	1.002524e-01	1.451795e-01
9.225828e-01	9.587118e-01	1.131131e+00	9.269509e-02	1.360889e-01
9.587118e-01	9.948408e-01	9.890459e-01	8.467164e-02	1.338688e-01
9.948404e-01	1.030970e+00	8.704850e-01	8.439236e-02	1.195167e-01
1.030970e+00	1.067098e+00	7.410327e-01	7.790611e-02	1.114534e-01
1.067100e+00	1.103228e+00	6.317947e-01	6.264414e-02	1.259451e-01
1.103229e+00	1.139358e+00	5.389313e-01	5.734424e-02	9.356694e-02
1.139357e+00	1.175487e+00	4.608314e-01	5.269803e-02	7.194049e-02
1.175487e+00	1.211615e+00	3.845113e-01	4.220931e-02	6.744942e-02
1.211617e+00	1.247745e+00	3.247483e-01	4.079936e-02	5.628553e-02
1.247746e+00	1.283875e+00	2.737591e-01	3.418976e-02	4.781555e-02
1.283874e+00	1.320002e+00	2.255463e-01	2.558208e-02	4.207349e-02
1.320002e+00	1.356131e+00	1.880140e-01	2.158399e-02	3.564887e-02
1.356132e+00	1.392261e+00	1.567302e-01	1.922063e-02	2.785829e-02
1.392261e+00	1.428391e+00	1.311804e-01	1.693402e-02	2.394691e-02
1.428391e+00	1.464519e+00	1.095016e-01	1.376553e-02	1.933898e-02
1.464519e+00	1.500648e+00	9.107789e-02	3.483047e-03	1.874087e-02
1.500649e+00	1.536778e+00	7.579745e-02	9.007501e-03	1.516156e-02
1.536778e+00	1.572906e+00	6.379451e-02	9.952337e-03	1.202400e-02
