# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass
XLabel=$m_{h,j_1j_2}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta m_{h,j_1j_2}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_dijet_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	6.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+02	2.400000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+02	2.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+02	2.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.400000e+02	8.443725e-05	6.109700e-06	3.749650e-06
3.400000e+02	3.600000e+02	5.038490e-04	1.618500e-06	3.013450e-05
3.600000e+02	3.800000e+02	9.416300e-04	3.005200e-05	5.200450e-05
3.800000e+02	4.000000e+02	1.337948e-03	4.861200e-05	6.747600e-05
4.000000e+02	4.200000e+02	1.641676e-03	6.807400e-05	7.421050e-05
4.200000e+02	4.400000e+02	1.782896e-03	5.084100e-05	1.359700e-04
4.400000e+02	4.600000e+02	1.950805e-03	8.339050e-05	7.345000e-05
4.600000e+02	4.800000e+02	2.041578e-03	1.051810e-04	9.522200e-05
4.800000e+02	5.000000e+02	2.097236e-03	7.951300e-05	8.599650e-05
5.000000e+02	5.200000e+02	2.109993e-03	9.027250e-05	6.381550e-05
5.200000e+02	5.400000e+02	2.131601e-03	9.379650e-05	7.321150e-05
5.400000e+02	5.600000e+02	2.074633e-03	7.493500e-05	1.168285e-04
5.600000e+02	5.800000e+02	2.079623e-03	7.839200e-05	7.853650e-05
5.800000e+02	6.000000e+02	2.063397e-03	4.458350e-05	8.679300e-05
6.000000e+02	6.200000e+02	2.023731e-03	1.103050e-04	6.159950e-05
6.200000e+02	6.400000e+02	1.968460e-03	4.113750e-05	6.213700e-05
6.400000e+02	6.600000e+02	1.938319e-03	4.285500e-06	3.910550e-05
6.600000e+02	6.800000e+02	1.930872e-03	1.542410e-04	7.320500e-06
6.800000e+02	7.000000e+02	1.856152e-03	9.169600e-05	6.088550e-05
7.000000e+02	7.200000e+02	1.808642e-03	8.632400e-05	6.475300e-05
7.200000e+02	7.400000e+02	1.736637e-03	6.249350e-05	6.190900e-05
7.400000e+02	7.600000e+02	1.727796e-03	4.381550e-05	3.444550e-05
7.600000e+02	7.800000e+02	1.728229e-03	1.266700e-04	0.000000e+00
7.800000e+02	8.000000e+02	1.707911e-03	1.243375e-04	0.000000e+00
8.000000e+02	8.200000e+02	1.522315e-03	5.032300e-05	1.007215e-04
8.200000e+02	8.400000e+02	1.543919e-03	7.525550e-05	2.140550e-05
8.400000e+02	8.600000e+02	1.498367e-03	8.790300e-05	2.090050e-05
8.600000e+02	8.800000e+02	1.437792e-03	6.229150e-05	3.417150e-05
8.800000e+02	9.000000e+02	1.392775e-03	5.709550e-05	4.274300e-05
9.000000e+02	9.200000e+02	1.344486e-03	1.550800e-05	5.219100e-05
9.200000e+02	9.400000e+02	1.314315e-03	7.279150e-05	5.241450e-05
9.400000e+02	9.600000e+02	1.277454e-03	5.864350e-05	4.244900e-05
9.600000e+02	9.800000e+02	1.234150e-03	3.854200e-05	2.033000e-05
9.800000e+02	1.000000e+03	1.202885e-03	4.908700e-05	2.431750e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_dijet_mass
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
