# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
#RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
XLabel=$\Delta y_{h,j_1j_2}$ 
LegendAlign=r
XMax=6
YLabel=$ \text{d} \sigma/ \text{d}  \Delta y_{h,j_1j_2}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltay_H_jj
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.200000e-01	1.372311e+00	4.875938e-02	5.755719e-02
3.200000e-01	6.400000e-01	1.273218e+00	8.386750e-02	3.452500e-02
6.400000e-01	9.600000e-01	1.066436e+00	5.497281e-02	2.445406e-02
9.600000e-01	1.280000e+00	8.145578e-01	2.915531e-02	2.103281e-02
1.280000e+00	1.600000e+00	5.798828e-01	2.393469e-02	1.758625e-02
1.600000e+00	1.920000e+00	3.803403e-01	1.190562e-02	7.039688e-03
1.920000e+00	2.240000e+00	2.303721e-01	5.468844e-03	1.246062e-03
2.240000e+00	2.560000e+00	1.305062e-01	1.128156e-03	2.239063e-04
2.560000e+00	2.880000e+00	6.870472e-02	0.000000e+00	1.170781e-03
2.880000e+00	3.200000e+00	3.414853e-02	7.446875e-04	7.500937e-04
3.200000e+00	3.520000e+00	1.577549e-02	7.690656e-04	1.148266e-03
3.520000e+00	3.840000e+00	6.960716e-03	1.733344e-04	7.547969e-04
3.840000e+00	4.160000e+00	3.679703e-03	5.022937e-04	0.000000e+00
4.160000e+00	4.480000e+00	1.807454e-03	4.248519e-04	9.843500e-05
4.480000e+00	4.800000e+00	6.311578e-04	3.964526e-04	1.324403e-04
4.800000e+00	5.120000e+00	3.176628e-04	3.968216e-05	4.803281e-05
5.120000e+00	5.440000e+00	1.592764e-04	1.960975e-05	1.720844e-06
5.440000e+00	5.760000e+00	5.887744e-05	8.424438e-06	2.283750e-06
5.760000e+00	6.080000e+00	2.289421e-05	7.047759e-06	0.000000e+00
6.080000e+00	6.400000e+00	5.071678e-06	1.902353e-06	1.472184e-06
6.400000e+00	6.720000e+00	2.882724e-07	0.000000e+00	1.514873e-06
6.720000e+00	7.040000e+00	1.095657e-07	0.000000e+00	9.318450e-08
7.040000e+00	7.360000e+00	2.277294e-08	1.756096e-08	1.404450e-09
7.360000e+00	7.680000e+00	4.576463e-09	9.256469e-09	0.000000e+00
7.680000e+00	8.000000e+00	9.374834e-13	1.678651e-11	4.663906e-13
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_H_jj
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.200000e-01	1.378011e+00	6.572781e-02	5.585875e-02
3.200000e-01	6.400000e-01	1.259339e+00	6.149563e-02	4.930313e-02
6.400000e-01	9.600000e-01	1.054400e+00	4.828250e-02	4.225000e-02
9.600000e-01	1.280000e+00	8.130684e-01	3.608750e-02	2.548312e-02
1.280000e+00	1.600000e+00	5.755387e-01	1.948594e-02	1.620031e-02
1.600000e+00	1.920000e+00	3.774922e-01	1.156469e-02	6.809375e-03
1.920000e+00	2.240000e+00	2.282350e-01	4.687875e-03	3.657219e-03
2.240000e+00	2.560000e+00	1.292327e-01	1.746844e-03	0.000000e+00
2.560000e+00	2.880000e+00	6.766916e-02	3.186875e-04	6.876563e-04
2.880000e+00	3.200000e+00	3.336400e-02	8.595937e-04	9.003125e-04
3.200000e+00	3.520000e+00	1.556149e-02	5.643312e-04	9.736094e-04
3.520000e+00	3.840000e+00	7.213884e-03	6.391656e-04	1.070913e-03
3.840000e+00	4.160000e+00	3.041577e-03	2.046656e-04	7.052700e-04
4.160000e+00	4.480000e+00	1.447107e-03	2.136128e-04	3.318659e-04
4.480000e+00	4.800000e+00	6.735088e-04	1.051856e-04	1.985572e-04
4.800000e+00	5.120000e+00	3.025287e-04	5.350759e-05	7.942409e-05
5.120000e+00	5.440000e+00	1.266944e-04	2.871869e-05	4.151972e-05
5.440000e+00	5.760000e+00	5.201259e-05	7.694438e-06	1.702906e-05
5.760000e+00	6.080000e+00	1.534526e-05	2.006425e-06	9.688734e-06
6.080000e+00	6.400000e+00	6.333950e-06	3.239511e-06	4.296500e-07
6.400000e+00	6.720000e+00	1.002909e-06	9.434406e-08	0.000000e+00
