# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj
XLabel=$\Delta y_{j_1j_2}$ 
LegendAlign=r
XMax=9
YLabel=$ \text{d} \sigma/ \text{d}  \Delta y_{j_1j_2}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltay_jj
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	8.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.200000e+00	5.327160e-02	1.581050e-03	3.193400e-03
1.200000e+00	1.400000e+00	7.052155e-02	1.333210e-02	0.000000e+00
1.400000e+00	1.600000e+00	7.036890e-02	0.000000e+00	2.822450e-03
1.600000e+00	1.800000e+00	8.214700e-02	0.000000e+00	3.816550e-03
1.800000e+00	2.000000e+00	1.077201e-01	5.468350e-03	0.000000e+00
2.000000e+00	2.200000e+00	1.358781e-01	5.039300e-03	6.006400e-03
2.200000e+00	2.400000e+00	1.656781e-01	4.341450e-03	5.146950e-03
2.400000e+00	2.600000e+00	2.099921e-01	1.349635e-02	3.142800e-03
2.600000e+00	2.800000e+00	2.530937e-01	1.245885e-02	4.466850e-03
2.800000e+00	3.000000e+00	3.072747e-01	1.873795e-02	7.876150e-03
3.000000e+00	3.200000e+00	3.510980e-01	7.424450e-03	1.473765e-02
3.200000e+00	3.400000e+00	4.018396e-01	3.977240e-02	1.202145e-02
3.400000e+00	3.600000e+00	4.362895e-01	4.550050e-03	1.613325e-02
3.600000e+00	3.800000e+00	4.663041e-01	2.291680e-02	1.798535e-02
3.800000e+00	4.000000e+00	4.833655e-01	2.151415e-02	2.012850e-02
4.000000e+00	4.200000e+00	4.877893e-01	1.929680e-02	2.533520e-02
4.200000e+00	4.400000e+00	4.997970e-01	3.323815e-02	1.765050e-02
4.400000e+00	4.600000e+00	4.896347e-01	2.376345e-02	2.382680e-02
4.600000e+00	4.800000e+00	4.821228e-01	2.362210e-02	1.569770e-02
4.800000e+00	5.000000e+00	4.657480e-01	1.735360e-02	1.887495e-02
5.000000e+00	5.200000e+00	4.438613e-01	1.355675e-02	1.794125e-02
5.200000e+00	5.400000e+00	4.276427e-01	2.739135e-02	8.148100e-03
5.400000e+00	5.600000e+00	3.911474e-01	1.866785e-02	1.456940e-02
5.600000e+00	5.800000e+00	3.701312e-01	1.832995e-02	1.237000e-04
5.800000e+00	6.000000e+00	3.294367e-01	1.327095e-02	6.323450e-03
6.000000e+00	6.200000e+00	2.938244e-01	4.836250e-03	3.984200e-03
6.200000e+00	6.400000e+00	2.569367e-01	9.107350e-03	4.485600e-03
6.400000e+00	6.600000e+00	2.230501e-01	8.236900e-03	3.926250e-03
6.600000e+00	6.800000e+00	1.898965e-01	6.650850e-03	1.472200e-03
6.800000e+00	7.000000e+00	1.577877e-01	5.494100e-03	1.037250e-03
7.000000e+00	7.200000e+00	1.282247e-01	5.408100e-03	6.672000e-04
7.200000e+00	7.400000e+00	1.011081e-01	2.364050e-03	9.469500e-04
7.400000e+00	7.600000e+00	7.842040e-02	2.510750e-03	0.000000e+00
7.600000e+00	7.800000e+00	5.731020e-02	1.024800e-03	1.882000e-04
7.800000e+00	8.000000e+00	4.057144e-02	2.911200e-04	0.000000e+00
8.000000e+00	8.200000e+00	2.720581e-02	3.559500e-04	0.000000e+00
8.200000e+00	8.400000e+00	1.674589e-02	6.738000e-05	0.000000e+00
8.400000e+00	8.600000e+00	9.368005e-03	1.488150e-04	0.000000e+00
8.600000e+00	8.800000e+00	4.158784e-03	1.645300e-05	6.799600e-05
8.800000e+00	9.000000e+00	1.068955e-03	5.162500e-05	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltay_jj
