# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
#RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
XLabel=$\theta_{j1,j3}$ $(rad/\pi)$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} \theta_{j1,j3}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j1j3_pullangle
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.665264e-01	6.377880e-02	0.000000e+00
5.000000e-02	1.000000e-01	4.696410e-01	2.552600e-02	0.000000e+00
1.000000e-01	1.500000e-01	4.835218e-01	2.105320e-02	1.501480e-02
1.500000e-01	2.000000e-01	4.545778e-01	0.000000e+00	2.782700e-02
2.000000e-01	2.500000e-01	4.506516e-01	0.000000e+00	6.388800e-03
2.500000e-01	3.000000e-01	4.329052e-01	2.174340e-02	1.643380e-02
3.000000e-01	3.500000e-01	4.100864e-01	2.201640e-02	1.714560e-02
3.500000e-01	4.000000e-01	4.038598e-01	1.363580e-02	1.777340e-02
4.000000e-01	4.500000e-01	3.978330e-01	8.376000e-04	2.214160e-02
4.500000e-01	5.000000e-01	4.104394e-01	1.443200e-03	8.443000e-03
5.000000e-01	5.500000e-01	4.231566e-01	1.445360e-02	1.761620e-02
5.500000e-01	6.000000e-01	4.393272e-01	4.771520e-02	0.000000e+00
6.000000e-01	6.500000e-01	3.980066e-01	1.831140e-02	1.343400e-02
6.500000e-01	7.000000e-01	4.022110e-01	2.284000e-02	6.293200e-03
7.000000e-01	7.500000e-01	4.197930e-01	2.115260e-02	3.952800e-03
7.500000e-01	8.000000e-01	4.351746e-01	0.000000e+00	2.091920e-02
8.000000e-01	8.500000e-01	4.458672e-01	1.832600e-03	4.614400e-03
8.500000e-01	9.000000e-01	4.550424e-01	1.256380e-02	0.000000e+00
9.000000e-01	9.500000e-01	4.260194e-01	8.085800e-03	1.786080e-02
9.500000e-01	1.000000e+00	4.409552e-01	1.867560e-02	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.477014e-01	2.868940e-02	3.346760e-02
5.000000e-02	1.000000e-01	4.485438e-01	2.665400e-02	3.512700e-02
1.000000e-01	1.500000e-01	4.572128e-01	2.593300e-02	3.042700e-02
1.500000e-01	2.000000e-01	4.572814e-01	1.938820e-02	2.946280e-02
2.000000e-01	2.500000e-01	4.505206e-01	2.965500e-02	1.935480e-02
2.500000e-01	3.000000e-01	4.180150e-01	2.561940e-02	3.599900e-02
3.000000e-01	3.500000e-01	4.049292e-01	3.628440e-02	3.063100e-02
3.500000e-01	4.000000e-01	3.919238e-01	3.398500e-02	4.646680e-02
4.000000e-01	4.500000e-01	3.984550e-01	3.225100e-02	3.628040e-02
4.500000e-01	5.000000e-01	4.073574e-01	2.683000e-02	2.693560e-02
5.000000e-01	5.500000e-01	4.093742e-01	2.591240e-02	2.203900e-02
5.500000e-01	6.000000e-01	3.940156e-01	2.961240e-02	3.245080e-02
6.000000e-01	6.500000e-01	3.890054e-01	3.682760e-02	5.320580e-02
6.500000e-01	7.000000e-01	3.989272e-01	3.725840e-02	3.103880e-02
7.000000e-01	7.500000e-01	4.063332e-01	2.422300e-02	2.929220e-02
7.500000e-01	8.000000e-01	4.299838e-01	2.143400e-02	2.757980e-02
8.000000e-01	8.500000e-01	4.427636e-01	1.852380e-02	2.367240e-02
8.500000e-01	9.000000e-01	4.345046e-01	2.268120e-02	2.637640e-02
9.000000e-01	9.500000e-01	4.231996e-01	2.281280e-02	3.124140e-02
9.500000e-01	1.000000e+00	4.263202e-01	2.441120e-02	2.750180e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j1j3_pullangle
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
