# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
XLabel=$m_{j_3j_4}$ (GeV)
LegendAlign=r
XMax=200
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_3j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j3j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	8.090645e-06	4.929425e-07	1.546600e-07
1.200000e+01	1.600000e+01	1.669476e-04	0.000000e+00	1.761042e-05
1.600000e+01	2.000000e+01	3.897575e-04	0.000000e+00	8.992075e-05
2.000000e+01	2.400000e+01	4.997998e-04	3.817800e-05	1.012825e-04
2.400000e+01	2.800000e+01	6.259787e-04	1.025460e-04	6.006650e-05
2.800000e+01	3.200000e+01	5.019640e-04	2.819775e-05	1.485120e-04
3.200000e+01	3.600000e+01	5.276570e-04	7.495425e-05	4.642025e-05
3.600000e+01	4.000000e+01	4.808200e-04	1.176000e-05	1.082290e-04
4.000000e+01	4.400000e+01	5.079525e-04	5.605050e-05	1.417350e-05
4.400000e+01	4.800000e+01	5.310875e-04	5.340425e-05	2.041475e-05
4.800000e+01	5.200000e+01	5.446738e-04	7.492900e-05	9.371900e-05
5.200000e+01	5.600000e+01	6.049587e-04	6.663200e-05	2.377375e-05
5.600000e+01	6.000000e+01	6.356745e-04	1.175480e-04	7.305350e-05
6.000000e+01	6.400000e+01	6.194498e-04	2.143200e-05	4.598327e-04
6.400000e+01	6.800000e+01	7.338063e-04	1.112305e-04	8.515300e-05
6.800000e+01	7.200000e+01	7.346018e-04	9.150375e-05	9.414575e-05
7.200000e+01	7.600000e+01	6.753030e-04	6.697500e-06	2.427412e-04
7.600000e+01	8.000000e+01	8.099050e-04	1.023925e-04	0.000000e+00
8.000000e+01	8.400000e+01	7.147587e-04	6.288225e-05	0.000000e+00
8.400000e+01	8.800000e+01	5.745140e-04	7.077675e-05	1.610925e-04
8.800000e+01	9.200000e+01	5.294312e-04	3.552550e-05	3.500300e-05
9.200000e+01	9.600000e+01	4.794940e-04	5.779800e-05	2.970275e-05
9.600000e+01	1.000000e+02	3.934312e-04	0.000000e+00	2.621300e-05
1.000000e+02	1.040000e+02	3.693565e-04	1.803325e-05	8.607400e-05
1.040000e+02	1.080000e+02	3.664650e-04	3.890350e-05	2.938275e-05
1.080000e+02	1.120000e+02	3.781735e-04	7.622325e-05	4.931750e-06
1.120000e+02	1.160000e+02	3.492090e-04	4.403000e-05	3.750000e-09
1.160000e+02	1.200000e+02	3.287533e-04	4.040325e-05	1.290575e-05
1.200000e+02	1.240000e+02	3.017110e-04	4.124525e-05	4.553750e-05
1.240000e+02	1.280000e+02	3.097578e-04	6.503032e-05	0.000000e+00
1.280000e+02	1.320000e+02	2.543482e-04	5.479425e-05	5.270275e-05
1.320000e+02	1.360000e+02	2.458138e-04	1.325955e-05	1.376400e-06
1.360000e+02	1.400000e+02	2.375691e-04	0.000000e+00	4.772663e-05
1.400000e+02	1.440000e+02	2.107595e-04	1.675733e-05	5.302303e-05
1.440000e+02	1.480000e+02	2.308563e-04	4.235960e-05	1.177050e-05
1.480000e+02	1.520000e+02	3.339335e-04	1.633294e-04	0.000000e+00
1.520000e+02	1.560000e+02	1.998286e-04	1.879627e-05	4.018017e-05
1.560000e+02	1.600000e+02	1.963752e-04	7.511450e-06	5.582325e-06
1.600000e+02	1.640000e+02	1.915179e-04	2.204788e-05	8.591650e-06
1.640000e+02	1.680000e+02	1.888843e-04	4.868820e-05	0.000000e+00
1.680000e+02	1.720000e+02	1.612661e-04	5.391350e-06	0.000000e+00
1.720000e+02	1.760000e+02	1.532680e-04	1.616213e-05	1.846782e-05
1.760000e+02	1.800000e+02	1.277481e-04	0.000000e+00	4.334018e-05
1.800000e+02	1.840000e+02	1.443203e-04	1.672737e-05	3.776370e-05
1.840000e+02	1.880000e+02	1.424837e-04	0.000000e+00	8.603675e-06
1.880000e+02	1.920000e+02	1.456276e-04	2.641425e-05	1.838657e-05
1.920000e+02	1.960000e+02	1.178461e-04	3.421525e-06	4.054350e-05
1.960000e+02	2.000000e+02	1.129657e-04	0.000000e+00	2.395097e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	6.834718e-06	0.000000e+00	1.858080e-06
1.200000e+01	1.600000e+01	1.600985e-04	4.645500e-07	3.292478e-04
1.600000e+01	2.000000e+01	3.888225e-04	2.231100e-05	6.646450e-05
2.000000e+01	2.400000e+01	5.169858e-04	6.098125e-05	1.085702e-04
2.400000e+01	2.800000e+01	5.525115e-04	6.927425e-05	1.105683e-04
2.800000e+01	3.200000e+01	5.552925e-04	8.861750e-05	1.069727e-04
3.200000e+01	3.600000e+01	5.296448e-04	7.646625e-05	9.507400e-05
3.600000e+01	4.000000e+01	5.249097e-04	8.292125e-05	2.726850e-05
4.000000e+01	4.400000e+01	5.196827e-04	8.105625e-05	8.541350e-05
4.400000e+01	4.800000e+01	5.268637e-04	8.012400e-05	9.166700e-05
4.800000e+01	5.200000e+01	5.390943e-04	6.585300e-05	1.338345e-04
5.200000e+01	5.600000e+01	5.828947e-04	6.817750e-05	1.272048e-04
5.600000e+01	6.000000e+01	6.195495e-04	8.242425e-05	1.085370e-04
6.000000e+01	6.400000e+01	6.784615e-04	1.224172e-04	1.001670e-04
6.400000e+01	6.800000e+01	6.829197e-04	9.870675e-05	1.187272e-04
6.800000e+01	7.200000e+01	6.958135e-04	1.057955e-04	1.265560e-04
7.200000e+01	7.600000e+01	7.211332e-04	1.143207e-04	1.164225e-04
7.600000e+01	8.000000e+01	7.152170e-04	9.229950e-05	1.181885e-04
8.000000e+01	8.400000e+01	6.386808e-04	6.756100e-05	8.971925e-05
8.400000e+01	8.800000e+01	5.548070e-04	6.404425e-05	1.038500e-04
8.800000e+01	9.200000e+01	5.285975e-04	5.244300e-05	8.090450e-05
9.200000e+01	9.600000e+01	4.737705e-04	7.187825e-05	6.116075e-05
9.600000e+01	1.000000e+02	4.387117e-04	6.765025e-05	5.622725e-05
1.000000e+02	1.040000e+02	3.917750e-04	6.081975e-05	7.168750e-05
1.040000e+02	1.080000e+02	3.768450e-04	6.269375e-05	4.351825e-05
1.080000e+02	1.120000e+02	3.329910e-04	3.954825e-05	8.770425e-05
1.120000e+02	1.160000e+02	3.279902e-04	4.849275e-05	5.375450e-05
