# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl
XLabel=$p_{T,j_1}^{incl}$ (GeV)
LegendAlign=r
XMax=400
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1}^{incl}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet1_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	9.301036e-04	2.364340e-05	3.977040e-05
3.000000e+01	4.000000e+01	7.853361e-03	1.780000e-06	6.567000e-06
4.000000e+01	5.000000e+01	1.479918e-02	2.091200e-04	2.245000e-04
5.000000e+01	6.000000e+01	1.887680e-02	4.117100e-04	5.992200e-04
6.000000e+01	7.000000e+01	2.037660e-02	8.038200e-04	5.351900e-04
7.000000e+01	8.000000e+01	1.973000e-02	9.822200e-04	4.450600e-04
8.000000e+01	9.000000e+01	1.769799e-02	7.924700e-04	7.111200e-04
9.000000e+01	1.000000e+02	1.546558e-02	8.550700e-04	5.262600e-04
1.000000e+02	1.100000e+02	1.325846e-02	8.470100e-04	2.651300e-04
1.100000e+02	1.200000e+02	1.088834e-02	5.021700e-04	2.612400e-04
1.200000e+02	1.300000e+02	8.944449e-03	5.498110e-04	4.035210e-04
1.300000e+02	1.400000e+02	7.317959e-03	2.439390e-04	4.250020e-04
1.400000e+02	1.500000e+02	6.025383e-03	3.186880e-04	2.289510e-04
1.500000e+02	1.600000e+02	4.875232e-03	2.212440e-04	1.575880e-04
1.600000e+02	1.700000e+02	4.002969e-03	2.138250e-04	1.446360e-04
1.700000e+02	1.800000e+02	3.252329e-03	1.150980e-04	3.865900e-05
1.800000e+02	1.900000e+02	2.858707e-03	3.389000e-04	0.000000e+00
1.900000e+02	2.000000e+02	2.218842e-03	1.312610e-04	9.356800e-05
2.000000e+02	2.100000e+02	1.765446e-03	6.073700e-05	3.461800e-05
2.100000e+02	2.200000e+02	1.498795e-03	3.721200e-05	3.213400e-05
2.200000e+02	2.300000e+02	1.246561e-03	3.546800e-05	4.198600e-05
2.300000e+02	2.400000e+02	1.086920e-03	5.763300e-05	0.000000e+00
2.400000e+02	2.500000e+02	8.944687e-04	4.214110e-05	0.000000e+00
2.500000e+02	2.600000e+02	7.315047e-04	1.854010e-05	7.449000e-06
2.600000e+02	2.700000e+02	6.361766e-04	3.144750e-05	5.740000e-07
2.700000e+02	2.800000e+02	5.323382e-04	3.928430e-05	1.030790e-05
2.800000e+02	2.900000e+02	4.546674e-04	0.000000e+00	9.890000e-06
2.900000e+02	3.000000e+02	3.942669e-04	2.819760e-05	0.000000e+00
3.000000e+02	3.100000e+02	3.268357e-04	1.525780e-05	2.588870e-05
3.100000e+02	3.200000e+02	2.720542e-04	0.000000e+00	1.415910e-05
3.200000e+02	3.300000e+02	2.586581e-04	2.873600e-05	0.000000e+00
3.300000e+02	3.400000e+02	2.162704e-04	1.542560e-05	0.000000e+00
3.400000e+02	3.500000e+02	1.916917e-04	7.559900e-06	0.000000e+00
3.500000e+02	3.600000e+02	1.622699e-04	0.000000e+00	3.066530e-05
3.600000e+02	3.700000e+02	1.430024e-04	7.528000e-06	3.696000e-06
3.700000e+02	3.800000e+02	1.222256e-04	4.817700e-06	5.045600e-06
3.800000e+02	3.900000e+02	1.080553e-04	0.000000e+00	1.262730e-05
3.900000e+02	4.000000e+02	1.075954e-04	2.280573e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	9.297923e-04	1.264550e-05	7.144670e-05
3.000000e+01	4.000000e+01	7.840393e-03	2.761300e-05	9.986600e-05
4.000000e+01	5.000000e+01	1.476895e-02	1.434100e-04	2.105400e-04
5.000000e+01	6.000000e+01	1.904854e-02	4.315400e-04	3.885000e-04
6.000000e+01	7.000000e+01	2.025742e-02	6.879200e-04	6.238800e-04
7.000000e+01	8.000000e+01	1.953082e-02	8.903100e-04	6.325700e-04
8.000000e+01	9.000000e+01	1.770136e-02	9.416000e-04	6.774200e-04
9.000000e+01	1.000000e+02	1.536091e-02	8.586200e-04	6.097800e-04
1.000000e+02	1.100000e+02	1.297534e-02	6.608900e-04	5.512900e-04
1.100000e+02	1.200000e+02	1.080745e-02	5.841700e-04	4.741200e-04
1.200000e+02	1.300000e+02	8.914879e-03	5.016110e-04	3.673030e-04
1.300000e+02	1.400000e+02	7.278168e-03	4.093290e-04	3.131560e-04
1.400000e+02	1.500000e+02	5.950761e-03	3.428630e-04	2.636270e-04
1.500000e+02	1.600000e+02	4.844418e-03	2.769150e-04	2.190250e-04
1.600000e+02	1.700000e+02	3.965189e-03	2.279690e-04	1.869910e-04
1.700000e+02	1.800000e+02	3.252514e-03	1.643310e-04	1.481240e-04
1.800000e+02	1.900000e+02	2.658257e-03	1.315050e-04	1.105330e-04
1.900000e+02	2.000000e+02	2.197943e-03	1.215600e-04	8.850600e-05
2.000000e+02	2.100000e+02	1.819446e-03	1.211230e-04	7.631600e-05
2.100000e+02	2.200000e+02	1.504602e-03	8.812200e-05	6.190400e-05
2.200000e+02	2.300000e+02	1.251683e-03	6.765200e-05	4.830400e-05
2.300000e+02	2.400000e+02	1.038587e-03	4.020670e-05	4.812100e-05
2.400000e+02	2.500000e+02	8.784708e-04	5.566670e-05	4.190430e-05
2.500000e+02	2.600000e+02	7.323383e-04	2.647930e-05	4.787120e-05
2.600000e+02	2.700000e+02	6.374295e-04	5.040900e-05	7.133200e-06
2.700000e+02	2.800000e+02	5.326091e-04	3.368730e-05	1.273530e-05
2.800000e+02	2.900000e+02	4.488817e-04	2.099150e-05	1.686130e-05
2.900000e+02	3.000000e+02	3.869008e-04	2.020600e-05	1.420320e-05
3.000000e+02	3.100000e+02	3.306127e-04	2.485580e-05	5.211600e-06
3.100000e+02	3.200000e+02	2.802528e-04	5.365200e-06	1.389990e-05
3.200000e+02	3.300000e+02	2.444646e-04	8.707500e-06	8.972300e-06
3.300000e+02	3.400000e+02	2.073738e-04	1.221420e-05	1.631990e-05
3.400000e+02	3.500000e+02	1.811309e-04	6.646300e-06	5.074600e-06
3.500000e+02	3.600000e+02	1.591704e-04	6.378100e-06	7.339100e-06
3.600000e+02	3.700000e+02	1.421258e-04	8.826900e-06	3.742000e-06
3.700000e+02	3.800000e+02	1.200625e-04	0.000000e+00	3.721300e-06
3.800000e+02	3.900000e+02	1.101777e-04	2.648000e-07	1.193280e-05
3.900000e+02	4.000000e+02	9.826233e-05	1.918360e-06	4.854200e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet1_pT_incl
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	9.703637e-04	4.902810e-05	6.000530e-05
