# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=3.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_3}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_3}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.399469e-01	1.960900e-02	3.872460e-02
1.000000e+00	2.000000e+00	2.216546e-02	1.239650e-03	3.524150e-03
2.000000e+00	3.000000e+00	1.718469e-02	3.551260e-03	0.000000e+00
3.000000e+00	4.000000e+00	4.871220e-02	5.056690e-03	0.000000e+00
4.000000e+00	5.000000e+00	5.582247e-02	7.579480e-03	2.892870e-03
5.000000e+00	6.000000e+00	4.502196e-02	8.693600e-03	6.095310e-03
6.000000e+00	7.000000e+00	3.172186e-02	7.970290e-03	5.039670e-03
7.000000e+00	8.000000e+00	2.170060e-02	6.553240e-03	3.237730e-03
8.000000e+00	9.000000e+00	1.332547e-02	3.584107e-03	0.000000e+00
9.000000e+00	1.000000e+01	9.295803e-03	2.909833e-03	2.371247e-03
1.000000e+01	1.100000e+01	6.496600e-03	1.837784e-03	1.937824e-03
1.100000e+01	1.200000e+01	5.070036e-03	1.680576e-03	1.262608e-03
1.200000e+01	1.300000e+01	3.763980e-03	1.126537e-03	1.118500e-03
1.300000e+01	1.400000e+01	3.086538e-03	1.138137e-03	8.730970e-04
1.400000e+01	1.500000e+01	2.291886e-03	8.568230e-04	6.049430e-04
1.500000e+01	1.600000e+01	1.737142e-03	6.217410e-04	4.308500e-04
1.600000e+01	1.700000e+01	1.392379e-03	5.571507e-04	2.408850e-04
1.700000e+01	1.800000e+01	1.034973e-03	4.070537e-04	6.346660e-04
1.800000e+01	1.900000e+01	6.917310e-04	1.281595e-04	4.731350e-04
1.900000e+01	2.000000e+01	5.614105e-04	2.301515e-04	2.435521e-04
2.000000e+01	2.100000e+01	5.527607e-04	2.953332e-04	1.223145e-04
2.100000e+01	2.200000e+01	3.928627e-04	1.825662e-04	1.537729e-04
2.200000e+01	2.300000e+01	2.638036e-04	1.034338e-04	1.337545e-04
2.300000e+01	2.400000e+01	2.392340e-04	1.467412e-04	1.274344e-04
2.400000e+01	2.500000e+01	1.614727e-04	7.658835e-05	1.114172e-04
2.500000e+01	2.600000e+01	1.230049e-04	5.021545e-05	9.244200e-05
2.600000e+01	2.700000e+01	9.506672e-05	4.226000e-05	6.023618e-05
2.700000e+01	2.800000e+01	7.442768e-05	2.762306e-05	1.408729e-05
2.800000e+01	2.900000e+01	8.275612e-05	4.884680e-05	5.650910e-06
2.900000e+01	3.000000e+01	4.256897e-05	1.598783e-05	1.805449e-05
3.000000e+01	3.100000e+01	5.367191e-05	3.309683e-05	3.572240e-06
3.100000e+01	3.200000e+01	3.368175e-05	1.319970e-05	8.637340e-06
3.200000e+01	3.300000e+01	2.016707e-05	1.001091e-05	2.425302e-05
3.300000e+01	3.400000e+01	1.968960e-05	9.348930e-06	3.410136e-05
3.400000e+01	3.500000e+01	1.525539e-05	0.000000e+00	1.095940e-05
3.500000e+01	3.600000e+01	1.060087e-05	3.369964e-06	1.274358e-05
3.600000e+01	3.700000e+01	9.869149e-06	4.509006e-06	4.602481e-06
3.700000e+01	3.800000e+01	4.896073e-06	3.965000e-09	7.810997e-06
3.800000e+01	3.900000e+01	1.055669e-05	7.275746e-06	2.314140e-06
3.900000e+01	4.000000e+01	6.883466e-06	5.002980e-06	5.911784e-06
4.000000e+01	4.100000e+01	5.906984e-06	2.067084e-06	4.427836e-06
4.100000e+01	4.200000e+01	4.617443e-06	2.299937e-06	9.717730e-07
4.200000e+01	4.300000e+01	4.056690e-06	2.299323e-06	2.296313e-06
4.300000e+01	4.400000e+01	3.393943e-06	7.540275e-06	3.154827e-06
4.400000e+01	4.500000e+01	2.543018e-06	1.059510e-06	1.440570e-06
4.500000e+01	4.600000e+01	1.630431e-06	6.515591e-07	2.270586e-06
4.600000e+01	4.700000e+01	2.014458e-06	1.103487e-06	2.310739e-06
4.700000e+01	4.800000e+01	1.847300e-06	5.308210e-07	1.310101e-06
4.800000e+01	4.900000e+01	1.488713e-06	7.682066e-07	6.511500e-07
4.900000e+01	5.000000e+01	2.264511e-06	1.645629e-06	0.000000e+00
5.000000e+01	5.100000e+01	1.034660e-06	4.106357e-07	1.724738e-06
5.100000e+01	5.200000e+01	7.950884e-07	2.390361e-07	1.637656e-06
5.200000e+01	5.300000e+01	1.072184e-06	5.360097e-07	4.715570e-07
5.300000e+01	5.400000e+01	6.410358e-07	2.090512e-07	9.635232e-07
5.400000e+01	5.500000e+01	8.894111e-07	6.941332e-07	2.550259e-07
5.500000e+01	5.600000e+01	6.342097e-07	3.481961e-07	8.725543e-07
5.600000e+01	5.700000e+01	5.722514e-07	2.125746e-07	3.160878e-07
5.700000e+01	5.800000e+01	5.615330e-07	3.619168e-07	4.170805e-07
5.800000e+01	5.900000e+01	3.365548e-07	0.000000e+00	3.765408e-07
5.900000e+01	6.000000e+01	3.078328e-07	1.591680e-08	2.888403e-07
6.000000e+01	6.100000e+01	3.317881e-07	2.679960e-08	4.896757e-07
6.100000e+01	6.200000e+01	1.213377e-07	0.000000e+00	2.654629e-07
6.200000e+01	6.300000e+01	3.265049e-07	1.358743e-07	1.314302e-07
6.300000e+01	6.400000e+01	2.780003e-07	1.168944e-07	2.224114e-07
6.400000e+01	6.500000e+01	1.873722e-07	8.701480e-08	1.795540e-07
6.500000e+01	6.600000e+01	2.275287e-07	1.814580e-07	1.415923e-07
6.600000e+01	6.700000e+01	2.177733e-07	1.453283e-07	3.084364e-07
6.700000e+01	6.800000e+01	1.666231e-07	8.676914e-08	1.169055e-07
6.800000e+01	6.900000e+01	1.161461e-07	1.731477e-08	1.576771e-07
6.900000e+01	7.000000e+01	1.164899e-07	5.195627e-08	1.369140e-07
7.000000e+01	7.100000e+01	1.869852e-07	7.953950e-08	9.005000e-09
7.100000e+01	7.200000e+01	1.317773e-07	4.334089e-08	1.547160e-07
7.200000e+01	7.300000e+01	1.739774e-07	5.883630e-08	9.072570e-08
7.300000e+01	7.400000e+01	1.328718e-07	7.314663e-08	9.808730e-08
7.400000e+01	7.500000e+01	1.643909e-07	7.066527e-08	1.200990e-07
7.500000e+01	7.600000e+01	1.250242e-07	3.483141e-08	1.228220e-07
7.600000e+01	7.700000e+01	2.213111e-07	9.109650e-08	1.296620e-07
7.700000e+01	7.800000e+01	2.158826e-07	6.261650e-08	4.189800e-09
7.800000e+01	7.900000e+01	1.930553e-07	4.432060e-08	1.102764e-07
7.900000e+01	8.000000e+01	2.399723e-07	0.000000e+00	1.937942e-07
8.000000e+01	8.100000e+01	3.685153e-07	8.667080e-08	2.513563e-07
8.100000e+01	8.200000e+01	3.245727e-07	1.178281e-07	1.396990e-07
8.200000e+01	8.300000e+01	1.920275e-07	6.459550e-08	1.158676e-07
8.300000e+01	8.400000e+01	1.833995e-07	1.026965e-07	1.364877e-07
8.400000e+01	8.500000e+01	1.306632e-07	5.063217e-08	0.000000e+00
8.500000e+01	8.600000e+01	8.261463e-08	4.109252e-08	3.782657e-08
8.600000e+01	8.700000e+01	5.025354e-08	2.237900e-09	4.031829e-08
8.700000e+01	8.800000e+01	3.645814e-08	0.000000e+00	1.309669e-07
8.800000e+01	8.900000e+01	3.940008e-08	0.000000e+00	9.181792e-08
8.900000e+01	9.000000e+01	9.226584e-08	6.021013e-08	0.000000e+00
9.000000e+01	9.100000e+01	7.634221e-08	3.938026e-08	2.379059e-08
9.100000e+01	9.200000e+01	5.651293e-08	0.000000e+00	5.304887e-08
9.200000e+01	9.300000e+01	2.560712e-08	0.000000e+00	9.489620e-09
9.300000e+01	9.400000e+01	4.040971e-08	1.958996e-08	1.301433e-07
9.400000e+01	9.500000e+01	2.122202e-08	0.000000e+00	2.344091e-08
9.500000e+01	9.600000e+01	3.321076e-08	1.090766e-08	3.151290e-08
9.600000e+01	9.700000e+01	2.438726e-08	1.827824e-08	7.276811e-08
9.700000e+01	9.800000e+01	3.101843e-08	2.272321e-08	7.571470e-09
9.800000e+01	9.900000e+01	7.306407e-09	4.059545e-09	1.584524e-08
9.900000e+01	1.000000e+02	8.195269e-09	0.000000e+00	7.117011e-09
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.342190e-01	9.966500e-03	3.452090e-02
1.000000e+00	2.000000e+00	2.137803e-02	4.985000e-05	1.949740e-03
2.000000e+00	3.000000e+00	1.629502e-02	2.915360e-03	2.132200e-04
3.000000e+00	4.000000e+00	4.795273e-02	7.344690e-03	1.820790e-03
4.000000e+00	5.000000e+00	5.477461e-02	9.735330e-03	4.315930e-03
5.000000e+00	6.000000e+00	4.442631e-02	9.846500e-03	6.269560e-03
6.000000e+00	7.000000e+00	3.086536e-02	8.808640e-03	6.044210e-03
7.000000e+00	8.000000e+00	2.085857e-02	6.615650e-03	5.253000e-03
8.000000e+00	9.000000e+00	1.356505e-02	4.595236e-03	3.909700e-03
9.000000e+00	1.000000e+01	9.044138e-03	3.139687e-03	2.987112e-03
1.000000e+01	1.100000e+01	6.787200e-03	2.429457e-03	2.006785e-03
1.100000e+01	1.200000e+01	4.952585e-03	1.735826e-03	1.880020e-03
1.200000e+01	1.300000e+01	3.790783e-03	1.342406e-03	1.392610e-03
1.300000e+01	1.400000e+01	2.969549e-03	1.160246e-03	1.024737e-03
1.400000e+01	1.500000e+01	2.228885e-03	8.371220e-04	1.002451e-03
1.500000e+01	1.600000e+01	1.723941e-03	7.036100e-04	7.204100e-04
1.600000e+01	1.700000e+01	1.330744e-03	5.438312e-04	5.751110e-04
1.700000e+01	1.800000e+01	1.043551e-03	4.428131e-04	3.928260e-04
1.800000e+01	1.900000e+01	7.979603e-04	3.588191e-04	3.265627e-04
1.900000e+01	2.000000e+01	7.929230e-04	4.644946e-04	9.713180e-05
2.000000e+01	2.100000e+01	4.460581e-04	1.938186e-04	2.358159e-04
2.100000e+01	2.200000e+01	3.505417e-04	1.598161e-04	1.921859e-04
2.200000e+01	2.300000e+01	2.741984e-04	1.374419e-04	1.555336e-04
2.300000e+01	2.400000e+01	2.042797e-04	7.730380e-05	1.132586e-04
2.400000e+01	2.500000e+01	1.595881e-04	7.047066e-05	1.063842e-04
2.500000e+01	2.600000e+01	9.423956e-05	3.088472e-05	1.084876e-04
2.600000e+01	2.700000e+01	9.791322e-05	4.322785e-05	4.656448e-05
2.700000e+01	2.800000e+01	7.417880e-05	3.185752e-05	3.869590e-05
2.800000e+01	2.900000e+01	5.813010e-05	2.777169e-05	4.007304e-05
2.900000e+01	3.000000e+01	4.536004e-05	2.137435e-05	3.451568e-05
3.000000e+01	3.100000e+01	3.426226e-05	1.403137e-05	1.656686e-05
3.100000e+01	3.200000e+01	3.370370e-05	1.854258e-05	1.732355e-05
3.200000e+01	3.300000e+01	2.412047e-05	1.273246e-05	1.113634e-05
3.300000e+01	3.400000e+01	1.880508e-05	6.330540e-06	1.467181e-05
3.400000e+01	3.500000e+01	2.061640e-05	1.159414e-05	7.135920e-06
3.500000e+01	3.600000e+01	1.369235e-05	7.910458e-06	1.017741e-05
3.600000e+01	3.700000e+01	9.880990e-06	5.401202e-06	1.100798e-05
3.700000e+01	3.800000e+01	8.119292e-06	4.039914e-06	6.354128e-06
3.800000e+01	3.900000e+01	5.897782e-06	2.117744e-06	6.513888e-06
3.900000e+01	4.000000e+01	6.233773e-06	2.611912e-06	4.834487e-06
4.000000e+01	4.100000e+01	5.112321e-06	2.924815e-06	3.939562e-06
4.100000e+01	4.200000e+01	3.291010e-06	7.147190e-07	4.627839e-06
4.200000e+01	4.300000e+01	3.824306e-06	2.174559e-06	3.845846e-06
4.300000e+01	4.400000e+01	3.809759e-06	2.306411e-06	2.226174e-06
4.400000e+01	4.500000e+01	2.662220e-06	1.637848e-06	3.474048e-06
4.500000e+01	4.600000e+01	2.034799e-06	6.034540e-07	1.846019e-06
4.600000e+01	4.700000e+01	2.482090e-06	1.638253e-06	7.764470e-07
4.700000e+01	4.800000e+01	1.426943e-06	6.881721e-07	2.351142e-06
4.800000e+01	4.900000e+01	1.632926e-06	7.798127e-07	9.415360e-07
4.900000e+01	5.000000e+01	9.964726e-07	1.327876e-07	1.565581e-06
5.000000e+01	5.100000e+01	1.400120e-06	9.113895e-07	5.356290e-07
5.100000e+01	5.200000e+01	8.070765e-07	3.252454e-07	9.149455e-07
5.200000e+01	5.300000e+01	1.192772e-06	8.039541e-07	2.373050e-07
5.300000e+01	5.400000e+01	8.744762e-07	5.687906e-07	4.901478e-07
5.400000e+01	5.500000e+01	6.286223e-07	2.610313e-07	5.089567e-07
5.500000e+01	5.600000e+01	6.876109e-07	4.759949e-07	4.941531e-07
5.600000e+01	5.700000e+01	7.866578e-07	6.138784e-07	3.666532e-07
5.700000e+01	5.800000e+01	5.843450e-07	3.650356e-07	3.832835e-07
5.800000e+01	5.900000e+01	3.991322e-07	1.440674e-07	5.043617e-07
5.900000e+01	6.000000e+01	2.529952e-07	6.068210e-08	4.705925e-07
6.000000e+01	6.100000e+01	2.816009e-07	1.686134e-07	2.488341e-07
6.100000e+01	6.200000e+01	2.702963e-07	1.011168e-07	3.938231e-07
6.200000e+01	6.300000e+01	2.978693e-07	1.200060e-07	2.581250e-07
6.300000e+01	6.400000e+01	2.974597e-07	9.325250e-08	0.000000e+00
6.400000e+01	6.500000e+01	2.383363e-07	1.519556e-07	3.430496e-07
6.500000e+01	6.600000e+01	2.729258e-07	6.187180e-08	1.378951e-07
6.600000e+01	6.700000e+01	3.198080e-07	2.203510e-07	4.910140e-08
6.700000e+01	6.800000e+01	1.981613e-07	1.238621e-07	2.240763e-07
6.800000e+01	6.900000e+01	1.837475e-07	1.132664e-07	1.344420e-07
6.900000e+01	7.000000e+01	1.518754e-07	7.795166e-08	4.319970e-08
7.000000e+01	7.100000e+01	4.342017e-07	3.128208e-07	0.000000e+00
7.100000e+01	7.200000e+01	1.035466e-07	1.033772e-08	1.443355e-07
7.200000e+01	7.300000e+01	1.578820e-07	1.027341e-07	8.303250e-08
7.300000e+01	7.400000e+01	1.165827e-07	3.940200e-09	6.229610e-08
7.400000e+01	7.500000e+01	2.148791e-07	1.235631e-07	7.931300e-08
7.500000e+01	7.600000e+01	1.502059e-07	7.509617e-08	1.290600e-07
7.600000e+01	7.700000e+01	1.432360e-07	6.181398e-08	8.730670e-08
7.700000e+01	7.800000e+01	1.474091e-07	2.163380e-08	8.724210e-08
7.800000e+01	7.900000e+01	2.067667e-07	0.000000e+00	1.031294e-07
7.900000e+01	8.000000e+01	3.175331e-07	7.495660e-08	3.916130e-08
8.000000e+01	8.100000e+01	3.003486e-07	5.749420e-08	3.717756e-07
8.100000e+01	8.200000e+01	4.539827e-07	2.393774e-07	5.408410e-08
8.200000e+01	8.300000e+01	1.444311e-07	5.886657e-08	2.374470e-07
8.300000e+01	8.400000e+01	1.642482e-07	9.915380e-08	3.561570e-08
8.400000e+01	8.500000e+01	1.552999e-07	6.479159e-08	6.014480e-08
8.500000e+01	8.600000e+01	4.660934e-08	0.000000e+00	7.045206e-08
8.600000e+01	8.700000e+01	4.458775e-08	3.402200e-10	8.851515e-08
8.700000e+01	8.800000e+01	7.245179e-08	3.129675e-08	3.858141e-08
8.800000e+01	8.900000e+01	6.323778e-08	6.984500e-10	3.849032e-08
8.900000e+01	9.000000e+01	8.310906e-08	3.957311e-08	1.324929e-08
9.000000e+01	9.100000e+01	1.596288e-07	1.157612e-07	0.000000e+00
9.100000e+01	9.200000e+01	4.927740e-08	0.000000e+00	6.308630e-08
9.200000e+01	9.300000e+01	9.020494e-08	3.301601e-08	2.174446e-08
9.300000e+01	9.400000e+01	9.746308e-08	7.280487e-08	0.000000e+00
9.400000e+01	9.500000e+01	2.695468e-08	1.728908e-08	1.012032e-08
9.500000e+01	9.600000e+01	1.314495e-08	6.970970e-09	3.796975e-08
9.600000e+01	9.700000e+01	1.798722e-08	1.466734e-08	2.101932e-08
9.700000e+01	9.800000e+01	1.154021e-08	1.700435e-09	8.380274e-08
9.800000e+01	9.900000e+01	1.050844e-08	3.870333e-09	5.671860e-09
9.900000e+01	1.000000e+02	9.124496e-09	0.000000e+00	6.990765e-08
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_mass
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.344553e-01	7.645900e-03	3.077660e-02
1.000000e+00	2.000000e+00	2.136472e-02	0.000000e+00	1.865030e-03
2.000000e+00	3.000000e+00	1.617711e-02	3.176180e-03	9.485500e-04
3.000000e+00	4.000000e+00	4.781460e-02	8.183660e-03	1.899140e-03
4.000000e+00	5.000000e+00	5.519090e-02	1.136954e-02	5.772250e-03
5.000000e+00	6.000000e+00	4.397235e-02	1.063864e-02	7.460600e-03
6.000000e+00	7.000000e+00	3.068788e-02	9.435950e-03	6.755650e-03
7.000000e+00	8.000000e+00	2.022735e-02	6.672550e-03	5.511150e-03
8.000000e+00	9.000000e+00	1.318272e-02	4.656269e-03	4.110360e-03
9.000000e+00	1.000000e+01	8.492475e-03	3.025347e-03	3.174775e-03
1.000000e+01	1.100000e+01	6.409271e-03	2.214527e-03	2.218201e-03
1.100000e+01	1.200000e+01	4.732863e-03	1.705413e-03	1.881970e-03
1.200000e+01	1.300000e+01	3.598485e-03	1.357146e-03	1.393039e-03
1.300000e+01	1.400000e+01	2.751344e-03	1.054541e-03	1.086760e-03
1.400000e+01	1.500000e+01	2.123997e-03	8.478880e-04	8.677860e-04
1.500000e+01	1.600000e+01	1.629497e-03	6.956037e-04	7.401170e-04
1.600000e+01	1.700000e+01	1.282933e-03	5.731258e-04	5.379890e-04
1.700000e+01	1.800000e+01	9.778304e-04	4.414351e-04	4.209776e-04
1.800000e+01	1.900000e+01	7.263845e-04	3.284463e-04	3.303135e-04
1.900000e+01	2.000000e+01	5.154381e-04	2.243338e-04	3.225256e-04
2.000000e+01	2.100000e+01	4.173922e-04	1.865255e-04	2.095231e-04
2.100000e+01	2.200000e+01	3.098017e-04	1.399640e-04	1.616877e-04
2.200000e+01	2.300000e+01	2.599173e-04	1.255749e-04	8.467000e-05
2.300000e+01	2.400000e+01	1.851875e-04	8.795843e-05	8.767830e-05
2.400000e+01	2.500000e+01	1.482586e-04	7.373194e-05	8.804330e-05
2.500000e+01	2.600000e+01	1.149322e-04	6.414405e-05	6.120190e-05
2.600000e+01	2.700000e+01	8.900280e-05	4.461782e-05	4.414500e-05
2.700000e+01	2.800000e+01	6.198963e-05	2.514079e-05	3.493777e-05
2.800000e+01	2.900000e+01	4.879995e-05	2.373401e-05	2.883703e-05
2.900000e+01	3.000000e+01	4.105446e-05	1.799876e-05	2.170814e-05
3.000000e+01	3.100000e+01	3.035310e-05	1.365063e-05	2.609170e-05
3.100000e+01	3.200000e+01	2.683054e-05	1.383963e-05	1.783848e-05
3.200000e+01	3.300000e+01	1.826769e-05	9.555932e-06	1.386202e-05
3.300000e+01	3.400000e+01	1.498643e-05	6.756821e-06	1.326862e-05
3.400000e+01	3.500000e+01	1.539326e-05	9.196204e-06	1.383123e-05
3.500000e+01	3.600000e+01	9.836887e-06	4.573717e-06	9.657883e-06
3.600000e+01	3.700000e+01	1.021437e-05	5.723413e-06	5.827570e-06
3.700000e+01	3.800000e+01	7.523137e-06	4.367034e-06	6.802063e-06
3.800000e+01	3.900000e+01	7.506476e-06	4.890793e-06	5.314364e-06
3.900000e+01	4.000000e+01	5.255445e-06	2.784216e-06	3.958021e-06
4.000000e+01	4.100000e+01	4.367343e-06	2.120634e-06	4.831489e-06
4.100000e+01	4.200000e+01	4.205533e-06	2.788668e-06	2.673270e-06
4.200000e+01	4.300000e+01	2.733974e-06	1.044789e-06	4.032939e-06
4.300000e+01	4.400000e+01	2.223092e-06	9.154110e-07	2.482390e-06
4.400000e+01	4.500000e+01	2.055965e-06	5.183320e-07	2.339270e-06
4.500000e+01	4.600000e+01	1.701077e-06	7.997441e-07	1.753560e-06
4.600000e+01	4.700000e+01	1.470922e-06	4.951050e-07	1.499739e-06
4.700000e+01	4.800000e+01	1.728874e-06	1.169888e-06	1.132804e-06
4.800000e+01	4.900000e+01	7.726942e-07	2.211490e-07	1.379225e-06
