# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y
XLabel=$z_{j_3}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  z_{j_3}^{\star}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet3_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.974787e-04	9.802005e-05	0.000000e+00
-4.600000e+00	-4.200000e+00	2.745268e-04	0.000000e+00	1.469508e-04
-4.200000e+00	-3.800000e+00	5.982482e-04	0.000000e+00	1.475467e-04
-3.800000e+00	-3.400000e+00	1.029604e-03	6.845650e-05	1.457695e-04
-3.400000e+00	-3.000000e+00	1.674086e-03	4.494665e-04	0.000000e+00
-3.000000e+00	-2.600000e+00	2.399251e-03	2.676750e-05	0.000000e+00
-2.600000e+00	-2.200000e+00	8.492428e-03	6.149619e-03	0.000000e+00
-2.200000e+00	-1.800000e+00	6.433802e-03	2.533425e-04	1.259727e-03
-1.800000e+00	-1.400000e+00	1.375651e-02	1.507550e-03	0.000000e+00
-1.400000e+00	-1.000000e+00	3.883938e-02	3.040575e-03	0.000000e+00
-1.000000e+00	-6.000000e-01	1.647964e-01	2.644675e-03	3.675750e-03
-6.000000e-01	-2.000000e-01	2.571835e-01	6.769250e-03	0.000000e+00
-2.000000e-01	2.000000e-01	1.024946e-01	5.970325e-03	0.000000e+00
2.000000e-01	6.000000e-01	2.567930e-01	5.861000e-03	1.122350e-02
6.000000e-01	1.000000e+00	1.636082e-01	2.284125e-03	4.285225e-03
1.000000e+00	1.400000e+00	3.667855e-02	2.379500e-04	1.131400e-03
1.400000e+00	1.800000e+00	1.264671e-02	6.651400e-04	6.315000e-04
1.800000e+00	2.200000e+00	5.941132e-03	2.607750e-04	1.063977e-03
2.200000e+00	2.600000e+00	3.406995e-03	0.000000e+00	1.690725e-04
2.600000e+00	3.000000e+00	1.647193e-03	0.000000e+00	7.405942e-04
3.000000e+00	3.400000e+00	1.415426e-03	1.774777e-04	3.216728e-04
3.400000e+00	3.800000e+00	9.783403e-04	0.000000e+00	1.242538e-04
3.800000e+00	4.200000e+00	5.564450e-04	0.000000e+00	1.147200e-04
4.200000e+00	4.600000e+00	3.763870e-04	3.484575e-05	3.088350e-05
4.600000e+00	5.000000e+00	2.751395e-04	4.208850e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_y
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.550667e-04	4.700277e-05	0.000000e+00
-4.600000e+00	-4.200000e+00	3.552330e-04	0.000000e+00	9.938325e-05
-4.200000e+00	-3.800000e+00	6.148685e-04	4.972750e-05	7.069500e-05
-3.800000e+00	-3.400000e+00	9.621908e-04	1.105830e-04	1.371052e-04
-3.400000e+00	-3.000000e+00	1.326789e-03	0.000000e+00	3.211585e-04
-3.000000e+00	-2.600000e+00	2.232836e-03	2.534325e-04	2.797340e-04
-2.600000e+00	-2.200000e+00	3.511453e-03	3.672800e-04	3.225775e-04
-2.200000e+00	-1.800000e+00	5.996950e-03	7.659050e-04	4.982600e-04
-1.800000e+00	-1.400000e+00	1.220082e-02	1.073255e-03	1.155422e-03
-1.400000e+00	-1.000000e+00	3.614758e-02	2.635225e-03	2.776150e-03
-1.000000e+00	-6.000000e-01	1.624000e-01	1.007290e-02	1.099650e-02
-6.000000e-01	-2.000000e-01	2.536568e-01	1.595093e-02	1.641525e-02
-2.000000e-01	2.000000e-01	9.600975e-02	6.897575e-03	1.081760e-02
2.000000e-01	6.000000e-01	2.527038e-01	1.444535e-02	1.769525e-02
6.000000e-01	1.000000e+00	1.621809e-01	1.033033e-02	1.093337e-02
1.000000e+00	1.400000e+00	3.596580e-02	2.756650e-03	3.290150e-03
1.400000e+00	1.800000e+00	1.236333e-02	1.387392e-03	6.891700e-04
1.800000e+00	2.200000e+00	5.801067e-03	6.014000e-04	6.595925e-04
