# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4
Title=$\log_{10}$(Integrated $4$ jet rate in $k_\perp$ [GeV])
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4
RightMargin=0.5
#RatioPlot=1
LogY=1
RatioPlotYMax=3.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$\log_{10}(d_{\text{cut}}/\text{GeV})$
LegendAlign=r
YLabel=$R_{\geq4}$
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/log10_R_4
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4
RatioPlotSameStyle=1
Title=h(2*,3*,4)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.722582e-01	5.424341e-01	1.668390e-02	5.599800e-03
2.722583e-01	3.445165e-01	4.352250e-01	2.556990e-02	2.529010e-02
3.445166e-01	4.167748e-01	3.485117e-01	2.951300e-02	3.736800e-02
4.167748e-01	4.890330e-01	2.786275e-01	3.106190e-02	4.271860e-02
4.890331e-01	5.612913e-01	2.190820e-01	3.050690e-02	4.310700e-02
5.612914e-01	6.335496e-01	1.655985e-01	2.769450e-02	4.050940e-02
6.335496e-01	7.058078e-01	1.201775e-01	1.992940e-02	3.386850e-02
7.058079e-01	7.780661e-01	8.302032e-02	1.567577e-02	2.599318e-02
7.780662e-01	8.503244e-01	5.464294e-02	1.162415e-02	1.902828e-02
8.503244e-01	9.225826e-01	3.422173e-02	7.605170e-03	1.325359e-02
9.225827e-01	9.948409e-01	2.077715e-02	4.707150e-03	8.597940e-03
9.948409e-01	1.067099e+00	1.228284e-02	3.013358e-03	5.477950e-03
1.067099e+00	1.139357e+00	7.018034e-03	1.659949e-03	3.263346e-03
1.139358e+00	1.211616e+00	3.945371e-03	9.410570e-04	1.955033e-03
1.211616e+00	1.283874e+00	2.171244e-03	5.122950e-04	1.139757e-03
1.283874e+00	1.356132e+00	1.117373e-03	2.109624e-04	6.717610e-04
1.356132e+00	1.428390e+00	6.078231e-04	1.342028e-04	3.620123e-04
1.428391e+00	1.500649e+00	3.417633e-04	8.856210e-05	1.746981e-04
1.500649e+00	1.572907e+00	1.825272e-04	5.151150e-05	9.192930e-05
1.572907e+00	1.645165e+00	9.566310e-05	2.886642e-05	5.195040e-05
1.645165e+00	1.717423e+00	4.732840e-05	1.070624e-05	2.853508e-05
1.717424e+00	1.789682e+00	2.516500e-05	5.541560e-06	1.670867e-05
1.789682e+00	1.861940e+00	1.315281e-05	3.786016e-06	1.082654e-05
1.861940e+00	1.934198e+00	7.632081e-06	2.745876e-06	4.313759e-06
1.934199e+00	2.006457e+00	4.014981e-06	2.136774e-06	2.190288e-06
2.006457e+00	2.078715e+00	2.440618e-06	1.797213e-06	6.354020e-07
2.078715e+00	2.150973e+00	1.451469e-06	1.593366e-06	2.626670e-07
2.150973e+00	2.223231e+00	8.912469e-07	5.234494e-07	0.000000e+00
2.223232e+00	2.295490e+00	6.531017e-07	4.327877e-07	0.000000e+00
2.295490e+00	2.367748e+00	1.082141e-07	0.000000e+00	1.873849e-07
2.367748e+00	2.440006e+00	5.214481e-08	3.098388e-08	4.898449e-08
2.440006e+00	2.512264e+00	2.240440e-08	8.952940e-09	2.237521e-08
2.512265e+00	2.584523e+00	1.081353e-08	4.769400e-10	1.062835e-08
2.584523e+00	2.656781e+00	9.641754e-09	5.282110e-09	3.525130e-10
2.656781e+00	2.729039e+00	6.378258e-09	7.330652e-09	2.797665e-09
2.729039e+00	2.801297e+00	2.684539e-09	3.143437e-09	1.909821e-09
2.801298e+00	2.873556e+00	0.000000e+00	0.000000e+00	1.889389e-09
2.873556e+00	2.945814e+00	0.000000e+00	0.000000e+00	7.870047e-10
2.945814e+00	3.018072e+00	0.000000e+00	0.000000e+00	9.316863e-19
3.018073e+00	3.090331e+00	0.000000e+00	0.000000e+00	9.316863e-19
3.090331e+00	3.162589e+00	0.000000e+00	0.000000e+00	9.316863e-19
3.162589e+00	3.234847e+00	0.000000e+00	0.000000e+00	9.316863e-19
3.234847e+00	3.307105e+00	0.000000e+00	0.000000e+00	9.316863e-19
3.307106e+00	3.379364e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.379364e+00	3.451622e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.451622e+00	3.523880e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.523880e+00	3.596138e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.596139e+00	3.668397e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.668397e+00	3.740655e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.740655e+00	3.812913e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_R_4
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
