# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01
#RatioPlot=1
LogY=1
RatioPlotYMax=3.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$\sqrt{d_{01}}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma / \sqrt{d_{01}}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/log10_d_01
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/log10_d_01
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	4.279332e-02	5.504815e-03	1.594421e-03
2.361291e-01	2.722583e-01	5.068169e-02	5.083644e-03	3.621946e-03
2.722583e-01	3.083875e-01	6.302980e-02	1.005032e-02	0.000000e+00
3.083874e-01	3.445165e-01	7.467000e-02	9.386561e-03	0.000000e+00
3.445165e-01	3.806457e-01	8.101242e-02	4.707826e-03	0.000000e+00
3.806457e-01	4.167748e-01	9.475819e-02	1.533387e-02	0.000000e+00
4.167748e-01	4.529039e-01	9.674038e-02	6.564708e-03	4.436784e-03
4.529039e-01	4.890331e-01	1.070922e-01	9.684410e-03	0.000000e+00
4.890331e-01	5.251621e-01	1.208131e-01	1.093124e-02	0.000000e+00
5.251623e-01	5.612913e-01	1.296632e-01	2.715207e-03	0.000000e+00
5.612913e-01	5.974205e-01	1.389253e-01	6.984185e-03	1.442739e-03
5.974204e-01	6.335495e-01	1.530410e-01	1.484867e-02	8.611064e-04
6.335497e-01	6.696787e-01	1.638434e-01	9.366273e-03	4.204921e-04
6.696787e-01	7.058079e-01	1.707450e-01	0.000000e+00	1.129123e-02
7.058080e-01	7.419370e-01	1.799288e-01	1.420691e-02	4.661063e-03
7.419370e-01	7.780660e-01	1.882333e-01	1.974511e-02	2.069398e-02
7.780661e-01	8.141953e-01	1.908036e-01	1.528822e-02	2.143264e-02
8.141954e-01	8.503245e-01	2.003962e-01	2.104935e-02	1.939904e-02
8.503244e-01	8.864534e-01	1.984090e-01	2.320836e-02	2.319374e-02
8.864535e-01	9.225827e-01	1.964534e-01	3.073301e-02	2.842709e-02
9.225828e-01	9.587118e-01	1.938287e-01	2.798810e-02	2.949866e-02
9.587118e-01	9.948408e-01	1.805087e-01	2.768951e-02	4.082142e-02
9.948404e-01	1.030970e+00	1.922952e-01	3.717682e-02	2.754345e-02
1.030970e+00	1.067098e+00	1.713793e-01	2.812179e-02	3.621490e-02
1.067100e+00	1.103228e+00	1.590808e-01	2.990664e-02	3.781334e-02
1.103229e+00	1.139358e+00	1.485167e-01	2.856293e-02	3.369603e-02
1.139357e+00	1.175487e+00	1.400120e-01	2.826037e-02	2.473346e-02
1.175487e+00	1.211615e+00	1.261148e-01	2.938113e-02	3.410919e-02
1.211617e+00	1.247745e+00	1.099847e-01	1.569639e-02	3.523433e-02
1.247746e+00	1.283875e+00	1.035820e-01	2.439879e-02	2.718929e-02
1.283874e+00	1.320002e+00	8.833497e-02	1.281541e-02	2.969069e-02
1.320002e+00	1.356131e+00	7.979468e-02	1.704905e-02	2.639270e-02
1.356132e+00	1.392261e+00	7.359434e-02	1.592170e-02	2.039425e-02
1.392261e+00	1.428391e+00	6.106659e-02	1.297166e-02	2.176928e-02
1.428391e+00	1.464519e+00	5.521160e-02	1.271270e-02	1.673938e-02
1.464519e+00	1.500648e+00	4.731479e-02	1.111268e-02	1.606745e-02
1.500649e+00	1.536778e+00	4.128440e-02	9.118963e-03	1.214385e-02
1.536778e+00	1.572906e+00	3.509391e-02	7.945506e-03	1.689978e-02
1.572906e+00	1.609035e+00	2.998893e-02	6.441845e-03	1.108910e-02
1.609036e+00	1.645165e+00	2.385813e-02	3.706120e-03	1.117467e-02
1.645165e+00	1.681293e+00	2.236810e-02	4.690598e-03	7.445044e-03
1.681294e+00	1.717424e+00	1.946179e-02	1.309210e-02	7.562128e-03
1.717423e+00	1.753552e+00	1.756458e-02	4.603988e-03	5.746940e-03
1.753553e+00	1.789682e+00	1.466400e-02	4.275001e-03	4.457854e-03
1.789682e+00	1.825811e+00	1.169011e-02	2.091032e-03	4.798043e-03
1.825812e+00	1.861940e+00	1.045046e-02	3.910485e-03	3.765410e-03
1.861940e+00	1.898069e+00	8.922339e-03	2.006900e-03	3.203969e-03
1.898069e+00	1.934198e+00	7.580999e-03	1.912513e-03	2.342080e-03
1.934198e+00	1.970328e+00	5.994052e-03	1.253139e-03	2.866371e-03
1.970329e+00	2.006458e+00	5.475790e-03	1.396230e-03	2.336519e-03
2.006458e+00	2.042587e+00	4.441856e-03	1.067743e-03	2.092192e-03
2.042585e+00	2.078714e+00	4.055385e-03	7.286612e-04	1.320477e-03
2.078715e+00	2.114844e+00	3.191040e-03	7.160547e-04	1.130261e-03
