# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.9
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
XLabel=$\Delta \phi_{h,j_1j_2}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{h,j_1j_2}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	4.154466e-03	1.096284e-03	2.870326e-04
1.047198e-01	2.094395e-01	3.614464e-03	3.915023e-05	1.090131e-03
2.094395e-01	3.141593e-01	3.699520e-03	4.011906e-04	5.842601e-04
3.141594e-01	4.188790e-01	4.116293e-03	9.617617e-04	7.250336e-04
4.188790e-01	5.235988e-01	4.756625e-03	1.049711e-03	0.000000e+00
5.235989e-01	6.283186e-01	4.625087e-03	7.735870e-04	2.694374e-04
6.283185e-01	7.330383e-01	4.780874e-03	5.141272e-04	5.386212e-04
7.330384e-01	8.377581e-01	4.733551e-03	5.950074e-05	3.846903e-03
8.377580e-01	9.424778e-01	5.096616e-03	0.000000e+00	1.593595e-04
9.424778e-01	1.047198e+00	5.613227e-03	6.538519e-04	2.974708e-04
1.047197e+00	1.151917e+00	5.737217e-03	2.545536e-04	2.271280e-03
1.151917e+00	1.256637e+00	6.488200e-03	5.974885e-04	1.439032e-03
1.256637e+00	1.361357e+00	7.458087e-03	8.372508e-04	1.273325e-03
1.361357e+00	1.466077e+00	8.528793e-03	1.019161e-03	8.584215e-04
1.466076e+00	1.570796e+00	9.191585e-03	1.450156e-03	1.605835e-03
1.570796e+00	1.675516e+00	1.093167e-02	7.960466e-04	2.163808e-03
1.675516e+00	1.780236e+00	1.236397e-02	4.603514e-04	2.894872e-03
1.780236e+00	1.884956e+00	1.516670e-02	1.331618e-03	2.902254e-03
1.884955e+00	1.989675e+00	1.942488e-02	2.168269e-03	3.675961e-03
1.989675e+00	2.094395e+00	2.281774e-02	1.947527e-03	4.095722e-03
2.094395e+00	2.199115e+00	2.948078e-02	2.096610e-03	4.272680e-03
2.199115e+00	2.303835e+00	4.434253e-02	9.062299e-03	7.529507e-04
2.303834e+00	2.408554e+00	5.256374e-02	4.325032e-03	6.912671e-03
2.408554e+00	2.513274e+00	7.473019e-02	4.502769e-03	1.007079e-02
2.513274e+00	2.617994e+00	1.136696e-01	1.105672e-02	1.410953e-02
2.617994e+00	2.722714e+00	1.833288e-01	2.253046e-02	1.498921e-02
2.722713e+00	2.827433e+00	3.079118e-01	2.407634e-02	2.475329e-02
2.827433e+00	2.932153e+00	5.921436e-01	5.300468e-02	4.199647e-02
2.932153e+00	3.036873e+00	1.307443e+00	1.010380e-01	8.526833e-02
3.036873e+00	3.141593e+00	4.796091e+00	5.460409e-01	3.592141e-01
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_Hjj_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	3.580432e-03	4.079687e-04	7.684201e-04
1.047198e-01	2.094395e-01	3.717668e-03	5.037696e-04	7.353421e-04
2.094395e-01	3.141593e-01	4.051560e-03	7.942767e-04	4.358364e-04
3.141594e-01	4.188790e-01	4.098357e-03	7.352561e-04	6.125294e-04
4.188790e-01	5.235988e-01	3.929508e-03	5.352961e-04	7.855095e-04
5.235989e-01	6.283186e-01	4.179859e-03	3.092646e-04	7.352628e-04
6.283185e-01	7.330383e-01	4.687022e-03	8.892607e-04	1.659605e-03
7.330384e-01	8.377581e-01	4.870379e-03	6.843182e-04	1.057109e-03
8.377580e-01	9.424778e-01	5.107992e-03	7.139853e-04	1.010716e-03
9.424778e-01	1.047198e+00	5.355542e-03	6.168208e-04	1.279729e-03
1.047197e+00	1.151917e+00	6.158526e-03	9.285010e-04	6.983900e-04
1.151917e+00	1.256637e+00	6.655968e-03	7.818239e-04	8.985972e-04
1.256637e+00	1.361357e+00	7.357190e-03	1.122760e-03	1.494083e-03
1.361357e+00	1.466077e+00	8.354524e-03	1.264664e-03	1.566312e-03
1.466076e+00	1.570796e+00	9.649395e-03	1.323893e-03	1.672314e-03
1.570796e+00	1.675516e+00	1.090773e-02	1.323930e-03	2.112643e-03
1.675516e+00	1.780236e+00	1.287074e-02	1.868354e-03	2.458843e-03
1.780236e+00	1.884956e+00	1.560336e-02	2.705252e-03	2.223472e-03
