# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
XLabel=$y_{jets}^{gap}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} y_{jets}^{gap}$
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/gapjet1_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.061714e-05	1.610185e-06	0.000000e+00
-4.400000e+00	-4.200000e+00	2.642905e-04	4.372250e-06	2.353010e-05
-4.200000e+00	-4.000000e+00	8.902200e-04	7.733100e-05	0.000000e+00
-4.000000e+00	-3.800000e+00	1.837461e-03	6.583500e-05	8.485000e-06
-3.800000e+00	-3.600000e+00	3.088743e-03	3.057520e-04	1.484255e-04
-3.600000e+00	-3.400000e+00	4.316535e-03	0.000000e+00	4.148830e-04
-3.400000e+00	-3.200000e+00	6.377790e-03	3.831750e-04	0.000000e+00
-3.200000e+00	-3.000000e+00	7.820950e-03	2.927700e-04	0.000000e+00
-3.000000e+00	-2.800000e+00	9.643535e-03	6.652150e-04	2.597000e-05
-2.800000e+00	-2.600000e+00	1.069913e-02	6.035100e-04	0.000000e+00
-2.600000e+00	-2.400000e+00	1.100146e-02	0.000000e+00	5.411400e-04
-2.400000e+00	-2.200000e+00	1.205690e-02	6.465200e-04	0.000000e+00
-2.200000e+00	-2.000000e+00	1.268310e-02	1.095180e-03	0.000000e+00
-2.000000e+00	-1.800000e+00	1.156779e-02	3.461450e-04	0.000000e+00
-1.800000e+00	-1.600000e+00	1.090081e-02	0.000000e+00	1.876400e-04
-1.600000e+00	-1.400000e+00	1.032894e-02	0.000000e+00	4.779450e-04
-1.400000e+00	-1.200000e+00	9.877490e-03	9.610200e-04	3.025050e-04
-1.200000e+00	-1.000000e+00	8.455410e-03	2.919850e-04	1.145035e-03
-1.000000e+00	-8.000000e-01	7.607040e-03	9.898500e-05	2.019900e-04
-8.000000e-01	-6.000000e-01	6.787830e-03	3.705700e-04	4.547950e-04
-6.000000e-01	-4.000000e-01	6.844190e-03	1.518225e-03	0.000000e+00
-4.000000e-01	-2.000000e-01	5.592750e-03	5.784650e-04	0.000000e+00
-2.000000e-01	0.000000e+00	4.904739e-03	6.066400e-05	6.008910e-04
0.000000e+00	2.000000e-01	4.945254e-03	0.000000e+00	4.767660e-04
2.000000e-01	4.000000e-01	5.791185e-03	5.466550e-04	0.000000e+00
4.000000e-01	6.000000e-01	7.177930e-03	1.558490e-03	0.000000e+00
6.000000e-01	8.000000e-01	6.721380e-03	1.274100e-04	1.448380e-03
8.000000e-01	1.000000e+00	9.314900e-03	1.505200e-03	0.000000e+00
1.000000e+00	1.200000e+00	8.419460e-03	0.000000e+00	7.448750e-04
1.200000e+00	1.400000e+00	9.168390e-03	0.000000e+00	9.172800e-04
1.400000e+00	1.600000e+00	1.006907e-02	0.000000e+00	6.528750e-04
1.600000e+00	1.800000e+00	1.095331e-02	0.000000e+00	9.581600e-04
1.800000e+00	2.000000e+00	1.124228e-02	5.304500e-05	2.262050e-04
2.000000e+00	2.200000e+00	1.109823e-02	0.000000e+00	1.670905e-03
2.200000e+00	2.400000e+00	1.177995e-02	4.277700e-04	0.000000e+00
2.400000e+00	2.600000e+00	1.135730e-02	4.936100e-04	6.309550e-04
2.600000e+00	2.800000e+00	1.037165e-02	0.000000e+00	7.697200e-04
2.800000e+00	3.000000e+00	9.249895e-03	5.870500e-04	0.000000e+00
3.000000e+00	3.200000e+00	7.837050e-03	6.230000e-05	2.592850e-04
3.200000e+00	3.400000e+00	6.006190e-03	4.540750e-04	2.135650e-04
3.400000e+00	3.600000e+00	5.255090e-03	7.867115e-04	0.000000e+00
3.600000e+00	3.800000e+00	3.205252e-03	1.414190e-04	1.247510e-04
3.800000e+00	4.000000e+00	1.780728e-03	4.577250e-05	1.712825e-04
4.000000e+00	4.200000e+00	8.342975e-04	0.000000e+00	8.366150e-05
4.200000e+00	4.400000e+00	2.683298e-04	1.917105e-05	1.204705e-05
4.400000e+00	4.600000e+00	1.948387e-05	0.000000e+00	4.805850e-06
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/gapjet1_y_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	2.076258e-05	7.274000e-08	7.338800e-07
-4.400000e+00	-4.200000e+00	2.510001e-04	1.681960e-05	2.656740e-05
-4.200000e+00	-4.000000e+00	8.153090e-04	5.094400e-05	1.014110e-04
-4.000000e+00	-3.800000e+00	1.823769e-03	1.305160e-04	1.588990e-04
-3.800000e+00	-3.600000e+00	3.043602e-03	2.132475e-04	3.576035e-04
-3.600000e+00	-3.400000e+00	4.615529e-03	4.506410e-04	3.978860e-04
-3.400000e+00	-3.200000e+00	6.008200e-03	1.924150e-04	5.329000e-04
-3.200000e+00	-3.000000e+00	7.667165e-03	4.372750e-04	6.792050e-04
-3.000000e+00	-2.800000e+00	9.173185e-03	6.286500e-04	7.277300e-04
-2.800000e+00	-2.600000e+00	1.041295e-02	7.277700e-04	5.605950e-04
-2.600000e+00	-2.400000e+00	1.120459e-02	9.440050e-04	8.070850e-04
-2.400000e+00	-2.200000e+00	1.169582e-02	1.018205e-03	7.619400e-04
-2.200000e+00	-2.000000e+00	1.179536e-02	1.045935e-03	1.048065e-03
-2.000000e+00	-1.800000e+00	1.162725e-02	1.024410e-03	8.708150e-04
-1.800000e+00	-1.600000e+00	1.112546e-02	9.947100e-04	9.947800e-04
-1.600000e+00	-1.400000e+00	1.046787e-02	9.512000e-04	4.983000e-04
-1.400000e+00	-1.200000e+00	9.441000e-03	8.057950e-04	7.769000e-04
-1.200000e+00	-1.000000e+00	8.549415e-03	1.214665e-03	6.025100e-04
