# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl
XLabel=$p_{T,j_3}^{excl}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_3}^{excl}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet3_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	3.818641e-03	2.314550e-04	1.992840e-04
3.000000e+01	4.000000e+01	4.030021e-03	3.469600e-05	2.704500e-05
4.000000e+01	5.000000e+01	1.684756e-03	6.816700e-05	0.000000e+00
5.000000e+01	6.000000e+01	7.154134e-04	4.613420e-05	0.000000e+00
6.000000e+01	7.000000e+01	2.936228e-04	1.818090e-05	1.734020e-05
7.000000e+01	8.000000e+01	1.276110e-04	1.721200e-06	7.615300e-06
8.000000e+01	9.000000e+01	5.510724e-05	1.297874e-05	6.906450e-06
9.000000e+01	1.000000e+02	2.653065e-05	1.273454e-05	4.509460e-06
1.000000e+02	1.100000e+02	1.397377e-05	3.551330e-06	3.975000e-08
1.100000e+02	1.200000e+02	6.126036e-06	2.265287e-06	2.237028e-06
1.200000e+02	1.300000e+02	4.047505e-06	1.630734e-06	0.000000e+00
1.300000e+02	1.400000e+02	2.222025e-06	1.231691e-06	0.000000e+00
1.400000e+02	1.500000e+02	7.748393e-07	0.000000e+00	1.089624e-06
1.500000e+02	1.600000e+02	3.268924e-07	7.378140e-08	2.107384e-07
1.600000e+02	1.700000e+02	3.064609e-07	1.546878e-07	5.475490e-08
1.700000e+02	1.800000e+02	1.844472e-07	1.934433e-07	0.000000e+00
1.800000e+02	1.900000e+02	5.738997e-08	1.464300e-10	1.217599e-08
1.900000e+02	2.000000e+02	3.837772e-08	0.000000e+00	2.761688e-08
2.000000e+02	2.100000e+02	3.484774e-08	1.890873e-08	5.177070e-09
2.100000e+02	2.200000e+02	-1.976227e-08	0.000000e+00	4.317696e-08
2.200000e+02	2.300000e+02	3.938176e-09	3.355636e-09	6.235254e-09
2.300000e+02	2.400000e+02	-3.888369e-09	0.000000e+00	3.415142e-08
2.400000e+02	2.500000e+02	3.258621e-09	7.067735e-09	8.763759e-09
2.500000e+02	2.600000e+02	5.893129e-09	5.549694e-09	0.000000e+00
2.600000e+02	2.700000e+02	3.857086e-09	4.370821e-09	0.000000e+00
2.700000e+02	2.800000e+02	9.822643e-10	6.685065e-10	9.446077e-10
2.800000e+02	2.900000e+02	-5.186560e-09	0.000000e+00	5.965985e-09
2.900000e+02	3.000000e+02	5.503398e-09	5.984739e-09	0.000000e+00
3.000000e+02	3.100000e+02	9.053225e-09	8.579026e-09	0.000000e+00
3.100000e+02	3.200000e+02	2.753404e-10	3.190930e-11	1.310123e-09
3.200000e+02	3.300000e+02	1.757833e-10	7.039546e-10	3.179690e-11
3.300000e+02	3.400000e+02	-3.683073e-11	0.000000e+00	1.765714e-10
3.400000e+02	3.500000e+02	1.647249e-10	1.582827e-10	0.000000e+00
3.500000e+02	3.600000e+02	-2.583882e-11	0.000000e+00	7.699194e-11
3.600000e+02	3.700000e+02	1.624858e-11	0.000000e+00	1.777910e-12
3.700000e+02	3.800000e+02	-3.707769e-10	0.000000e+00	3.887687e-10
3.800000e+02	3.900000e+02	-3.285325e-13	0.000000e+00	1.520697e-11
3.900000e+02	4.000000e+02	8.492794e-12	0.000000e+00	1.538186e-10
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	3.750152e-03	2.733270e-04	3.684780e-04
3.000000e+01	4.000000e+01	3.938014e-03	2.382600e-04	2.563340e-04
4.000000e+01	5.000000e+01	1.618525e-03	7.340600e-05	7.276100e-05
5.000000e+01	6.000000e+01	6.769862e-04	3.220590e-05	1.149650e-05
6.000000e+01	7.000000e+01	3.050853e-04	2.813320e-05	0.000000e+00
7.000000e+01	8.000000e+01	1.234751e-04	4.641200e-06	0.000000e+00
8.000000e+01	9.000000e+01	5.786941e-05	8.243140e-06	0.000000e+00
9.000000e+01	1.000000e+02	2.748675e-05	2.195360e-06	0.000000e+00
1.000000e+02	1.100000e+02	1.255472e-05	2.440870e-06	0.000000e+00
1.100000e+02	1.200000e+02	5.874218e-06	0.000000e+00	7.351220e-07
1.200000e+02	1.300000e+02	3.117884e-06	4.026430e-07	0.000000e+00
1.300000e+02	1.400000e+02	1.631508e-06	0.000000e+00	2.216120e-07
1.400000e+02	1.500000e+02	5.521350e-07	0.000000e+00	4.253325e-07
1.500000e+02	1.600000e+02	4.214160e-07	5.995110e-08	1.384510e-08
1.600000e+02	1.700000e+02	2.882092e-07	6.791300e-08	0.000000e+00
1.700000e+02	1.800000e+02	-3.934779e-08	0.000000e+00	2.143147e-07
1.800000e+02	1.900000e+02	9.214335e-08	0.000000e+00	1.411295e-08
1.900000e+02	2.000000e+02	5.030839e-08	2.705950e-09	4.172360e-09
2.000000e+02	2.100000e+02	4.190550e-09	0.000000e+00	1.831602e-08
2.100000e+02	2.200000e+02	2.280255e-08	1.356587e-08	3.437860e-09
2.200000e+02	2.300000e+02	1.054380e-08	3.078819e-09	7.171840e-09
2.300000e+02	2.400000e+02	6.339894e-09	2.068298e-09	1.514021e-09
2.400000e+02	2.500000e+02	3.985873e-09	1.105480e-10	1.049641e-09
2.500000e+02	2.600000e+02	4.755868e-09	1.019446e-08	0.000000e+00
2.600000e+02	2.700000e+02	1.427748e-09	0.000000e+00	2.146848e-09
2.700000e+02	2.800000e+02	-4.297575e-10	0.000000e+00	1.566136e-09
2.800000e+02	2.900000e+02	3.426440e-10	0.000000e+00	1.198684e-09
2.900000e+02	3.000000e+02	5.054581e-10	9.473230e-11	3.227382e-10
3.000000e+02	3.100000e+02	6.843211e-11	9.984230e-11	6.095049e-11
3.100000e+02	3.200000e+02	1.815804e-10	0.000000e+00	4.492887e-10
3.200000e+02	3.300000e+02	8.868206e-11	0.000000e+00	6.336304e-11
3.300000e+02	3.400000e+02	6.985203e-11	0.000000e+00	2.001885e-10
3.400000e+02	3.500000e+02	1.497681e-11	4.477902e-11	5.474849e-11
3.500000e+02	3.600000e+02	9.393577e-12	0.000000e+00	3.447650e-11
3.600000e+02	3.700000e+02	3.025049e-11	2.431095e-11	0.000000e+00
3.700000e+02	3.800000e+02	-3.608445e-13	2.509703e-11	3.758690e-12
3.800000e+02	3.900000e+02	6.292259e-12	3.089986e-12	1.162535e-11
3.900000e+02	4.000000e+02	6.849626e-12	0.000000e+00	7.696444e-11
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet3_pT_excl
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	3.826919e-03	4.670540e-04	6.267660e-04
