# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl
XLabel=$p_{T,j_1j_2j_3}^{excl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{excl}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/H_jjj_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	6.194842e-04	1.076650e-05	1.955940e-05
1.000000e+01	2.000000e+01	1.901500e-03	1.050970e-04	6.984200e-05
2.000000e+01	3.000000e+01	2.965103e-03	1.370640e-04	2.090620e-04
3.000000e+01	4.000000e+01	3.752003e-03	8.762300e-05	2.653360e-04
4.000000e+01	5.000000e+01	4.446080e-03	2.908420e-04	1.722070e-04
5.000000e+01	6.000000e+01	4.840557e-03	2.871270e-04	2.319310e-04
6.000000e+01	7.000000e+01	4.938201e-03	2.089190e-04	2.578340e-04
7.000000e+01	8.000000e+01	4.988468e-03	2.588330e-04	2.510510e-04
8.000000e+01	9.000000e+01	4.867870e-03	1.178330e-04	1.889640e-04
9.000000e+01	1.000000e+02	4.643758e-03	2.577610e-04	8.307500e-05
1.000000e+02	1.100000e+02	4.284974e-03	2.279570e-04	2.262860e-04
1.100000e+02	1.200000e+02	3.868818e-03	2.441470e-04	0.000000e+00
1.200000e+02	1.300000e+02	3.346447e-03	6.504900e-05	1.541860e-04
1.300000e+02	1.400000e+02	3.070679e-03	4.608200e-05	5.406500e-05
1.400000e+02	1.500000e+02	2.637458e-03	1.128990e-04	7.570100e-05
1.500000e+02	1.600000e+02	2.308610e-03	9.274500e-05	0.000000e+00
1.600000e+02	1.700000e+02	1.969499e-03	6.493000e-05	5.881000e-06
1.700000e+02	1.800000e+02	1.657319e-03	3.064200e-05	4.745900e-05
1.800000e+02	1.900000e+02	1.421053e-03	2.352100e-05	0.000000e+00
1.900000e+02	2.000000e+02	1.176604e-03	9.620000e-06	7.873000e-06
2.000000e+02	2.100000e+02	1.015821e-03	3.494650e-05	0.000000e+00
2.100000e+02	2.200000e+02	8.501843e-04	0.000000e+00	1.821630e-05
2.200000e+02	2.300000e+02	7.289197e-04	5.282620e-05	4.715600e-05
2.300000e+02	2.400000e+02	6.231066e-04	3.208390e-05	0.000000e+00
2.400000e+02	2.500000e+02	5.176630e-04	2.603700e-05	0.000000e+00
2.500000e+02	2.600000e+02	4.424548e-04	8.905880e-05	7.154200e-06
2.600000e+02	2.700000e+02	3.757032e-04	2.181650e-05	0.000000e+00
2.700000e+02	2.800000e+02	3.265096e-04	2.667400e-06	2.012790e-05
2.800000e+02	2.900000e+02	2.562705e-04	2.345550e-05	7.103500e-06
2.900000e+02	3.000000e+02	2.276785e-04	3.059170e-05	0.000000e+00
3.000000e+02	3.100000e+02	1.980936e-04	4.713200e-06	1.153730e-05
3.100000e+02	3.200000e+02	1.599412e-04	0.000000e+00	1.738410e-05
3.200000e+02	3.300000e+02	1.510394e-04	6.933748e-05	0.000000e+00
3.300000e+02	3.400000e+02	1.234934e-04	1.036780e-05	5.737800e-06
3.400000e+02	3.500000e+02	1.079966e-04	1.597729e-05	1.361600e-06
3.500000e+02	3.600000e+02	9.648398e-05	2.926770e-06	1.082152e-05
3.600000e+02	3.700000e+02	8.653621e-05	2.994420e-06	0.000000e+00
3.700000e+02	3.800000e+02	7.597073e-05	7.530570e-06	0.000000e+00
3.800000e+02	3.900000e+02	5.521528e-05	2.285200e-07	6.459820e-06
3.900000e+02	4.000000e+02	5.467336e-05	0.000000e+00	2.166645e-05
4.000000e+02	4.100000e+02	5.651665e-05	1.160348e-05	0.000000e+00
4.100000e+02	4.200000e+02	3.781957e-05	0.000000e+00	1.792140e-06
4.200000e+02	4.300000e+02	4.497964e-05	8.729320e-06	0.000000e+00
4.300000e+02	4.400000e+02	3.114647e-05	0.000000e+00	7.559030e-06
4.400000e+02	4.500000e+02	3.094715e-05	5.763300e-07	1.389346e-05
4.500000e+02	4.600000e+02	2.242672e-05	7.470600e-07	6.051950e-06
4.600000e+02	4.700000e+02	2.550307e-05	1.197520e-06	1.506060e-06
4.700000e+02	4.800000e+02	2.205979e-05	3.906100e-06	0.000000e+00
4.800000e+02	4.900000e+02	1.876534e-05	1.250085e-05	1.038419e-05
4.900000e+02	5.000000e+02	2.085437e-05	6.838450e-06	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_excl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
