# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl
XLabel=$p_{T,j_1j_2j_3}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{incl}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/H_jjj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	9.522321e-04	6.168640e-05	3.604130e-05
1.000000e+01	2.000000e+01	2.781313e-03	1.876520e-04	3.654470e-04
2.000000e+01	3.000000e+01	4.564291e-03	4.505070e-04	5.055540e-04
3.000000e+01	4.000000e+01	5.803170e-03	4.134490e-04	3.673160e-04
4.000000e+01	5.000000e+01	6.958171e-03	6.437070e-04	5.959320e-04
5.000000e+01	6.000000e+01	7.605987e-03	7.646660e-04	7.785990e-04
6.000000e+01	7.000000e+01	7.728667e-03	5.962360e-04	9.213890e-04
7.000000e+01	8.000000e+01	7.988035e-03	7.519880e-04	7.988570e-04
8.000000e+01	9.000000e+01	7.763846e-03	5.620680e-04	8.193000e-04
9.000000e+01	1.000000e+02	7.589059e-03	8.912050e-04	4.959420e-04
1.000000e+02	1.100000e+02	6.891306e-03	6.589480e-04	9.119300e-04
1.100000e+02	1.200000e+02	6.304944e-03	6.334480e-04	4.646500e-04
1.200000e+02	1.300000e+02	5.505640e-03	3.917470e-04	6.091710e-04
1.300000e+02	1.400000e+02	5.109264e-03	3.562500e-05	2.355790e-04
1.400000e+02	1.500000e+02	4.290743e-03	2.946740e-04	5.408100e-04
1.500000e+02	1.600000e+02	3.818658e-03	3.206900e-04	1.573780e-04
1.600000e+02	1.700000e+02	3.229608e-03	2.181100e-04	3.133890e-04
1.700000e+02	1.800000e+02	2.815438e-03	2.289030e-04	2.363060e-04
1.800000e+02	1.900000e+02	2.408632e-03	1.305240e-04	3.308970e-04
1.900000e+02	2.000000e+02	2.084039e-03	1.900880e-04	9.992200e-05
2.000000e+02	2.100000e+02	2.225567e-03	6.148370e-04	0.000000e+00
2.100000e+02	2.200000e+02	1.455055e-03	3.948400e-05	1.691070e-04
2.200000e+02	2.300000e+02	1.271178e-03	1.381750e-04	1.131810e-04
2.300000e+02	2.400000e+02	1.125044e-03	1.403224e-04	0.000000e+00
2.400000e+02	2.500000e+02	9.015288e-04	8.169130e-05	8.896560e-05
2.500000e+02	2.600000e+02	7.759987e-04	1.475061e-04	5.647610e-05
2.600000e+02	2.700000e+02	6.594289e-04	5.955560e-05	4.714040e-05
2.700000e+02	2.800000e+02	5.821471e-04	2.367320e-05	9.652610e-05
2.800000e+02	2.900000e+02	4.924299e-04	4.211440e-05	3.653300e-06
2.900000e+02	3.000000e+02	4.143646e-04	4.055600e-05	1.457570e-05
3.000000e+02	3.100000e+02	3.664945e-04	1.185970e-05	8.406200e-06
3.100000e+02	3.200000e+02	3.195544e-04	2.719040e-05	2.207850e-05
3.200000e+02	3.300000e+02	2.760096e-04	8.519520e-05	1.158420e-05
3.300000e+02	3.400000e+02	2.403184e-04	1.193980e-05	1.566590e-05
3.400000e+02	3.500000e+02	2.033964e-04	3.242640e-05	0.000000e+00
3.500000e+02	3.600000e+02	1.832660e-04	1.808890e-05	2.349070e-05
3.600000e+02	3.700000e+02	1.620507e-04	1.982640e-05	1.807880e-05
3.700000e+02	3.800000e+02	1.377290e-04	8.923700e-06	3.299700e-05
3.800000e+02	3.900000e+02	1.106479e-04	6.633400e-06	2.289200e-05
3.900000e+02	4.000000e+02	1.039598e-04	7.590710e-06	3.502270e-05
4.000000e+02	4.100000e+02	1.045212e-04	2.025166e-05	0.000000e+00
4.100000e+02	4.200000e+02	8.161507e-05	2.647140e-05	0.000000e+00
4.200000e+02	4.300000e+02	7.061401e-05	0.000000e+00	7.905640e-06
4.300000e+02	4.400000e+02	6.228083e-05	0.000000e+00	8.230620e-06
4.400000e+02	4.500000e+02	5.164798e-05	0.000000e+00	3.757047e-05
4.500000e+02	4.600000e+02	6.879871e-05	2.809964e-05	0.000000e+00
4.600000e+02	4.700000e+02	4.878585e-05	0.000000e+00	4.494200e-06
4.700000e+02	4.800000e+02	4.187595e-05	2.465390e-06	1.264460e-05
4.800000e+02	4.900000e+02	3.980169e-05	7.804400e-06	6.264880e-06
4.900000e+02	5.000000e+02	3.931350e-05	1.192911e-05	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H_jjj_pT_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
