# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl
XLabel=$\Delta \phi_{j_1j_2}^{excl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}^{excl}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/deltaphi_jj_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	5.867006e-01	2.808982e-02	5.074971e-03
1.047198e-01	2.094395e-01	5.728962e-01	1.519542e-02	1.346261e-02
2.094395e-01	3.141593e-01	5.810941e-01	1.185335e-02	1.665798e-02
3.141594e-01	4.188790e-01	5.995447e-01	1.492699e-02	6.604011e-03
4.188790e-01	5.235988e-01	6.159317e-01	2.036033e-02	1.088304e-02
5.235989e-01	6.283186e-01	6.321935e-01	9.390592e-03	2.990832e-02
6.283185e-01	7.330383e-01	6.898135e-01	1.348494e-02	0.000000e+00
7.330384e-01	8.377581e-01	7.295307e-01	1.785347e-02	9.576804e-03
8.377580e-01	9.424778e-01	7.364218e-01	1.306763e-02	1.925023e-02
9.424778e-01	1.047198e+00	7.447094e-01	1.628912e-02	1.587745e-02
1.047197e+00	1.151917e+00	7.416962e-01	1.148626e-02	2.628912e-02
1.151917e+00	1.256637e+00	7.555087e-01	2.195722e-02	1.399962e-02
1.256637e+00	1.361357e+00	7.562727e-01	2.590432e-02	2.002502e-02
1.361357e+00	1.466077e+00	7.611718e-01	1.966310e-02	2.876222e-02
1.466076e+00	1.570796e+00	7.708281e-01	2.871064e-02	2.869766e-02
1.570796e+00	1.675516e+00	7.817973e-01	2.709349e-02	2.351022e-02
1.675516e+00	1.780236e+00	7.916206e-01	3.020378e-02	2.853724e-02
1.780236e+00	1.884956e+00	8.079332e-01	2.350029e-02	2.314601e-02
1.884955e+00	1.989675e+00	8.160261e-01	2.183157e-02	3.842264e-02
1.989675e+00	2.094395e+00	8.374113e-01	3.487462e-02	2.229536e-02
2.094395e+00	2.199115e+00	8.226440e-01	3.526165e-03	6.259836e-02
2.199115e+00	2.303835e+00	8.701004e-01	3.213617e-02	1.217456e-02
2.303834e+00	2.408554e+00	8.794369e-01	2.824998e-02	3.491296e-02
2.408554e+00	2.513274e+00	8.988470e-01	2.526900e-02	2.706331e-02
2.513274e+00	2.617994e+00	9.140137e-01	3.994738e-02	2.813312e-02
2.617994e+00	2.722714e+00	9.264216e-01	3.677807e-02	2.674207e-02
2.722713e+00	2.827433e+00	9.445697e-01	1.775619e-02	3.600980e-02
2.827433e+00	2.932153e+00	9.552015e-01	4.901891e-02	2.878629e-02
2.932153e+00	3.036873e+00	9.676862e-01	3.754154e-02	2.479278e-02
3.036873e+00	3.141593e+00	9.593277e-01	2.635456e-02	3.832506e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	5.729155e-01	2.462094e-02	2.438183e-02
1.047198e-01	2.094395e-01	5.771284e-01	2.440916e-02	2.226343e-02
2.094395e-01	3.141593e-01	5.847657e-01	2.310308e-02	2.192183e-02
3.141594e-01	4.188790e-01	5.982736e-01	2.571331e-02	1.896071e-02
4.188790e-01	5.235988e-01	6.138787e-01	2.232605e-02	2.385069e-02
5.235989e-01	6.283186e-01	6.411758e-01	2.625227e-02	2.400666e-02
6.283185e-01	7.330383e-01	6.907199e-01	2.308456e-02	2.619371e-02
7.330384e-01	8.377581e-01	7.332517e-01	2.139874e-02	2.377671e-02
8.377580e-01	9.424778e-01	7.405929e-01	2.412667e-02	2.627870e-02
9.424778e-01	1.047198e+00	7.498223e-01	2.094352e-02	2.413068e-02
1.047197e+00	1.151917e+00	7.572395e-01	3.469523e-02	2.325758e-02
1.151917e+00	1.256637e+00	7.626197e-01	3.468230e-02	2.308241e-02
1.256637e+00	1.361357e+00	7.620965e-01	3.155758e-02	2.964629e-02
1.361357e+00	1.466077e+00	7.693507e-01	3.324055e-02	3.011946e-02
1.466076e+00	1.570796e+00	7.779554e-01	3.744383e-02	3.227743e-02
1.570796e+00	1.675516e+00	7.880945e-01	3.022231e-02	4.103476e-02
1.675516e+00	1.780236e+00	7.997147e-01	4.327416e-02	3.442475e-02
1.780236e+00	1.884956e+00	8.125124e-01	4.311917e-02	3.354622e-02
1.884955e+00	1.989675e+00	8.228185e-01	3.699042e-02	3.839380e-02
1.989675e+00	2.094395e+00	8.416147e-01	4.124255e-02	3.706178e-02
2.094395e+00	2.199115e+00	8.541304e-01	4.482296e-02	3.724398e-02
2.199115e+00	2.303835e+00	8.695752e-01	4.522135e-02	4.098577e-02
2.303834e+00	2.408554e+00	8.847498e-01	4.391276e-02	3.961258e-02
2.408554e+00	2.513274e+00	9.234159e-01	7.191215e-02	2.082907e-02
2.513274e+00	2.617994e+00	9.190238e-01	4.549704e-02	4.309139e-02
2.617994e+00	2.722714e+00	9.340846e-01	5.575086e-02	4.353476e-02
2.722713e+00	2.827433e+00	9.453034e-01	5.229758e-02	4.616612e-02
2.827433e+00	2.932153e+00	9.561354e-01	5.503839e-02	4.770722e-02
2.932153e+00	3.036873e+00	9.654154e-01	5.510943e-02	4.703591e-02
3.036873e+00	3.141593e+00	9.696180e-01	5.281818e-02	4.747422e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_excl
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	5.566362e-01	1.263133e-02	6.683741e-03
1.047198e-01	2.094395e-01	5.602670e-01	1.294857e-02	7.034780e-03
2.094395e-01	3.141593e-01	5.660201e-01	1.207002e-02	8.258801e-03
3.141594e-01	4.188790e-01	5.770000e-01	1.110039e-02	7.645744e-03
4.188790e-01	5.235988e-01	5.918320e-01	1.213199e-02	9.375973e-03
5.235989e-01	6.283186e-01	6.153993e-01	1.243042e-02	9.091604e-03
