# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl
XLabel=$\Delta \phi_{j_1j_2}^{incl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}^{incl}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/deltaphi_jj_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	7.688932e-01	2.521949e-02	1.108129e-02
1.047198e-01	2.094395e-01	7.693947e-01	1.389815e-02	0.000000e+00
2.094395e-01	3.141593e-01	7.696286e-01	3.311236e-02	0.000000e+00
3.141594e-01	4.188790e-01	8.025136e-01	1.533035e-02	0.000000e+00
4.188790e-01	5.235988e-01	8.281833e-01	1.607881e-02	0.000000e+00
5.235989e-01	6.283186e-01	8.578965e-01	0.000000e+00	1.381784e-02
6.283185e-01	7.330383e-01	9.554449e-01	2.102353e-02	0.000000e+00
7.330384e-01	8.377581e-01	1.018922e+00	6.726528e-03	1.230905e-03
8.377580e-01	9.424778e-01	1.027859e+00	0.000000e+00	3.438700e-03
9.424778e-01	1.047198e+00	1.038363e+00	1.094249e-02	0.000000e+00
1.047197e+00	1.151917e+00	1.022895e+00	0.000000e+00	1.003352e-02
1.151917e+00	1.256637e+00	1.023468e+00	0.000000e+00	8.650688e-03
1.256637e+00	1.361357e+00	1.029148e+00	1.064840e-02	0.000000e+00
1.361357e+00	1.466077e+00	1.040350e+00	1.477559e-02	1.649160e-03
1.466076e+00	1.570796e+00	1.052128e+00	2.334629e-02	6.161251e-03
1.570796e+00	1.675516e+00	1.056081e+00	0.000000e+00	1.580023e-02
1.675516e+00	1.780236e+00	1.067814e+00	0.000000e+00	1.896390e-02
1.780236e+00	1.884956e+00	1.103897e+00	0.000000e+00	1.637319e-02
1.884955e+00	1.989675e+00	1.115426e+00	7.042657e-03	2.539367e-02
1.989675e+00	2.094395e+00	1.154147e+00	1.255730e-02	0.000000e+00
2.094395e+00	2.199115e+00	1.139466e+00	0.000000e+00	3.794500e-02
2.199115e+00	2.303835e+00	1.193714e+00	5.674179e-03	8.186593e-03
2.303834e+00	2.408554e+00	1.227867e+00	1.428203e-02	0.000000e+00
2.408554e+00	2.513274e+00	1.259358e+00	2.171505e-03	5.344729e-03
2.513274e+00	2.617994e+00	1.278689e+00	1.505157e-02	5.843201e-03
2.617994e+00	2.722714e+00	1.303782e+00	6.851604e-03	0.000000e+00
2.722713e+00	2.827433e+00	1.326056e+00	0.000000e+00	2.426112e-02
2.827433e+00	2.932153e+00	1.346092e+00	1.367552e-02	4.114782e-03
2.932153e+00	3.036873e+00	1.373231e+00	1.806436e-02	0.000000e+00
3.036873e+00	3.141593e+00	1.367048e+00	2.475649e-02	4.950344e-03
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/deltaphi_jj_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	7.492468e-01	6.611930e-03	8.024652e-03
1.047198e-01	2.094395e-01	7.543933e-01	7.920095e-03	5.244476e-03
2.094395e-01	3.141593e-01	7.661862e-01	3.388089e-04	4.406617e-03
3.141594e-01	4.188790e-01	7.881684e-01	4.096841e-03	0.000000e+00
4.188790e-01	5.235988e-01	8.126035e-01	0.000000e+00	7.824117e-03
5.235989e-01	6.283186e-01	8.598689e-01	8.556174e-04	1.985777e-03
6.283185e-01	7.330383e-01	9.460637e-01	0.000000e+00	3.324586e-03
7.330384e-01	8.377581e-01	1.018264e+00	6.842075e-03	9.265687e-03
8.377580e-01	9.424778e-01	1.020597e+00	0.000000e+00	1.429338e-02
9.424778e-01	1.047198e+00	1.026704e+00	4.564544e-03	1.229276e-02
1.047197e+00	1.151917e+00	1.029240e+00	1.182211e-03	1.660635e-03
1.151917e+00	1.256637e+00	1.032425e+00	3.474981e-03	6.522154e-04
1.256637e+00	1.361357e+00	1.028841e+00	0.000000e+00	1.139228e-02
1.361357e+00	1.466077e+00	1.036121e+00	2.177235e-03	6.109626e-03
1.466076e+00	1.570796e+00	1.045818e+00	1.716021e-03	6.641584e-03
1.570796e+00	1.675516e+00	1.061706e+00	0.000000e+00	1.224599e-02
