# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass
XLabel=$m_{j_1j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_3j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/j1j3j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	3.791180e-10	0.000000e+00	1.618203e-09
4.000000e+01	6.000000e+01	7.841550e-07	0.000000e+00	1.864930e-07
6.000000e+01	8.000000e+01	1.381337e-05	0.000000e+00	4.828495e-06
8.000000e+01	1.000000e+02	8.969045e-05	3.304700e-06	1.701060e-05
1.000000e+02	1.200000e+02	2.271341e-04	2.825455e-05	3.871115e-05
1.200000e+02	1.400000e+02	4.369895e-04	7.558190e-05	5.230390e-05
1.400000e+02	1.600000e+02	4.971115e-04	1.089820e-05	1.530085e-04
1.600000e+02	1.800000e+02	5.957095e-04	7.342300e-05	1.090680e-04
1.800000e+02	2.000000e+02	6.098750e-04	9.476650e-05	1.363840e-04
2.000000e+02	2.200000e+02	5.700300e-04	1.095955e-04	9.981100e-05
2.200000e+02	2.400000e+02	5.299480e-04	1.730000e-07	1.060515e-04
2.400000e+02	2.600000e+02	4.677685e-04	8.339550e-05	1.066500e-04
2.600000e+02	2.800000e+02	4.541301e-04	9.797340e-05	5.733040e-05
2.800000e+02	3.000000e+02	4.168393e-04	8.741095e-05	2.268990e-05
3.000000e+02	3.200000e+02	3.516928e-04	4.412090e-05	6.569840e-05
3.200000e+02	3.400000e+02	3.378162e-04	6.214015e-05	4.333560e-05
3.400000e+02	3.600000e+02	2.932807e-04	4.494425e-05	4.940330e-05
3.600000e+02	3.800000e+02	2.511521e-04	2.617710e-05	8.522815e-05
3.800000e+02	4.000000e+02	2.589592e-04	4.948980e-05	5.863860e-05
4.000000e+02	4.200000e+02	2.337593e-04	7.243955e-05	0.000000e+00
4.200000e+02	4.400000e+02	2.175835e-04	2.932110e-05	4.095010e-05
4.400000e+02	4.600000e+02	2.029888e-04	3.770525e-05	4.619180e-05
4.600000e+02	4.800000e+02	1.851904e-04	2.541195e-05	2.047630e-05
4.800000e+02	5.000000e+02	1.793951e-04	3.234740e-05	3.686550e-05
5.000000e+02	5.200000e+02	1.606426e-04	2.801670e-05	4.023925e-05
5.200000e+02	5.400000e+02	1.491286e-04	2.458255e-05	3.798140e-05
5.400000e+02	5.600000e+02	1.392966e-04	2.166345e-05	2.933340e-05
5.600000e+02	5.800000e+02	1.343544e-04	2.378335e-05	3.171785e-05
5.800000e+02	6.000000e+02	1.330499e-04	3.145300e-05	1.573360e-05
6.000000e+02	6.200000e+02	1.190848e-04	9.257250e-06	3.436625e-05
6.200000e+02	6.400000e+02	1.115881e-04	1.552620e-05	3.366230e-05
6.400000e+02	6.600000e+02	1.143870e-04	2.412945e-05	1.276510e-05
6.600000e+02	6.800000e+02	1.058808e-04	2.047465e-05	3.078360e-05
6.800000e+02	7.000000e+02	9.159750e-05	1.653455e-05	2.630455e-05
7.000000e+02	7.200000e+02	9.180855e-05	1.521395e-05	2.255335e-05
7.200000e+02	7.400000e+02	8.361675e-05	1.034065e-05	2.166765e-05
7.400000e+02	7.600000e+02	9.262640e-05	1.939695e-05	1.041080e-05
7.600000e+02	7.800000e+02	7.214570e-05	5.792400e-06	3.103815e-05
7.800000e+02	8.000000e+02	7.555850e-05	1.368505e-05	2.686345e-05
8.000000e+02	8.200000e+02	6.864590e-05	1.855455e-05	2.369675e-05
8.200000e+02	8.400000e+02	6.805840e-05	5.315650e-06	1.410100e-05
8.400000e+02	8.600000e+02	6.601315e-05	1.276440e-05	1.541585e-05
8.600000e+02	8.800000e+02	6.182985e-05	1.002000e-05	1.100685e-05
8.800000e+02	9.000000e+02	5.986800e-05	1.108974e-05	1.863655e-05
9.000000e+02	9.200000e+02	5.814260e-05	9.438740e-06	1.137210e-05
9.200000e+02	9.400000e+02	5.428310e-05	9.750150e-06	9.277950e-06
9.400000e+02	9.600000e+02	5.409120e-05	1.063867e-05	0.000000e+00
9.600000e+02	9.800000e+02	5.374900e-05	9.596880e-06	7.380350e-06
9.800000e+02	1.000000e+03	4.791959e-05	6.813915e-06	1.246136e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	4.000000e+01	2.233411e-09	2.053135e-09	1.063178e-09
4.000000e+01	6.000000e+01	8.729290e-07	6.001750e-08	1.788350e-08
6.000000e+01	8.000000e+01	1.897637e-05	3.935950e-07	1.156950e-06
8.000000e+01	1.000000e+02	8.787735e-05	2.792200e-06	1.542615e-05
1.000000e+02	1.200000e+02	2.147227e-04	2.774650e-05	4.084790e-05
1.200000e+02	1.400000e+02	3.916371e-04	5.152000e-05	7.976995e-05
1.400000e+02	1.600000e+02	5.185865e-04	7.518105e-05	1.188895e-04
1.600000e+02	1.800000e+02	5.769165e-04	9.915295e-05	1.242695e-04
1.800000e+02	2.000000e+02	5.691200e-04	9.190320e-05	1.319220e-04
2.000000e+02	2.200000e+02	5.371060e-04	9.413340e-05	1.249770e-04
2.200000e+02	2.400000e+02	4.986327e-04	9.061900e-05	1.085568e-04
2.400000e+02	2.600000e+02	4.588871e-04	8.720665e-05	1.011784e-04
2.600000e+02	2.800000e+02	4.159048e-04	7.557440e-05	9.366965e-05
2.800000e+02	3.000000e+02	3.844630e-04	7.549630e-05	7.918635e-05
3.000000e+02	3.200000e+02	3.415904e-04	5.314025e-05	8.334570e-05
3.200000e+02	3.400000e+02	3.159920e-04	6.585855e-05	8.597235e-05
3.400000e+02	3.600000e+02	2.987117e-04	6.701725e-05	5.864915e-05
3.600000e+02	3.800000e+02	2.605976e-04	5.239410e-05	6.944785e-05
3.800000e+02	4.000000e+02	2.438016e-04	4.815235e-05	6.386095e-05
4.000000e+02	4.200000e+02	2.240849e-04	4.091705e-05	6.102855e-05
4.200000e+02	4.400000e+02	2.105133e-04	4.560495e-05	1.184789e-04
4.400000e+02	4.600000e+02	1.922183e-04	3.453790e-05	5.255300e-05
4.600000e+02	4.800000e+02	1.782010e-04	3.367800e-05	5.865310e-05
4.800000e+02	5.000000e+02	1.684076e-04	3.929265e-05	4.740230e-05
5.000000e+02	5.200000e+02	1.556721e-04	3.074285e-05	4.807255e-05
5.200000e+02	5.400000e+02	1.657264e-04	4.959260e-05	2.980800e-05
5.400000e+02	5.600000e+02	1.333656e-04	2.366635e-05	4.797705e-05
5.600000e+02	5.800000e+02	1.323184e-04	2.903350e-05	3.763220e-05
5.800000e+02	6.000000e+02	1.242591e-04	2.404805e-05	3.424035e-05
6.000000e+02	6.200000e+02	1.197622e-04	2.835235e-05	3.276120e-05
6.200000e+02	6.400000e+02	1.074941e-04	2.018465e-05	3.572000e-05
6.400000e+02	6.600000e+02	1.028172e-04	1.569355e-05	3.173055e-05
6.600000e+02	6.800000e+02	9.856535e-05	2.047825e-05	2.706850e-05
6.800000e+02	7.000000e+02	9.683345e-05	2.452965e-05	2.268315e-05
7.000000e+02	7.200000e+02	8.702635e-05	1.905285e-05	2.706845e-05
7.200000e+02	7.400000e+02	8.439275e-05	1.783760e-05	2.973050e-05
7.400000e+02	7.600000e+02	8.018185e-05	1.717590e-05	2.301755e-05
7.600000e+02	7.800000e+02	7.498870e-05	1.475770e-05	2.490445e-05
7.800000e+02	8.000000e+02	7.521795e-05	1.722860e-05	2.311845e-05
8.000000e+02	8.200000e+02	6.978675e-05	1.661810e-05	2.375100e-05
8.200000e+02	8.400000e+02	6.696410e-05	1.559510e-05	1.976875e-05
8.400000e+02	8.600000e+02	6.781060e-05	1.637420e-05	3.366800e-06
8.600000e+02	8.800000e+02	6.048035e-05	1.261425e-05	1.910545e-05
8.800000e+02	9.000000e+02	5.889825e-05	1.442825e-05	1.335585e-05
9.000000e+02	9.200000e+02	5.550110e-05	1.157452e-05	2.082960e-05
9.200000e+02	9.400000e+02	5.463230e-05	1.170677e-05	1.459805e-05
9.400000e+02	9.600000e+02	5.086165e-05	1.094736e-05	1.665835e-05
9.600000e+02	9.800000e+02	5.048000e-05	1.027895e-05	1.248030e-05
9.800000e+02	1.000000e+03	4.763203e-05	9.442900e-06	1.518612e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j1j3j4_mass
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
