# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/j2j3_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/j2j3_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/j2j3_mass
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/j2j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	7.557795e-04	0.000000e+00	2.137300e-05
4.000000e+01	8.000000e+01	5.234995e-03	2.431175e-04	3.896725e-04
8.000000e+01	1.200000e+02	5.090340e-03	3.816225e-04	2.049350e-04
1.200000e+02	1.600000e+02	2.324225e-03	1.890223e-04	2.344630e-04
1.600000e+02	2.000000e+02	1.451773e-03	1.380335e-04	5.272750e-05
2.000000e+02	2.400000e+02	1.032959e-03	9.700025e-05	7.525925e-05
2.400000e+02	2.800000e+02	8.053117e-04	7.881550e-05	5.913100e-05
2.800000e+02	3.200000e+02	6.433008e-04	4.907900e-05	4.093150e-05
3.200000e+02	3.600000e+02	5.484467e-04	3.864675e-05	6.050300e-05
3.600000e+02	4.000000e+02	4.607225e-04	3.025550e-05	0.000000e+00
4.000000e+02	4.400000e+02	4.244022e-04	3.099675e-05	3.729675e-05
4.400000e+02	4.800000e+02	3.929928e-04	4.961325e-05	2.672300e-05
4.800000e+02	5.200000e+02	3.437930e-04	2.597625e-05	3.272625e-05
5.200000e+02	5.600000e+02	3.025343e-04	1.693225e-05	1.474800e-05
5.600000e+02	6.000000e+02	2.864595e-04	2.440100e-05	1.497800e-05
6.000000e+02	6.400000e+02	2.437702e-04	4.316725e-06	3.200557e-05
6.400000e+02	6.800000e+02	2.420534e-04	3.020693e-05	3.444075e-06
6.800000e+02	7.200000e+02	2.107410e-04	1.516355e-05	1.443270e-05
7.200000e+02	7.600000e+02	1.916792e-04	1.430457e-05	1.328593e-05
7.600000e+02	8.000000e+02	1.717162e-04	9.002550e-06	1.780983e-05
8.000000e+02	8.400000e+02	1.549430e-04	0.000000e+00	2.875265e-05
8.400000e+02	8.800000e+02	1.466715e-04	1.539108e-05	1.532420e-05
8.800000e+02	9.200000e+02	1.460148e-04	1.648238e-05	0.000000e+00
9.200000e+02	9.600000e+02	1.743605e-04	6.877973e-05	0.000000e+00
9.600000e+02	1.000000e+03	1.159752e-04	1.262070e-05	1.658898e-05
1.000000e+03	1.040000e+03	1.008515e-04	7.693800e-06	1.453522e-05
1.040000e+03	1.080000e+03	9.881940e-05	1.071570e-05	7.367525e-06
1.080000e+03	1.120000e+03	9.113938e-05	1.073577e-05	0.000000e+00
1.120000e+03	1.160000e+03	8.020410e-05	7.021150e-06	5.093125e-06
1.160000e+03	1.200000e+03	7.707458e-05	6.619525e-06	6.758225e-06
1.200000e+03	1.240000e+03	6.776085e-05	4.888425e-06	4.848300e-06
1.240000e+03	1.280000e+03	5.941527e-05	1.142075e-06	5.957050e-06
1.280000e+03	1.320000e+03	5.811477e-05	4.194700e-06	2.609950e-06
1.320000e+03	1.360000e+03	5.095663e-05	2.507075e-06	6.871350e-06
1.360000e+03	1.400000e+03	5.010122e-05	3.741400e-06	4.088175e-06
1.400000e+03	1.440000e+03	4.639040e-05	4.501100e-06	0.000000e+00
1.440000e+03	1.480000e+03	4.311218e-05	5.045075e-06	2.550200e-06
1.480000e+03	1.520000e+03	3.847253e-05	2.652550e-06	4.912050e-06
1.520000e+03	1.560000e+03	3.197345e-05	1.530400e-06	5.601100e-06
1.560000e+03	1.600000e+03	3.291253e-05	2.384775e-06	8.965225e-06
1.600000e+03	1.640000e+03	3.292262e-05	3.752525e-06	0.000000e+00
1.640000e+03	1.680000e+03	2.737450e-05	1.615750e-06	0.000000e+00
1.680000e+03	1.720000e+03	2.555908e-05	2.270000e-08	3.596700e-06
1.720000e+03	1.760000e+03	2.384061e-05	2.145907e-06	1.241367e-06
1.760000e+03	1.800000e+03	2.236751e-05	2.529422e-06	3.702940e-06
1.800000e+03	1.840000e+03	2.033582e-05	2.138442e-06	3.678913e-06
1.840000e+03	1.880000e+03	1.735723e-05	0.000000e+00	3.271993e-06
1.880000e+03	1.920000e+03	1.727684e-05	1.836785e-06	0.000000e+00
1.920000e+03	1.960000e+03	1.465200e-05	0.000000e+00	3.471353e-06
1.960000e+03	2.000000e+03	1.522366e-05	1.484298e-06	4.903500e-08
2.000000e+03	2.040000e+03	1.416100e-05	7.891600e-07	1.019248e-06
2.040000e+03	2.080000e+03	1.247280e-05	0.000000e+00	5.186155e-06
