# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/log10_d_12
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/log10_d_12 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_INC/log10_d_12
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$\sqrt{d_{12}}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma / \sqrt{d_{12}}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/log10_d_12
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/log10_d_12
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	1.596693e+00	7.558229e-02	0.000000e+00
2.361291e-01	2.722583e-01	1.667378e+00	3.705535e-02	0.000000e+00
2.722583e-01	3.083875e-01	1.728573e+00	1.283923e-02	3.428538e-02
3.083874e-01	3.445165e-01	1.873047e+00	1.274886e-01	0.000000e+00
3.445165e-01	3.806457e-01	1.931866e+00	1.252881e-01	0.000000e+00
3.806457e-01	4.167748e-01	1.978430e+00	1.499863e-01	0.000000e+00
4.167748e-01	4.529039e-01	1.948359e+00	6.742570e-02	3.670227e-02
4.529039e-01	4.890331e-01	1.971035e+00	8.363650e-02	0.000000e+00
4.890331e-01	5.251621e-01	2.006890e+00	1.102012e-01	0.000000e+00
5.251623e-01	5.612913e-01	2.023519e+00	8.419889e-02	3.883296e-02
5.612913e-01	5.974205e-01	2.051899e+00	3.424183e-02	0.000000e+00
5.974204e-01	6.335495e-01	2.057888e+00	7.019106e-02	0.000000e+00
6.335497e-01	6.696787e-01	2.017642e+00	0.000000e+00	1.279772e-02
6.696787e-01	7.058079e-01	2.048519e+00	5.241716e-02	0.000000e+00
7.058080e-01	7.419370e-01	2.005897e+00	6.418538e-02	4.811468e-02
7.419370e-01	7.780660e-01	1.883804e+00	0.000000e+00	1.290688e-01
7.780661e-01	8.141953e-01	1.894403e+00	6.638176e-02	7.839947e-02
8.141954e-01	8.503245e-01	1.841554e+00	1.860716e-01	6.521696e-02
8.503244e-01	8.864534e-01	1.818854e+00	1.146519e-01	5.527041e-02
8.864535e-01	9.225827e-01	1.686497e+00	1.044272e-01	1.484384e-01
9.225828e-01	9.587118e-01	1.567722e+00	8.436053e-02	1.601338e-01
9.587118e-01	9.948408e-01	1.501553e+00	1.454896e-01	1.105555e-01
9.948404e-01	1.030970e+00	1.396049e+00	1.389827e-01	1.507632e-01
1.030970e+00	1.067098e+00	1.270998e+00	1.309580e-01	1.817260e-01
1.067100e+00	1.103228e+00	1.161548e+00	1.200709e-01	1.838141e-01
1.103229e+00	1.139358e+00	1.089031e+00	1.588051e-01	1.600794e-01
1.139357e+00	1.175487e+00	9.536028e-01	8.984639e-02	1.643695e-01
1.175487e+00	1.211615e+00	8.864704e-01	1.020729e-01	1.651906e-01
1.211617e+00	1.247745e+00	8.109079e-01	1.292693e-01	1.611769e-01
1.247746e+00	1.283875e+00	7.288228e-01	9.212931e-02	1.400401e-01
1.283874e+00	1.320002e+00	6.405741e-01	8.923579e-02	1.438852e-01
1.320002e+00	1.356131e+00	5.809145e-01	7.894628e-02	1.338841e-01
1.356132e+00	1.392261e+00	5.164416e-01	8.023831e-02	1.138844e-01
1.392261e+00	1.428391e+00	4.565405e-01	7.145253e-02	1.018386e-01
1.428391e+00	1.464519e+00	3.947007e-01	6.088322e-02	9.999945e-02
1.464519e+00	1.500648e+00	3.609737e-01	7.624457e-02	8.514822e-02
1.500649e+00	1.536778e+00	3.039893e-01	5.013383e-02	8.382601e-02
1.536778e+00	1.572906e+00	2.695017e-01	4.439298e-02	7.540962e-02
1.572906e+00	1.609035e+00	2.294132e-01	3.488757e-02	7.160727e-02
1.609036e+00	1.645165e+00	2.036299e-01	3.182623e-02	6.141986e-02
1.645165e+00	1.681293e+00	1.763192e-01	3.188062e-02	5.866279e-02
1.681294e+00	1.717424e+00	1.479844e-01	2.599361e-02	5.532809e-02
1.717423e+00	1.753552e+00	1.372264e-01	3.453672e-02	3.922868e-02
1.753553e+00	1.789682e+00	1.147330e-01	1.796512e-02	4.251848e-02
1.789682e+00	1.825811e+00	1.026707e-01	2.337665e-02	2.929624e-02
1.825812e+00	1.861940e+00	8.803164e-02	1.866445e-02	3.619929e-02
1.861940e+00	1.898069e+00	7.443774e-02	1.294129e-02	2.495646e-02
1.898069e+00	1.934198e+00	6.597044e-02	1.308063e-02	2.157655e-02
1.934198e+00	1.970328e+00	5.449626e-02	1.233175e-02	2.225616e-02
1.970329e+00	2.006458e+00	4.492521e-02	7.514268e-03	1.895206e-02
2.006458e+00	2.042587e+00	4.016914e-02	7.949570e-03	1.450591e-02
