# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$H_{T,jets}^\text{gap}$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$\text{d} \sigma/ \text{d} H_{T,jets}^\text{gap}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/HT_gapjets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/HT_gapjets
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	4.047860e-03	3.288030e-04	2.648780e-04
3.000000e+01	4.000000e+01	4.977847e-03	2.533350e-04	6.192900e-05
4.000000e+01	5.000000e+01	2.338589e-03	3.099300e-05	0.000000e+00
5.000000e+01	6.000000e+01	1.781688e-03	7.726100e-05	3.937000e-05
6.000000e+01	7.000000e+01	1.561572e-03	1.733360e-04	1.375190e-04
7.000000e+01	8.000000e+01	1.231123e-03	1.628690e-04	5.674000e-05
8.000000e+01	9.000000e+01	8.716937e-04	9.916380e-05	2.205833e-04
9.000000e+01	1.000000e+02	7.448832e-04	1.537104e-04	4.627200e-05
1.000000e+02	1.100000e+02	5.538333e-04	6.502070e-05	8.636680e-05
1.100000e+02	1.200000e+02	4.126700e-04	4.807930e-05	9.930040e-05
1.200000e+02	1.300000e+02	3.715477e-04	9.973080e-05	1.822510e-05
1.300000e+02	1.400000e+02	2.620077e-04	4.960650e-05	6.348740e-05
1.400000e+02	1.500000e+02	2.136500e-04	2.387760e-05	5.415900e-05
1.500000e+02	1.600000e+02	1.660469e-04	3.447020e-05	4.713790e-05
1.600000e+02	1.700000e+02	1.386906e-04	2.937430e-05	3.075910e-05
1.700000e+02	1.800000e+02	1.156343e-04	3.137160e-05	3.237980e-05
1.800000e+02	1.900000e+02	8.746012e-05	2.300945e-05	2.275288e-05
1.900000e+02	2.000000e+02	7.161439e-05	1.894968e-05	2.163823e-05
2.000000e+02	2.100000e+02	5.114849e-05	1.083420e-05	2.213576e-05
2.100000e+02	2.200000e+02	4.922204e-05	1.482333e-05	1.479394e-05
2.200000e+02	2.300000e+02	4.132435e-05	1.366015e-05	1.695813e-05
2.300000e+02	2.400000e+02	3.358990e-05	9.556310e-06	1.062836e-05
2.400000e+02	2.500000e+02	2.759510e-05	4.970760e-06	1.181065e-05
2.500000e+02	2.600000e+02	2.218471e-05	5.461350e-06	1.064846e-05
2.600000e+02	2.700000e+02	1.878463e-05	4.947490e-06	1.310861e-05
2.700000e+02	2.800000e+02	1.677699e-05	4.678140e-06	1.137435e-05
2.800000e+02	2.900000e+02	1.472430e-05	3.902800e-06	4.589910e-06
2.900000e+02	3.000000e+02	1.389651e-05	5.590602e-06	4.795850e-06
3.000000e+02	3.100000e+02	1.222567e-05	4.711561e-06	2.910600e-06
3.100000e+02	3.200000e+02	8.645688e-06	2.587963e-06	6.026202e-06
3.200000e+02	3.300000e+02	7.047533e-06	1.336827e-06	5.490287e-06
3.300000e+02	3.400000e+02	6.596699e-06	1.877651e-06	3.873491e-06
3.400000e+02	3.500000e+02	6.148470e-06	1.921607e-06	2.492894e-06
3.500000e+02	3.600000e+02	5.223099e-06	2.063159e-06	2.887414e-06
3.600000e+02	3.700000e+02	4.439473e-06	1.554399e-06	4.104377e-06
3.700000e+02	3.800000e+02	4.197358e-06	1.608783e-06	2.043015e-06
3.800000e+02	3.900000e+02	3.448652e-06	9.799190e-07	1.990890e-06
3.900000e+02	4.000000e+02	2.868273e-06	1.162321e-06	1.958460e-06
4.000000e+02	4.100000e+02	2.896196e-06	1.289138e-06	1.198911e-06
4.100000e+02	4.200000e+02	2.489214e-06	8.911430e-07	1.026961e-06
4.200000e+02	4.300000e+02	2.167790e-06	6.924520e-07	1.880951e-06
4.300000e+02	4.400000e+02	1.989771e-06	4.435740e-07	6.756840e-07
4.400000e+02	4.500000e+02	1.834498e-06	8.147620e-07	7.059670e-07
4.500000e+02	4.600000e+02	1.469031e-06	5.413850e-07	1.028849e-06
4.600000e+02	4.700000e+02	1.264517e-06	4.029169e-07	9.999850e-07
4.700000e+02	4.800000e+02	1.131204e-06	9.962812e-07	8.976770e-07
4.800000e+02	4.900000e+02	9.474638e-07	1.473524e-07	7.146412e-07
4.900000e+02	5.000000e+02	1.015272e-06	3.788951e-07	5.594180e-07
5.000000e+02	5.100000e+02	9.977372e-07	4.586731e-07	4.940338e-07
5.100000e+02	5.200000e+02	7.139119e-07	2.115204e-07	7.007271e-07
5.200000e+02	5.300000e+02	6.873227e-07	3.316915e-07	4.660493e-07
5.300000e+02	5.400000e+02	6.899336e-07	2.995024e-07	1.845061e-07
5.400000e+02	5.500000e+02	5.263839e-07	2.393839e-07	2.589378e-07
5.500000e+02	5.600000e+02	4.599176e-07	2.117101e-07	1.680427e-07
5.600000e+02	5.700000e+02	4.322985e-07	9.910540e-08	2.606568e-07
5.700000e+02	5.800000e+02	3.953069e-07	1.242431e-07	2.414599e-07
5.800000e+02	5.900000e+02	3.910966e-07	1.835474e-07	1.314587e-07
5.900000e+02	6.000000e+02	3.403399e-07	1.392807e-07	1.578004e-07
6.000000e+02	6.100000e+02	2.418852e-07	6.634170e-08	2.828590e-07
6.100000e+02	6.200000e+02	2.702371e-07	7.773370e-08	2.083277e-07
6.200000e+02	6.300000e+02	2.148174e-07	7.413540e-08	1.290025e-07
6.300000e+02	6.400000e+02	1.914715e-07	2.054450e-08	1.790997e-07
6.400000e+02	6.500000e+02	2.140821e-07	1.158243e-07	1.798942e-07
6.500000e+02	6.600000e+02	1.750240e-07	5.933940e-08	1.097174e-07
6.600000e+02	6.700000e+02	1.653330e-07	6.066840e-08	1.267941e-07
6.700000e+02	6.800000e+02	1.209370e-07	5.813053e-08	1.487800e-07
6.800000e+02	6.900000e+02	1.381858e-07	4.168706e-08	7.685890e-08
6.900000e+02	7.000000e+02	1.289269e-07	6.200288e-08	5.954670e-08
7.000000e+02	7.100000e+02	1.736231e-07	9.006098e-08	0.000000e+00
7.100000e+02	7.200000e+02	1.395602e-07	7.200812e-08	0.000000e+00
7.200000e+02	7.300000e+02	8.879944e-08	2.600366e-08	5.676196e-08
7.300000e+02	7.400000e+02	9.459245e-08	3.943085e-08	1.299563e-07
7.400000e+02	7.500000e+02	7.439817e-08	3.819225e-08	8.365293e-08
7.500000e+02	7.600000e+02	7.643759e-08	2.473991e-08	0.000000e+00
7.600000e+02	7.700000e+02	4.826612e-08	2.262340e-08	9.468638e-08
7.700000e+02	7.800000e+02	5.119690e-08	2.224526e-08	3.541503e-08
7.800000e+02	7.900000e+02	6.105931e-08	2.587618e-08	3.356047e-08
7.900000e+02	8.000000e+02	6.842712e-08	3.158861e-08	2.430770e-09
8.000000e+02	8.100000e+02	4.142825e-08	5.886160e-09	5.993455e-08
8.100000e+02	8.200000e+02	3.234610e-08	1.035444e-08	3.989458e-08
8.200000e+02	8.300000e+02	3.664740e-08	1.041686e-08	4.074833e-08
8.300000e+02	8.400000e+02	4.083383e-08	2.402139e-08	3.793730e-09
8.400000e+02	8.500000e+02	6.403514e-08	3.967409e-08	0.000000e+00
8.500000e+02	8.600000e+02	1.939822e-08	6.095170e-09	4.237955e-08
8.600000e+02	8.700000e+02	2.875122e-08	1.261392e-08	8.298120e-09
8.700000e+02	8.800000e+02	2.272826e-08	0.000000e+00	1.552410e-08
8.800000e+02	8.900000e+02	3.250273e-08	1.468384e-08	1.122135e-08
8.900000e+02	9.000000e+02	2.597026e-08	1.411552e-08	1.311370e-09
9.000000e+02	9.100000e+02	3.041657e-08	2.226514e-08	0.000000e+00
9.100000e+02	9.200000e+02	1.791954e-08	6.490670e-09	1.366309e-08
9.200000e+02	9.300000e+02	2.503262e-08	1.434471e-08	3.025610e-09
9.300000e+02	9.400000e+02	9.334889e-09	0.000000e+00	1.116840e-08
9.400000e+02	9.500000e+02	1.427886e-08	5.894046e-09	2.704790e-09
9.500000e+02	9.600000e+02	2.465555e-08	1.492104e-08	6.357680e-09
9.600000e+02	9.700000e+02	1.355231e-08	6.008334e-09	1.605284e-08
9.700000e+02	9.800000e+02	3.324491e-08	2.781774e-08	0.000000e+00
9.800000e+02	9.900000e+02	1.311581e-08	5.701695e-09	5.218320e-09
9.900000e+02	1.000000e+03	1.097677e-08	5.545477e-09	1.416503e-08
