# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl
XLabel=$p_{T,h}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,h}^{incl}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/H_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.097306e-03	5.958000e-06	7.184800e-05
1.000000e+01	2.000000e+01	5.938698e-03	1.500690e-04	1.225860e-04
2.000000e+01	3.000000e+01	8.860965e-03	5.277100e-05	2.250620e-04
3.000000e+01	4.000000e+01	1.116196e-02	1.228400e-04	1.425600e-04
4.000000e+01	5.000000e+01	1.288190e-02	3.516000e-04	1.169700e-04
5.000000e+01	6.000000e+01	1.416197e-02	1.855400e-04	2.372100e-04
6.000000e+01	7.000000e+01	1.517284e-02	2.893300e-04	3.046900e-04
7.000000e+01	8.000000e+01	1.554311e-02	2.837700e-04	4.813000e-04
8.000000e+01	9.000000e+01	1.534730e-02	3.035500e-04	2.942000e-05
9.000000e+01	1.000000e+02	1.438284e-02	3.310900e-04	2.330000e-04
1.000000e+02	1.100000e+02	1.330048e-02	3.160800e-04	0.000000e+00
1.100000e+02	1.200000e+02	1.171628e-02	2.488000e-05	3.606000e-05
1.200000e+02	1.300000e+02	1.026758e-02	5.604000e-05	1.444500e-04
1.300000e+02	1.400000e+02	9.021871e-03	2.049950e-04	0.000000e+00
1.400000e+02	1.500000e+02	7.841577e-03	2.809170e-04	0.000000e+00
1.500000e+02	1.600000e+02	6.478077e-03	0.000000e+00	5.044000e-05
1.600000e+02	1.700000e+02	5.567010e-03	1.362680e-04	0.000000e+00
1.700000e+02	1.800000e+02	4.564154e-03	0.000000e+00	1.008680e-04
1.800000e+02	1.900000e+02	3.875345e-03	0.000000e+00	3.421300e-05
1.900000e+02	2.000000e+02	3.276954e-03	1.190200e-05	1.488490e-04
2.000000e+02	2.100000e+02	2.748315e-03	0.000000e+00	5.694000e-06
2.100000e+02	2.200000e+02	2.327062e-03	0.000000e+00	4.573300e-05
2.200000e+02	2.300000e+02	1.963123e-03	1.594900e-05	3.085500e-05
2.300000e+02	2.400000e+02	1.732660e-03	1.220950e-04	0.000000e+00
2.400000e+02	2.500000e+02	1.406049e-03	0.000000e+00	6.442100e-05
2.500000e+02	2.600000e+02	1.244716e-03	1.202200e-04	0.000000e+00
2.600000e+02	2.700000e+02	1.059656e-03	7.144330e-05	3.488400e-05
2.700000e+02	2.800000e+02	9.303202e-04	4.504230e-05	0.000000e+00
2.800000e+02	2.900000e+02	9.421464e-04	2.120942e-04	0.000000e+00
2.900000e+02	3.000000e+02	6.573519e-04	2.025090e-05	2.286000e-07
3.000000e+02	3.100000e+02	5.584624e-04	5.705400e-06	2.247390e-05
3.100000e+02	3.200000e+02	4.856683e-04	6.974770e-05	0.000000e+00
3.200000e+02	3.300000e+02	4.266308e-04	1.939560e-05	4.446000e-07
3.300000e+02	3.400000e+02	3.466481e-04	1.977960e-05	1.791390e-05
3.400000e+02	3.500000e+02	2.752929e-04	0.000000e+00	5.146210e-05
3.500000e+02	3.600000e+02	3.006266e-04	3.452480e-05	0.000000e+00
3.600000e+02	3.700000e+02	2.145660e-04	0.000000e+00	2.340520e-05
3.700000e+02	3.800000e+02	2.003779e-04	1.339600e-05	0.000000e+00
3.800000e+02	3.900000e+02	1.762587e-04	1.814350e-05	0.000000e+00
3.900000e+02	4.000000e+02	1.487918e-04	0.000000e+00	1.645860e-05
4.000000e+02	4.100000e+02	1.377556e-04	5.992200e-06	3.129900e-06
4.100000e+02	4.200000e+02	1.312529e-04	1.301360e-05	5.192970e-05
4.200000e+02	4.300000e+02	1.233473e-04	3.099709e-05	0.000000e+00
4.300000e+02	4.400000e+02	8.000565e-05	0.000000e+00	4.118225e-05
4.400000e+02	4.500000e+02	6.858564e-05	0.000000e+00	8.634810e-06
4.500000e+02	4.600000e+02	6.604233e-05	0.000000e+00	3.252666e-05
4.600000e+02	4.700000e+02	6.301763e-05	0.000000e+00	2.751390e-06
4.700000e+02	4.800000e+02	5.765465e-05	6.280720e-06	8.432120e-06
4.800000e+02	4.900000e+02	4.628663e-05	1.937190e-06	2.478120e-06
4.900000e+02	5.000000e+02	3.134513e-05	0.000000e+00	1.495593e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.105927e-03	6.729800e-05	5.305000e-05
1.000000e+01	2.000000e+01	5.894112e-03	1.341130e-04	1.261710e-04
2.000000e+01	3.000000e+01	8.940625e-03	1.844430e-04	1.852980e-04
3.000000e+01	4.000000e+01	1.115390e-02	2.066500e-04	1.493200e-04
4.000000e+01	5.000000e+01	1.297422e-02	4.404100e-04	4.030000e-06
5.000000e+01	6.000000e+01	1.413669e-02	2.179500e-04	3.079500e-04
6.000000e+01	7.000000e+01	1.515149e-02	3.735100e-04	2.692300e-04
7.000000e+01	8.000000e+01	1.551445e-02	3.474300e-04	2.583200e-04
8.000000e+01	9.000000e+01	1.520049e-02	2.081100e-04	2.169700e-04
9.000000e+01	1.000000e+02	1.427939e-02	2.192500e-04	2.557700e-04
1.000000e+02	1.100000e+02	1.317729e-02	2.856200e-04	8.822000e-05
1.100000e+02	1.200000e+02	1.170955e-02	1.576300e-04	1.324000e-04
1.200000e+02	1.300000e+02	1.026943e-02	7.704000e-05	1.060500e-04
1.300000e+02	1.400000e+02	8.904849e-03	1.012640e-04	5.734900e-05
1.400000e+02	1.500000e+02	7.666541e-03	1.037240e-04	1.010300e-05
1.500000e+02	1.600000e+02	6.483086e-03	1.761500e-05	3.136400e-05
1.600000e+02	1.700000e+02	5.469455e-03	6.098900e-05	4.565900e-05
1.700000e+02	1.800000e+02	4.623534e-03	3.035700e-05	4.963700e-05
1.800000e+02	1.900000e+02	3.890788e-03	5.914000e-06	2.980500e-05
1.900000e+02	2.000000e+02	3.279846e-03	5.532000e-06	5.300000e-08
2.000000e+02	2.100000e+02	2.759790e-03	0.000000e+00	5.913000e-06
2.100000e+02	2.200000e+02	2.374522e-03	6.640500e-05	0.000000e+00
2.200000e+02	2.300000e+02	1.959515e-03	1.039600e-05	6.187000e-06
2.300000e+02	2.400000e+02	1.668320e-03	1.361300e-05	1.013700e-05
2.400000e+02	2.500000e+02	1.424597e-03	1.512300e-05	0.000000e+00
2.500000e+02	2.600000e+02	1.202232e-03	1.638200e-05	4.200000e-06
2.600000e+02	2.700000e+02	1.015931e-03	0.000000e+00	1.491900e-05
2.700000e+02	2.800000e+02	8.913679e-04	1.778750e-05	0.000000e+00
2.800000e+02	2.900000e+02	7.520843e-04	7.480500e-06	0.000000e+00
2.900000e+02	3.000000e+02	6.429458e-04	0.000000e+00	1.250400e-06
3.000000e+02	3.100000e+02	5.489846e-04	0.000000e+00	7.647200e-06
3.100000e+02	3.200000e+02	4.763486e-04	2.660100e-06	7.158100e-06
3.200000e+02	3.300000e+02	4.143043e-04	5.886500e-06	5.070000e-06
3.300000e+02	3.400000e+02	3.582901e-04	7.975000e-06	5.480000e-08
3.400000e+02	3.500000e+02	3.076324e-04	0.000000e+00	3.006000e-06
3.500000e+02	3.600000e+02	2.643263e-04	0.000000e+00	4.516200e-06
3.600000e+02	3.700000e+02	2.329795e-04	4.592600e-06	4.524090e-05
3.700000e+02	3.800000e+02	2.042282e-04	7.344100e-06	0.000000e+00
3.800000e+02	3.900000e+02	1.759879e-04	0.000000e+00	6.703800e-06
3.900000e+02	4.000000e+02	1.562087e-04	3.543300e-06	1.554500e-06
4.000000e+02	4.100000e+02	1.337409e-04	1.099500e-06	7.533700e-06
4.100000e+02	4.200000e+02	1.187879e-04	2.746400e-06	4.663000e-07
4.200000e+02	4.300000e+02	1.059874e-04	2.887300e-06	0.000000e+00
4.300000e+02	4.400000e+02	8.878395e-05	0.000000e+00	2.790420e-06
4.400000e+02	4.500000e+02	8.011611e-05	1.364800e-06	0.000000e+00
4.500000e+02	4.600000e+02	7.009289e-05	9.120190e-06	0.000000e+00
4.600000e+02	4.700000e+02	6.164554e-05	0.000000e+00	6.530500e-07
4.700000e+02	4.800000e+02	5.553747e-05	1.037010e-06	1.698870e-06
4.800000e+02	4.900000e+02	5.052793e-05	3.784760e-06	0.000000e+00
4.900000e+02	5.000000e+02	4.349898e-05	2.126500e-07	6.119000e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/H_pT_incl
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.136230e-03	2.387500e-05	0.000000e+00
1.000000e+01	2.000000e+01	5.973326e-03	5.838400e-05	0.000000e+00
2.000000e+01	3.000000e+01	8.960380e-03	3.415500e-05	0.000000e+00
3.000000e+01	4.000000e+01	1.121225e-02	8.292000e-05	0.000000e+00
4.000000e+01	5.000000e+01	1.283433e-02	7.590000e-05	0.000000e+00
5.000000e+01	6.000000e+01	1.416724e-02	8.772000e-05	0.000000e+00
6.000000e+01	7.000000e+01	1.513668e-02	9.123000e-05	0.000000e+00
7.000000e+01	8.000000e+01	1.549723e-02	1.395600e-04	0.000000e+00
8.000000e+01	9.000000e+01	1.514075e-02	1.762800e-04	1.088700e-04
9.000000e+01	1.000000e+02	1.429318e-02	2.102500e-04	1.152400e-04
1.000000e+02	1.100000e+02	1.306984e-02	2.697300e-04	1.793900e-04
1.100000e+02	1.200000e+02	1.166262e-02	2.652200e-04	2.345800e-04
1.200000e+02	1.300000e+02	1.024473e-02	2.806430e-04	2.202500e-04
1.300000e+02	1.400000e+02	8.869548e-03	2.740170e-04	2.283340e-04
1.400000e+02	1.500000e+02	7.593906e-03	2.432680e-04	2.309480e-04
1.500000e+02	1.600000e+02	6.439237e-03	2.036430e-04	2.110640e-04
1.600000e+02	1.700000e+02	5.446515e-03	2.018490e-04	2.273940e-04
1.700000e+02	1.800000e+02	4.590211e-03	1.730750e-04	1.881320e-04
1.800000e+02	1.900000e+02	3.865392e-03	1.546000e-04	1.717350e-04
1.900000e+02	2.000000e+02	3.259538e-03	1.440950e-04	1.549920e-04
2.000000e+02	2.100000e+02	2.754202e-03	1.357440e-04	1.307170e-04
2.100000e+02	2.200000e+02	2.327145e-03	1.191690e-04	1.125210e-04
2.200000e+02	2.300000e+02	1.944795e-03	9.201800e-05	1.350500e-04
2.300000e+02	2.400000e+02	1.664616e-03	9.476400e-05	7.916600e-05
2.400000e+02	2.500000e+02	1.403365e-03	7.118000e-05	9.455500e-05
2.500000e+02	2.600000e+02	1.196675e-03	6.636900e-05	7.455500e-05
2.600000e+02	2.700000e+02	1.014025e-03	6.063690e-05	7.896300e-05
2.700000e+02	2.800000e+02	8.726928e-04	6.099540e-05	6.340400e-05
2.800000e+02	2.900000e+02	7.518151e-04	5.268130e-05	4.631600e-05
2.900000e+02	3.000000e+02	6.469186e-04	4.866690e-05	3.917450e-05
3.000000e+02	3.100000e+02	5.516545e-04	3.243560e-05	4.177680e-05
3.100000e+02	3.200000e+02	4.737490e-04	3.449680e-05	3.443170e-05
3.200000e+02	3.300000e+02	4.126416e-04	2.713200e-05	3.307820e-05
