# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/j2j3_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	6.209977e-06	9.023575e-07	3.961815e-06
2.000000e+01	2.400000e+01	1.387076e-04	8.813350e-06	3.776695e-05
2.400000e+01	2.800000e+01	4.666370e-04	4.315750e-06	6.174950e-05
2.800000e+01	3.200000e+01	8.389298e-04	0.000000e+00	3.662500e-05
3.200000e+01	3.600000e+01	1.222798e-03	1.497525e-05	6.395250e-06
3.600000e+01	4.000000e+01	1.468287e-03	6.304750e-05	8.058950e-05
4.000000e+01	4.400000e+01	1.659584e-03	8.982200e-05	1.319110e-04
4.400000e+01	4.800000e+01	1.858789e-03	1.778390e-04	7.846475e-05
4.800000e+01	5.200000e+01	1.930045e-03	1.253573e-04	1.873225e-04
5.200000e+01	5.600000e+01	2.033725e-03	7.470250e-05	2.228985e-04
5.600000e+01	6.000000e+01	2.169332e-03	1.501575e-04	1.760188e-04
6.000000e+01	6.400000e+01	2.218016e-03	2.109433e-04	2.988715e-04
6.400000e+01	6.800000e+01	2.317689e-03	1.178082e-04	1.662360e-04
6.800000e+01	7.200000e+01	2.105270e-03	0.000000e+00	4.259678e-04
7.200000e+01	7.600000e+01	2.506972e-03	0.000000e+00	2.521450e-04
7.600000e+01	8.000000e+01	2.968070e-03	2.088600e-04	6.687750e-05
8.000000e+01	8.400000e+01	3.106217e-03	1.711175e-04	0.000000e+00
8.400000e+01	8.800000e+01	2.523402e-03	3.295098e-04	7.921250e-05
8.800000e+01	9.200000e+01	2.416403e-03	1.540677e-04	6.066750e-06
9.200000e+01	9.600000e+01	2.054289e-03	1.646897e-04	1.040355e-04
9.600000e+01	1.000000e+02	1.735931e-03	1.102765e-04	1.204415e-04
1.000000e+02	1.040000e+02	1.633662e-03	2.202945e-04	9.515050e-05
1.040000e+02	1.080000e+02	1.509860e-03	2.516213e-04	1.289510e-04
1.080000e+02	1.120000e+02	1.375860e-03	9.372475e-05	9.889550e-05
1.120000e+02	1.160000e+02	1.362284e-03	1.728037e-04	3.406575e-05
1.160000e+02	1.200000e+02	1.202915e-03	4.865400e-05	1.838543e-04
1.200000e+02	1.240000e+02	1.151670e-03	3.060575e-05	1.135103e-04
1.240000e+02	1.280000e+02	1.091898e-03	8.618050e-05	1.764110e-04
1.280000e+02	1.320000e+02	1.058192e-03	8.491575e-05	1.184998e-04
1.320000e+02	1.360000e+02	9.650098e-04	7.525525e-05	1.340817e-04
1.360000e+02	1.400000e+02	9.406925e-04	9.815350e-05	1.124848e-04
1.400000e+02	1.440000e+02	9.681133e-04	1.389140e-04	1.675265e-04
1.440000e+02	1.480000e+02	8.367847e-04	2.731300e-05	2.014958e-04
1.480000e+02	1.520000e+02	8.376290e-04	9.767425e-05	7.553625e-05
1.520000e+02	1.560000e+02	8.415705e-04	4.194050e-05	1.692650e-05
1.560000e+02	1.600000e+02	7.881643e-04	4.459450e-05	9.306725e-05
1.600000e+02	1.640000e+02	7.945207e-04	4.707975e-05	1.798375e-05
1.640000e+02	1.680000e+02	7.540285e-04	8.875500e-05	7.327775e-05
1.680000e+02	1.720000e+02	7.046212e-04	4.492975e-05	3.639900e-05
1.720000e+02	1.760000e+02	7.310993e-04	8.881950e-05	0.000000e+00
1.760000e+02	1.800000e+02	7.490715e-04	1.549280e-04	0.000000e+00
1.800000e+02	1.840000e+02	6.474580e-04	4.310425e-05	9.308150e-05
1.840000e+02	1.880000e+02	6.028973e-04	1.469450e-05	0.000000e+00
1.880000e+02	1.920000e+02	5.966823e-04	2.297125e-05	5.479525e-05
1.920000e+02	1.960000e+02	6.625573e-04	2.166410e-04	0.000000e+00
1.960000e+02	2.000000e+02	5.465072e-04	2.362325e-05	5.632525e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/j2j3_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	6.703308e-06	1.686405e-06	2.565623e-06
2.000000e+01	2.400000e+01	1.445203e-04	1.713890e-05	3.746163e-05
2.400000e+01	2.800000e+01	4.738773e-04	1.585725e-05	5.920400e-05
2.800000e+01	3.200000e+01	8.617638e-04	0.000000e+00	3.985275e-05
3.200000e+01	3.600000e+01	1.198765e-03	0.000000e+00	6.485375e-05
3.600000e+01	4.000000e+01	1.461064e-03	4.682600e-05	8.672200e-05
4.000000e+01	4.400000e+01	1.661063e-03	9.681075e-05	1.307765e-04
4.400000e+01	4.800000e+01	1.807599e-03	1.621413e-04	1.656237e-04
4.800000e+01	5.200000e+01	1.926579e-03	1.748623e-04	1.733067e-04
5.200000e+01	5.600000e+01	2.045989e-03	1.816475e-04	2.346385e-04
5.600000e+01	6.000000e+01	2.123469e-03	1.849585e-04	3.178090e-04
6.000000e+01	6.400000e+01	2.219953e-03	2.182878e-04	2.883200e-04
6.400000e+01	6.800000e+01	2.260895e-03	2.644983e-04	3.908420e-04
6.800000e+01	7.200000e+01	2.239279e-03	2.090395e-04	3.660965e-04
7.200000e+01	7.600000e+01	2.462212e-03	3.712515e-04	2.176557e-04
7.600000e+01	8.000000e+01	2.669780e-03	2.564383e-04	2.998075e-04
8.000000e+01	8.400000e+01	2.764652e-03	1.978475e-04	2.527350e-04
8.400000e+01	8.800000e+01	2.285704e-03	2.995175e-04	3.024965e-04
8.800000e+01	9.200000e+01	2.244996e-03	2.449733e-04	2.288530e-04
9.200000e+01	9.600000e+01	1.988989e-03	2.745383e-04	2.313635e-04
9.600000e+01	1.000000e+02	1.735824e-03	2.455813e-04	1.922290e-04
1.000000e+02	1.040000e+02	1.567931e-03	1.875697e-04	2.794865e-04
1.040000e+02	1.080000e+02	1.426863e-03	1.462755e-04	2.766670e-04
1.080000e+02	1.120000e+02	1.374295e-03	1.699065e-04	1.838120e-04
1.120000e+02	1.160000e+02	1.298482e-03	1.921505e-04	1.910455e-04
