# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
XLabel=$x_{j_3}^{\star}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} x_{j_3}^{\star}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_LOOSE/jet3_x
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.981705e-03	2.329600e-04	0.000000e+00
-4.600000e+00	-4.200000e+00	3.970098e-03	6.094400e-04	1.161795e-03
-4.200000e+00	-3.800000e+00	5.817717e-03	1.297917e-03	5.569650e-04
-3.800000e+00	-3.400000e+00	9.511883e-03	1.414700e-03	4.972675e-04
-3.400000e+00	-3.000000e+00	1.383602e-02	0.000000e+00	8.945775e-04
-3.000000e+00	-2.600000e+00	2.097484e-02	3.169700e-03	5.032375e-04
-2.600000e+00	-2.200000e+00	3.536958e-02	7.753050e-03	0.000000e+00
-2.200000e+00	-1.800000e+00	4.702165e-02	4.663800e-03	3.274625e-03
-1.800000e+00	-1.400000e+00	7.099852e-02	1.780850e-03	5.556975e-03
-1.400000e+00	-1.000000e+00	1.062764e-01	6.860700e-03	1.247267e-02
-1.000000e+00	-6.000000e-01	1.572367e-01	1.032682e-02	1.201538e-02
-6.000000e-01	-2.000000e-01	1.394583e-01	8.296575e-03	1.077677e-02
-2.000000e-01	2.000000e-01	1.318588e-01	7.928225e-03	0.000000e+00
2.000000e-01	6.000000e-01	1.297878e-01	7.643075e-03	6.756525e-03
6.000000e-01	1.000000e+00	1.216927e-01	9.284425e-03	1.069870e-02
1.000000e+00	1.400000e+00	6.957385e-02	3.596525e-03	4.184125e-03
1.400000e+00	1.800000e+00	3.850370e-02	6.537100e-03	0.000000e+00
1.800000e+00	2.200000e+00	1.549286e-02	3.309350e-04	1.075802e-03
2.200000e+00	2.600000e+00	6.490338e-03	3.459050e-04	7.711225e-04
2.600000e+00	3.000000e+00	2.456508e-03	2.012165e-04	2.851550e-04
3.000000e+00	3.400000e+00	9.392668e-04	2.717605e-04	0.000000e+00
3.400000e+00	3.800000e+00	1.852176e-04	1.228554e-04	0.000000e+00
3.800000e+00	4.200000e+00	2.672637e-05	8.757770e-06	0.000000e+00
4.200000e+00	4.600000e+00	5.898818e-07	1.776563e-07	7.584828e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.669770e-03	3.749752e-04	7.752325e-04
-4.600000e+00	-4.200000e+00	4.139825e-03	6.363850e-04	8.769625e-04
-4.200000e+00	-3.800000e+00	5.932525e-03	9.631525e-04	1.184360e-03
-3.800000e+00	-3.400000e+00	8.759395e-03	1.618513e-03	1.656598e-03
-3.400000e+00	-3.000000e+00	1.236564e-02	1.878160e-03	2.245168e-03
-3.000000e+00	-2.600000e+00	1.874234e-02	2.956088e-03	3.789952e-03
-2.600000e+00	-2.200000e+00	2.901110e-02	3.821800e-03	5.258450e-03
-2.200000e+00	-1.800000e+00	4.439142e-02	5.807425e-03	7.111050e-03
-1.800000e+00	-1.400000e+00	6.878985e-02	8.679850e-03	9.269350e-03
-1.400000e+00	-1.000000e+00	1.073504e-01	1.271577e-02	1.553945e-02
-1.000000e+00	-6.000000e-01	1.526702e-01	1.525460e-02	2.034440e-02
-6.000000e-01	-2.000000e-01	1.387106e-01	1.427278e-02	1.518153e-02
-2.000000e-01	2.000000e-01	1.286179e-01	1.309768e-02	1.600903e-02
2.000000e-01	6.000000e-01	1.269243e-01	1.332863e-02	1.394245e-02
6.000000e-01	1.000000e+00	1.193401e-01	1.193655e-02	1.358580e-02
1.000000e+00	1.400000e+00	6.888878e-02	7.786800e-03	8.843800e-03
1.400000e+00	1.800000e+00	3.420297e-02	4.007475e-03	4.366475e-03
1.800000e+00	2.200000e+00	1.563319e-02	2.000050e-03	2.942765e-03
2.200000e+00	2.600000e+00	6.488595e-03	8.903825e-04	1.320675e-03
2.600000e+00	3.000000e+00	2.347676e-03	3.431252e-04	7.559693e-04
3.000000e+00	3.400000e+00	8.048563e-04	2.656392e-04	1.390643e-04
3.400000e+00	3.800000e+00	1.472509e-04	1.954393e-05	2.611613e-05
3.800000e+00	4.200000e+00	2.399378e-05	1.028412e-05	1.433123e-06
4.200000e+00	4.600000e+00	4.430440e-07	3.534005e-07	2.320254e-06
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.738590e-03	5.003205e-04	7.325725e-04
-4.600000e+00	-4.200000e+00	4.072083e-03	7.586650e-04	1.074388e-03
-4.200000e+00	-3.800000e+00	5.756802e-03	9.749525e-04	1.644847e-03
-3.800000e+00	-3.400000e+00	8.343953e-03	1.502283e-03	1.938930e-03
-3.400000e+00	-3.000000e+00	1.219047e-02	2.037460e-03	2.617008e-03
-3.000000e+00	-2.600000e+00	1.822816e-02	3.078725e-03	3.723493e-03
-2.600000e+00	-2.200000e+00	2.824580e-02	4.428558e-03	5.426175e-03
-2.200000e+00	-1.800000e+00	4.416402e-02	6.252400e-03	7.935075e-03
-1.800000e+00	-1.400000e+00	6.932165e-02	1.016150e-02	1.075788e-02
-1.400000e+00	-1.000000e+00	1.092915e-01	1.477745e-02	1.661578e-02
-1.000000e+00	-6.000000e-01	1.575813e-01	1.964115e-02	2.340728e-02
-6.000000e-01	-2.000000e-01	1.358953e-01	1.494155e-02	1.902255e-02
-2.000000e-01	2.000000e-01	1.245952e-01	1.392375e-02	1.680308e-02
2.000000e-01	6.000000e-01	1.195229e-01	1.294967e-02	1.567888e-02
6.000000e-01	1.000000e+00	1.146520e-01	1.292855e-02	1.481462e-02
1.000000e+00	1.400000e+00	6.704900e-02	7.543575e-03	9.319000e-03
1.400000e+00	1.800000e+00	3.401057e-02	4.412975e-03	4.590100e-03
1.800000e+00	2.200000e+00	1.550870e-02	2.278907e-03	2.550870e-03
2.200000e+00	2.600000e+00	6.472433e-03	1.240758e-03	1.389025e-03
2.600000e+00	3.000000e+00	2.407986e-03	4.208397e-04	5.271013e-04
3.000000e+00	3.400000e+00	7.647578e-04	1.995058e-04	1.768615e-04
3.400000e+00	3.800000e+00	1.576855e-04	4.535683e-05	6.717163e-05
3.800000e+00	4.200000e+00	1.720424e-05	0.000000e+00	1.025090e-05
4.200000e+00	4.600000e+00	3.530678e-07	0.000000e+00	1.125185e-06
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.732072e-03	4.745770e-04	6.323625e-04
-4.600000e+00	-4.200000e+00	4.032300e-03	6.867075e-04	9.018575e-04
-4.200000e+00	-3.800000e+00	5.753512e-03	8.577675e-04	1.303822e-03
-3.800000e+00	-3.400000e+00	8.344555e-03	1.330192e-03	1.726308e-03
-3.400000e+00	-3.000000e+00	1.213351e-02	1.939730e-03	2.544090e-03
-3.000000e+00	-2.600000e+00	1.796095e-02	2.568658e-03	3.579978e-03
-2.600000e+00	-2.200000e+00	2.751715e-02	3.711543e-03	5.200450e-03
-2.200000e+00	-1.800000e+00	4.380707e-02	6.506700e-03	5.543775e-03
-1.800000e+00	-1.400000e+00	6.631162e-02	7.717000e-03	9.951700e-03
-1.400000e+00	-1.000000e+00	1.050567e-01	1.157283e-02	1.372202e-02
-1.000000e+00	-6.000000e-01	1.517240e-01	1.561278e-02	1.906785e-02
-6.000000e-01	-2.000000e-01	1.354985e-01	1.271798e-02	1.504022e-02
-2.000000e-01	2.000000e-01	1.274215e-01	1.015477e-02	1.470600e-02
2.000000e-01	6.000000e-01	1.246104e-01	1.199430e-02	1.466390e-02
6.000000e-01	1.000000e+00	1.164392e-01	1.074183e-02	1.488040e-02
1.000000e+00	1.400000e+00	6.665010e-02	6.381225e-03	8.766575e-03
1.400000e+00	1.800000e+00	3.317992e-02	3.843650e-03	3.724375e-03
1.800000e+00	2.200000e+00	1.486130e-02	1.843605e-03	2.598252e-03
2.200000e+00	2.600000e+00	6.314833e-03	1.094673e-03	3.311520e-03
2.600000e+00	3.000000e+00	2.241120e-03	1.746645e-04	5.511480e-04
3.000000e+00	3.400000e+00	6.641725e-04	1.335522e-04	2.188728e-04
3.400000e+00	3.800000e+00	1.483760e-04	3.594950e-05	4.249768e-05
3.800000e+00	4.200000e+00	1.648167e-05	3.410272e-06	6.982655e-06
4.200000e+00	4.600000e+00	2.809925e-07	0.000000e+00	1.414190e-06
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=purple
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=purple
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2,3)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.183332e-03	0.000000e+00	1.202198e-03
-4.600000e+00	-4.200000e+00	3.292040e-03	0.000000e+00	1.664225e-03
-4.200000e+00	-3.800000e+00	4.705790e-03	0.000000e+00	2.291130e-03
-3.800000e+00	-3.400000e+00	6.690423e-03	0.000000e+00	3.230855e-03
-3.400000e+00	-3.000000e+00	9.825485e-03	0.000000e+00	4.391480e-03
-3.000000e+00	-2.600000e+00	1.469357e-02	0.000000e+00	6.453585e-03
-2.600000e+00	-2.200000e+00	2.302785e-02	0.000000e+00	9.061150e-03
-2.200000e+00	-1.800000e+00	3.629185e-02	0.000000e+00	1.327330e-02
-1.800000e+00	-1.400000e+00	5.776970e-02	0.000000e+00	1.960993e-02
-1.400000e+00	-1.000000e+00	9.304373e-02	0.000000e+00	3.029450e-02
-1.000000e+00	-6.000000e-01	1.365913e-01	0.000000e+00	4.230300e-02
-6.000000e-01	-2.000000e-01	1.190255e-01	0.000000e+00	3.324635e-02
-2.000000e-01	2.000000e-01	1.091938e-01	0.000000e+00	2.901100e-02
2.000000e-01	6.000000e-01	1.048589e-01	0.000000e+00	2.682833e-02
6.000000e-01	1.000000e+00	1.000140e-01	0.000000e+00	2.708628e-02
1.000000e+00	1.400000e+00	5.796295e-02	0.000000e+00	1.572903e-02
1.400000e+00	1.800000e+00	2.871130e-02	0.000000e+00	8.237825e-03
1.800000e+00	2.200000e+00	1.265370e-02	0.000000e+00	4.456167e-03
2.200000e+00	2.600000e+00	5.148660e-03	0.000000e+00	2.292225e-03
2.600000e+00	3.000000e+00	1.847362e-03	0.000000e+00	1.076078e-03
3.000000e+00	3.400000e+00	5.625278e-04	0.000000e+00	2.743065e-04
3.400000e+00	3.800000e+00	1.070684e-04	0.000000e+00	8.668285e-05
3.800000e+00	4.200000e+00	1.296864e-05	0.000000e+00	1.099265e-05
4.200000e+00	4.600000e+00	4.182368e-07	0.000000e+00	3.913305e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(3*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.597160e-03	1.243080e-04	1.539000e-05
-4.600000e+00	-4.200000e+00	3.801620e-03	0.000000e+00	1.168600e-04
-4.200000e+00	-3.800000e+00	5.739000e-03	2.308500e-04	1.399875e-04
-3.800000e+00	-3.400000e+00	8.059720e-03	1.099445e-03	0.000000e+00
-3.400000e+00	-3.000000e+00	1.188460e-02	4.758775e-04	0.000000e+00
-3.000000e+00	-2.600000e+00	1.773269e-02	2.508825e-04	3.277325e-04
-2.600000e+00	-2.200000e+00	2.553278e-02	4.006750e-04	0.000000e+00
-2.200000e+00	-1.800000e+00	3.944305e-02	1.597200e-03	0.000000e+00
-1.800000e+00	-1.400000e+00	6.097052e-02	2.453550e-03	0.000000e+00
-1.400000e+00	-1.000000e+00	9.373720e-02	2.482475e-03	1.387125e-03
-1.000000e+00	-6.000000e-01	1.402833e-01	6.359575e-03	1.193000e-04
-6.000000e-01	-2.000000e-01	1.212415e-01	4.224075e-03	5.675750e-04
-2.000000e-01	2.000000e-01	1.120831e-01	2.760025e-03	1.277950e-03
2.000000e-01	6.000000e-01	1.142693e-01	6.366375e-03	5.505750e-04
6.000000e-01	1.000000e+00	1.102792e-01	5.224200e-03	1.877475e-03
1.000000e+00	1.400000e+00	6.364168e-02	4.446500e-04	4.303450e-03
1.400000e+00	1.800000e+00	3.211935e-02	1.884450e-03	0.000000e+00
1.800000e+00	2.200000e+00	1.482153e-02	5.523975e-04	0.000000e+00
2.200000e+00	2.600000e+00	6.056695e-03	5.187250e-05	7.630250e-05
2.600000e+00	3.000000e+00	2.262852e-03	8.073225e-05	3.285435e-04
3.000000e+00	3.400000e+00	7.491200e-04	5.335800e-05	0.000000e+00
3.400000e+00	3.800000e+00	1.129447e-04	0.000000e+00	7.391050e-05
3.800000e+00	4.200000e+00	2.685897e-05	6.042250e-07	4.156300e-06
4.200000e+00	4.600000e+00	9.806418e-07	1.057057e-06	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
ErrorBandColor=violet
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=violet
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_LOOSE/jet3_x
RatioPlotSameStyle=1
Title=h(2*) $\oplus$ PS
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.897481e-03	3.079832e-04	4.113530e-04
-4.600000e+00	-4.200000e+00	2.905090e-03	4.983238e-04	6.152150e-04
-4.200000e+00	-3.800000e+00	4.188530e-03	6.428375e-04	9.672675e-04
-3.800000e+00	-3.400000e+00	6.105615e-03	8.911675e-04	1.405558e-03
-3.400000e+00	-3.000000e+00	8.922548e-03	1.347598e-03	1.895835e-03
-3.000000e+00	-2.600000e+00	1.342992e-02	1.930358e-03	2.714895e-03
-2.600000e+00	-2.200000e+00	2.067126e-02	2.807550e-03	3.804380e-03
-2.200000e+00	-1.800000e+00	3.202012e-02	4.178425e-03	5.216125e-03
-1.800000e+00	-1.400000e+00	4.982102e-02	5.740150e-03	7.312000e-03
-1.400000e+00	-1.000000e+00	8.078358e-02	8.438975e-03	1.093112e-02
-1.000000e+00	-6.000000e-01	1.212693e-01	1.160622e-02	1.451433e-02
-6.000000e-01	-2.000000e-01	1.041984e-01	9.422775e-03	1.165355e-02
-2.000000e-01	2.000000e-01	9.599613e-02	8.530625e-03	1.094357e-02
2.000000e-01	6.000000e-01	9.599410e-02	8.137200e-03	1.047340e-02
6.000000e-01	1.000000e+00	9.398415e-02	8.827100e-03	9.530800e-03
1.000000e+00	1.400000e+00	5.204505e-02	5.011650e-03	5.459950e-03
1.400000e+00	1.800000e+00	2.516120e-02	2.495113e-03	3.189175e-03
1.800000e+00	2.200000e+00	1.131607e-02	1.173240e-03	1.687707e-03
2.200000e+00	2.600000e+00	4.754678e-03	7.091675e-04	8.178500e-04
2.600000e+00	3.000000e+00	1.671420e-03	2.350715e-04	3.778620e-04
3.000000e+00	3.400000e+00	4.967723e-04	8.890800e-05	1.567365e-04
3.400000e+00	3.800000e+00	1.083487e-04	2.550655e-05	3.199860e-05
3.800000e+00	4.200000e+00	8.789202e-06	0.000000e+00	1.058685e-05
4.200000e+00	4.600000e+00	2.460006e-07	4.625630e-08	2.795774e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

