# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$p_{T,j_1j_2}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2}^{incl}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/H_jj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	9.165387e-04	1.216610e-05	2.726770e-05
1.000000e+01	2.000000e+01	2.526827e-03	3.607500e-05	5.518000e-06
2.000000e+01	3.000000e+01	3.820541e-03	1.041380e-04	0.000000e+00
3.000000e+01	4.000000e+01	4.663095e-03	2.261300e-05	4.710800e-05
4.000000e+01	5.000000e+01	5.415619e-03	3.486600e-05	0.000000e+00
5.000000e+01	6.000000e+01	6.127671e-03	2.794700e-05	0.000000e+00
6.000000e+01	7.000000e+01	6.672300e-03	1.765900e-05	0.000000e+00
7.000000e+01	8.000000e+01	6.856971e-03	8.754400e-05	3.783900e-05
8.000000e+01	9.000000e+01	6.853166e-03	3.869400e-05	1.777200e-05
9.000000e+01	1.000000e+02	6.449559e-03	9.311100e-05	2.760600e-05
1.000000e+02	1.100000e+02	5.959096e-03	4.463100e-05	5.778500e-05
1.100000e+02	1.200000e+02	5.551527e-03	3.122430e-04	0.000000e+00
1.200000e+02	1.300000e+02	4.656263e-03	3.593300e-05	2.474200e-05
1.300000e+02	1.400000e+02	3.965677e-03	8.791500e-05	5.645900e-05
1.400000e+02	1.500000e+02	3.293921e-03	1.379000e-06	3.385800e-05
1.500000e+02	1.600000e+02	2.747765e-03	9.986100e-05	5.621900e-05
1.600000e+02	1.700000e+02	2.294152e-03	9.512600e-05	3.231000e-06
1.700000e+02	1.800000e+02	1.875916e-03	6.518900e-05	4.965000e-06
1.800000e+02	1.900000e+02	1.545622e-03	4.817600e-05	1.474100e-05
1.900000e+02	2.000000e+02	1.265239e-03	0.000000e+00	1.501200e-05
2.000000e+02	2.100000e+02	1.050011e-03	3.874600e-05	0.000000e+00
2.100000e+02	2.200000e+02	8.444642e-04	0.000000e+00	4.488630e-05
2.200000e+02	2.300000e+02	7.014024e-04	4.476800e-06	5.582900e-06
2.300000e+02	2.400000e+02	5.877157e-04	1.313380e-05	0.000000e+00
2.400000e+02	2.500000e+02	5.112590e-04	5.329680e-05	0.000000e+00
2.500000e+02	2.600000e+02	4.124900e-04	1.045850e-05	0.000000e+00
2.600000e+02	2.700000e+02	3.280038e-04	0.000000e+00	3.809710e-05
2.700000e+02	2.800000e+02	2.780406e-04	6.005400e-06	1.458330e-05
2.800000e+02	2.900000e+02	2.431402e-04	1.356380e-05	0.000000e+00
2.900000e+02	3.000000e+02	2.030161e-04	1.310990e-05	0.000000e+00
3.000000e+02	3.100000e+02	1.561333e-04	0.000000e+00	1.063850e-05
3.100000e+02	3.200000e+02	1.419828e-04	5.281600e-06	1.025800e-06
3.200000e+02	3.300000e+02	1.261145e-04	5.001564e-05	8.238200e-06
3.300000e+02	3.400000e+02	8.549108e-05	0.000000e+00	1.892742e-05
3.400000e+02	3.500000e+02	8.264268e-05	4.470450e-06	6.424540e-06
3.500000e+02	3.600000e+02	7.867570e-05	6.810050e-06	0.000000e+00
3.600000e+02	3.700000e+02	6.434274e-05	1.273204e-05	7.833800e-07
3.700000e+02	3.800000e+02	5.204696e-05	0.000000e+00	2.765040e-06
3.800000e+02	3.900000e+02	4.655862e-05	5.313000e-08	3.134290e-06
3.900000e+02	4.000000e+02	3.829028e-05	0.000000e+00	2.474912e-05
4.000000e+02	4.100000e+02	3.431371e-05	5.508700e-07	1.669780e-06
4.100000e+02	4.200000e+02	3.202793e-05	1.413730e-06	0.000000e+00
4.200000e+02	4.300000e+02	3.070953e-05	4.450200e-06	0.000000e+00
4.300000e+02	4.400000e+02	2.450126e-05	4.583980e-06	7.582200e-07
4.400000e+02	4.500000e+02	2.013341e-05	1.115552e-05	9.174000e-07
4.500000e+02	4.600000e+02	1.855770e-05	1.770160e-06	0.000000e+00
4.600000e+02	4.700000e+02	1.581300e-05	1.625520e-06	4.077740e-06
4.700000e+02	4.800000e+02	1.347784e-05	0.000000e+00	9.977700e-07
4.800000e+02	4.900000e+02	1.209913e-05	4.366200e-07	9.557800e-07
4.900000e+02	5.000000e+02	1.066720e-05	8.303800e-07	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/H_jj_pT_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
