# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.5
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$p_{T,hj_1j_2}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1j_2}^{incl}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/Hjj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	5.031444e-02	7.328170e-03	5.070660e-03
1.000000e+01	2.000000e+01	1.875885e-02	2.478350e-03	3.496410e-03
2.000000e+01	3.000000e+01	9.187334e-03	1.413359e-03	1.287766e-03
3.000000e+01	4.000000e+01	5.312049e-03	6.033610e-04	6.911270e-04
4.000000e+01	5.000000e+01	2.925218e-03	2.946440e-04	3.379240e-04
5.000000e+01	6.000000e+01	1.543142e-03	1.814650e-04	1.628940e-04
6.000000e+01	7.000000e+01	8.277904e-04	1.158276e-04	8.944730e-05
7.000000e+01	8.000000e+01	4.208534e-04	4.158390e-05	9.352120e-05
8.000000e+01	9.000000e+01	2.236318e-04	3.772140e-05	3.750030e-05
9.000000e+01	1.000000e+02	1.153482e-04	1.053470e-05	2.358790e-05
1.000000e+02	1.100000e+02	6.857435e-05	7.929790e-06	1.283506e-05
1.100000e+02	1.200000e+02	2.629628e-05	0.000000e+00	2.262383e-05
1.200000e+02	1.300000e+02	2.300446e-05	4.306410e-06	3.247360e-06
1.300000e+02	1.400000e+02	1.178974e-05	1.248450e-06	7.578050e-06
1.400000e+02	1.500000e+02	7.568643e-06	0.000000e+00	2.283685e-05
1.500000e+02	1.600000e+02	4.728588e-06	1.230120e-07	0.000000e+00
1.600000e+02	1.700000e+02	3.499083e-06	3.916760e-07	1.007894e-06
1.700000e+02	1.800000e+02	2.263057e-06	7.274930e-07	1.244850e-07
1.800000e+02	1.900000e+02	1.265985e-06	1.587400e-07	0.000000e+00
1.900000e+02	2.000000e+02	2.342751e-06	1.728444e-06	0.000000e+00
2.000000e+02	2.100000e+02	6.987028e-07	1.511575e-07	0.000000e+00
2.100000e+02	2.200000e+02	4.803473e-07	3.102660e-08	0.000000e+00
2.200000e+02	2.300000e+02	2.440113e-07	0.000000e+00	2.992627e-07
2.300000e+02	2.400000e+02	2.161173e-07	0.000000e+00	9.399050e-08
2.400000e+02	2.500000e+02	1.449838e-07	3.734240e-08	1.485663e-07
2.500000e+02	2.600000e+02	1.958768e-07	1.419652e-07	0.000000e+00
2.600000e+02	2.700000e+02	6.065396e-08	0.000000e+00	3.363794e-08
2.700000e+02	2.800000e+02	6.714281e-08	3.754520e-08	1.042082e-08
2.800000e+02	2.900000e+02	6.466547e-08	4.467187e-08	2.280499e-08
2.900000e+02	3.000000e+02	2.983582e-08	1.006521e-08	0.000000e+00
3.000000e+02	3.100000e+02	2.051816e-08	3.146590e-09	0.000000e+00
3.100000e+02	3.200000e+02	1.303076e-08	1.135490e-09	1.939191e-08
3.200000e+02	3.300000e+02	2.030714e-08	3.525422e-08	0.000000e+00
3.300000e+02	3.400000e+02	3.077058e-08	2.726643e-08	0.000000e+00
3.400000e+02	3.500000e+02	8.489507e-09	4.629542e-09	0.000000e+00
3.500000e+02	3.600000e+02	2.677826e-09	0.000000e+00	1.591287e-09
3.600000e+02	3.700000e+02	4.798581e-09	3.160585e-09	0.000000e+00
3.700000e+02	3.800000e+02	1.952904e-09	0.000000e+00	4.306854e-09
3.800000e+02	3.900000e+02	7.219178e-11	5.020909e-09	6.029842e-09
3.900000e+02	4.000000e+02	1.098398e-09	6.849820e-10	1.853614e-09
4.000000e+02	4.100000e+02	2.791624e-10	0.000000e+00	1.263008e-09
4.100000e+02	4.200000e+02	7.074507e-10	5.916695e-10	0.000000e+00
4.200000e+02	4.300000e+02	7.592755e-10	4.791021e-10	2.236806e-09
4.300000e+02	4.400000e+02	5.417980e-10	2.799195e-10	1.140741e-09
4.400000e+02	4.500000e+02	7.771428e-10	6.500469e-10	0.000000e+00
4.500000e+02	4.600000e+02	-4.978548e-10	0.000000e+00	8.116678e-10
4.600000e+02	4.700000e+02	2.150170e-11	0.000000e+00	1.850713e-10
4.700000e+02	4.800000e+02	4.311147e-10	4.161973e-10	0.000000e+00
4.800000e+02	4.900000e+02	5.974998e-11	1.617663e-11	8.836332e-11
4.900000e+02	5.000000e+02	4.025071e-11	1.524779e-11	1.516185e-09
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/Hjj_pT_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
