# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle
#RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle
XLabel=$\theta_{j1,j3}$ $(rad/\pi)$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} \theta_{j1,j3}$ (fb)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/j1j3_pullangle
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.430892e-01	1.713174e-02	0.000000e+00
5.000000e-02	1.000000e-01	1.358720e-01	6.575640e-03	8.493220e-03
1.000000e-01	1.500000e-01	1.335357e-01	8.886920e-03	9.921480e-03
1.500000e-01	2.000000e-01	1.297942e-01	7.947300e-03	9.810820e-03
2.000000e-01	2.500000e-01	1.251512e-01	2.125132e-02	2.539260e-03
2.500000e-01	3.000000e-01	1.136235e-01	6.054280e-03	1.092854e-02
3.000000e-01	3.500000e-01	1.105787e-01	9.746960e-03	1.426262e-02
3.500000e-01	4.000000e-01	1.120191e-01	1.046580e-02	6.182800e-03
4.000000e-01	4.500000e-01	1.154554e-01	1.181956e-02	1.200256e-02
4.500000e-01	5.000000e-01	1.180686e-01	5.788580e-03	5.926420e-03
5.000000e-01	5.500000e-01	1.145847e-01	5.738900e-03	1.034888e-02
5.500000e-01	6.000000e-01	1.146789e-01	5.729660e-03	1.139086e-02
6.000000e-01	6.500000e-01	1.135419e-01	1.281214e-02	1.436364e-02
6.500000e-01	7.000000e-01	1.085805e-01	7.918760e-03	1.061866e-02
7.000000e-01	7.500000e-01	1.126633e-01	6.303000e-03	9.976120e-03
7.500000e-01	8.000000e-01	1.231921e-01	9.175760e-03	4.262120e-03
8.000000e-01	8.500000e-01	1.239059e-01	0.000000e+00	7.729420e-03
8.500000e-01	9.000000e-01	1.330937e-01	1.047944e-02	2.034380e-03
9.000000e-01	9.500000e-01	1.286510e-01	1.011478e-02	1.887238e-02
9.500000e-01	1.000000e+00	1.366206e-01	1.183764e-02	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.331461e-01	1.407672e-02	1.877872e-02
5.000000e-02	1.000000e-01	1.315340e-01	1.252818e-02	1.911196e-02
1.000000e-01	1.500000e-01	1.298899e-01	1.232688e-02	1.910726e-02
1.500000e-01	2.000000e-01	1.266187e-01	1.473818e-02	1.795340e-02
2.000000e-01	2.500000e-01	1.205122e-01	1.804694e-02	1.530012e-02
2.500000e-01	3.000000e-01	1.121477e-01	1.756852e-02	1.922792e-02
3.000000e-01	3.500000e-01	1.093643e-01	1.777886e-02	1.914942e-02
3.500000e-01	4.000000e-01	1.090532e-01	1.682710e-02	1.781394e-02
4.000000e-01	4.500000e-01	1.115832e-01	1.521952e-02	1.805896e-02
4.500000e-01	5.000000e-01	1.155913e-01	1.461038e-02	1.548052e-02
5.000000e-01	5.500000e-01	1.145635e-01	1.375818e-02	1.763574e-02
5.500000e-01	6.000000e-01	1.121709e-01	1.525614e-02	1.798898e-02
6.000000e-01	6.500000e-01	1.101424e-01	1.532924e-02	1.820548e-02
6.500000e-01	7.000000e-01	1.135505e-01	2.260984e-02	1.656690e-02
7.000000e-01	7.500000e-01	1.117432e-01	1.777016e-02	1.910732e-02
7.500000e-01	8.000000e-01	1.175878e-01	1.503026e-02	1.791192e-02
8.000000e-01	8.500000e-01	1.236013e-01	7.367760e-03	1.932732e-02
8.500000e-01	9.000000e-01	1.228491e-01	8.603120e-03	1.953874e-02
9.000000e-01	9.500000e-01	1.303313e-01	1.671578e-02	1.733246e-02
9.500000e-01	1.000000e+00	1.278759e-01	1.282660e-02	1.853112e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j3_pullangle
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	1.369666e-01	2.053620e-02	2.791026e-02
5.000000e-02	1.000000e-01	1.356167e-01	2.035904e-02	2.736402e-02
