# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass
XLabel=$m_{j_1j_4}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/j1j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j1j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	2.854257e-06	0.000000e+00	5.479650e-07
4.000000e+01	8.000000e+01	5.321915e-05	1.207687e-05	6.183400e-06
8.000000e+01	1.200000e+02	6.008678e-05	6.294700e-06	1.569022e-05
1.200000e+02	1.600000e+02	3.946275e-05	4.598525e-06	1.629380e-05
1.600000e+02	2.000000e+02	2.484760e-05	5.253473e-06	3.159000e-06
2.000000e+02	2.400000e+02	1.418131e-05	3.043085e-06	3.798420e-06
2.400000e+02	2.800000e+02	9.481808e-06	0.000000e+00	4.672750e-06
2.800000e+02	3.200000e+02	7.499532e-06	1.182900e-06	1.839692e-06
3.200000e+02	3.600000e+02	5.556048e-06	0.000000e+00	4.012420e-06
3.600000e+02	4.000000e+02	7.095405e-06	2.033020e-06	8.037175e-07
4.000000e+02	4.400000e+02	7.762777e-06	2.305977e-06	3.975938e-06
4.400000e+02	4.800000e+02	7.734932e-06	2.034597e-06	2.682675e-07
4.800000e+02	5.200000e+02	5.947697e-06	1.058097e-06	5.800025e-07
5.200000e+02	5.600000e+02	5.622910e-06	0.000000e+00	3.235205e-06
5.600000e+02	6.000000e+02	5.853035e-06	9.458575e-07	1.560225e-07
6.000000e+02	6.400000e+02	5.838333e-06	1.232470e-06	1.025205e-06
6.400000e+02	6.800000e+02	5.644630e-06	9.621325e-07	5.681425e-07
6.800000e+02	7.200000e+02	4.395905e-06	1.990161e-06	1.651225e-07
7.200000e+02	7.600000e+02	5.272557e-06	1.046702e-06	6.484000e-08
7.600000e+02	8.000000e+02	4.459990e-06	0.000000e+00	1.498368e-06
8.000000e+02	8.400000e+02	4.110855e-06	1.115500e-08	1.749667e-06
8.400000e+02	8.800000e+02	4.874288e-06	1.495310e-06	0.000000e+00
8.800000e+02	9.200000e+02	4.555875e-06	1.244027e-06	7.208500e-07
9.200000e+02	9.600000e+02	6.251007e-06	3.212630e-06	0.000000e+00
9.600000e+02	1.000000e+03	6.646702e-06	1.738875e-06	0.000000e+00
1.000000e+03	1.040000e+03	3.798005e-06	5.520900e-07	2.491342e-06
1.040000e+03	1.080000e+03	2.705518e-06	0.000000e+00	1.413945e-06
1.080000e+03	1.120000e+03	2.359402e-06	0.000000e+00	1.940070e-06
1.120000e+03	1.160000e+03	3.136578e-06	7.295538e-07	1.491820e-06
1.160000e+03	1.200000e+03	3.195858e-06	6.162325e-07	2.040775e-07
1.200000e+03	1.240000e+03	1.020152e-06	0.000000e+00	2.190345e-06
1.240000e+03	1.280000e+03	2.560337e-06	1.886160e-07	3.679625e-07
1.280000e+03	1.320000e+03	2.668040e-06	3.463135e-07	6.823925e-07
1.320000e+03	1.360000e+03	2.727745e-06	9.022570e-07	1.974425e-07
1.360000e+03	1.400000e+03	2.821497e-06	1.177134e-06	1.955375e-07
1.400000e+03	1.440000e+03	1.970006e-06	8.671655e-07	8.485813e-07
1.440000e+03	1.480000e+03	1.951845e-06	5.544400e-07	4.244425e-07
1.480000e+03	1.520000e+03	2.102328e-06	5.705622e-07	0.000000e+00
1.520000e+03	1.560000e+03	1.349723e-06	0.000000e+00	1.098813e-06
1.560000e+03	1.600000e+03	2.473377e-06	1.192408e-06	0.000000e+00
1.600000e+03	1.640000e+03	1.234389e-06	0.000000e+00	4.403003e-07
1.640000e+03	1.680000e+03	1.439732e-06	5.721563e-07	3.071630e-07
1.680000e+03	1.720000e+03	1.357381e-06	1.849072e-07	3.637173e-07
1.720000e+03	1.760000e+03	1.186857e-06	1.009493e-07	0.000000e+00
1.760000e+03	1.800000e+03	1.041702e-06	1.903052e-07	2.191477e-07
1.800000e+03	1.840000e+03	1.208291e-06	4.061352e-07	4.127717e-07
1.840000e+03	1.880000e+03	1.047895e-06	8.845025e-08	2.993318e-07
1.880000e+03	1.920000e+03	9.701655e-07	2.653972e-07	4.038273e-07
1.920000e+03	1.960000e+03	1.138654e-06	3.875442e-07	0.000000e+00
1.960000e+03	2.000000e+03	7.279170e-07	1.095685e-07	1.089029e-06
2.000000e+03	2.040000e+03	7.700623e-07	0.000000e+00	2.370567e-07
2.040000e+03	2.080000e+03	6.361493e-07	3.864225e-08	3.609720e-07
2.080000e+03	2.120000e+03	7.402110e-07	1.269725e-08	9.578775e-08
