# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_2j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3j_4}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/j2j3j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.600000e+01	0.000000e+00	0.000000e+00	1.725052e-09
3.600000e+01	4.000000e+01	-1.219618e-09	0.000000e+00	4.844209e-08
4.000000e+01	4.400000e+01	8.099067e-08	2.587695e-08	3.999218e-08
4.400000e+01	4.800000e+01	2.257118e-07	0.000000e+00	8.910340e-08
4.800000e+01	5.200000e+01	8.750880e-07	2.299595e-07	0.000000e+00
5.200000e+01	5.600000e+01	1.395731e-06	2.007055e-07	0.000000e+00
5.600000e+01	6.000000e+01	2.259083e-06	1.638980e-07	2.657070e-07
6.000000e+01	6.400000e+01	3.452207e-06	8.152900e-07	4.500650e-07
6.400000e+01	6.800000e+01	5.614333e-06	0.000000e+00	8.809650e-07
6.800000e+01	7.200000e+01	6.441412e-06	0.000000e+00	2.607090e-06
7.200000e+01	7.600000e+01	9.834752e-06	4.109825e-07	3.685170e-06
7.600000e+01	8.000000e+01	1.319089e-05	1.044470e-06	0.000000e+00
8.000000e+01	8.400000e+01	1.463415e-05	2.625590e-06	1.994412e-06
8.400000e+01	8.800000e+01	1.747856e-05	6.269200e-07	4.457948e-06
8.800000e+01	9.200000e+01	1.471552e-05	0.000000e+00	5.184080e-06
9.200000e+01	9.600000e+01	2.239210e-05	3.919895e-06	3.489323e-06
9.600000e+01	1.000000e+02	1.957801e-05	0.000000e+00	5.805535e-06
1.000000e+02	1.040000e+02	2.534835e-05	9.782025e-07	9.076000e-07
1.040000e+02	1.080000e+02	2.551865e-05	5.738690e-06	7.087150e-06
1.080000e+02	1.120000e+02	3.664640e-05	1.209740e-05	0.000000e+00
1.120000e+02	1.160000e+02	2.601777e-05	2.620250e-07	1.767860e-05
1.160000e+02	1.200000e+02	3.113507e-05	4.182725e-06	6.055675e-06
1.200000e+02	1.240000e+02	9.640265e-06	0.000000e+00	3.828561e-05
1.240000e+02	1.280000e+02	4.511617e-05	1.686027e-05	0.000000e+00
1.280000e+02	1.320000e+02	2.719402e-05	1.314350e-06	1.438452e-05
1.320000e+02	1.360000e+02	3.143140e-05	4.652375e-06	5.689200e-06
1.360000e+02	1.400000e+02	3.446290e-05	5.442300e-06	1.574575e-06
1.400000e+02	1.440000e+02	3.000675e-05	7.103062e-06	1.994340e-05
1.440000e+02	1.480000e+02	3.876728e-05	1.516694e-05	4.905000e-08
1.480000e+02	1.520000e+02	3.167243e-05	4.790175e-06	9.035650e-06
1.520000e+02	1.560000e+02	3.185163e-05	6.069800e-06	5.553175e-06
1.560000e+02	1.600000e+02	3.209690e-05	7.756112e-06	0.000000e+00
1.600000e+02	1.640000e+02	2.796210e-05	5.154483e-06	8.246950e-06
1.640000e+02	1.680000e+02	1.425755e-05	0.000000e+00	1.183367e-05
1.680000e+02	1.720000e+02	3.132403e-05	1.165777e-05	0.000000e+00
1.720000e+02	1.760000e+02	2.628847e-05	7.306935e-06	4.982075e-06
1.760000e+02	1.800000e+02	1.832917e-05	8.107725e-07	1.286805e-05
1.800000e+02	1.840000e+02	1.996764e-05	3.543763e-06	1.461838e-05
1.840000e+02	1.880000e+02	1.554599e-05	0.000000e+00	4.496430e-06
1.880000e+02	1.920000e+02	2.126381e-05	7.198575e-06	6.299138e-06
1.920000e+02	1.960000e+02	2.173567e-05	6.783258e-06	2.394207e-06
1.960000e+02	2.000000e+02	1.778998e-05	1.759415e-06	1.368899e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/j2j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.600000e+01	0.000000e+00	0.000000e+00	1.367577e-09
3.600000e+01	4.000000e+01	4.762040e-09	3.784775e-09	2.616012e-09
4.000000e+01	4.400000e+01	4.708757e-08	0.000000e+00	2.282998e-08
4.400000e+01	4.800000e+01	2.539452e-07	9.362477e-08	0.000000e+00
4.800000e+01	5.200000e+01	5.217363e-07	1.282865e-07	1.303035e-07
5.200000e+01	5.600000e+01	1.513555e-06	4.664980e-07	0.000000e+00
5.600000e+01	6.000000e+01	2.806755e-06	1.742100e-07	1.129125e-07
6.000000e+01	6.400000e+01	3.017367e-06	0.000000e+00	1.372838e-06
6.400000e+01	6.800000e+01	5.747485e-06	1.000750e-08	2.582025e-07
6.800000e+01	7.200000e+01	7.895933e-06	1.513188e-06	1.018917e-06
7.200000e+01	7.600000e+01	9.168177e-06	0.000000e+00	1.698000e-06
7.600000e+01	8.000000e+01	1.259282e-05	9.416625e-07	2.399577e-06
8.000000e+01	8.400000e+01	1.517945e-05	2.719462e-06	1.800883e-06
8.400000e+01	8.800000e+01	1.687674e-05	3.453360e-06	5.215015e-06
8.800000e+01	9.200000e+01	2.103573e-05	3.213743e-06	3.649717e-06
9.200000e+01	9.600000e+01	2.190810e-05	4.465115e-06	5.460202e-06
9.600000e+01	1.000000e+02	2.928265e-05	9.840960e-06	1.480650e-06
1.000000e+02	1.040000e+02	2.443360e-05	5.175187e-06	6.762200e-06
1.040000e+02	1.080000e+02	2.662625e-05	4.804915e-06	9.237800e-06
1.080000e+02	1.120000e+02	2.881383e-05	6.154898e-06	6.418450e-06
