# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$p_{T,j_1}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1}^{incl}$ (fb/GeV)
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/jet1_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.785126e-04	1.073230e-05	7.795200e-06
3.000000e+01	4.000000e+01	2.789974e-03	6.396900e-05	4.577900e-05
4.000000e+01	5.000000e+01	6.141601e-03	9.002200e-05	9.269100e-05
5.000000e+01	6.000000e+01	8.824497e-03	3.839900e-05	2.177000e-05
6.000000e+01	7.000000e+01	1.030373e-02	1.008400e-04	0.000000e+00
7.000000e+01	8.000000e+01	1.025196e-02	1.200600e-04	0.000000e+00
8.000000e+01	9.000000e+01	9.407960e-03	2.613700e-04	0.000000e+00
9.000000e+01	1.000000e+02	7.846928e-03	6.452200e-05	2.833800e-05
1.000000e+02	1.100000e+02	6.509326e-03	1.453340e-04	5.140800e-05
1.100000e+02	1.200000e+02	5.254179e-03	1.724770e-04	5.140800e-05
1.200000e+02	1.300000e+02	4.230537e-03	1.314770e-04	5.027400e-05
1.300000e+02	1.400000e+02	3.351078e-03	1.180900e-05	1.109500e-04
1.400000e+02	1.500000e+02	2.762279e-03	9.692900e-05	1.855800e-05
1.500000e+02	1.600000e+02	2.188637e-03	7.539300e-05	0.000000e+00
1.600000e+02	1.700000e+02	1.715438e-03	0.000000e+00	3.578900e-05
1.700000e+02	1.800000e+02	1.407498e-03	4.671200e-05	0.000000e+00
1.800000e+02	1.900000e+02	1.140887e-03	3.159200e-05	0.000000e+00
1.900000e+02	2.000000e+02	9.009803e-04	0.000000e+00	4.398500e-06
2.000000e+02	2.100000e+02	7.338993e-04	2.482200e-06	0.000000e+00
2.100000e+02	2.200000e+02	6.018282e-04	1.777510e-05	2.364300e-05
2.200000e+02	2.300000e+02	4.941516e-04	3.429640e-05	0.000000e+00
2.300000e+02	2.400000e+02	4.090437e-04	2.531500e-06	4.940000e-07
2.400000e+02	2.500000e+02	3.365284e-04	1.745200e-06	1.392300e-05
2.500000e+02	2.600000e+02	2.918319e-04	8.533800e-06	4.516230e-05
2.600000e+02	2.700000e+02	2.155955e-04	0.000000e+00	3.495560e-05
2.700000e+02	2.800000e+02	1.953380e-04	9.612600e-06	6.256000e-07
2.800000e+02	2.900000e+02	1.591370e-04	0.000000e+00	1.252610e-05
2.900000e+02	3.000000e+02	1.422216e-04	2.048300e-06	4.562600e-06
3.000000e+02	3.100000e+02	1.191422e-04	5.565500e-06	0.000000e+00
3.100000e+02	3.200000e+02	1.044242e-04	9.835000e-07	1.518000e-06
3.200000e+02	3.300000e+02	8.850695e-05	4.656095e-05	0.000000e+00
3.300000e+02	3.400000e+02	7.457947e-05	3.759240e-06	0.000000e+00
3.400000e+02	3.500000e+02	6.469403e-05	6.495860e-06	4.017800e-07
3.500000e+02	3.600000e+02	5.571432e-05	1.095150e-06	7.581420e-06
3.600000e+02	3.700000e+02	4.853701e-05	2.535230e-06	0.000000e+00
3.700000e+02	3.800000e+02	3.773469e-05	0.000000e+00	2.611790e-06
3.800000e+02	3.900000e+02	3.595962e-05	1.313615e-05	0.000000e+00
3.900000e+02	4.000000e+02	3.279149e-05	1.509120e-06	1.302400e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.783058e-04	0.000000e+00	1.069880e-05
3.000000e+01	4.000000e+01	2.772599e-03	5.211700e-05	7.567800e-05
4.000000e+01	5.000000e+01	6.318721e-03	2.864490e-04	0.000000e+00
5.000000e+01	6.000000e+01	8.847217e-03	8.049300e-05	4.264000e-05
6.000000e+01	7.000000e+01	1.026307e-02	4.504000e-05	0.000000e+00
7.000000e+01	8.000000e+01	1.017470e-02	5.180000e-05	1.873000e-05
8.000000e+01	9.000000e+01	9.166294e-03	1.089910e-04	5.066000e-05
9.000000e+01	1.000000e+02	7.871330e-03	1.585710e-04	2.241800e-05
1.000000e+02	1.100000e+02	6.472820e-03	1.180890e-04	7.333400e-05
1.100000e+02	1.200000e+02	5.255368e-03	1.079990e-04	6.361500e-05
1.200000e+02	1.300000e+02	4.243253e-03	1.068760e-04	4.695400e-05
1.300000e+02	1.400000e+02	3.381949e-03	7.151200e-05	4.934000e-05
1.400000e+02	1.500000e+02	2.705860e-03	8.081500e-05	3.924500e-05
1.500000e+02	1.600000e+02	2.158732e-03	4.450600e-05	3.970000e-05
1.600000e+02	1.700000e+02	1.728873e-03	5.508800e-05	3.314700e-05
1.700000e+02	1.800000e+02	1.394655e-03	3.868000e-05	4.615400e-05
1.800000e+02	1.900000e+02	1.128426e-03	3.206400e-05	9.594000e-06
1.900000e+02	2.000000e+02	9.124760e-04	1.884190e-05	1.688950e-05
2.000000e+02	2.100000e+02	7.405097e-04	3.314880e-05	1.438610e-05
2.100000e+02	2.200000e+02	6.061238e-04	1.542360e-05	1.345920e-05
2.200000e+02	2.300000e+02	5.079882e-04	1.703210e-05	7.145000e-07
2.300000e+02	2.400000e+02	4.162201e-04	1.615150e-05	1.021610e-05
2.400000e+02	2.500000e+02	3.419029e-04	1.424070e-05	1.094590e-05
2.500000e+02	2.600000e+02	2.820993e-04	7.642000e-06	7.478500e-06
2.600000e+02	2.700000e+02	2.369557e-04	8.558500e-06	7.389000e-06
2.700000e+02	2.800000e+02	2.041731e-04	1.047930e-05	9.425000e-07
2.800000e+02	2.900000e+02	1.705072e-04	8.415300e-06	1.074700e-06
2.900000e+02	3.000000e+02	1.458924e-04	9.187200e-06	7.130000e-08
3.000000e+02	3.100000e+02	1.198607e-04	6.907000e-07	1.620000e-08
3.100000e+02	3.200000e+02	1.011192e-04	0.000000e+00	3.940500e-06
3.200000e+02	3.300000e+02	1.072712e-04	2.436438e-05	0.000000e+00
3.300000e+02	3.400000e+02	7.651032e-05	2.737660e-06	1.446680e-06
3.400000e+02	3.500000e+02	6.373477e-05	3.672760e-06	1.013300e-06
3.500000e+02	3.600000e+02	5.554958e-05	1.619510e-06	1.417770e-06
3.600000e+02	3.700000e+02	4.893367e-05	4.442960e-06	2.215630e-06
3.700000e+02	3.800000e+02	4.096126e-05	2.882340e-06	1.774020e-06
3.800000e+02	3.900000e+02	3.544866e-05	3.059400e-07	0.000000e+00
3.900000e+02	4.000000e+02	3.058891e-05	0.000000e+00	1.533610e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/jet1_pT_incl
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	2.772207e-04	2.268980e-05	2.938280e-05
