# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0
Title=$\log_{10}$(Integrated $0$ jet rate in $k_\perp$ [GeV])
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0
RightMargin=0.5
#RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0
XLabel=$\log_{10}(d_{\text{cut}}/\text{GeV})$
LegendAlign=r
YLabel=$R_{0}$
Legend=0
RatioPlot=6
MainPlotSelection={"Selection":[1,2,3,4,5,6,7]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[1,3]};{"RatioPlotYLabel":"","Selection":[1,4]};{"RatioPlotYLabel":"","Selection":[1,5]};{"RatioPlotYLabel":"","Selection":[1,6]};{"RatioPlotYLabel":"","Selection":[1,7]}
RatioPlotSameStyle=1
RatioPlotYMin=0.7
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_TIGHT/log10_R_0
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0
RatioPlotSameStyle=1
Title=h(2*,3*,4)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.722582e-01	1.633507e-03	1.749690e-04	0.000000e+00
2.722583e-01	3.445165e-01	2.774094e-03	2.213380e-04	0.000000e+00
3.445166e-01	4.167748e-01	4.347006e-03	3.541770e-04	0.000000e+00
4.167748e-01	4.890330e-01	6.260712e-03	4.837840e-04	0.000000e+00
4.890331e-01	5.612913e-01	8.717428e-03	7.765550e-04	0.000000e+00
5.612914e-01	6.335496e-01	1.167165e-02	1.034790e-03	0.000000e+00
6.335496e-01	7.058078e-01	1.513264e-02	1.173130e-03	0.000000e+00
7.058079e-01	7.780661e-01	1.910519e-02	1.185980e-03	3.174300e-04
7.780662e-01	8.503244e-01	2.335168e-02	9.525300e-04	1.205100e-04
8.503244e-01	9.225826e-01	2.780953e-02	6.508100e-04	0.000000e+00
9.225827e-01	9.948409e-01	3.229616e-02	8.181900e-04	0.000000e+00
9.948409e-01	1.067099e+00	3.639535e-02	1.323480e-03	4.563000e-05
1.067099e+00	1.139357e+00	3.993795e-02	1.800890e-03	5.191700e-04
1.139358e+00	1.211616e+00	4.286966e-02	2.162720e-03	1.026690e-03
1.211616e+00	1.283874e+00	4.528883e-02	2.437440e-03	1.493570e-03
1.283874e+00	1.356132e+00	4.719747e-02	2.662100e-03	1.873170e-03
1.356132e+00	1.428390e+00	4.869371e-02	2.876020e-03	2.150240e-03
1.428391e+00	1.500649e+00	4.980061e-02	3.056400e-03	2.439890e-03
1.500649e+00	1.572907e+00	5.063147e-02	3.173820e-03	2.634420e-03
1.572907e+00	1.645165e+00	5.128065e-02	3.304320e-03	2.753920e-03
1.645165e+00	1.717423e+00	5.172578e-02	3.365430e-03	2.870300e-03
1.717424e+00	1.789682e+00	5.205064e-02	3.627250e-03	2.959290e-03
1.789682e+00	1.861940e+00	5.227796e-02	3.644170e-03	3.038840e-03
1.861940e+00	1.934198e+00	5.245480e-02	3.718650e-03	3.080680e-03
1.934199e+00	2.006457e+00	5.257863e-02	3.737380e-03	3.109540e-03
2.006457e+00	2.078715e+00	5.266822e-02	3.752070e-03	3.133690e-03
2.078715e+00	2.150973e+00	5.272762e-02	3.762330e-03	3.153210e-03
2.150973e+00	2.223231e+00	5.277764e-02	3.771830e-03	3.166150e-03
2.223232e+00	2.295490e+00	5.281263e-02	3.781330e-03	3.172830e-03
2.295490e+00	2.367748e+00	5.283613e-02	3.787250e-03	3.178360e-03
2.367748e+00	2.440006e+00	5.285288e-02	3.790410e-03	3.182750e-03
2.440006e+00	2.512264e+00	5.286620e-02	3.794270e-03	3.185170e-03
2.512265e+00	2.584523e+00	5.287502e-02	3.796080e-03	3.185670e-03
2.584523e+00	2.656781e+00	5.288141e-02	3.797860e-03	3.186740e-03
2.656781e+00	2.729039e+00	5.288575e-02	3.798770e-03	3.188290e-03
2.729039e+00	2.801297e+00	5.288961e-02	3.799470e-03	3.188270e-03
2.801298e+00	2.873556e+00	5.289217e-02	3.800530e-03	3.187380e-03
2.873556e+00	2.945814e+00	5.289396e-02	3.801030e-03	3.187660e-03
2.945814e+00	3.018072e+00	5.289506e-02	3.800900e-03	3.187720e-03
3.018073e+00	3.090331e+00	5.289577e-02	3.800920e-03	3.188010e-03
3.090331e+00	3.162589e+00	5.289647e-02	3.801080e-03	3.188130e-03
3.162589e+00	3.234847e+00	5.289678e-02	3.801080e-03	3.188420e-03
3.234847e+00	3.307105e+00	5.289735e-02	3.801760e-03	3.188250e-03
3.307106e+00	3.379364e+00	5.289737e-02	3.801630e-03	3.188370e-03
3.379364e+00	3.451622e+00	5.289749e-02	3.801630e-03	3.188460e-03
3.451622e+00	3.523880e+00	5.289759e-02	3.801690e-03	3.188530e-03
3.523880e+00	3.596138e+00	5.289767e-02	3.801700e-03	3.188530e-03
3.596139e+00	3.668397e+00	5.289759e-02	3.801550e-03	3.188690e-03
3.668397e+00	3.740655e+00	5.289762e-02	3.801560e-03	3.188710e-03
3.740655e+00	3.812913e+00	5.289762e-02	3.801550e-03	3.188730e-03
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_TIGHT/log10_R_0
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
