# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2
Title=$\log_{10}$(Integrated $2$ jet rate in $k_\perp$ [GeV])
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2
#RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2
XLabel=$\log_{10}(d_{\text{cut}}/\text{GeV})$
LegendAlign=r
YLabel=$R_{2}$
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H_KTSPLITTINGS/log10_R_2
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_R_2
RatioPlotSameStyle=1
Title=h(2*,3*,4)
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.722582e-01	2.051097e-02	1.421249e-02	5.196933e-02
2.722583e-01	3.445165e-01	3.395791e-02	2.308429e-02	7.176579e-02
3.445166e-01	4.167748e-01	6.064394e-02	3.972225e-02	1.011564e-01
4.167748e-01	4.890330e-01	1.082825e-01	6.834497e-02	1.373685e-01
4.890331e-01	5.612913e-01	1.873530e-01	1.105516e-01	1.768533e-01
5.612914e-01	6.335496e-01	3.084893e-01	1.655163e-01	2.132340e-01
6.335496e-01	7.058078e-01	4.777094e-01	2.266647e-01	2.420186e-01
7.058079e-01	7.780661e-01	6.968237e-01	2.840848e-01	2.613168e-01
7.780662e-01	8.503244e-01	9.605917e-01	3.255912e-01	2.680973e-01
8.503244e-01	9.225826e-01	1.256811e+00	3.470723e-01	2.651980e-01
9.225827e-01	9.948409e-01	1.563964e+00	3.394900e-01	2.511340e-01
9.948409e-01	1.067099e+00	1.864458e+00	3.125240e-01	2.282220e-01
1.067099e+00	1.139357e+00	2.131397e+00	2.710530e-01	2.042410e-01
1.139358e+00	1.211616e+00	2.344492e+00	2.275410e-01	1.764450e-01
1.211616e+00	1.283874e+00	2.472846e+00	1.821340e-01	1.474560e-01
1.283874e+00	1.356132e+00	2.507921e+00	1.412650e-01	1.198830e-01
1.356132e+00	1.428390e+00	2.430397e+00	1.003620e-01	9.366400e-02
1.428391e+00	1.500649e+00	2.255229e+00	7.845200e-02	6.809700e-02
1.500649e+00	1.572907e+00	1.984515e+00	5.492200e-02	4.954400e-02
1.572907e+00	1.645165e+00	1.648803e+00	3.880500e-02	3.018200e-02
1.645165e+00	1.717423e+00	1.283737e+00	2.479600e-02	2.041900e-02
1.717424e+00	1.789682e+00	9.353381e-01	1.504370e-02	7.670000e-03
1.789682e+00	1.861940e+00	6.342422e-01	1.094180e-02	4.927000e-03
1.861940e+00	1.934198e+00	3.989530e-01	3.999100e-03	1.617600e-03
1.934199e+00	2.006457e+00	2.332159e-01	2.406600e-03	0.000000e+00
2.006457e+00	2.078715e+00	1.249077e-01	1.101000e-03	2.399500e-03
2.078715e+00	2.150973e+00	6.473502e-02	4.207990e-03	1.586240e-03
2.150973e+00	2.223231e+00	3.195097e-02	1.992580e-03	1.719360e-03
2.223232e+00	2.295490e+00	1.642752e-02	2.006630e-03	1.841930e-03
2.295490e+00	2.367748e+00	8.701876e-03	1.394428e-03	9.321770e-04
2.367748e+00	2.440006e+00	4.847844e-03	9.843070e-04	4.468520e-04
2.440006e+00	2.512264e+00	2.611610e-03	4.674640e-04	3.407880e-04
2.512265e+00	2.584523e+00	1.460693e-03	3.969340e-04	5.697800e-05
2.584523e+00	2.656781e+00	6.432291e-04	1.995659e-04	1.182706e-04
2.656781e+00	2.729039e+00	2.873670e-04	5.903520e-05	7.442280e-05
2.729039e+00	2.801297e+00	1.338395e-04	3.380280e-05	2.216050e-05
2.801298e+00	2.873556e+00	7.176624e-05	2.362903e-05	3.401326e-05
2.873556e+00	2.945814e+00	2.908859e-05	0.000000e+00	1.215719e-05
2.945814e+00	3.018072e+00	1.266488e-05	0.000000e+00	1.606325e-05
3.018073e+00	3.090331e+00	4.740847e-06	0.000000e+00	1.556135e-05
3.090331e+00	3.162589e+00	2.166373e-06	1.443086e-06	0.000000e+00
3.162589e+00	3.234847e+00	-6.090211e-08	1.152657e-07	5.400009e-07
3.234847e+00	3.307105e+00	-3.893435e-08	0.000000e+00	4.282678e-07
3.307106e+00	3.379364e+00	2.190740e-09	0.000000e+00	1.257621e-07
3.379364e+00	3.451622e+00	-2.571246e-10	0.000000e+00	2.947370e-09
3.451622e+00	3.523880e+00	1.051497e-09	5.509452e-09	0.000000e+00
3.523880e+00	3.596138e+00	8.256863e-10	7.240353e-09	0.000000e+00
