# BEGIN PLOT
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-2-3-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H3Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23 //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H2Jets-NLOPS-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23
Title=$\log_{10}$($k_\perp$ jet resolution $2 \to 3$ [GeV])
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23
#RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
XLabel=$\log_{10}(\sqrt{d_{23}}/\text{GeV})$
LegendAlign=r
XMax=3
YLabel=$\text{d}\sigma/\text{d}\log_{10}(\sqrt{d_{23}}/\text{GeV})$ [fb]
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H_KTSPLITTINGS/log10_d_23
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-matched-errorband/H-N2-N3-4-25gev-combine.yoda/MC_H_KTSPLITTINGS/log10_d_23
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	1.087712e-01	7.281527e-02	1.915269e-01
2.361291e-01	2.722583e-01	1.517427e-01	1.005999e-01	2.362726e-01
2.722583e-01	3.083875e-01	2.205011e-01	1.450924e-01	3.115293e-01
3.083874e-01	3.445165e-01	3.118342e-01	1.903501e-01	3.772195e-01
3.445165e-01	3.806457e-01	4.266914e-01	2.700113e-01	4.364215e-01
3.806457e-01	4.167748e-01	5.685785e-01	3.470086e-01	4.893734e-01
4.167748e-01	4.529039e-01	7.506146e-01	4.443083e-01	5.126042e-01
4.529039e-01	4.890331e-01	9.701768e-01	5.386610e-01	5.378292e-01
4.890331e-01	5.251621e-01	1.220126e+00	6.297671e-01	5.547268e-01
5.251623e-01	5.612913e-01	1.522604e+00	7.301483e-01	5.209363e-01
5.612913e-01	5.974205e-01	1.840250e+00	7.928518e-01	4.846750e-01
5.974204e-01	6.335495e-01	2.184106e+00	8.420309e-01	4.290101e-01
6.335497e-01	6.696787e-01	2.544466e+00	8.566978e-01	3.577432e-01
6.696787e-01	7.058079e-01	2.923851e+00	8.375048e-01	2.847780e-01
7.058080e-01	7.419370e-01	3.288692e+00	7.710339e-01	2.126153e-01
7.419370e-01	7.780660e-01	3.634118e+00	6.190190e-01	1.235984e-01
7.780661e-01	8.141953e-01	4.005649e+00	5.343074e-01	2.277936e-03
8.141954e-01	8.503245e-01	4.324954e+00	3.713959e-01	0.000000e+00
8.503244e-01	8.864534e-01	4.594562e+00	2.055960e-01	0.000000e+00
8.864535e-01	9.225827e-01	4.835908e+00	1.731287e-01	3.795545e-02
9.225828e-01	9.587118e-01	5.078914e+00	2.679973e-01	1.726946e-01
9.587118e-01	9.948408e-01	5.276398e+00	3.145138e-01	3.012143e-01
9.948404e-01	1.030970e+00	5.384513e+00	3.445311e-01	4.893119e-01
1.030970e+00	1.067098e+00	5.440020e+00	3.391237e-01	6.109884e-01
1.067100e+00	1.103228e+00	5.498500e+00	4.008885e-01	6.383266e-01
1.103229e+00	1.139358e+00	5.495142e+00	4.147361e-01	6.806969e-01
1.139357e+00	1.175487e+00	5.408115e+00	3.850927e-01	7.201633e-01
1.175487e+00	1.211615e+00	5.280567e+00	4.164106e-01	7.243627e-01
1.211617e+00	1.247745e+00	5.139317e+00	4.906197e-01	6.890254e-01
1.247746e+00	1.283875e+00	5.010889e+00	4.532287e-01	6.658501e-01
1.283874e+00	1.320002e+00	4.819093e+00	4.174984e-01	6.517368e-01
1.320002e+00	1.356131e+00	4.544621e+00	4.142462e-01	6.337540e-01
1.356132e+00	1.392261e+00	4.354153e+00	3.594536e-01	5.787373e-01
1.392261e+00	1.428391e+00	4.181279e+00	3.522059e-01	3.767119e-01
1.428391e+00	1.464519e+00	3.903922e+00	3.085914e-01	3.277478e-01
1.464519e+00	1.500648e+00	3.703579e+00	3.066180e-01	2.213706e-01
1.500649e+00	1.536778e+00	3.274392e+00	1.817626e-01	2.940463e-01
1.536778e+00	1.572906e+00	2.916137e+00	1.904703e-01	2.509120e-01
1.572906e+00	1.609035e+00	2.543891e+00	1.194019e-01	1.519284e-01
1.609036e+00	1.645165e+00	2.149939e+00	1.108115e-01	1.732165e-01
1.645165e+00	1.681293e+00	1.809813e+00	7.017880e-02	8.151457e-02
1.681294e+00	1.717424e+00	1.502800e+00	1.354495e-01	6.705591e-02
1.717423e+00	1.753552e+00	1.217059e+00	6.246395e-02	0.000000e+00
1.753553e+00	1.789682e+00	9.613864e-01	6.732514e-02	2.311661e-02
1.789682e+00	1.825811e+00	7.328268e-01	4.436685e-02	3.562706e-02
1.825812e+00	1.861940e+00	5.843314e-01	4.204296e-02	4.394780e-02
1.861940e+00	1.898069e+00	4.334391e-01	3.693930e-02	1.902544e-02
1.898069e+00	1.934198e+00	3.122586e-01	2.068283e-02	9.503169e-03
