# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine
XLabel=$m_{j_1j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_3j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/j1j3j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	-1.156007e-09	0.000000e+00	3.511611e-08
2.400000e+01	2.800000e+01	2.352865e-07	1.028461e-07	0.000000e+00
2.800000e+01	3.200000e+01	1.516768e-06	3.411903e-07	8.783850e-08
3.200000e+01	3.600000e+01	3.384057e-06	0.000000e+00	8.276075e-07
3.600000e+01	4.000000e+01	8.648465e-06	2.291925e-07	7.817525e-07
4.000000e+01	4.400000e+01	1.643593e-05	7.472750e-08	6.011978e-06
4.400000e+01	4.800000e+01	1.954395e-05	0.000000e+00	1.015035e-05
4.800000e+01	5.200000e+01	3.692818e-05	7.047750e-07	7.394375e-06
5.200000e+01	5.600000e+01	4.308762e-05	1.553980e-05	7.500250e-07
5.600000e+01	6.000000e+01	6.246410e-05	7.477550e-06	1.503620e-05
6.000000e+01	6.400000e+01	8.133222e-05	1.178837e-05	2.118155e-05
6.400000e+01	6.800000e+01	9.577348e-05	3.443625e-06	4.450470e-05
6.800000e+01	7.200000e+01	1.334067e-04	1.577680e-05	3.186525e-05
7.200000e+01	7.600000e+01	1.854384e-04	7.247375e-06	3.198110e-05
7.600000e+01	8.000000e+01	2.356515e-04	2.518165e-05	7.956895e-05
8.000000e+01	8.400000e+01	2.702128e-04	1.983775e-05	0.000000e+00
8.400000e+01	8.800000e+01	2.168126e-04	2.690550e-06	9.622235e-05
8.800000e+01	9.200000e+01	2.715515e-04	1.448100e-05	0.000000e+00
9.200000e+01	9.600000e+01	2.531295e-04	1.549250e-06	2.928600e-05
9.600000e+01	1.000000e+02	2.895835e-04	4.331045e-05	2.841800e-05
1.000000e+02	1.040000e+02	3.161840e-04	1.851150e-05	3.574125e-05
1.040000e+02	1.080000e+02	3.526958e-04	4.513650e-05	1.299675e-05
1.080000e+02	1.120000e+02	3.950675e-04	7.351475e-05	3.496550e-05
1.120000e+02	1.160000e+02	4.129773e-04	0.000000e+00	5.852375e-05
1.160000e+02	1.200000e+02	4.840320e-04	5.094500e-05	8.905500e-05
1.200000e+02	1.240000e+02	4.853395e-04	1.074070e-04	6.967400e-05
1.240000e+02	1.280000e+02	5.292630e-04	7.406025e-05	8.038600e-05
1.280000e+02	1.320000e+02	4.994917e-04	9.196000e-06	1.303735e-04
1.320000e+02	1.360000e+02	5.746922e-04	5.526125e-05	7.261725e-05
1.360000e+02	1.400000e+02	5.192370e-04	0.000000e+00	1.538293e-04
1.400000e+02	1.440000e+02	6.014997e-04	1.633700e-05	9.694750e-05
1.440000e+02	1.480000e+02	6.357157e-04	9.296925e-05	3.276100e-05
1.480000e+02	1.520000e+02	5.746265e-04	1.102325e-05	1.991913e-04
1.520000e+02	1.560000e+02	6.247718e-04	6.588500e-05	1.229577e-04
1.560000e+02	1.600000e+02	6.316915e-04	4.542125e-05	1.487548e-04
1.600000e+02	1.640000e+02	6.186498e-04	1.044382e-04	5.547325e-05
1.640000e+02	1.680000e+02	6.039838e-04	3.928725e-05	1.133510e-04
1.680000e+02	1.720000e+02	6.149687e-04	2.748675e-05	6.457925e-05
1.720000e+02	1.760000e+02	6.676792e-04	7.662975e-05	3.296050e-05
1.760000e+02	1.800000e+02	6.014762e-04	5.918000e-05	1.015230e-04
1.800000e+02	1.840000e+02	5.932408e-04	1.677200e-05	6.282550e-05
1.840000e+02	1.880000e+02	6.496045e-04	9.434675e-05	5.198575e-05
1.880000e+02	1.920000e+02	6.081370e-04	1.246180e-04	3.230475e-05
1.920000e+02	1.960000e+02	5.792527e-04	6.508275e-05	2.315725e-05
1.960000e+02	2.000000e+02	6.291537e-04	1.160627e-04	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/j1j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	1.137390e-09	0.000000e+00	1.427945e-08
2.400000e+01	2.800000e+01	1.769812e-07	1.553550e-09	3.133080e-08
2.800000e+01	3.200000e+01	6.706180e-07	4.844350e-08	2.268468e-07
3.200000e+01	3.600000e+01	2.208780e-06	2.205525e-08	1.436750e-08
3.600000e+01	4.000000e+01	5.667092e-06	0.000000e+00	1.906163e-06
4.000000e+01	4.400000e+01	1.011993e-05	6.508500e-08	5.876695e-06
4.400000e+01	4.800000e+01	1.207646e-05	0.000000e+00	8.355350e-06
4.800000e+01	5.200000e+01	2.863338e-05	8.122068e-06	0.000000e+00
5.200000e+01	5.600000e+01	2.576738e-05	0.000000e+00	1.034227e-05
5.600000e+01	6.000000e+01	3.326847e-05	0.000000e+00	9.507900e-06
6.000000e+01	6.400000e+01	3.908010e-05	0.000000e+00	1.565300e-05
6.400000e+01	6.800000e+01	4.472222e-05	0.000000e+00	1.390438e-05
6.800000e+01	7.200000e+01	5.371325e-05	0.000000e+00	1.742820e-05
7.200000e+01	7.600000e+01	5.761603e-05	0.000000e+00	8.796925e-06
7.600000e+01	8.000000e+01	6.453993e-05	1.363358e-05	1.344692e-05
8.000000e+01	8.400000e+01	6.390755e-05	0.000000e+00	2.156460e-05
8.400000e+01	8.800000e+01	7.228020e-05	0.000000e+00	1.422195e-05
8.800000e+01	9.200000e+01	7.579298e-05	0.000000e+00	1.490873e-05
9.200000e+01	9.600000e+01	8.404105e-05	0.000000e+00	1.438958e-05
9.600000e+01	1.000000e+02	8.544988e-05	0.000000e+00	2.012790e-05
