# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x
#RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x
XLabel=$x_{j_3}^{\star}$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} x_{j_3}^{\star}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/jet3_x
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.853145e-02	1.669400e-03	1.056150e-03
-4.600000e+00	-4.200000e+00	3.022625e-02	0.000000e+00	3.354575e-03
-4.200000e+00	-3.800000e+00	3.964812e-02	3.578975e-03	0.000000e+00
-3.800000e+00	-3.400000e+00	4.409203e-02	1.320100e-03	8.159750e-04
-3.400000e+00	-3.000000e+00	5.192360e-02	1.544325e-03	0.000000e+00
-3.000000e+00	-2.600000e+00	5.761340e-02	6.920500e-04	2.627100e-03
-2.600000e+00	-2.200000e+00	7.812805e-02	6.845850e-03	0.000000e+00
-2.200000e+00	-1.800000e+00	9.338542e-02	1.787900e-03	2.045250e-04
-1.800000e+00	-1.400000e+00	1.291429e-01	3.879025e-03	0.000000e+00
-1.400000e+00	-1.000000e+00	1.865699e-01	3.966875e-03	1.682550e-03
-1.000000e+00	-6.000000e-01	2.729777e-01	6.861500e-03	4.262000e-03
-6.000000e-01	-2.000000e-01	3.695995e-01	1.931700e-02	2.214925e-02
-2.000000e-01	2.000000e-01	3.349100e-01	5.687250e-03	7.534750e-03
2.000000e-01	6.000000e-01	2.586678e-01	7.570750e-03	1.409425e-02
6.000000e-01	1.000000e+00	1.308141e-01	3.993350e-03	0.000000e+00
1.000000e+00	1.400000e+00	6.082355e-02	1.149500e-04	2.194350e-03
1.400000e+00	1.800000e+00	3.229055e-02	4.332475e-03	0.000000e+00
1.800000e+00	2.200000e+00	1.293115e-02	1.635100e-04	0.000000e+00
2.200000e+00	2.600000e+00	5.348285e-03	9.038500e-05	2.509850e-04
2.600000e+00	3.000000e+00	1.932171e-03	0.000000e+00	4.452953e-04
3.000000e+00	3.400000e+00	7.181765e-04	1.488642e-04	0.000000e+00
3.400000e+00	3.800000e+00	1.431828e-04	1.520688e-05	4.966763e-05
3.800000e+00	4.200000e+00	1.740116e-05	2.169187e-05	4.006740e-06
4.200000e+00	4.600000e+00	5.757478e-07	2.269030e-07	0.000000e+00
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.513567e-02	0.000000e+00	1.293950e-03
-4.600000e+00	-4.200000e+00	2.998350e-02	1.167075e-03	1.405475e-03
-4.200000e+00	-3.800000e+00	3.474500e-02	2.078950e-03	0.000000e+00
-3.800000e+00	-3.400000e+00	3.397650e-02	0.000000e+00	7.257500e-03
-3.400000e+00	-3.000000e+00	3.511653e-02	0.000000e+00	9.829250e-04
-3.000000e+00	-2.600000e+00	3.820730e-02	6.094250e-04	0.000000e+00
-2.600000e+00	-2.200000e+00	4.254538e-02	9.828000e-04	6.015750e-04
-2.200000e+00	-1.800000e+00	5.138395e-02	8.182500e-04	3.190250e-04
-1.800000e+00	-1.400000e+00	6.719095e-02	1.532525e-03	1.433750e-03
-1.400000e+00	-1.000000e+00	9.339048e-02	1.693250e-03	8.532500e-04
-1.000000e+00	-6.000000e-01	1.353906e-01	0.000000e+00	3.836625e-03
-6.000000e-01	-2.000000e-01	1.919984e-01	0.000000e+00	1.123770e-02
-2.000000e-01	2.000000e-01	1.571428e-01	0.000000e+00	9.855825e-03
2.000000e-01	6.000000e-01	1.447015e-01	0.000000e+00	6.584900e-03
6.000000e-01	1.000000e+00	7.794880e-02	0.000000e+00	3.591000e-04
1.000000e+00	1.400000e+00	4.077835e-02	1.698075e-03	1.462500e-04
1.400000e+00	1.800000e+00	2.209086e-02	1.297065e-03	0.000000e+00
1.800000e+00	2.200000e+00	1.087911e-02	2.488525e-04	2.554425e-04
2.200000e+00	2.600000e+00	4.712220e-03	0.000000e+00	4.429050e-04
2.600000e+00	3.000000e+00	1.812162e-03	0.000000e+00	1.723975e-04
3.000000e+00	3.400000e+00	5.444760e-04	0.000000e+00	3.006450e-04
3.400000e+00	3.800000e+00	1.172780e-04	0.000000e+00	2.479368e-05
3.800000e+00	4.200000e+00	1.409959e-05	0.000000e+00	3.984835e-06
4.200000e+00	4.600000e+00	2.368349e-07	3.026408e-08	3.217222e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.732967e-02	2.386947e-03	2.435975e-03
-4.600000e+00	-4.200000e+00	3.266083e-02	2.630175e-03	3.159250e-03
-4.200000e+00	-3.800000e+00	3.746235e-02	2.603075e-03	2.939725e-03
-3.800000e+00	-3.400000e+00	4.294053e-02	4.109525e-03	3.537100e-03
-3.400000e+00	-3.000000e+00	4.814295e-02	3.368225e-03	4.326225e-03
-3.000000e+00	-2.600000e+00	5.672695e-02	5.102050e-03	4.832975e-03
-2.600000e+00	-2.200000e+00	6.896473e-02	5.615225e-03	6.228350e-03
-2.200000e+00	-1.800000e+00	8.947090e-02	6.291175e-03	6.401925e-03
-1.800000e+00	-1.400000e+00	1.257082e-01	8.307650e-03	7.026150e-03
-1.400000e+00	-1.000000e+00	1.834115e-01	1.129408e-02	1.060680e-02
-1.000000e+00	-6.000000e-01	2.655187e-01	1.453200e-02	1.506550e-02
-6.000000e-01	-2.000000e-01	3.639550e-01	2.089625e-02	2.592850e-02
-2.000000e-01	2.000000e-01	3.268795e-01	1.941750e-02	2.309425e-02
2.000000e-01	6.000000e-01	2.540695e-01	1.437575e-02	1.704825e-02
6.000000e-01	1.000000e+00	1.254890e-01	6.125700e-03	8.240800e-03
1.000000e+00	1.400000e+00	5.995605e-02	4.027250e-03	7.149975e-03
1.400000e+00	1.800000e+00	2.815192e-02	2.129775e-03	2.268000e-03
1.800000e+00	2.200000e+00	1.271935e-02	1.204260e-03	1.410060e-03
2.200000e+00	2.600000e+00	5.226590e-03	4.900575e-04	8.591075e-04
2.600000e+00	3.000000e+00	1.958074e-03	2.249773e-04	4.229480e-04
3.000000e+00	3.400000e+00	6.615378e-04	1.879150e-04	5.769275e-05
3.400000e+00	3.800000e+00	1.329669e-04	2.904405e-05	1.113925e-06
3.800000e+00	4.200000e+00	1.407747e-05	1.531495e-06	9.636570e-06
4.200000e+00	4.600000e+00	5.959238e-07	5.592490e-07	2.041053e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x
ErrorBandColor=cyan
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=cyan
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x
RatioPlotSameStyle=1
Title=h(2*,3,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.572032e-02	1.956585e-03	2.401700e-03
-4.600000e+00	-4.200000e+00	2.978855e-02	2.307550e-03	2.119475e-03
-4.200000e+00	-3.800000e+00	3.231462e-02	2.163100e-03	2.490100e-03
-3.800000e+00	-3.400000e+00	3.395613e-02	2.019975e-03	2.361750e-03
-3.400000e+00	-3.000000e+00	3.521370e-02	2.059400e-03	2.523200e-03
-3.000000e+00	-2.600000e+00	3.723575e-02	2.506125e-03	2.539775e-03
-2.600000e+00	-2.200000e+00	4.164183e-02	2.691525e-03	2.916075e-03
-2.200000e+00	-1.800000e+00	5.079162e-02	3.116025e-03	3.288100e-03
-1.800000e+00	-1.400000e+00	6.696232e-02	4.228250e-03	4.034675e-03
-1.400000e+00	-1.000000e+00	9.259858e-02	5.498600e-03	4.465450e-03
-1.000000e+00	-6.000000e-01	1.366218e-01	6.548025e-03	7.974650e-03
-6.000000e-01	-2.000000e-01	1.961734e-01	1.058087e-02	1.519195e-02
-2.000000e-01	2.000000e-01	1.590443e-01	8.577425e-03	1.159325e-02
2.000000e-01	6.000000e-01	1.458677e-01	6.588250e-03	9.704725e-03
6.000000e-01	1.000000e+00	7.836117e-02	4.117900e-03	3.890050e-03
1.000000e+00	1.400000e+00	4.107655e-02	2.227350e-03	1.625100e-03
1.400000e+00	1.800000e+00	2.195887e-02	1.518382e-03	1.386267e-03
1.800000e+00	2.200000e+00	1.096569e-02	9.631150e-04	9.783150e-04
2.200000e+00	2.600000e+00	4.938610e-03	5.832825e-04	5.274925e-04
2.600000e+00	3.000000e+00	1.894895e-03	2.648617e-04	2.385648e-04
3.000000e+00	3.400000e+00	5.746038e-04	9.202750e-05	1.121155e-04
3.400000e+00	3.800000e+00	1.323096e-04	2.647420e-05	2.991655e-05
3.800000e+00	4.200000e+00	1.442135e-05	1.984262e-06	8.406532e-06
4.200000e+00	4.600000e+00	4.062430e-07	0.000000e+00	3.950690e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_INC/jet3_x
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.848095e-02	3.149100e-03	3.392350e-03
-4.600000e+00	-4.200000e+00	3.368405e-02	3.473775e-03	3.500275e-03
-4.200000e+00	-3.800000e+00	3.866762e-02	4.007900e-03	3.566525e-03
-3.800000e+00	-3.400000e+00	4.231785e-02	3.625425e-03	4.165075e-03
-3.400000e+00	-3.000000e+00	4.751465e-02	4.125125e-03	3.520350e-03
-3.000000e+00	-2.600000e+00	5.376480e-02	4.280575e-03	4.386425e-03
-2.600000e+00	-2.200000e+00	6.449270e-02	5.050625e-03	4.969650e-03
-2.200000e+00	-1.800000e+00	8.287610e-02	5.437475e-03	5.485225e-03
-1.800000e+00	-1.400000e+00	1.160353e-01	7.147325e-03	5.828475e-03
-1.400000e+00	-1.000000e+00	1.699038e-01	9.391950e-03	7.328875e-03
-1.000000e+00	-6.000000e-01	2.487930e-01	1.415715e-02	1.341870e-02
-6.000000e-01	-2.000000e-01	3.350815e-01	1.977550e-02	2.521275e-02
-2.000000e-01	2.000000e-01	2.928858e-01	1.629100e-02	1.956300e-02
2.000000e-01	6.000000e-01	2.327595e-01	1.347002e-02	1.711220e-02
6.000000e-01	1.000000e+00	1.202024e-01	8.245050e-03	6.641825e-03
1.000000e+00	1.400000e+00	5.854048e-02	3.867250e-03	3.780800e-03
1.400000e+00	1.800000e+00	2.809280e-02	2.657450e-03	2.196900e-03
1.800000e+00	2.200000e+00	1.269314e-02	1.371000e-03	1.293093e-03
2.200000e+00	2.600000e+00	5.441808e-03	9.220175e-04	7.778175e-04
2.600000e+00	3.000000e+00	1.998814e-03	3.129853e-04	4.058735e-04
3.000000e+00	3.400000e+00	5.936900e-04	1.128828e-04	1.491968e-04
3.400000e+00	3.800000e+00	1.331034e-04	3.307887e-05	3.726980e-05
3.800000e+00	4.200000e+00	1.632439e-05	2.449555e-06	6.508072e-06
4.200000e+00	4.600000e+00	4.189113e-07	4.999600e-08	6.016835e-07
4.600000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_INC/jet3_x
RatioPlotSameStyle=1
Title=h(2,3,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.702797e-02	3.007557e-03	3.364100e-03
-4.600000e+00	-4.200000e+00	3.128810e-02	3.192650e-03	3.247275e-03
