# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
XLabel=$p_{T,j_1j_2j_3}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{incl}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.4
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/H_jjj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.758892e-04	0.000000e+00	3.882460e-05
1.000000e+01	2.000000e+01	1.133860e-03	4.846800e-05	1.151300e-04
2.000000e+01	3.000000e+01	1.875824e-03	1.178990e-04	1.493340e-04
3.000000e+01	4.000000e+01	2.359331e-03	6.692600e-05	1.118770e-04
4.000000e+01	5.000000e+01	2.865060e-03	1.480720e-04	3.003660e-04
5.000000e+01	6.000000e+01	3.187865e-03	2.249570e-04	1.827360e-04
6.000000e+01	7.000000e+01	3.306958e-03	1.257660e-04	1.400850e-04
7.000000e+01	8.000000e+01	3.413546e-03	9.979700e-05	1.642160e-04
8.000000e+01	9.000000e+01	3.332152e-03	1.241560e-04	2.836160e-04
9.000000e+01	1.000000e+02	3.317062e-03	1.591280e-04	1.165910e-04
1.000000e+02	1.100000e+02	3.064823e-03	6.019100e-05	2.524380e-04
1.100000e+02	1.200000e+02	3.038283e-03	2.825620e-04	0.000000e+00
1.200000e+02	1.300000e+02	2.673433e-03	1.006230e-04	3.375360e-04
1.300000e+02	1.400000e+02	2.424121e-03	0.000000e+00	5.854000e-05
1.400000e+02	1.500000e+02	2.167502e-03	4.542400e-05	7.468000e-05
1.500000e+02	1.600000e+02	1.926376e-03	1.046710e-04	8.278000e-06
1.600000e+02	1.700000e+02	1.584196e-03	1.690000e-06	6.191200e-05
1.700000e+02	1.800000e+02	1.453269e-03	6.771300e-05	6.850000e-06
1.800000e+02	1.900000e+02	1.262960e-03	2.174900e-05	0.000000e+00
1.900000e+02	2.000000e+02	1.246036e-03	2.086000e-04	0.000000e+00
2.000000e+02	2.100000e+02	9.424418e-04	2.671060e-05	2.730030e-05
2.100000e+02	2.200000e+02	1.161868e-03	3.864267e-04	0.000000e+00
2.200000e+02	2.300000e+02	6.899042e-04	2.943440e-05	3.864360e-05
2.300000e+02	2.400000e+02	6.234305e-04	4.145310e-05	0.000000e+00
2.400000e+02	2.500000e+02	5.097865e-04	5.043090e-05	0.000000e+00
2.500000e+02	2.600000e+02	4.311773e-04	7.230590e-05	0.000000e+00
2.600000e+02	2.700000e+02	3.892528e-04	1.425520e-05	4.758200e-06
2.700000e+02	2.800000e+02	3.387449e-04	3.657200e-06	1.292600e-06
2.800000e+02	2.900000e+02	2.781939e-04	4.615700e-06	6.623700e-06
2.900000e+02	3.000000e+02	2.692497e-04	2.931800e-05	0.000000e+00
3.000000e+02	3.100000e+02	2.200421e-04	3.860800e-06	1.275400e-05
3.100000e+02	3.200000e+02	2.100588e-04	2.469460e-05	0.000000e+00
3.200000e+02	3.300000e+02	1.686824e-04	1.249380e-05	3.070810e-05
3.300000e+02	3.400000e+02	1.426753e-04	2.823850e-05	0.000000e+00
3.400000e+02	3.500000e+02	1.195789e-04	6.404600e-06	1.868600e-06
3.500000e+02	3.600000e+02	1.159707e-04	3.721500e-06	0.000000e+00
3.600000e+02	3.700000e+02	9.196592e-05	9.758710e-06	1.746568e-05
3.700000e+02	3.800000e+02	7.954811e-05	0.000000e+00	8.610050e-06
3.800000e+02	3.900000e+02	7.871743e-05	1.391814e-05	0.000000e+00
3.900000e+02	4.000000e+02	6.012304e-05	0.000000e+00	3.482472e-05
4.000000e+02	4.100000e+02	6.916960e-05	1.428821e-05	0.000000e+00
4.100000e+02	4.200000e+02	5.706771e-05	2.217849e-05	0.000000e+00
4.200000e+02	4.300000e+02	3.691079e-05	0.000000e+00	1.607647e-05
4.300000e+02	4.400000e+02	4.109372e-05	1.036368e-05	1.703370e-06
4.400000e+02	4.500000e+02	3.603170e-05	0.000000e+00	2.469401e-05
4.500000e+02	4.600000e+02	3.001059e-05	0.000000e+00	3.770120e-06
4.600000e+02	4.700000e+02	3.741899e-05	1.504704e-05	0.000000e+00
4.700000e+02	4.800000e+02	2.411779e-05	4.102980e-06	5.247110e-06
4.800000e+02	4.900000e+02	2.579639e-05	1.314101e-05	1.195471e-05
4.900000e+02	5.000000e+02	2.230074e-05	7.130150e-06	3.618140e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/H_jjj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.872731e-04	0.000000e+00	1.875550e-05
