# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
#RatioPlot=1
LogY=1
RatioPlotYMax=3.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
XLabel=$N_{jets}^{gap} (excl)$
LegendAlign=r
XMax=6
YLabel=$ \text{d} \sigma/ \text{d}  N_{jets}^{gap} (excl)$ 
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/NGapJet_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.710744e+00	8.696000e-02	6.035500e-02
5.000000e-01	1.500000e+00	1.750143e-01	4.693900e-03	8.465000e-04
1.500000e+00	2.500000e+00	2.329191e-02	3.076470e-03	3.090030e-03
2.500000e+00	3.500000e+00	3.634639e-03	6.782540e-04	9.075690e-04
3.500000e+00	4.500000e+00	7.181104e-04	2.171001e-04	3.749176e-04
4.500000e+00	5.500000e+00	1.242239e-04	3.377003e-05	7.802980e-05
5.500000e+00	6.500000e+00	3.012330e-05	1.388387e-05	2.164346e-05
6.500000e+00	7.500000e+00	7.317150e-06	3.148350e-06	4.683330e-06
7.500000e+00	8.500000e+00	1.267872e-06	6.592627e-07	2.002120e-06
8.500000e+00	9.500000e+00	1.654369e-07	5.557900e-08	6.145895e-07
9.500000e+00	1.050000e+01	1.132013e-07	5.576073e-08	6.398980e-08
1.050000e+01	1.150000e+01	3.169477e-09	0.000000e+00	3.170290e-08
1.150000e+01	1.250000e+01	2.484346e-10	2.484081e-10	3.953110e-10
1.250000e+01	1.350000e+01	5.298520e-12	4.558571e-12	1.758765e-09
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	9.396925e-12
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.736747e+00	1.623490e-01	0.000000e+00
5.000000e-01	1.500000e+00	1.350217e-01	0.000000e+00	1.595200e-03
1.500000e+00	2.500000e+00	1.118912e-02	0.000000e+00	1.555420e-03
2.500000e+00	3.500000e+00	9.359629e-04	0.000000e+00	4.581051e-04
3.500000e+00	4.500000e+00	1.320383e-04	6.026800e-06	4.979330e-05
4.500000e+00	5.500000e+00	1.010049e-05	0.000000e+00	9.494410e-06
5.500000e+00	6.500000e+00	1.508969e-06	0.000000e+00	2.045856e-06
6.500000e+00	7.500000e+00	1.066383e-07	0.000000e+00	5.755981e-07
7.500000e+00	8.500000e+00	2.435952e-08	1.196302e-07	4.132410e-09
8.500000e+00	9.500000e+00	1.474193e-09	1.212475e-08	0.000000e+00
9.500000e+00	1.050000e+01	4.010277e-11	1.350202e-10	2.004201e-08
1.050000e+01	1.150000e+01	9.411385e-14	0.000000e+00	6.975537e-10
1.150000e+01	1.250000e+01	0.000000e+00	0.000000e+00	1.170640e-11
1.250000e+01	1.350000e+01	0.000000e+00	1.733011e-16	0.000000e+00
1.350000e+01	1.450000e+01	0.000000e+00	2.338010e-27	0.000000e+00
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.705586e+00	9.494400e-02	7.770800e-02
5.000000e-01	1.500000e+00	1.701407e-01	1.056910e-02	1.000220e-02
1.500000e+00	2.500000e+00	2.227358e-02	3.332840e-03	4.041570e-03
2.500000e+00	3.500000e+00	3.544929e-03	7.112180e-04	2.389108e-03
3.500000e+00	4.500000e+00	6.414542e-04	1.873781e-04	2.862959e-04
4.500000e+00	5.500000e+00	1.129506e-04	2.608528e-05	9.636440e-05
5.500000e+00	6.500000e+00	2.687101e-05	1.091428e-05	2.115480e-05
6.500000e+00	7.500000e+00	6.152989e-06	3.374128e-06	3.877601e-06
7.500000e+00	8.500000e+00	9.553008e-07	3.227525e-07	2.102611e-06
8.500000e+00	9.500000e+00	1.570795e-07	1.039713e-07	4.568488e-07
9.500000e+00	1.050000e+01	9.112283e-08	8.006658e-08	5.815997e-08
1.050000e+01	1.150000e+01	6.531405e-09	2.675501e-09	2.318275e-08
1.150000e+01	1.250000e+01	1.341884e-08	1.333176e-08	0.000000e+00
1.250000e+01	1.350000e+01	5.418304e-10	5.418304e-10	0.000000e+00
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	7.503609e-11
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
ErrorBandColor=cyan
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=cyan
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
RatioPlotSameStyle=1
Title=h(2*,3,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.664344e+00	1.036060e-01	8.004800e-02
5.000000e-01	1.500000e+00	1.355398e-01	6.891300e-03	7.202200e-03
1.500000e+00	2.500000e+00	1.204176e-02	1.589790e-03	2.113690e-03
2.500000e+00	3.500000e+00	1.166970e-03	2.300160e-04	4.011490e-04
3.500000e+00	4.500000e+00	1.270186e-04	2.884991e-05	6.666000e-05
4.500000e+00	5.500000e+00	1.848645e-05	4.793100e-06	5.871060e-06
5.500000e+00	6.500000e+00	1.800098e-06	0.000000e+00	2.643070e-06
6.500000e+00	7.500000e+00	4.253082e-07	2.773563e-07	2.906387e-07
7.500000e+00	8.500000e+00	1.340883e-08	1.621159e-08	1.074292e-07
8.500000e+00	9.500000e+00	3.630591e-09	3.037733e-09	7.582331e-08
9.500000e+00	1.050000e+01	4.004884e-10	3.901839e-09	0.000000e+00
1.050000e+01	1.150000e+01	1.030919e-11	8.686351e-12	0.000000e+00
1.150000e+01	1.250000e+01	3.533257e-10	5.706246e-10	0.000000e+00
1.250000e+01	1.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.708328e+00	3.954800e-02	1.474300e-02
5.000000e-01	1.500000e+00	1.647056e-01	1.241780e-02	1.346250e-02
1.500000e+00	2.500000e+00	2.041087e-02	2.741900e-03	4.024400e-03
2.500000e+00	3.500000e+00	3.270746e-03	7.030180e-04	8.679770e-04
3.500000e+00	4.500000e+00	5.810703e-04	1.602894e-04	2.467241e-04
4.500000e+00	5.500000e+00	1.183780e-04	4.423372e-05	6.367310e-05
5.500000e+00	6.500000e+00	2.523488e-05	1.056227e-05	1.965740e-05
6.500000e+00	7.500000e+00	4.903965e-06	1.129234e-06	6.301725e-06
7.500000e+00	8.500000e+00	1.233745e-06	7.070623e-07	1.315379e-06
8.500000e+00	9.500000e+00	1.707309e-07	4.412100e-09	4.766858e-07
9.500000e+00	1.050000e+01	3.869308e-08	3.151917e-08	5.594470e-08
1.050000e+01	1.150000e+01	4.542435e-08	4.394575e-08	0.000000e+00
1.150000e+01	1.250000e+01	6.666551e-11	0.000000e+00	1.057403e-08
1.250000e+01	1.350000e+01	1.847348e-12	1.428810e-12	4.141373e-10
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	7.000172e-11
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	2.364159e-12
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
RatioPlotSameStyle=1
Title=h(2,3,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.691373e+00	4.048000e-02	1.715900e-02
5.000000e-01	1.500000e+00	1.399795e-01	1.109090e-02	1.177410e-02
1.500000e+00	2.500000e+00	1.236765e-02	1.849940e-03	2.471160e-03
2.500000e+00	3.500000e+00	1.214030e-03	2.553775e-04	3.925770e-04
3.500000e+00	4.500000e+00	1.373178e-04	3.378540e-05	5.660920e-05
4.500000e+00	5.500000e+00	1.664811e-05	6.565850e-06	7.438060e-06
5.500000e+00	6.500000e+00	2.454945e-06	1.258006e-06	8.045160e-07
6.500000e+00	7.500000e+00	2.511944e-07	0.000000e+00	6.202287e-07
7.500000e+00	8.500000e+00	3.835710e-08	1.287692e-08	6.029827e-08
8.500000e+00	9.500000e+00	9.181816e-09	7.136201e-09	0.000000e+00
9.500000e+00	1.050000e+01	2.814640e-10	2.801924e-10	6.720645e-10
1.050000e+01	1.150000e+01	6.441911e-17	6.435768e-17	6.025828e-11
1.150000e+01	1.250000e+01	2.359518e-16	2.090822e-12	6.469023e-12
1.250000e+01	1.350000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
ErrorBandColor=purple
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=purple
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
RatioPlotSameStyle=1
Title=h(2,3)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.727021e+00	5.193400e-02	0.000000e+00
5.000000e-01	1.500000e+00	1.507104e-01	0.000000e+00	2.541400e-02
1.500000e+00	2.500000e+00	1.475462e-02	0.000000e+00	5.375270e-03
2.500000e+00	3.500000e+00	1.542062e-03	0.000000e+00	9.279850e-04
3.500000e+00	4.500000e+00	1.707960e-04	0.000000e+00	1.525398e-04
4.500000e+00	5.500000e+00	1.909291e-05	0.000000e+00	2.572321e-05
5.500000e+00	6.500000e+00	2.237517e-06	0.000000e+00	4.108032e-06
6.500000e+00	7.500000e+00	3.483583e-07	0.000000e+00	4.435061e-07
7.500000e+00	8.500000e+00	2.433898e-08	0.000000e+00	8.818642e-08
8.500000e+00	9.500000e+00	1.449781e-09	0.000000e+00	2.709459e-08
9.500000e+00	1.050000e+01	-7.298826e-11	0.000000e+00	2.424495e-09
1.050000e+01	1.150000e+01	0.000000e+00	0.000000e+00	2.134307e-14
1.150000e+01	1.250000e+01	0.000000e+00	0.000000e+00	5.474281e-10
1.250000e+01	1.350000e+01	9.421108e-18	9.421108e-18	0.000000e+00
1.350000e+01	1.450000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.450000e+01	1.550000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.550000e+01	1.650000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.650000e+01	1.750000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.750000e+01	1.850000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.850000e+01	1.950000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
ErrorBandColor=violet
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=violet
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/NGapJet_excl
RatioPlotSameStyle=1
Title=h(2,3)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e-01	5.000000e-01	1.655556e+00	0.000000e+00	5.596400e-02
5.000000e-01	1.500000e+00	1.500633e-01	2.211920e-02	0.000000e+00
1.500000e+00	2.500000e+00	1.337345e-02	3.812484e-03	0.000000e+00
2.500000e+00	3.500000e+00	1.256011e-03	4.860221e-04	0.000000e+00
3.500000e+00	4.500000e+00	1.297676e-04	6.150987e-05	0.000000e+00
4.500000e+00	5.500000e+00	1.424858e-05	7.633218e-06	0.000000e+00
5.500000e+00	6.500000e+00	1.855980e-06	1.186795e-06	0.000000e+00
6.500000e+00	7.500000e+00	2.258996e-07	1.482712e-07	0.000000e+00
7.500000e+00	8.500000e+00	2.468200e-08	1.514835e-08	1.208133e-08
8.500000e+00	9.500000e+00	4.294863e-09	3.039211e-09	0.000000e+00
9.500000e+00	1.050000e+01	1.035325e-10	1.032435e-10	0.000000e+00
1.050000e+01	1.150000e+01	3.372456e-10	3.372456e-10	0.000000e+00
1.150000e+01	1.250000e+01	1.072131e-15	1.072131e-15	6.031918e-12
