# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl
XLabel=$\Delta \phi_{h,j_1j_2}^{excl}$
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  \Delta \phi_{h,j_1j_2}^{excl}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	1.063116e-04	0.000000e+00	5.799936e-03
1.047198e-01	2.094395e-01	5.011020e-03	1.124278e-03	9.949685e-04
2.094395e-01	3.141593e-01	5.233167e-03	1.083701e-03	4.225839e-04
3.141594e-01	4.188790e-01	5.355047e-03	1.235434e-03	6.796400e-04
4.188790e-01	5.235988e-01	5.166155e-03	6.622339e-04	9.543849e-04
5.235989e-01	6.283186e-01	5.512375e-03	7.747205e-04	1.008329e-03
6.283185e-01	7.330383e-01	6.262930e-03	1.231404e-03	7.056698e-04
7.330384e-01	8.377581e-01	6.152045e-03	8.320058e-04	1.009904e-03
8.377580e-01	9.424778e-01	6.258902e-03	6.901369e-04	1.473371e-03
9.424778e-01	1.047198e+00	7.080006e-03	8.799907e-04	1.445150e-03
1.047197e+00	1.151917e+00	8.094890e-03	1.211908e-03	1.552729e-03
1.151917e+00	1.256637e+00	8.572902e-03	1.262383e-03	1.958076e-03
1.256637e+00	1.361357e+00	9.868010e-03	1.658646e-03	1.705252e-03
1.361357e+00	1.466077e+00	9.823233e-03	4.900831e-04	3.218888e-03
1.466076e+00	1.570796e+00	1.267272e-02	1.935733e-03	3.465980e-03
1.570796e+00	1.675516e+00	1.445277e-02	1.873768e-03	3.254803e-03
1.675516e+00	1.780236e+00	1.769235e-02	2.809578e-03	3.179230e-03
1.780236e+00	1.884956e+00	2.160558e-02	3.066119e-03	3.139037e-03
1.884955e+00	1.989675e+00	2.673924e-02	4.796856e-03	4.731204e-03
1.989675e+00	2.094395e+00	3.284434e-02	4.087538e-03	5.081770e-03
2.094395e+00	2.199115e+00	4.209544e-02	5.223615e-03	7.592743e-03
2.199115e+00	2.303835e+00	5.487169e-02	6.886029e-03	1.217856e-02
2.303834e+00	2.408554e+00	7.842626e-02	1.267329e-02	1.515851e-02
2.408554e+00	2.513274e+00	1.111192e-01	1.420139e-02	2.141625e-02
2.513274e+00	2.617994e+00	1.697302e-01	1.843421e-02	2.671209e-02
2.617994e+00	2.722714e+00	2.797082e-01	3.653600e-02	4.342590e-02
2.722713e+00	2.827433e+00	5.065737e-01	5.604800e-02	4.487352e-02
2.827433e+00	2.932153e+00	1.026013e+00	9.657009e-02	8.579163e-02
2.932153e+00	3.036873e+00	2.516238e+00	1.580042e-01	1.165575e-01
3.036873e+00	3.141593e+00	9.111331e+00	1.229687e+00	9.552655e-01
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	3.969004e-03	0.000000e+00	1.317952e-03
1.047198e-01	2.094395e-01	3.893581e-03	0.000000e+00	1.522099e-03
2.094395e-01	3.141593e-01	3.924064e-03	0.000000e+00	1.619102e-03
3.141594e-01	4.188790e-01	4.015574e-03	0.000000e+00	1.539814e-03
4.188790e-01	5.235988e-01	4.172552e-03	0.000000e+00	1.573813e-03
5.235989e-01	6.283186e-01	4.314018e-03	0.000000e+00	1.905508e-03
6.283185e-01	7.330383e-01	4.621096e-03	0.000000e+00	1.670523e-03
7.330384e-01	8.377581e-01	4.996630e-03	0.000000e+00	1.749147e-03
8.377580e-01	9.424778e-01	5.239775e-03	0.000000e+00	1.931515e-03
9.424778e-01	1.047198e+00	5.802608e-03	0.000000e+00	2.008056e-03
1.047197e+00	1.151917e+00	6.255730e-03	0.000000e+00	2.741139e-03
1.151917e+00	1.256637e+00	7.085584e-03	0.000000e+00	2.920794e-03
1.256637e+00	1.361357e+00	7.800000e-03	0.000000e+00	2.723443e-03
1.361357e+00	1.466077e+00	9.008241e-03	0.000000e+00	3.175917e-03
1.466076e+00	1.570796e+00	1.026486e-02	0.000000e+00	3.557406e-03
1.570796e+00	1.675516e+00	1.201827e-02	0.000000e+00	4.201346e-03
1.675516e+00	1.780236e+00	1.390540e-02	0.000000e+00	5.296686e-03
1.780236e+00	1.884956e+00	1.710762e-02	0.000000e+00	5.961755e-03
1.884955e+00	1.989675e+00	2.122171e-02	0.000000e+00	7.571243e-03
1.989675e+00	2.094395e+00	2.605530e-02	0.000000e+00	9.786364e-03
2.094395e+00	2.199115e+00	3.413128e-02	0.000000e+00	1.125496e-02
2.199115e+00	2.303835e+00	4.542414e-02	0.000000e+00	1.627638e-02
2.303834e+00	2.408554e+00	6.315860e-02	0.000000e+00	2.172652e-02
2.408554e+00	2.513274e+00	9.157698e-02	0.000000e+00	3.049101e-02
2.513274e+00	2.617994e+00	1.410855e-01	0.000000e+00	4.352082e-02
2.617994e+00	2.722714e+00	2.346451e-01	0.000000e+00	6.853992e-02
2.722713e+00	2.827433e+00	4.310232e-01	0.000000e+00	1.170324e-01
2.827433e+00	2.932153e+00	9.009039e-01	0.000000e+00	1.858885e-01
2.932153e+00	3.036873e+00	2.326820e+00	0.000000e+00	2.441988e-01
3.036873e+00	3.141593e+00	1.005145e+01	2.231740e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/deltaphi_Hjj_excl
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	4.788391e-03	1.029956e-03	1.267368e-03
1.047198e-01	2.094395e-01	4.582247e-03	4.570983e-04	1.187602e-03
2.094395e-01	3.141593e-01	4.952942e-03	7.887467e-04	9.373901e-04
3.141594e-01	4.188790e-01	4.987838e-03	7.269692e-04	9.026363e-04
4.188790e-01	5.235988e-01	5.339220e-03	9.114131e-04	8.582112e-04
5.235989e-01	6.283186e-01	5.363208e-03	8.586589e-04	1.104957e-03
6.283185e-01	7.330383e-01	5.712966e-03	9.474331e-04	2.150767e-03
7.330384e-01	8.377581e-01	6.228135e-03	1.130160e-03	1.405241e-03
8.377580e-01	9.424778e-01	6.603477e-03	9.905357e-04	1.130090e-03
9.424778e-01	1.047198e+00	7.006590e-03	9.666416e-04	1.268058e-03
1.047197e+00	1.151917e+00	7.858941e-03	9.938521e-04	1.257592e-03
1.151917e+00	1.256637e+00	8.762939e-03	1.327876e-03	1.766482e-03
1.256637e+00	1.361357e+00	9.634817e-03	1.691703e-03	2.069519e-03
1.361357e+00	1.466077e+00	1.099419e-02	1.315518e-03	2.165709e-03
1.466076e+00	1.570796e+00	1.265485e-02	1.693131e-03	3.192783e-03
1.570796e+00	1.675516e+00	1.420193e-02	1.667399e-03	4.536268e-03
1.675516e+00	1.780236e+00	1.724974e-02	2.665317e-03	3.595244e-03
