# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$m_{j_1j_2}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1j_2}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/dijet_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/dijet_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+01	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+02	2.400000e+02	2.976230e-03	3.320750e-05	8.420500e-05
2.400000e+02	2.800000e+02	2.886477e-03	1.201475e-04	7.180750e-05
2.800000e+02	3.200000e+02	2.672758e-03	1.014675e-04	8.249000e-05
3.200000e+02	3.600000e+02	2.529187e-03	1.147225e-04	7.060750e-05
3.600000e+02	4.000000e+02	2.368009e-03	8.306925e-05	6.435950e-05
4.000000e+02	4.400000e+02	2.201845e-03	9.832300e-05	6.132325e-05
4.400000e+02	4.800000e+02	2.089213e-03	1.272438e-04	3.439875e-05
4.800000e+02	5.200000e+02	1.907603e-03	1.441425e-05	7.451175e-05
5.200000e+02	5.600000e+02	1.824765e-03	8.302300e-05	2.968525e-05
5.600000e+02	6.000000e+02	1.679411e-03	8.574875e-05	4.141300e-05
6.000000e+02	6.400000e+02	1.542986e-03	4.975275e-05	7.506700e-05
6.400000e+02	6.800000e+02	1.443062e-03	5.916250e-05	5.016400e-05
6.800000e+02	7.200000e+02	1.367870e-03	7.105425e-05	2.572575e-05
7.200000e+02	7.600000e+02	1.261807e-03	4.721350e-05	3.631025e-05
7.600000e+02	8.000000e+02	1.177362e-03	6.416425e-05	3.794800e-05
8.000000e+02	8.400000e+02	1.146718e-03	9.445700e-05	0.000000e+00
8.400000e+02	8.800000e+02	1.023134e-03	4.872475e-05	3.635300e-05
8.800000e+02	9.200000e+02	9.492508e-04	4.024000e-05	3.435050e-05
9.200000e+02	9.600000e+02	8.844553e-04	1.135335e-04	3.761000e-05
9.600000e+02	1.000000e+03	8.394790e-04	5.994825e-05	2.059550e-05
1.000000e+03	1.040000e+03	7.751307e-04	2.864125e-05	2.737725e-05
1.040000e+03	1.080000e+03	7.309168e-04	1.719725e-05	3.177750e-05
1.080000e+03	1.120000e+03	6.800590e-04	0.000000e+00	2.161125e-05
1.120000e+03	1.160000e+03	6.481733e-04	4.125250e-05	2.914250e-06
1.160000e+03	1.200000e+03	6.017665e-04	1.918125e-05	1.792925e-05
1.200000e+03	1.240000e+03	5.601927e-04	2.028475e-05	2.529575e-05
1.240000e+03	1.280000e+03	5.311890e-04	1.880500e-05	1.403625e-05
1.280000e+03	1.320000e+03	4.957025e-04	2.008775e-05	1.558000e-05
1.320000e+03	1.360000e+03	4.609500e-04	1.901300e-05	2.047475e-05
1.360000e+03	1.400000e+03	4.430318e-04	2.437450e-05	6.839000e-06
1.400000e+03	1.440000e+03	4.131920e-04	1.290150e-05	1.229325e-05
1.440000e+03	1.480000e+03	3.930500e-04	2.171325e-05	5.545250e-06
1.480000e+03	1.520000e+03	3.678405e-04	2.312075e-05	7.117250e-06
1.520000e+03	1.560000e+03	3.431177e-04	1.195625e-05	1.108250e-05
1.560000e+03	1.600000e+03	3.244325e-04	1.297975e-05	5.168750e-06
1.600000e+03	1.640000e+03	3.069372e-04	1.960375e-05	1.660000e-07
1.640000e+03	1.680000e+03	2.922613e-04	1.453325e-05	6.360750e-06
1.680000e+03	1.720000e+03	2.680265e-04	1.231800e-05	9.352750e-06
1.720000e+03	1.760000e+03	2.611053e-04	1.941187e-05	3.904500e-06
1.760000e+03	1.800000e+03	2.408232e-04	1.068835e-05	7.183325e-06
1.800000e+03	1.840000e+03	2.260917e-04	6.813125e-06	4.798375e-06
1.840000e+03	1.880000e+03	2.161073e-04	7.004775e-06	1.914325e-06
1.880000e+03	1.920000e+03	2.018434e-04	6.737550e-06	8.790675e-06
1.920000e+03	1.960000e+03	1.867565e-04	3.280250e-06	6.869725e-06
1.960000e+03	2.000000e+03	1.777154e-04	1.183667e-05	5.503550e-06
2.000000e+03	2.040000e+03	1.673364e-04	7.431825e-06	4.274025e-06
2.040000e+03	2.080000e+03	1.601280e-04	7.949550e-06	3.597900e-06
2.080000e+03	2.120000e+03	1.520076e-04	6.562675e-06	2.015775e-06
2.120000e+03	2.160000e+03	1.441734e-04	7.761350e-06	0.000000e+00
2.160000e+03	2.200000e+03	1.335981e-04	5.368075e-06	3.853750e-06
2.200000e+03	2.240000e+03	1.269575e-04	7.085450e-06	1.244475e-06
2.240000e+03	2.280000e+03	1.176103e-04	5.261150e-06	4.643075e-06
