# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$P_{T,jets}^{gap}$ (GeV)
LegendAlign=r
XMax=200
YLabel=$\text{d} \sigma/ \text{d} P_{T,jets}^{gap}$
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/gapjet1_pt_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	5.640401e-03	3.802260e-04	2.266780e-04
3.000000e+01	4.000000e+01	6.885913e-03	2.335190e-04	3.609780e-04
4.000000e+01	5.000000e+01	3.507776e-03	3.328600e-05	3.207000e-06
5.000000e+01	6.000000e+01	1.880662e-03	7.685200e-05	0.000000e+00
6.000000e+01	7.000000e+01	1.000552e-03	2.564120e-05	2.397300e-05
7.000000e+01	8.000000e+01	5.864823e-04	7.223110e-05	0.000000e+00
8.000000e+01	9.000000e+01	2.906306e-04	2.229110e-05	3.725600e-06
9.000000e+01	1.000000e+02	1.724234e-04	0.000000e+00	2.790260e-05
1.000000e+02	1.100000e+02	1.014215e-04	1.072644e-05	5.737000e-06
1.100000e+02	1.200000e+02	6.364959e-05	0.000000e+00	6.912700e-06
1.200000e+02	1.300000e+02	4.579965e-05	4.958740e-06	0.000000e+00
1.300000e+02	1.400000e+02	3.466837e-05	9.643160e-06	0.000000e+00
1.400000e+02	1.500000e+02	1.964598e-05	9.706900e-07	2.844300e-06
1.500000e+02	1.600000e+02	1.398936e-05	3.141360e-06	9.116300e-07
1.600000e+02	1.700000e+02	9.788456e-06	1.193730e-06	1.283204e-06
1.700000e+02	1.800000e+02	6.548935e-06	5.754600e-07	1.691168e-06
1.800000e+02	1.900000e+02	4.810743e-06	5.059960e-07	7.093950e-07
1.900000e+02	2.000000e+02	4.025861e-06	1.664138e-06	1.208073e-06
2.000000e+02	2.100000e+02	2.680952e-06	6.771100e-08	7.402330e-07
2.100000e+02	2.200000e+02	1.872889e-06	4.629720e-07	5.897000e-07
2.200000e+02	2.300000e+02	1.509444e-06	3.997220e-07	6.065510e-07
2.300000e+02	2.400000e+02	1.139028e-06	2.957809e-07	6.428230e-07
2.400000e+02	2.500000e+02	6.016666e-07	0.000000e+00	9.630894e-07
2.500000e+02	2.600000e+02	8.721191e-07	3.603424e-07	1.439109e-07
2.600000e+02	2.700000e+02	6.787680e-07	1.494524e-07	9.566540e-08
2.700000e+02	2.800000e+02	5.202134e-07	1.055842e-07	2.493472e-07
2.800000e+02	2.900000e+02	5.154230e-07	1.399754e-07	1.162945e-07
2.900000e+02	3.000000e+02	3.158889e-07	2.904950e-08	1.148499e-07
3.000000e+02	3.100000e+02	2.615267e-07	2.659510e-08	6.313340e-08
3.100000e+02	3.200000e+02	3.301446e-07	1.679299e-07	4.659870e-08
3.200000e+02	3.300000e+02	2.814584e-07	1.613745e-07	4.602560e-08
3.300000e+02	3.400000e+02	1.439169e-07	1.653610e-08	6.757440e-08
3.400000e+02	3.500000e+02	1.576833e-07	7.123720e-08	1.511400e-09
3.500000e+02	3.600000e+02	1.644889e-07	6.199920e-08	3.802860e-08
3.600000e+02	3.700000e+02	1.277021e-07	1.745770e-08	3.583640e-08
3.700000e+02	3.800000e+02	1.006192e-07	1.793838e-08	4.848400e-09
3.800000e+02	3.900000e+02	9.814496e-08	5.244029e-08	4.437304e-08
3.900000e+02	4.000000e+02	6.850795e-08	5.305558e-08	5.197615e-08
4.000000e+02	4.100000e+02	5.802194e-08	7.994690e-09	2.384420e-08
4.100000e+02	4.200000e+02	4.646323e-08	0.000000e+00	3.179079e-08
4.200000e+02	4.300000e+02	5.353043e-08	1.120933e-08	1.790039e-08
4.300000e+02	4.400000e+02	5.390630e-08	2.782570e-08	5.979250e-09
4.400000e+02	4.500000e+02	4.647193e-08	1.397478e-08	0.000000e+00
4.500000e+02	4.600000e+02	3.339985e-08	3.492770e-09	9.412030e-09
4.600000e+02	4.700000e+02	4.580316e-08	2.363897e-08	3.152902e-08
4.700000e+02	4.800000e+02	3.132892e-08	1.613373e-08	9.073790e-09
4.800000e+02	4.900000e+02	2.745991e-08	1.357841e-08	3.026300e-10
4.900000e+02	5.000000e+02	1.149879e-08	2.128000e-11	1.969292e-08
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/gapjet1_pt_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	4.331523e-03	0.000000e+00	4.813590e-04
3.000000e+01	4.000000e+01	5.190628e-03	0.000000e+00	1.586690e-04
4.000000e+01	5.000000e+01	2.580020e-03	9.533400e-05	4.509000e-06
5.000000e+01	6.000000e+01	1.264839e-03	8.613500e-05	0.000000e+00
6.000000e+01	7.000000e+01	6.406755e-04	4.748440e-05	1.322090e-05
7.000000e+01	8.000000e+01	3.317546e-04	4.410600e-05	0.000000e+00
8.000000e+01	9.000000e+01	1.770951e-04	1.609720e-05	0.000000e+00
9.000000e+01	1.000000e+02	9.418064e-05	1.573395e-05	0.000000e+00
1.000000e+02	1.100000e+02	4.980512e-05	0.000000e+00	1.502238e-05
1.100000e+02	1.200000e+02	2.946400e-05	4.613050e-06	0.000000e+00
1.200000e+02	1.300000e+02	1.687602e-05	5.323870e-06	1.232380e-06
1.300000e+02	1.400000e+02	9.863643e-06	4.019617e-06	1.261247e-06
1.400000e+02	1.500000e+02	5.259345e-06	0.000000e+00	2.133354e-06
1.500000e+02	1.600000e+02	3.990598e-06	1.674316e-06	2.975110e-07
1.600000e+02	1.700000e+02	2.521028e-06	0.000000e+00	5.915940e-07
1.700000e+02	1.800000e+02	1.995567e-06	7.255330e-07	0.000000e+00
1.800000e+02	1.900000e+02	1.085120e-06	1.243065e-07	2.028800e-08
1.900000e+02	2.000000e+02	3.138200e-07	0.000000e+00	4.808472e-07
2.000000e+02	2.100000e+02	4.904540e-07	0.000000e+00	8.042690e-08
2.100000e+02	2.200000e+02	3.987859e-07	2.713820e-08	2.415489e-07
2.200000e+02	2.300000e+02	1.711497e-07	1.174590e-08	7.085775e-07
2.300000e+02	2.400000e+02	-4.244225e-06	0.000000e+00	4.365819e-06
2.400000e+02	2.500000e+02	1.151373e-07	3.083824e-08	0.000000e+00
2.500000e+02	2.600000e+02	1.375931e-07	4.708296e-08	0.000000e+00
2.600000e+02	2.700000e+02	1.009988e-07	1.887150e-08	0.000000e+00
2.700000e+02	2.800000e+02	-8.712309e-08	0.000000e+00	2.420681e-07
2.800000e+02	2.900000e+02	5.650885e-08	3.150600e-09	2.540484e-08
2.900000e+02	3.000000e+02	3.866012e-08	4.432853e-08	0.000000e+00
3.000000e+02	3.100000e+02	4.160183e-08	3.293790e-09	7.940490e-09
3.100000e+02	3.200000e+02	1.940897e-08	5.977370e-09	5.013670e-09
3.200000e+02	3.300000e+02	6.573148e-09	8.647630e-08	1.864604e-08
3.300000e+02	3.400000e+02	-1.599988e-09	2.495684e-08	9.673732e-09
3.400000e+02	3.500000e+02	-1.560652e-09	0.000000e+00	2.101545e-08
