# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=200
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j2j3_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	2.490608e-05	0.000000e+00	8.010347e-06
1.200000e+01	1.600000e+01	5.762715e-04	0.000000e+00	1.257467e-04
1.600000e+01	2.000000e+01	1.559282e-03	0.000000e+00	1.229455e-04
2.000000e+01	2.400000e+01	2.183607e-03	4.969525e-05	2.519003e-04
2.400000e+01	2.800000e+01	2.286481e-03	1.209200e-05	2.807367e-04
2.800000e+01	3.200000e+01	2.307725e-03	8.852775e-05	2.544902e-04
3.200000e+01	3.600000e+01	2.245454e-03	1.188580e-04	6.929300e-05
3.600000e+01	4.000000e+01	2.025677e-03	5.876550e-05	1.686560e-04
4.000000e+01	4.400000e+01	1.963693e-03	9.850650e-05	1.252220e-04
4.400000e+01	4.800000e+01	1.898942e-03	9.041100e-05	0.000000e+00
4.800000e+01	5.200000e+01	1.885926e-03	7.986000e-05	1.006753e-04
5.200000e+01	5.600000e+01	1.930719e-03	6.752900e-05	4.305400e-05
5.600000e+01	6.000000e+01	1.936875e-03	1.147497e-04	3.554150e-05
6.000000e+01	6.400000e+01	1.916772e-03	9.315000e-06	2.051440e-04
6.400000e+01	6.800000e+01	2.074762e-03	1.099485e-04	0.000000e+00
6.800000e+01	7.200000e+01	2.034859e-03	2.114475e-05	0.000000e+00
7.200000e+01	7.600000e+01	2.150431e-03	2.853200e-05	0.000000e+00
7.600000e+01	8.000000e+01	2.602470e-03	3.401385e-04	0.000000e+00
8.000000e+01	8.400000e+01	2.182843e-03	5.332775e-05	7.883225e-05
8.400000e+01	8.800000e+01	1.799138e-03	1.906813e-04	0.000000e+00
8.800000e+01	9.200000e+01	1.657270e-03	9.539150e-05	7.222375e-05
9.200000e+01	9.600000e+01	1.382213e-03	0.000000e+00	6.701325e-05
9.600000e+01	1.000000e+02	1.253772e-03	4.357300e-05	1.426075e-05
1.000000e+02	1.040000e+02	1.027317e-03	0.000000e+00	1.035095e-04
1.040000e+02	1.080000e+02	1.050914e-03	2.048750e-06	4.456875e-05
1.080000e+02	1.120000e+02	9.825553e-04	0.000000e+00	3.946077e-04
1.120000e+02	1.160000e+02	8.517528e-04	0.000000e+00	1.434505e-04
1.160000e+02	1.200000e+02	9.551175e-04	4.200375e-05	0.000000e+00
1.200000e+02	1.240000e+02	9.633105e-04	1.223943e-04	0.000000e+00
1.240000e+02	1.280000e+02	8.778835e-04	1.673300e-05	3.121175e-05
1.280000e+02	1.320000e+02	8.009405e-04	2.280325e-05	4.112900e-05
1.320000e+02	1.360000e+02	7.997267e-04	3.426475e-05	2.179750e-06
1.360000e+02	1.400000e+02	7.534537e-04	6.828925e-05	0.000000e+00
1.400000e+02	1.440000e+02	7.565590e-04	7.116725e-05	5.140650e-05
1.440000e+02	1.480000e+02	6.263453e-04	0.000000e+00	9.316100e-05
1.480000e+02	1.520000e+02	6.943633e-04	3.071800e-05	2.239750e-06
1.520000e+02	1.560000e+02	6.320288e-04	1.770775e-05	4.059250e-05
1.560000e+02	1.600000e+02	6.454133e-04	1.002750e-05	4.204375e-05
1.600000e+02	1.640000e+02	6.901210e-04	4.787750e-05	0.000000e+00
1.640000e+02	1.680000e+02	6.747018e-04	8.236825e-05	0.000000e+00
1.680000e+02	1.720000e+02	5.969245e-04	4.977975e-05	0.000000e+00
1.720000e+02	1.760000e+02	5.659135e-04	0.000000e+00	4.392050e-05
1.760000e+02	1.800000e+02	6.032445e-04	5.049825e-05	0.000000e+00
1.800000e+02	1.840000e+02	5.742845e-04	2.147950e-05	2.060800e-05
1.840000e+02	1.880000e+02	5.742710e-04	4.021500e-05	2.367275e-05
1.880000e+02	1.920000e+02	5.019863e-04	1.746400e-05	3.093900e-05
1.920000e+02	1.960000e+02	5.582480e-04	3.752850e-05	0.000000e+00
1.960000e+02	2.000000e+02	5.244730e-04	1.966750e-05	7.057750e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	3.245805e-05	8.516097e-06	0.000000e+00
1.200000e+01	1.600000e+01	6.782142e-04	7.834650e-05	0.000000e+00
1.600000e+01	2.000000e+01	1.607325e-03	4.636725e-05	2.888725e-05
2.000000e+01	2.400000e+01	2.116791e-03	1.278425e-05	1.627355e-04
2.400000e+01	2.800000e+01	2.185329e-03	0.000000e+00	2.591995e-04
2.800000e+01	3.200000e+01	2.118624e-03	0.000000e+00	3.037057e-04
3.200000e+01	3.600000e+01	1.974164e-03	0.000000e+00	3.028855e-04
3.600000e+01	4.000000e+01	1.811259e-03	0.000000e+00	1.698928e-04
4.000000e+01	4.400000e+01	1.709025e-03	0.000000e+00	1.893535e-04
4.400000e+01	4.800000e+01	1.660272e-03	0.000000e+00	1.939020e-04
4.800000e+01	5.200000e+01	1.641628e-03	0.000000e+00	1.109625e-04
5.200000e+01	5.600000e+01	1.710389e-03	0.000000e+00	6.508875e-05
5.600000e+01	6.000000e+01	1.703283e-03	0.000000e+00	2.225825e-05
6.000000e+01	6.400000e+01	1.648653e-03	0.000000e+00	5.681275e-05
6.400000e+01	6.800000e+01	1.606818e-03	4.825700e-05	0.000000e+00
6.800000e+01	7.200000e+01	1.465613e-03	0.000000e+00	6.825375e-05
7.200000e+01	7.600000e+01	1.398360e-03	0.000000e+00	4.141650e-05
7.600000e+01	8.000000e+01	1.340010e-03	4.600825e-05	0.000000e+00
8.000000e+01	8.400000e+01	1.255185e-03	1.002712e-04	1.730400e-05
8.400000e+01	8.800000e+01	1.172526e-03	4.990750e-06	0.000000e+00
8.800000e+01	9.200000e+01	1.084088e-03	4.911250e-05	1.618175e-05
9.200000e+01	9.600000e+01	1.026550e-03	7.377575e-05	0.000000e+00
