# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
#RatioPlot=1
LogY=1
RatioPlotYMax=1.4
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
XLabel=$\theta_{j2,j3}$ $(rad/\pi)$
LegendAlign=r
YLabel=$\text{d} \sigma/ \text{d} \theta_{j2,j3}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j2j3_pullangle
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.580516e-01	0.000000e+00	2.236380e-02
5.000000e-02	1.000000e-01	4.731908e-01	2.202400e-03	9.602400e-03
1.000000e-01	1.500000e-01	4.833518e-01	7.572200e-03	0.000000e+00
1.500000e-01	2.000000e-01	4.654990e-01	4.732800e-03	2.380320e-02
2.000000e-01	2.500000e-01	4.748288e-01	3.389000e-02	0.000000e+00
2.500000e-01	3.000000e-01	4.019894e-01	2.293200e-03	3.140200e-02
3.000000e-01	3.500000e-01	4.005170e-01	3.912700e-02	8.231000e-03
3.500000e-01	4.000000e-01	3.725136e-01	8.229600e-03	1.583020e-02
4.000000e-01	4.500000e-01	3.936690e-01	1.678940e-02	3.899000e-03
4.500000e-01	5.000000e-01	4.095766e-01	1.519260e-02	1.085680e-02
5.000000e-01	5.500000e-01	4.133352e-01	1.074620e-02	4.342800e-03
5.500000e-01	6.000000e-01	4.159448e-01	8.254040e-02	0.000000e+00
6.000000e-01	6.500000e-01	3.646820e-01	3.514200e-03	3.488540e-02
6.500000e-01	7.000000e-01	3.954140e-01	3.130820e-02	1.732000e-04
7.000000e-01	7.500000e-01	4.146804e-01	2.389400e-03	9.013800e-03
7.500000e-01	8.000000e-01	4.449066e-01	1.289480e-02	0.000000e+00
8.000000e-01	8.500000e-01	4.618954e-01	3.220200e-03	9.916000e-03
8.500000e-01	9.000000e-01	4.773862e-01	2.255380e-02	2.763800e-03
9.000000e-01	9.500000e-01	4.662590e-01	3.644400e-03	1.644360e-02
9.500000e-01	1.000000e+00	4.779044e-01	3.578000e-03	1.903780e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.016600e-01	1.597180e-02	4.498800e-03
5.000000e-02	1.000000e-01	4.030742e-01	1.669320e-02	0.000000e+00
1.000000e-01	1.500000e-01	4.080944e-01	1.152180e-02	0.000000e+00
1.500000e-01	2.000000e-01	3.971926e-01	1.421040e-02	0.000000e+00
2.000000e-01	2.500000e-01	3.706950e-01	2.055800e-03	1.893000e-03
2.500000e-01	3.000000e-01	3.245728e-01	0.000000e+00	1.189020e-02
3.000000e-01	3.500000e-01	2.972094e-01	0.000000e+00	2.315700e-02
3.500000e-01	4.000000e-01	2.942672e-01	0.000000e+00	2.768060e-02
4.000000e-01	4.500000e-01	3.030776e-01	0.000000e+00	1.511940e-02
4.500000e-01	5.000000e-01	3.296832e-01	0.000000e+00	1.049480e-02
5.000000e-01	5.500000e-01	3.281498e-01	0.000000e+00	1.637480e-02
5.500000e-01	6.000000e-01	3.040082e-01	0.000000e+00	1.475120e-02
6.000000e-01	6.500000e-01	2.901038e-01	0.000000e+00	1.867360e-02
6.500000e-01	7.000000e-01	2.943894e-01	0.000000e+00	2.620380e-02
7.000000e-01	7.500000e-01	3.284296e-01	0.000000e+00	8.782400e-03
7.500000e-01	8.000000e-01	3.734796e-01	5.196200e-03	0.000000e+00
8.000000e-01	8.500000e-01	4.000052e-01	1.648100e-02	0.000000e+00
8.500000e-01	9.000000e-01	4.063620e-01	1.526560e-02	0.000000e+00
9.000000e-01	9.500000e-01	4.010442e-01	4.919600e-03	0.000000e+00
9.500000e-01	1.000000e+00	4.085756e-01	1.716580e-02	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
RatioPlotSameStyle=1
Title=h(2*,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.629174e-01	2.348220e-02	2.720280e-02
5.000000e-02	1.000000e-01	4.557460e-01	1.815460e-02	3.310400e-02
1.000000e-01	1.500000e-01	4.637196e-01	2.179220e-02	2.861220e-02
1.500000e-01	2.000000e-01	4.605782e-01	1.725340e-02	2.318160e-02
2.000000e-01	2.500000e-01	4.432530e-01	2.885780e-02	2.301720e-02
2.500000e-01	3.000000e-01	4.079206e-01	2.898640e-02	3.024140e-02
3.000000e-01	3.500000e-01	3.857780e-01	3.858080e-02	3.468540e-02
3.500000e-01	4.000000e-01	3.722986e-01	3.441680e-02	4.054280e-02
4.000000e-01	4.500000e-01	3.845996e-01	3.291760e-02	3.538400e-02
4.500000e-01	5.000000e-01	3.994472e-01	2.786680e-02	6.162440e-02
5.000000e-01	5.500000e-01	4.039544e-01	3.093960e-02	3.224420e-02
5.500000e-01	6.000000e-01	3.871332e-01	3.841260e-02	2.830220e-02
6.000000e-01	6.500000e-01	3.803348e-01	4.451280e-02	2.986000e-02
6.500000e-01	7.000000e-01	3.764970e-01	3.395640e-02	3.719840e-02
7.000000e-01	7.500000e-01	4.043474e-01	3.147360e-02	2.158580e-02
7.500000e-01	8.000000e-01	4.280714e-01	1.709080e-02	2.752700e-02
8.000000e-01	8.500000e-01	4.545162e-01	1.733180e-02	2.570580e-02
8.500000e-01	9.000000e-01	4.532456e-01	1.754240e-02	3.284420e-02
9.000000e-01	9.500000e-01	4.552072e-01	2.366160e-02	2.477720e-02
9.500000e-01	1.000000e+00	4.568024e-01	2.175580e-02	3.091020e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
ErrorBandColor=cyan
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=cyan
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
RatioPlotSameStyle=1
Title=h(2*,3,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	3.951960e-01	1.248920e-02	1.977300e-02
5.000000e-02	1.000000e-01	3.902132e-01	9.218000e-03	1.868880e-02
1.000000e-01	1.500000e-01	3.924806e-01	1.161800e-02	1.531620e-02
1.500000e-01	2.000000e-01	3.877176e-01	9.570200e-03	1.709580e-02
2.000000e-01	2.500000e-01	3.701574e-01	1.736140e-02	1.361140e-02
2.500000e-01	3.000000e-01	3.334512e-01	2.289580e-02	2.147900e-02
3.000000e-01	3.500000e-01	3.118356e-01	3.024160e-02	2.503300e-02
3.500000e-01	4.000000e-01	3.053176e-01	2.999180e-02	2.513260e-02
4.000000e-01	4.500000e-01	3.137994e-01	2.307640e-02	2.465840e-02
4.500000e-01	5.000000e-01	3.304784e-01	1.744520e-02	2.389040e-02
5.000000e-01	5.500000e-01	3.349404e-01	2.381420e-02	2.122880e-02
5.500000e-01	6.000000e-01	3.130246e-01	2.713720e-02	2.626760e-02
6.000000e-01	6.500000e-01	3.032370e-01	2.955940e-02	2.783840e-02
6.500000e-01	7.000000e-01	3.064728e-01	2.536320e-02	3.195040e-02
7.000000e-01	7.500000e-01	3.305226e-01	2.273560e-02	2.211060e-02
7.500000e-01	8.000000e-01	3.667084e-01	1.477780e-02	1.632660e-02
8.000000e-01	8.500000e-01	3.863530e-01	1.145040e-02	1.772580e-02
8.500000e-01	9.000000e-01	3.913680e-01	1.119080e-02	1.933080e-02
9.000000e-01	9.500000e-01	3.894330e-01	1.365580e-02	1.702080e-02
9.500000e-01	1.000000e+00	3.950640e-01	1.291020e-02	1.811400e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
ErrorBandColor=yellow
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=yellow
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
RatioPlotSameStyle=1
Title=h(2,3,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.583948e-01	2.728580e-02	4.602460e-02
5.000000e-02	1.000000e-01	4.570722e-01	3.190680e-02	4.260400e-02
1.000000e-01	1.500000e-01	4.626232e-01	3.318600e-02	3.628280e-02
1.500000e-01	2.000000e-01	4.604218e-01	3.060960e-02	3.537880e-02
2.000000e-01	2.500000e-01	4.380342e-01	2.971840e-02	3.266300e-02
2.500000e-01	3.000000e-01	3.998852e-01	3.275680e-02	3.811520e-02
3.000000e-01	3.500000e-01	3.762088e-01	4.236060e-02	4.038200e-02
3.500000e-01	4.000000e-01	3.699324e-01	4.463200e-02	4.238380e-02
4.000000e-01	4.500000e-01	3.777936e-01	3.989820e-02	4.019580e-02
4.500000e-01	5.000000e-01	3.984626e-01	3.564320e-02	3.968740e-02
5.000000e-01	5.500000e-01	3.959730e-01	3.459840e-02	4.272240e-02
5.500000e-01	6.000000e-01	3.746314e-01	3.776920e-02	4.435020e-02
6.000000e-01	6.500000e-01	3.689098e-01	4.487680e-02	3.884560e-02
6.500000e-01	7.000000e-01	3.722684e-01	4.166860e-02	4.329420e-02
7.000000e-01	7.500000e-01	3.972582e-01	3.711400e-02	3.590380e-02
7.500000e-01	8.000000e-01	4.325794e-01	3.097600e-02	3.506900e-02
8.000000e-01	8.500000e-01	4.522564e-01	2.659860e-02	3.724260e-02
8.500000e-01	9.000000e-01	4.561658e-01	3.000980e-02	3.572080e-02
9.000000e-01	9.500000e-01	4.585580e-01	3.691520e-02	3.345860e-02
9.500000e-01	1.000000e+00	4.559866e-01	2.827320e-02	3.939200e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
ErrorBandColor=green
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
RatioPlotSameStyle=1
Title=h(2,3,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.135348e-01	2.450840e-02	3.311040e-02
5.000000e-02	1.000000e-01	4.103472e-01	2.635480e-02	3.123240e-02
1.000000e-01	1.500000e-01	4.120526e-01	2.384500e-02	3.076080e-02
1.500000e-01	2.000000e-01	4.088424e-01	2.143700e-02	2.939380e-02
2.000000e-01	2.500000e-01	3.865460e-01	2.694500e-02	2.929920e-02
2.500000e-01	3.000000e-01	3.506626e-01	3.628540e-02	3.293660e-02
3.000000e-01	3.500000e-01	3.266702e-01	4.103320e-02	3.408920e-02
3.500000e-01	4.000000e-01	3.183544e-01	3.975340e-02	3.919660e-02
4.000000e-01	4.500000e-01	3.287420e-01	3.764040e-02	3.817440e-02
4.500000e-01	5.000000e-01	3.487552e-01	3.250440e-02	3.427700e-02
5.000000e-01	5.500000e-01	3.486624e-01	3.224640e-02	3.420780e-02
5.500000e-01	6.000000e-01	3.279736e-01	3.938040e-02	3.668020e-02
6.000000e-01	6.500000e-01	3.180532e-01	4.026580e-02	3.734980e-02
6.500000e-01	7.000000e-01	3.224380e-01	3.772700e-02	3.846960e-02
7.000000e-01	7.500000e-01	3.472968e-01	3.263140e-02	3.470640e-02
7.500000e-01	8.000000e-01	3.834556e-01	2.696040e-02	3.201860e-02
8.000000e-01	8.500000e-01	4.058910e-01	2.346460e-02	3.240620e-02
8.500000e-01	9.000000e-01	4.119992e-01	2.550620e-02	3.003840e-02
9.000000e-01	9.500000e-01	4.081854e-01	2.515420e-02	3.360260e-02
9.500000e-01	1.000000e+00	4.131878e-01	2.675200e-02	3.303640e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
ErrorBandColor=purple
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=purple
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
RatioPlotSameStyle=1
Title=h(2,3)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.234862e-01	0.000000e+00	6.494920e-02
5.000000e-02	1.000000e-01	4.215346e-01	0.000000e+00	6.475940e-02
1.000000e-01	1.500000e-01	4.246170e-01	0.000000e+00	6.181740e-02
1.500000e-01	2.000000e-01	4.229288e-01	0.000000e+00	6.195100e-02
2.000000e-01	2.500000e-01	4.018636e-01	0.000000e+00	6.189800e-02
2.500000e-01	3.000000e-01	3.597436e-01	0.000000e+00	7.050360e-02
3.000000e-01	3.500000e-01	3.282334e-01	0.000000e+00	8.171920e-02
3.500000e-01	4.000000e-01	3.204720e-01	0.000000e+00	8.283740e-02
4.000000e-01	4.500000e-01	3.326592e-01	0.000000e+00	7.957140e-02
4.500000e-01	5.000000e-01	3.569494e-01	0.000000e+00	7.365200e-02
5.000000e-01	5.500000e-01	3.578510e-01	0.000000e+00	6.924860e-02
5.500000e-01	6.000000e-01	3.308010e-01	0.000000e+00	7.861720e-02
6.000000e-01	6.500000e-01	3.171486e-01	0.000000e+00	8.433300e-02
6.500000e-01	7.000000e-01	3.256530e-01	0.000000e+00	7.867360e-02
7.000000e-01	7.500000e-01	3.563280e-01	0.000000e+00	6.907700e-02
7.500000e-01	8.000000e-01	3.963810e-01	0.000000e+00	6.327960e-02
8.000000e-01	8.500000e-01	4.216086e-01	0.000000e+00	5.872700e-02
8.500000e-01	9.000000e-01	4.215012e-01	0.000000e+00	6.249680e-02
9.000000e-01	9.500000e-01	4.171098e-01	0.000000e+00	6.523640e-02
9.500000e-01	1.000000e+00	4.216302e-01	0.000000e+00	6.320500e-02
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
ErrorBandColor=violet
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=violet
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3_pullangle
RatioPlotSameStyle=1
Title=h(2,3)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e-02	4.415728e-01	5.527020e-02	0.000000e+00
5.000000e-02	1.000000e-01	4.378772e-01	5.633000e-02	0.000000e+00
1.000000e-01	1.500000e-01	4.396910e-01	5.449420e-02	0.000000e+00
1.500000e-01	2.000000e-01	4.359834e-01	5.345760e-02	0.000000e+00
2.000000e-01	2.500000e-01	4.127928e-01	5.487660e-02	0.000000e+00
2.500000e-01	3.000000e-01	3.788586e-01	6.377500e-02	0.000000e+00
3.000000e-01	3.500000e-01	3.575464e-01	7.279480e-02	0.000000e+00
3.500000e-01	4.000000e-01	3.531330e-01	7.623800e-02	0.000000e+00
4.000000e-01	4.500000e-01	3.610686e-01	7.307740e-02	0.000000e+00
4.500000e-01	5.000000e-01	3.797580e-01	6.468860e-02	0.000000e+00
5.000000e-01	5.500000e-01	3.791928e-01	6.528240e-02	0.000000e+00
5.500000e-01	6.000000e-01	3.616542e-01	7.409740e-02	0.000000e+00
6.000000e-01	6.500000e-01	3.520136e-01	7.641740e-02	0.000000e+00
6.500000e-01	7.000000e-01	3.558996e-01	7.339240e-02	0.000000e+00
7.000000e-01	7.500000e-01	3.783682e-01	6.453900e-02	0.000000e+00
7.500000e-01	8.000000e-01	4.117414e-01	5.797420e-02	0.000000e+00
8.000000e-01	8.500000e-01	4.341880e-01	5.316120e-02	0.000000e+00
8.500000e-01	9.000000e-01	4.391194e-01	5.553060e-02	0.000000e+00
9.000000e-01	9.500000e-01	4.370680e-01	5.709880e-02	0.000000e+00
9.500000e-01	1.000000e+00	4.420202e-01	5.753560e-02	0.000000e+00
# END HISTO1D

