# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass
XLabel=$m_{j_2j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j2j3j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	-1.460152e-10	0.000000e+00	1.233102e-09
2.000000e+01	3.000000e+01	8.776381e-07	0.000000e+00	6.267309e-07
3.000000e+01	4.000000e+01	4.961945e-07	0.000000e+00	1.414293e-05
4.000000e+01	5.000000e+01	3.154517e-05	0.000000e+00	1.184185e-05
5.000000e+01	6.000000e+01	6.081059e-05	5.062050e-06	3.948260e-06
6.000000e+01	7.000000e+01	8.415095e-05	1.160625e-05	3.306635e-05
7.000000e+01	8.000000e+01	1.217028e-04	1.197510e-05	8.738100e-06
8.000000e+01	9.000000e+01	1.425436e-04	9.349000e-06	4.179500e-06
9.000000e+01	1.000000e+02	1.487885e-04	8.721600e-06	1.778850e-05
1.000000e+02	1.100000e+02	1.651822e-04	1.979800e-05	1.441810e-05
1.100000e+02	1.200000e+02	1.894534e-04	1.835640e-05	0.000000e+00
1.200000e+02	1.300000e+02	2.038824e-04	0.000000e+00	1.836460e-05
1.300000e+02	1.400000e+02	1.991554e-04	1.575370e-05	6.593010e-05
1.400000e+02	1.500000e+02	2.153204e-04	2.738750e-05	2.050280e-05
1.500000e+02	1.600000e+02	2.130960e-04	2.858540e-05	2.440710e-05
1.600000e+02	1.700000e+02	2.099871e-04	1.828600e-05	1.717350e-05
1.700000e+02	1.800000e+02	2.003410e-04	2.310650e-05	1.662270e-05
1.800000e+02	1.900000e+02	1.949901e-04	8.068100e-06	3.628950e-05
1.900000e+02	2.000000e+02	2.033703e-04	2.167640e-05	3.197710e-05
2.000000e+02	2.100000e+02	2.028214e-04	4.164850e-05	1.109816e-04
2.100000e+02	2.200000e+02	1.818238e-04	2.686590e-05	3.154830e-05
2.200000e+02	2.300000e+02	1.787991e-04	2.873400e-05	1.258430e-05
2.300000e+02	2.400000e+02	1.720289e-04	1.608430e-05	2.053100e-05
2.400000e+02	2.500000e+02	1.520056e-04	1.173760e-05	3.314260e-05
2.500000e+02	2.600000e+02	1.594524e-04	1.471240e-05	3.359800e-06
2.600000e+02	2.700000e+02	1.501213e-04	9.863800e-06	0.000000e+00
2.700000e+02	2.800000e+02	1.519344e-04	2.833270e-05	2.294730e-05
2.800000e+02	2.900000e+02	1.382754e-04	8.424300e-06	1.770390e-05
2.900000e+02	3.000000e+02	1.509123e-04	1.883020e-05	0.000000e+00
3.000000e+02	3.100000e+02	1.030904e-04	0.000000e+00	3.483990e-05
3.100000e+02	3.200000e+02	1.326712e-04	1.663050e-05	3.930700e-06
3.200000e+02	3.300000e+02	1.247346e-04	1.699560e-05	8.497100e-06
3.300000e+02	3.400000e+02	1.454767e-04	2.884690e-05	0.000000e+00
3.400000e+02	3.500000e+02	1.067955e-04	2.909400e-06	2.728280e-05
3.500000e+02	3.600000e+02	1.546529e-04	3.296030e-05	0.000000e+00
3.600000e+02	3.700000e+02	1.115160e-04	1.877894e-05	1.177450e-05
3.700000e+02	3.800000e+02	1.045194e-04	1.004228e-05	1.393690e-05
3.800000e+02	3.900000e+02	1.029562e-04	1.282253e-05	1.655250e-05
3.900000e+02	4.000000e+02	1.030342e-04	1.403022e-05	1.006670e-05
4.000000e+02	4.100000e+02	8.010744e-05	0.000000e+00	3.056766e-05
4.100000e+02	4.200000e+02	8.775601e-05	5.068540e-06	1.465069e-05
4.200000e+02	4.300000e+02	1.004398e-04	8.016190e-06	0.000000e+00
4.300000e+02	4.400000e+02	7.973137e-05	5.519400e-07	3.402493e-05
4.400000e+02	4.500000e+02	7.687634e-05	0.000000e+00	1.060023e-05
4.500000e+02	4.600000e+02	8.723233e-05	1.535740e-05	1.027585e-05
4.600000e+02	4.700000e+02	7.777808e-05	6.931270e-06	5.532000e-06
4.700000e+02	4.800000e+02	8.305157e-05	7.202370e-06	7.757510e-06
4.800000e+02	4.900000e+02	8.093736e-05	1.165423e-05	1.474568e-05
4.900000e+02	5.000000e+02	7.089345e-05	5.913870e-06	1.613686e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
