# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_2j_4}$ (GeV)
LegendAlign=r
XMax=200
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/j2j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	6.019882e-07	0.000000e+00	2.852785e-07
1.200000e+01	1.600000e+01	4.348270e-05	1.404155e-05	6.772350e-06
1.600000e+01	2.000000e+01	2.457034e-04	8.467253e-05	0.000000e+00
2.000000e+01	2.400000e+01	2.926505e-04	3.594825e-05	1.622650e-05
2.400000e+01	2.800000e+01	3.690385e-04	1.056250e-06	5.072200e-05
2.800000e+01	3.200000e+01	3.970360e-04	3.389925e-05	8.810475e-05
3.200000e+01	3.600000e+01	4.361887e-04	5.806200e-05	8.415675e-05
3.600000e+01	4.000000e+01	3.619272e-04	1.735900e-05	1.024310e-04
4.000000e+01	4.400000e+01	3.797438e-04	1.628150e-05	3.209675e-05
4.400000e+01	4.800000e+01	3.709813e-04	3.026650e-05	1.013465e-04
4.800000e+01	5.200000e+01	3.821193e-04	3.054875e-05	7.197275e-05
5.200000e+01	5.600000e+01	3.800523e-04	2.004450e-05	8.135800e-05
5.600000e+01	6.000000e+01	4.149312e-04	7.048125e-05	3.106050e-05
6.000000e+01	6.400000e+01	4.075525e-04	2.011825e-05	6.740225e-05
6.400000e+01	6.800000e+01	4.640007e-04	9.744050e-05	6.485250e-06
6.800000e+01	7.200000e+01	4.950653e-04	8.678825e-05	7.825425e-05
7.200000e+01	7.600000e+01	5.303753e-04	5.931150e-05	4.190350e-05
7.600000e+01	8.000000e+01	6.007650e-04	3.675650e-05	9.970500e-06
8.000000e+01	8.400000e+01	5.615283e-04	1.938150e-05	0.000000e+00
8.400000e+01	8.800000e+01	4.784272e-04	4.870875e-05	3.183125e-05
8.800000e+01	9.200000e+01	4.361488e-04	0.000000e+00	8.710100e-05
9.200000e+01	9.600000e+01	4.038447e-04	3.909900e-05	8.840000e-06
9.600000e+01	1.000000e+02	3.534677e-04	2.101950e-05	7.346250e-05
1.000000e+02	1.040000e+02	7.999175e-04	4.948575e-04	0.000000e+00
1.040000e+02	1.080000e+02	3.250348e-04	0.000000e+00	5.112050e-05
1.080000e+02	1.120000e+02	3.259883e-04	2.385450e-05	1.794600e-05
1.120000e+02	1.160000e+02	4.651755e-04	1.897970e-04	0.000000e+00
1.160000e+02	1.200000e+02	3.071665e-04	5.059575e-05	2.489800e-05
1.200000e+02	1.240000e+02	2.890402e-04	2.734975e-05	4.462450e-05
1.240000e+02	1.280000e+02	2.947608e-04	5.182910e-05	1.412300e-05
1.280000e+02	1.320000e+02	2.763290e-04	3.279690e-05	2.371800e-05
1.320000e+02	1.360000e+02	2.533008e-04	2.717468e-05	5.593200e-05
1.360000e+02	1.400000e+02	2.378134e-04	2.188855e-05	4.575840e-05
1.400000e+02	1.440000e+02	2.449734e-04	1.446270e-05	1.871330e-05
1.440000e+02	1.480000e+02	2.490195e-04	8.530603e-05	2.575150e-05
1.480000e+02	1.520000e+02	2.172983e-04	2.364983e-05	4.095568e-05
1.520000e+02	1.560000e+02	1.917345e-04	1.489250e-07	1.169665e-04
1.560000e+02	1.600000e+02	2.087281e-04	3.875823e-05	4.802138e-05
1.600000e+02	1.640000e+02	2.021403e-04	0.000000e+00	7.317800e-06
1.640000e+02	1.680000e+02	2.017362e-04	3.707087e-05	2.748460e-04
1.680000e+02	1.720000e+02	1.973148e-04	7.092235e-05	3.191978e-05
1.720000e+02	1.760000e+02	1.911777e-04	2.334723e-05	1.647860e-05
1.760000e+02	1.800000e+02	1.726383e-04	2.082723e-05	3.165113e-05
1.800000e+02	1.840000e+02	1.903717e-04	4.075972e-05	0.000000e+00
1.840000e+02	1.880000e+02	1.752814e-04	5.921250e-06	4.003625e-06
1.880000e+02	1.920000e+02	1.691712e-04	1.383303e-05	0.000000e+00
1.920000e+02	1.960000e+02	1.593644e-04	1.854950e-05	3.276275e-06
1.960000e+02	2.000000e+02	1.351351e-04	0.000000e+00	3.735500e-05
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/j2j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	7.166135e-07	7.668680e-07	0.000000e+00
1.200000e+01	1.600000e+01	4.414867e-05	3.722800e-06	0.000000e+00
1.600000e+01	2.000000e+01	1.577821e-04	9.249000e-06	1.047092e-05
2.000000e+01	2.400000e+01	2.544310e-04	0.000000e+00	5.031125e-05
2.400000e+01	2.800000e+01	3.020380e-04	0.000000e+00	2.852600e-05
2.800000e+01	3.200000e+01	2.904140e-04	0.000000e+00	7.791900e-05
3.200000e+01	3.600000e+01	2.941150e-04	0.000000e+00	5.308425e-05
3.600000e+01	4.000000e+01	2.834913e-04	0.000000e+00	6.206700e-05
4.000000e+01	4.400000e+01	2.607333e-04	0.000000e+00	4.979675e-05
4.400000e+01	4.800000e+01	2.369883e-04	0.000000e+00	5.947690e-05
4.800000e+01	5.200000e+01	2.650815e-04	0.000000e+00	4.252500e-06
5.200000e+01	5.600000e+01	2.542880e-04	0.000000e+00	4.370750e-05
5.600000e+01	6.000000e+01	2.393167e-04	0.000000e+00	4.445430e-05
6.000000e+01	6.400000e+01	2.334601e-04	0.000000e+00	2.530440e-05
6.400000e+01	6.800000e+01	2.322105e-04	0.000000e+00	3.167075e-05
6.800000e+01	7.200000e+01	2.195138e-04	0.000000e+00	5.100023e-05
7.200000e+01	7.600000e+01	2.414007e-04	0.000000e+00	2.314130e-05
7.600000e+01	8.000000e+01	2.119113e-04	0.000000e+00	4.707115e-05
8.000000e+01	8.400000e+01	2.170405e-04	0.000000e+00	3.358977e-05
8.400000e+01	8.800000e+01	2.080162e-04	0.000000e+00	3.318853e-05
8.800000e+01	9.200000e+01	2.041352e-04	0.000000e+00	2.963292e-05
9.200000e+01	9.600000e+01	1.940057e-04	0.000000e+00	4.518155e-05
