# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
XLabel=$p_{T,j_3}^{incl}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_3}^{incl}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/jet3_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.198604e-02	6.434000e-04	4.495500e-04
3.000000e+01	4.000000e+01	1.464799e-02	2.819900e-04	7.197100e-04
4.000000e+01	5.000000e+01	7.502929e-03	7.895700e-05	0.000000e+00
5.000000e+01	6.000000e+01	4.015092e-03	4.775390e-04	0.000000e+00
6.000000e+01	7.000000e+01	2.132501e-03	2.057500e-05	1.433400e-05
7.000000e+01	8.000000e+01	1.189270e-03	3.902200e-05	2.608900e-05
8.000000e+01	9.000000e+01	6.517805e-04	4.473330e-05	0.000000e+00
9.000000e+01	1.000000e+02	3.759354e-04	1.526090e-05	2.200280e-05
1.000000e+02	1.100000e+02	3.976559e-04	1.965660e-04	0.000000e+00
1.100000e+02	1.200000e+02	1.325788e-04	0.000000e+00	2.146140e-05
1.200000e+02	1.300000e+02	8.845695e-05	3.309770e-06	3.382190e-06
1.300000e+02	1.400000e+02	6.247595e-05	1.007144e-05	1.139260e-06
1.400000e+02	1.500000e+02	4.036196e-05	2.647980e-06	5.532110e-06
1.500000e+02	1.600000e+02	3.117065e-05	7.307780e-06	0.000000e+00
1.600000e+02	1.700000e+02	1.897164e-05	9.490300e-07	3.168100e-07
1.700000e+02	1.800000e+02	1.365069e-05	2.096910e-06	0.000000e+00
1.800000e+02	1.900000e+02	1.008057e-05	9.909060e-07	1.125350e-06
1.900000e+02	2.000000e+02	5.460934e-06	0.000000e+00	3.915777e-06
2.000000e+02	2.100000e+02	5.597796e-06	6.431480e-07	8.435020e-07
2.100000e+02	2.200000e+02	4.039143e-06	1.105526e-06	8.076460e-07
2.200000e+02	2.300000e+02	2.659922e-06	3.229510e-07	1.485014e-06
2.300000e+02	2.400000e+02	2.152881e-06	4.609590e-07	9.098920e-07
2.400000e+02	2.500000e+02	1.612810e-06	0.000000e+00	9.067200e-07
2.500000e+02	2.600000e+02	1.592114e-06	5.222580e-07	5.219450e-07
2.600000e+02	2.700000e+02	1.157194e-06	1.534080e-07	4.860760e-07
2.700000e+02	2.800000e+02	1.223513e-06	3.947788e-07	1.715990e-07
2.800000e+02	2.900000e+02	8.199790e-07	1.618543e-07	4.082540e-07
2.900000e+02	3.000000e+02	6.767892e-07	1.426875e-07	1.090453e-07
3.000000e+02	3.100000e+02	4.893798e-07	2.943460e-08	2.297650e-07
3.100000e+02	3.200000e+02	5.526060e-07	2.223926e-07	1.159198e-07
3.200000e+02	3.300000e+02	4.609784e-07	1.714512e-07	5.686440e-08
3.300000e+02	3.400000e+02	1.953049e-07	0.000000e+00	1.635181e-07
3.400000e+02	3.500000e+02	2.863747e-07	1.099339e-07	2.248440e-08
3.500000e+02	3.600000e+02	3.334757e-07	1.391059e-07	0.000000e+00
3.600000e+02	3.700000e+02	1.996429e-07	9.028500e-09	1.219946e-07
3.700000e+02	3.800000e+02	1.748866e-07	3.158100e-08	3.764180e-08
3.800000e+02	3.900000e+02	1.717318e-07	8.454173e-08	6.130990e-08
3.900000e+02	4.000000e+02	1.323624e-07	7.177768e-08	7.554030e-08
4.000000e+02	4.100000e+02	1.042672e-07	5.570300e-09	4.865750e-08
4.100000e+02	4.200000e+02	9.366534e-08	0.000000e+00	4.695456e-08
4.200000e+02	4.300000e+02	9.441710e-08	2.273875e-08	3.999840e-08
4.300000e+02	4.400000e+02	9.465732e-08	3.402042e-08	1.377188e-08
4.400000e+02	4.500000e+02	8.354278e-08	3.082148e-08	9.329410e-09
4.500000e+02	4.600000e+02	6.434057e-08	1.028796e-08	2.159513e-08
4.600000e+02	4.700000e+02	7.229435e-08	2.817488e-08	0.000000e+00
4.700000e+02	4.800000e+02	5.237066e-08	2.262179e-08	1.387552e-08
4.800000e+02	4.900000e+02	4.548608e-08	1.761170e-08	1.798581e-08
4.900000e+02	5.000000e+02	3.012122e-08	3.671740e-09	2.520976e-08
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_LOOSE/jet3_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.025458e-02	0.000000e+00	8.611000e-04
3.000000e+01	4.000000e+01	1.247150e-02	0.000000e+00	1.545000e-04
4.000000e+01	5.000000e+01	6.206557e-03	2.561610e-04	0.000000e+00
5.000000e+01	6.000000e+01	3.059962e-03	1.847040e-04	0.000000e+00
6.000000e+01	7.000000e+01	1.556057e-03	1.064680e-04	3.419000e-06
7.000000e+01	8.000000e+01	8.050257e-04	4.308190e-05	0.000000e+00
8.000000e+01	9.000000e+01	4.324662e-04	5.088600e-05	0.000000e+00
9.000000e+01	1.000000e+02	2.268232e-04	2.829700e-05	0.000000e+00
1.000000e+02	1.100000e+02	1.246470e-04	8.116900e-06	6.746200e-06
1.100000e+02	1.200000e+02	7.653117e-05	1.837675e-05	0.000000e+00
1.200000e+02	1.300000e+02	4.352940e-05	9.860600e-06	0.000000e+00
1.300000e+02	1.400000e+02	2.342112e-05	4.209450e-06	1.070260e-06
1.400000e+02	1.500000e+02	1.377580e-05	0.000000e+00	1.221700e-06
1.500000e+02	1.600000e+02	8.973720e-06	1.604578e-06	2.411300e-06
1.600000e+02	1.700000e+02	6.333545e-06	7.403440e-07	0.000000e+00
1.700000e+02	1.800000e+02	4.467360e-06	3.532922e-06	0.000000e+00
1.800000e+02	1.900000e+02	2.903627e-06	7.284320e-07	0.000000e+00
1.900000e+02	2.000000e+02	1.393014e-06	5.949700e-08	4.015040e-07
2.000000e+02	2.100000e+02	1.234367e-06	3.951300e-08	0.000000e+00
2.100000e+02	2.200000e+02	1.024413e-06	2.715445e-07	2.009800e-08
2.200000e+02	2.300000e+02	5.213662e-07	0.000000e+00	9.158108e-07
2.300000e+02	2.400000e+02	-3.939616e-06	0.000000e+00	4.410612e-06
2.400000e+02	2.500000e+02	2.274871e-07	7.488400e-08	8.764550e-08
2.500000e+02	2.600000e+02	2.463441e-07	3.501500e-08	0.000000e+00
2.600000e+02	2.700000e+02	1.959718e-07	3.255790e-08	1.352600e-08
2.700000e+02	2.800000e+02	1.630806e-06	1.447318e-06	0.000000e+00
2.800000e+02	2.900000e+02	9.444077e-08	2.817223e-08	5.146703e-08
2.900000e+02	3.000000e+02	8.467387e-08	6.651327e-08	7.214233e-08
3.000000e+02	3.100000e+02	6.976056e-08	2.917954e-08	8.964200e-10
3.100000e+02	3.200000e+02	2.518171e-08	6.811970e-09	1.771427e-08
3.200000e+02	3.300000e+02	2.584733e-08	8.909301e-08	0.000000e+00
3.300000e+02	3.400000e+02	1.206655e-08	2.932849e-08	9.716200e-09
3.400000e+02	3.500000e+02	1.091574e-08	0.000000e+00	1.782582e-08
3.500000e+02	3.600000e+02	1.783092e-08	1.703821e-08	0.000000e+00
