# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_2j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	1.540539e-10
2.000000e+01	2.400000e+01	6.299868e-08	0.000000e+00	5.691000e-09
2.400000e+01	2.800000e+01	3.881895e-07	1.819413e-07	1.627720e-07
2.800000e+01	3.200000e+01	1.095423e-06	0.000000e+00	1.326394e-06
3.200000e+01	3.600000e+01	4.032335e-06	3.910825e-07	1.923158e-06
3.600000e+01	4.000000e+01	6.897915e-06	0.000000e+00	4.711455e-06
4.000000e+01	4.400000e+01	1.101416e-05	1.868185e-06	8.362500e-09
4.400000e+01	4.800000e+01	1.507064e-05	3.079095e-06	3.830055e-06
4.800000e+01	5.200000e+01	8.228940e-06	0.000000e+00	1.346995e-05
5.200000e+01	5.600000e+01	2.108097e-05	1.915133e-06	2.775267e-06
5.600000e+01	6.000000e+01	2.463813e-05	5.084492e-06	0.000000e+00
6.000000e+01	6.400000e+01	2.547355e-05	3.357500e-07	4.766175e-06
6.400000e+01	6.800000e+01	3.044332e-05	1.550150e-06	5.496550e-06
6.800000e+01	7.200000e+01	2.643770e-05	0.000000e+00	1.417920e-05
7.200000e+01	7.600000e+01	3.343228e-05	3.929650e-06	4.202425e-06
7.600000e+01	8.000000e+01	3.287110e-05	4.260025e-06	4.221350e-06
8.000000e+01	8.400000e+01	3.107880e-05	0.000000e+00	9.452700e-06
8.400000e+01	8.800000e+01	2.858797e-05	0.000000e+00	1.211340e-05
8.800000e+01	9.200000e+01	3.519060e-05	2.544375e-06	7.132750e-07
9.200000e+01	9.600000e+01	3.701895e-05	4.159750e-07	1.096820e-05
9.600000e+01	1.000000e+02	3.427658e-05	0.000000e+00	2.882250e-06
1.000000e+02	1.040000e+02	3.906153e-05	3.451400e-06	1.402150e-06
1.040000e+02	1.080000e+02	3.696030e-05	4.193650e-06	3.664500e-06
1.080000e+02	1.120000e+02	3.563898e-05	1.705650e-06	1.841012e-05
1.120000e+02	1.160000e+02	3.371100e-05	3.162292e-05	6.280350e-06
1.160000e+02	1.200000e+02	3.650013e-05	1.547250e-06	6.228325e-06
1.200000e+02	1.240000e+02	4.217335e-05	2.639100e-06	8.085825e-06
1.240000e+02	1.280000e+02	4.295600e-05	5.921825e-06	3.076000e-06
1.280000e+02	1.320000e+02	3.256645e-05	2.685100e-06	6.332575e-06
1.320000e+02	1.360000e+02	3.435980e-05	4.072100e-06	3.360298e-05
1.360000e+02	1.400000e+02	3.247450e-05	0.000000e+00	6.734850e-06
1.400000e+02	1.440000e+02	3.538685e-05	9.759150e-06	0.000000e+00
1.440000e+02	1.480000e+02	4.088805e-05	1.691525e-05	0.000000e+00
1.480000e+02	1.520000e+02	3.118935e-05	6.962740e-06	5.709075e-06
1.520000e+02	1.560000e+02	2.387157e-05	9.091850e-07	3.535310e-06
1.560000e+02	1.600000e+02	2.742272e-05	4.647863e-06	6.051150e-06
1.600000e+02	1.640000e+02	2.787903e-05	4.185250e-06	2.426575e-06
1.640000e+02	1.680000e+02	1.730342e-05	2.596800e-06	1.201401e-05
1.680000e+02	1.720000e+02	2.006645e-05	2.361073e-06	8.244250e-06
1.720000e+02	1.760000e+02	2.056762e-05	2.110145e-06	4.549602e-06
1.760000e+02	1.800000e+02	-1.127225e-05	0.000000e+00	3.453946e-05
1.800000e+02	1.840000e+02	1.401407e-05	0.000000e+00	8.993928e-06
1.840000e+02	1.880000e+02	2.051650e-05	5.798137e-06	0.000000e+00
1.880000e+02	1.920000e+02	1.985420e-05	4.497847e-06	3.532253e-06
1.920000e+02	1.960000e+02	1.610109e-05	1.225010e-06	1.386978e-06
1.960000e+02	2.000000e+02	1.363871e-05	0.000000e+00	5.678450e-06
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/j2j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	3.400792e-10	3.400792e-10	1.793732e-09
2.000000e+01	2.400000e+01	3.218423e-08	0.000000e+00	4.946470e-08
2.400000e+01	2.800000e+01	5.360513e-07	0.000000e+00	3.722800e-08
2.800000e+01	3.200000e+01	1.410392e-06	0.000000e+00	5.515605e-07
3.200000e+01	3.600000e+01	3.713718e-06	0.000000e+00	1.117087e-06
3.600000e+01	4.000000e+01	6.294332e-06	0.000000e+00	2.392260e-06
4.000000e+01	4.400000e+01	9.288370e-06	0.000000e+00	3.707187e-06
4.400000e+01	4.800000e+01	1.046597e-05	0.000000e+00	5.570170e-06
4.800000e+01	5.200000e+01	1.532178e-05	0.000000e+00	5.665998e-06
5.200000e+01	5.600000e+01	1.884510e-05	0.000000e+00	4.640195e-06
5.600000e+01	6.000000e+01	2.173465e-05	0.000000e+00	6.948930e-06
6.000000e+01	6.400000e+01	2.456590e-05	0.000000e+00	3.782500e-06
6.400000e+01	6.800000e+01	2.568612e-05	0.000000e+00	1.217267e-05
6.800000e+01	7.200000e+01	2.838715e-05	7.029870e-06	3.487500e-06
7.200000e+01	7.600000e+01	3.018800e-05	0.000000e+00	6.008700e-06
7.600000e+01	8.000000e+01	2.717043e-05	5.283768e-06	8.411950e-06
8.000000e+01	8.400000e+01	3.315418e-05	0.000000e+00	5.856125e-06
8.400000e+01	8.800000e+01	3.081930e-05	0.000000e+00	7.271150e-06
8.800000e+01	9.200000e+01	3.324412e-05	0.000000e+00	7.550875e-06
