# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=3.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$m_{j_1}$ (GeV) 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_1}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet1_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_04_TIGHT/jet1_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	2.135897e-01	5.173780e-02	9.842610e-02
1.000000e+00	2.000000e+00	1.709925e-02	3.756580e-03	7.262860e-03
2.000000e+00	3.000000e+00	1.775516e-02	3.376620e-03	1.015900e-04
3.000000e+00	4.000000e+00	4.858575e-02	8.228550e-03	0.000000e+00
4.000000e+00	5.000000e+00	5.532422e-02	5.438290e-03	0.000000e+00
5.000000e+00	6.000000e+00	5.747076e-02	5.165300e-03	0.000000e+00
6.000000e+00	7.000000e+00	5.818111e-02	8.434450e-03	0.000000e+00
7.000000e+00	8.000000e+00	5.242956e-02	7.771490e-03	6.159400e-04
8.000000e+00	9.000000e+00	4.548170e-02	7.135680e-03	1.895640e-03
9.000000e+00	1.000000e+01	3.910369e-02	7.455770e-03	3.161360e-03
1.000000e+01	1.100000e+01	3.242503e-02	6.123720e-03	4.003890e-03
1.100000e+01	1.200000e+01	2.714724e-02	5.740060e-03	4.126580e-03
1.200000e+01	1.300000e+01	2.254230e-02	5.235830e-03	4.379140e-03
1.300000e+01	1.400000e+01	1.833548e-02	3.936370e-03	3.370580e-03
1.400000e+01	1.500000e+01	1.520565e-02	3.220160e-03	2.488250e-03
1.500000e+01	1.600000e+01	1.249423e-02	2.612381e-03	2.995010e-03
1.600000e+01	1.700000e+01	1.039448e-02	2.282051e-03	2.588180e-03
1.700000e+01	1.800000e+01	8.760554e-03	2.517420e-03	2.263376e-03
1.800000e+01	1.900000e+01	7.394403e-03	1.623923e-03	1.859761e-03
1.900000e+01	2.000000e+01	6.208105e-03	1.304935e-03	1.849324e-03
2.000000e+01	2.100000e+01	5.490605e-03	1.413361e-03	1.078421e-03
2.100000e+01	2.200000e+01	4.635474e-03	1.195189e-03	1.081743e-03
2.200000e+01	2.300000e+01	4.014089e-03	1.150606e-03	4.672740e-04
2.300000e+01	2.400000e+01	3.365731e-03	8.789600e-04	7.459010e-04
2.400000e+01	2.500000e+01	2.778631e-03	7.438090e-04	7.177760e-04
2.500000e+01	2.600000e+01	2.421210e-03	8.505840e-04	6.719500e-04
2.600000e+01	2.700000e+01	2.196563e-03	6.495310e-04	5.015150e-04
2.700000e+01	2.800000e+01	1.739771e-03	4.268630e-04	8.672400e-04
2.800000e+01	2.900000e+01	1.556391e-03	4.731580e-04	3.630760e-04
2.900000e+01	3.000000e+01	1.406036e-03	4.278693e-04	3.575350e-04
3.000000e+01	3.100000e+01	1.115042e-03	2.904540e-04	2.089740e-04
3.100000e+01	3.200000e+01	1.169214e-03	4.252154e-04	1.122010e-04
3.200000e+01	3.300000e+01	8.752248e-04	2.412913e-04	2.181532e-04
3.300000e+01	3.400000e+01	7.821760e-04	2.341528e-04	1.325607e-04
3.400000e+01	3.500000e+01	6.519037e-04	1.430734e-04	1.792019e-04
3.500000e+01	3.600000e+01	5.247815e-04	1.087489e-04	1.911924e-04
3.600000e+01	3.700000e+01	5.000225e-04	1.482545e-04	7.531410e-05
3.700000e+01	3.800000e+01	3.893427e-04	9.294310e-05	1.675005e-04
3.800000e+01	3.900000e+01	3.623568e-04	9.588850e-05	1.569850e-04
3.900000e+01	4.000000e+01	2.932748e-04	8.705010e-05	1.603792e-04
4.000000e+01	4.100000e+01	2.633786e-04	5.698060e-05	8.749690e-05
4.100000e+01	4.200000e+01	2.567440e-04	7.168170e-05	4.973650e-05
4.200000e+01	4.300000e+01	2.190447e-04	6.372150e-05	7.250140e-05
4.300000e+01	4.400000e+01	1.875012e-04	4.061910e-05	4.001130e-05
4.400000e+01	4.500000e+01	1.505468e-04	3.103020e-05	8.249790e-05
4.500000e+01	4.600000e+01	1.620760e-04	5.705550e-05	0.000000e+00
4.600000e+01	4.700000e+01	1.328914e-04	3.302760e-05	2.519990e-05
4.700000e+01	4.800000e+01	1.183602e-04	2.015287e-05	2.994760e-05
4.800000e+01	4.900000e+01	1.074985e-04	3.680105e-05	4.648350e-05
4.900000e+01	5.000000e+01	9.321908e-05	2.448879e-05	6.064242e-05
5.000000e+01	5.100000e+01	4.082143e-05	0.000000e+00	6.642987e-05
5.100000e+01	5.200000e+01	7.987028e-05	1.424077e-05	3.391482e-05
5.200000e+01	5.300000e+01	7.362184e-05	2.645478e-05	7.549750e-06
5.300000e+01	5.400000e+01	7.013691e-05	1.450872e-05	0.000000e+00
5.400000e+01	5.500000e+01	5.446311e-05	1.354935e-05	1.257378e-05
5.500000e+01	5.600000e+01	4.920229e-05	1.713957e-05	5.866600e-07
5.600000e+01	5.700000e+01	3.966880e-05	3.669990e-06	2.529614e-05
