# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H3_y
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y
#RatioPlot=1
LogY=1
RatioPlotYMax=1.8
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H3_y
XLabel=$y_{h}^{\star}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{h}^{\star}$ (fb)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/H3_y
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/H3_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	3.917589e-02	2.195171e-03	1.929075e-03
-2.760000e+00	-2.520000e+00	4.680096e-02	3.040208e-03	1.707917e-04
-2.520000e+00	-2.280000e+00	5.457300e-02	2.541250e-03	2.987083e-04
-2.280000e+00	-2.040000e+00	6.388400e-02	2.418375e-03	3.710458e-03
-2.040000e+00	-1.800000e+00	7.755246e-02	1.705792e-03	3.389625e-03
-1.800000e+00	-1.560000e+00	9.620175e-02	2.067708e-03	6.836375e-03
-1.560000e+00	-1.320000e+00	1.299789e-01	8.967375e-03	0.000000e+00
-1.320000e+00	-1.080000e+00	1.673413e-01	4.953708e-03	1.334542e-02
-1.080000e+00	-8.400000e-01	2.375072e-01	1.003692e-02	8.343625e-03
-8.400000e-01	-6.000000e-01	3.935789e-01	0.000000e+00	5.628042e-03
-6.000000e-01	-3.600000e-01	9.152721e-01	1.205417e-03	3.921667e-03
-3.600000e-01	-1.200000e-01	2.510801e+00	5.942250e-02	2.635250e-02
-1.200000e-01	1.200000e-01	3.723818e+00	7.773125e-02	7.064208e-02
1.200000e-01	3.600000e-01	2.516345e+00	6.677792e-02	2.561083e-02
3.600000e-01	6.000000e-01	9.107287e-01	1.112917e-02	7.213750e-03
6.000000e-01	8.400000e-01	3.885367e-01	0.000000e+00	9.372375e-03
8.400000e-01	1.080000e+00	2.369187e-01	1.076587e-02	7.367833e-03
1.080000e+00	1.320000e+00	1.560490e-01	0.000000e+00	1.670192e-02
1.320000e+00	1.560000e+00	1.253490e-01	3.927625e-03	3.724458e-03
1.560000e+00	1.800000e+00	9.442767e-02	7.809583e-04	7.679625e-03
1.800000e+00	2.040000e+00	7.911575e-02	2.683500e-03	3.939208e-03
2.040000e+00	2.280000e+00	6.323863e-02	8.236250e-04	4.446625e-03
2.280000e+00	2.520000e+00	5.423450e-02	0.000000e+00	3.971458e-03
2.520000e+00	2.760000e+00	4.597238e-02	2.748917e-03	1.930333e-03
2.760000e+00	3.000000e+00	3.927410e-02	1.148175e-03	2.879900e-03
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H3_y
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/H3_y
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
-3.000000e+00	-2.760000e+00	1.603322e-02	0.000000e+00	2.745321e-03
-2.760000e+00	-2.520000e+00	1.815969e-02	0.000000e+00	3.340850e-03
-2.520000e+00	-2.280000e+00	2.054430e-02	0.000000e+00	4.373721e-03
-2.280000e+00	-2.040000e+00	2.306109e-02	0.000000e+00	5.371850e-03
-2.040000e+00	-1.800000e+00	2.692808e-02	0.000000e+00	4.568008e-03
-1.800000e+00	-1.560000e+00	3.142364e-02	0.000000e+00	5.400825e-03
-1.560000e+00	-1.320000e+00	3.751092e-02	0.000000e+00	5.267333e-03
-1.320000e+00	-1.080000e+00	4.680692e-02	0.000000e+00	4.953083e-03
-1.080000e+00	-8.400000e-01	6.674850e-02	0.000000e+00	4.299833e-03
-8.400000e-01	-6.000000e-01	1.451067e-01	3.172333e-03	0.000000e+00
-6.000000e-01	-3.600000e-01	5.882692e-01	3.616375e-02	0.000000e+00
-3.600000e-01	-1.200000e-01	2.157435e+00	1.137300e-01	0.000000e+00
-1.200000e-01	1.200000e-01	3.396632e+00	1.588842e-01	0.000000e+00
1.200000e-01	3.600000e-01	2.153420e+00	1.136050e-01	0.000000e+00
3.600000e-01	6.000000e-01	5.876242e-01	2.578000e-02	0.000000e+00
6.000000e-01	8.400000e-01	1.467675e-01	5.073792e-03	0.000000e+00
8.400000e-01	1.080000e+00	7.123133e-02	2.855333e-03	0.000000e+00
1.080000e+00	1.320000e+00	4.651404e-02	0.000000e+00	4.764292e-03
1.320000e+00	1.560000e+00	3.770958e-02	0.000000e+00	5.391917e-03
1.560000e+00	1.800000e+00	3.148275e-02	0.000000e+00	5.631767e-03
