# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl
RatioPlotYLabel=Ratio
Scale=1000.0
XLabel=$p_{T,hj_1}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1}^{incl}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.2
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/Hj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.450200e-03	3.482690e-04	2.680390e-04
1.000000e+01	2.000000e+01	1.199626e-02	4.891300e-04	1.158880e-03
2.000000e+01	3.000000e+01	3.632435e-02	1.704410e-03	1.529360e-03
3.000000e+01	4.000000e+01	6.162663e-02	4.039960e-03	3.201300e-03
4.000000e+01	5.000000e+01	5.888910e-02	1.070230e-03	1.046010e-03
5.000000e+01	6.000000e+01	4.699847e-02	3.480600e-04	0.000000e+00
6.000000e+01	7.000000e+01	3.435475e-02	6.190500e-04	4.866700e-04
7.000000e+01	8.000000e+01	2.461122e-02	6.616600e-04	4.279600e-04
8.000000e+01	9.000000e+01	1.708802e-02	6.717600e-04	7.668300e-04
9.000000e+01	1.000000e+02	1.180172e-02	1.364800e-04	6.314700e-04
1.000000e+02	1.100000e+02	8.547127e-03	4.945650e-04	2.534050e-04
1.100000e+02	1.200000e+02	5.977368e-03	2.996450e-04	3.843300e-05
1.200000e+02	1.300000e+02	4.137687e-03	1.623860e-04	2.713740e-04
1.300000e+02	1.400000e+02	3.057085e-03	1.048010e-04	2.245560e-04
1.400000e+02	1.500000e+02	2.220045e-03	6.347200e-05	1.199750e-04
1.500000e+02	1.600000e+02	1.612886e-03	1.148290e-04	3.620800e-05
1.600000e+02	1.700000e+02	1.205549e-03	4.685500e-05	1.451630e-04
1.700000e+02	1.800000e+02	9.052715e-04	3.335490e-05	4.757910e-05
1.800000e+02	1.900000e+02	6.907499e-04	3.426650e-05	8.849910e-05
1.900000e+02	2.000000e+02	5.389429e-04	4.245180e-05	2.780170e-05
2.000000e+02	2.100000e+02	4.562424e-04	4.601940e-05	2.917800e-05
2.100000e+02	2.200000e+02	3.297915e-04	4.354640e-05	6.794110e-05
2.200000e+02	2.300000e+02	2.508170e-04	3.124200e-06	2.717120e-05
2.300000e+02	2.400000e+02	2.032732e-04	7.103100e-06	2.472780e-05
2.400000e+02	2.500000e+02	1.789514e-04	4.189610e-05	2.443130e-05
2.500000e+02	2.600000e+02	1.437096e-04	2.425900e-06	1.605680e-05
2.600000e+02	2.700000e+02	1.080444e-04	1.764000e-06	1.522490e-05
2.700000e+02	2.800000e+02	9.089503e-05	3.533710e-06	4.006150e-06
2.800000e+02	2.900000e+02	8.532186e-05	1.533893e-05	3.426230e-06
2.900000e+02	3.000000e+02	6.577469e-05	7.756950e-06	7.915040e-06
3.000000e+02	3.100000e+02	5.109873e-05	4.484280e-06	7.829150e-06
3.100000e+02	3.200000e+02	5.486247e-05	1.591078e-05	9.312000e-08
3.200000e+02	3.300000e+02	3.907439e-05	3.810420e-06	1.094959e-05
3.300000e+02	3.400000e+02	3.063539e-05	1.543759e-05	1.365963e-05
3.400000e+02	3.500000e+02	3.173911e-05	6.560820e-06	1.570690e-06
3.500000e+02	3.600000e+02	3.170720e-05	7.480510e-06	5.673500e-07
3.600000e+02	3.700000e+02	2.770647e-05	1.131928e-05	0.000000e+00
3.700000e+02	3.800000e+02	2.204793e-05	6.704900e-07	8.904450e-06
3.800000e+02	3.900000e+02	2.579824e-05	5.344270e-06	0.000000e+00
3.900000e+02	4.000000e+02	1.494046e-05	5.953100e-07	3.394760e-06
4.000000e+02	4.100000e+02	1.482337e-05	2.806150e-06	5.293480e-06
4.100000e+02	4.200000e+02	1.840679e-05	9.160644e-06	0.000000e+00
4.200000e+02	4.300000e+02	1.305831e-05	2.273970e-06	2.171230e-06
4.300000e+02	4.400000e+02	1.075832e-05	4.289727e-06	2.062100e-07
4.400000e+02	4.500000e+02	7.927145e-06	2.111889e-06	2.227455e-06
4.500000e+02	4.600000e+02	7.957839e-06	6.537830e-07	8.572280e-07
4.600000e+02	4.700000e+02	7.489463e-06	1.006607e-06	1.165570e-06
4.700000e+02	4.800000e+02	7.481936e-06	3.309501e-06	2.197957e-06
4.800000e+02	4.900000e+02	4.789731e-06	3.003832e-06	5.349709e-06
4.900000e+02	5.000000e+02	4.855279e-06	3.496780e-07	7.049120e-07
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
