# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl
#RatioPlot=1
LogY=1
RatioPlotYMax=1.6
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$p_{T,jets}^{gap}$ (GeV)
LegendAlign=r
XMax=200.0
YLabel=$\text{d} \sigma/ \text{d} P_{T,jets}^{gap}$
XMin=0.0
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/gapjet1_pt_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	8.132536e-03	6.615660e-04	8.553940e-04
3.000000e+01	4.000000e+01	1.064470e-02	8.525870e-04	7.056600e-04
4.000000e+01	5.000000e+01	5.204524e-03	3.106470e-04	5.569810e-04
5.000000e+01	6.000000e+01	2.678767e-03	1.738650e-04	7.429300e-05
6.000000e+01	7.000000e+01	1.346556e-03	1.279030e-04	9.133900e-05
7.000000e+01	8.000000e+01	7.600580e-04	8.142790e-05	0.000000e+00
8.000000e+01	9.000000e+01	3.655248e-04	5.014920e-05	2.577460e-05
9.000000e+01	1.000000e+02	2.084732e-04	1.969560e-05	5.992300e-06
1.000000e+02	1.100000e+02	1.099588e-04	0.000000e+00	3.802810e-05
1.100000e+02	1.200000e+02	6.984599e-05	1.138274e-05	8.820090e-06
1.200000e+02	1.300000e+02	4.291685e-05	1.214710e-06	3.229595e-05
1.300000e+02	1.400000e+02	2.532340e-05	0.000000e+00	1.073046e-05
1.400000e+02	1.500000e+02	2.167447e-05	4.912320e-06	4.756750e-06
1.500000e+02	1.600000e+02	1.533766e-05	4.124420e-06	2.848900e-06
1.600000e+02	1.700000e+02	1.174827e-05	3.167479e-06	1.469170e-06
1.700000e+02	1.800000e+02	8.129314e-06	1.432819e-06	2.301866e-06
1.800000e+02	1.900000e+02	7.056437e-06	2.214247e-06	0.000000e+00
1.900000e+02	2.000000e+02	5.616004e-06	2.042797e-06	1.128587e-06
2.000000e+02	2.100000e+02	4.007272e-06	1.421619e-06	1.544756e-06
2.100000e+02	2.200000e+02	3.200548e-06	9.396670e-07	1.123762e-06
2.200000e+02	2.300000e+02	2.737316e-06	8.283720e-07	1.039337e-06
2.300000e+02	2.400000e+02	2.313847e-06	8.130410e-07	3.228400e-07
2.400000e+02	2.500000e+02	1.594868e-06	1.786240e-07	8.471810e-07
2.500000e+02	2.600000e+02	1.463478e-06	4.413430e-07	5.030950e-07
2.600000e+02	2.700000e+02	1.135795e-06	3.066671e-07	5.231640e-07
2.700000e+02	2.800000e+02	1.184910e-06	3.298215e-07	2.437670e-07
2.800000e+02	2.900000e+02	9.359849e-07	3.332283e-07	1.875861e-07
2.900000e+02	3.000000e+02	6.986078e-07	1.187210e-07	3.261152e-07
3.000000e+02	3.100000e+02	3.520398e-07	0.000000e+00	5.339550e-07
3.100000e+02	3.200000e+02	5.062348e-07	1.326553e-07	2.568320e-07
3.200000e+02	3.300000e+02	4.615559e-07	1.482263e-07	1.527925e-07
3.300000e+02	3.400000e+02	4.099982e-07	1.053022e-07	1.089983e-07
3.400000e+02	3.500000e+02	3.095097e-07	1.168140e-07	1.097298e-07
3.500000e+02	3.600000e+02	2.729275e-07	1.071886e-07	6.114460e-08
3.600000e+02	3.700000e+02	2.630156e-07	5.982990e-08	3.995110e-08
3.700000e+02	3.800000e+02	2.283593e-07	5.078070e-08	7.907180e-08
3.800000e+02	3.900000e+02	1.709182e-07	2.272130e-08	6.319050e-08
3.900000e+02	4.000000e+02	1.715210e-07	6.032520e-08	1.295960e-08
4.000000e+02	4.100000e+02	1.402508e-07	4.807417e-08	5.852190e-08
4.100000e+02	4.200000e+02	9.692178e-08	2.666771e-08	6.084222e-08
4.200000e+02	4.300000e+02	9.032189e-08	3.351740e-08	4.873571e-08
4.300000e+02	4.400000e+02	8.844657e-08	2.624843e-08	4.031023e-08
4.400000e+02	4.500000e+02	7.444271e-08	1.688310e-08	3.144819e-08
4.500000e+02	4.600000e+02	6.161536e-08	2.429390e-08	1.905585e-08
4.600000e+02	4.700000e+02	4.628172e-08	4.060260e-09	2.173777e-08
4.700000e+02	4.800000e+02	5.406684e-08	2.390577e-08	2.737478e-08
4.800000e+02	4.900000e+02	4.901778e-08	1.344423e-08	1.398271e-08
4.900000e+02	5.000000e+02	4.913692e-08	2.145148e-08	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/gapjet1_pt_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	4.016490e-03	0.000000e+00	7.226720e-04
3.000000e+01	4.000000e+01	5.104392e-03	0.000000e+00	6.507560e-04
4.000000e+01	5.000000e+01	2.618340e-03	0.000000e+00	2.394160e-04
5.000000e+01	6.000000e+01	1.326944e-03	0.000000e+00	4.590200e-05
6.000000e+01	7.000000e+01	6.618059e-04	0.000000e+00	3.742400e-05
7.000000e+01	8.000000e+01	3.552041e-04	1.878580e-05	1.665600e-06
8.000000e+01	9.000000e+01	1.764776e-04	0.000000e+00	2.007680e-05
9.000000e+01	1.000000e+02	9.901007e-05	6.900650e-06	0.000000e+00
1.000000e+02	1.100000e+02	5.159785e-05	0.000000e+00	8.034200e-06
1.100000e+02	1.200000e+02	3.046833e-05	0.000000e+00	2.026330e-06
1.200000e+02	1.300000e+02	1.811787e-05	4.883090e-06	1.971330e-06
1.300000e+02	1.400000e+02	1.001680e-05	3.591500e-08	1.910310e-06
1.400000e+02	1.500000e+02	6.222927e-06	5.861310e-07	2.080538e-06
1.500000e+02	1.600000e+02	4.524787e-06	1.173881e-06	0.000000e+00
1.600000e+02	1.700000e+02	2.600494e-06	0.000000e+00	3.133020e-07
1.700000e+02	1.800000e+02	2.231481e-06	4.244100e-07	1.369890e-07
1.800000e+02	1.900000e+02	1.153281e-06	0.000000e+00	4.635820e-07
1.900000e+02	2.000000e+02	3.195341e-07	0.000000e+00	5.293990e-07
2.000000e+02	2.100000e+02	5.091734e-07	0.000000e+00	1.557389e-07
2.100000e+02	2.200000e+02	7.932746e-07	3.727256e-07	0.000000e+00
2.200000e+02	2.300000e+02	2.029387e-07	0.000000e+00	3.807203e-07
2.300000e+02	2.400000e+02	2.975633e-07	1.832537e-07	0.000000e+00
2.400000e+02	2.500000e+02	2.080396e-07	8.084640e-08	9.093700e-09
2.500000e+02	2.600000e+02	1.323382e-07	8.700143e-08	8.905000e-09
2.600000e+02	2.700000e+02	1.352550e-07	9.269149e-08	0.000000e+00
2.700000e+02	2.800000e+02	-4.966113e-08	0.000000e+00	2.042966e-07
2.800000e+02	2.900000e+02	8.519066e-08	5.094530e-09	2.918044e-08
2.900000e+02	3.000000e+02	4.852942e-08	2.608070e-09	2.543668e-08
3.000000e+02	3.100000e+02	3.578648e-08	0.000000e+00	1.972689e-08
3.100000e+02	3.200000e+02	1.647893e-08	3.366355e-08	2.744498e-08
3.200000e+02	3.300000e+02	2.489761e-08	8.383300e-10	0.000000e+00
3.300000e+02	3.400000e+02	-3.700214e-09	0.000000e+00	2.372311e-08
3.400000e+02	3.500000e+02	5.709166e-09	0.000000e+00	2.164401e-08
3.500000e+02	3.600000e+02	1.482595e-08	1.344526e-08	1.021600e-09
