# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine
RatioPlotYLabel=Ratio
Rebin=2
XLabel=$m_{j_2j_3j_4}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/j2j3j4_mass_fine
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.600000e+01	6.002715e-09	1.423418e-09	0.000000e+00
3.600000e+01	4.000000e+01	2.947385e-08	0.000000e+00	7.611072e-08
4.000000e+01	4.400000e+01	2.567153e-07	0.000000e+00	1.856165e-07
4.400000e+01	4.800000e+01	1.093733e-06	6.715000e-08	2.354335e-07
4.800000e+01	5.200000e+01	3.267580e-06	0.000000e+00	3.662000e-07
5.200000e+01	5.600000e+01	8.480772e-06	3.314003e-06	0.000000e+00
5.600000e+01	6.000000e+01	1.206166e-05	0.000000e+00	1.018652e-06
6.000000e+01	6.400000e+01	2.030142e-05	0.000000e+00	1.861330e-06
6.400000e+01	6.800000e+01	3.406078e-05	0.000000e+00	4.114400e-06
6.800000e+01	7.200000e+01	5.368180e-05	7.306725e-06	5.367225e-06
7.200000e+01	7.600000e+01	7.494047e-05	0.000000e+00	1.913965e-05
7.600000e+01	8.000000e+01	1.305563e-04	1.067985e-05	0.000000e+00
8.000000e+01	8.400000e+01	1.694926e-04	2.244070e-05	0.000000e+00
8.400000e+01	8.800000e+01	1.691301e-04	1.348810e-05	6.021845e-05
8.800000e+01	9.200000e+01	2.274638e-04	2.852190e-05	4.195897e-05
9.200000e+01	9.600000e+01	2.662875e-04	3.486520e-05	1.752650e-05
9.600000e+01	1.000000e+02	2.859492e-04	2.709250e-05	1.660150e-05
1.000000e+02	1.040000e+02	4.009335e-04	9.857025e-05	0.000000e+00
1.040000e+02	1.080000e+02	4.191522e-04	8.452075e-05	4.711325e-05
1.080000e+02	1.120000e+02	4.614955e-04	5.621350e-05	4.891525e-05
1.120000e+02	1.160000e+02	4.954045e-04	4.854700e-05	7.435425e-05
1.160000e+02	1.200000e+02	5.348853e-04	4.703075e-05	8.686275e-05
1.200000e+02	1.240000e+02	5.816305e-04	5.732975e-05	1.838240e-04
1.240000e+02	1.280000e+02	5.439375e-04	3.978500e-06	1.488133e-04
1.280000e+02	1.320000e+02	6.479102e-04	0.000000e+00	1.272590e-04
1.320000e+02	1.360000e+02	6.936260e-04	1.206718e-04	9.197425e-05
1.360000e+02	1.400000e+02	6.823013e-04	4.245750e-05	3.920725e-05
1.400000e+02	1.440000e+02	7.380725e-04	1.295860e-04	1.311182e-04
1.440000e+02	1.480000e+02	7.413483e-04	1.317163e-04	8.083075e-05
1.480000e+02	1.520000e+02	8.037778e-04	1.656885e-04	3.265150e-05
1.520000e+02	1.560000e+02	7.226350e-04	5.772475e-05	8.908700e-05
1.560000e+02	1.600000e+02	7.108060e-04	1.312245e-04	1.361665e-04
1.600000e+02	1.640000e+02	7.573360e-04	1.413132e-04	1.003240e-04
1.640000e+02	1.680000e+02	6.886122e-04	8.887675e-05	1.204208e-04
1.680000e+02	1.720000e+02	6.970890e-04	1.835285e-04	4.827325e-05
1.720000e+02	1.760000e+02	6.977163e-04	1.238648e-04	1.502360e-04
1.760000e+02	1.800000e+02	6.299110e-04	6.366475e-05	1.875822e-04
1.800000e+02	1.840000e+02	6.498370e-04	9.173350e-05	1.793725e-04
1.840000e+02	1.880000e+02	6.450055e-04	1.476777e-04	9.621425e-05
1.880000e+02	1.920000e+02	6.003148e-04	5.839625e-05	1.183032e-04
1.920000e+02	1.960000e+02	6.058350e-04	9.861725e-05	8.811900e-05
1.960000e+02	2.000000e+02	5.522222e-04	2.679225e-05	1.743337e-04
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j2j3j4_mass_fine
RatioPlotSameStyle=1
Title=h(2*,3*,4)-vbfnlo
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+01	2.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	3.600000e+01	7.151408e-10	2.281686e-08	1.716627e-09
3.600000e+01	4.000000e+01	4.001112e-08	3.844822e-08	0.000000e+00
4.000000e+01	4.400000e+01	2.901820e-07	1.542831e-07	6.557500e-10
4.400000e+01	4.800000e+01	1.077078e-06	4.437265e-07	0.000000e+00
4.800000e+01	5.200000e+01	2.099821e-06	4.559475e-08	0.000000e+00
5.200000e+01	5.600000e+01	3.818632e-06	3.615175e-07	7.836850e-07
5.600000e+01	6.000000e+01	7.149320e-06	9.058000e-08	4.553250e-07
6.000000e+01	6.400000e+01	1.146831e-05	1.953900e-07	1.349343e-06
6.400000e+01	6.800000e+01	1.878367e-05	1.922010e-06	1.184140e-06
6.800000e+01	7.200000e+01	2.730730e-05	3.525432e-06	0.000000e+00
7.200000e+01	7.600000e+01	2.754507e-05	2.257175e-06	6.844925e-06
7.600000e+01	8.000000e+01	3.913693e-05	0.000000e+00	7.966000e-06
8.000000e+01	8.400000e+01	4.998583e-05	1.824750e-07	4.245800e-06
8.400000e+01	8.800000e+01	5.700400e-05	0.000000e+00	1.201483e-05
8.800000e+01	9.200000e+01	6.082790e-05	0.000000e+00	1.091577e-05
9.200000e+01	9.600000e+01	6.957108e-05	0.000000e+00	2.100063e-05
