# BEGIN PLOT
Scale=1000.0
DrawOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j3j4_mass
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass
#RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
#LegendOnly=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-4-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-2-3-25gev-vbfnlo-combine.yoda/MC_H2JETS_07_INC/j3j4_mass
XLabel=$m_{j_3j_4}$ (GeV)
LegendAlign=r
XMax=1000
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_3j_4}$ (fb/GeV)
Legend=1
RatioPlot=4
MainPlotSelection={"Selection":[1,2,3,4,5,6,7,8]}
RatioPlots={"RatioPlotYLabel":"","Selection":[1,2]};{"RatioPlotYLabel":"","Selection":[3,4]};{"RatioPlotYLabel":"","Selection":[5,6]};{"RatioPlotYLabel":"","Selection":[7,8]}
RatioPlotSameStyle=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_07_INC/j3j4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.0} \\ HJETS/ColorFull}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass
ErrorBandColor=orange
ErrorBandOpacity=0.3
ErrorBands=1
ErrorType=env
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/Merging-Project/Production/HJETS/ratio-plots/hjets-vbfnlo/H-N2-N3-4-25gev-combine.yoda/MC_H2JETS_07_INC/j3j4_mass
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	2.621407e-04	9.557250e-06	1.681025e-05
4.000000e+01	8.000000e+01	1.500510e-03	2.063197e-04	2.874710e-04
8.000000e+01	1.200000e+02	1.237307e-03	1.545625e-04	2.762755e-04
1.200000e+02	1.600000e+02	6.259715e-04	1.392025e-04	1.097650e-04
1.600000e+02	2.000000e+02	3.633548e-04	5.266500e-05	3.662725e-05
2.000000e+02	2.400000e+02	2.678692e-04	5.298162e-05	4.436450e-05
2.400000e+02	2.800000e+02	1.868957e-04	3.920180e-05	1.903720e-05
2.800000e+02	3.200000e+02	1.571819e-04	2.861250e-05	2.329825e-05
3.200000e+02	3.600000e+02	1.235537e-04	1.931632e-05	2.642970e-05
3.600000e+02	4.000000e+02	9.844402e-05	2.165692e-05	1.050815e-05
4.000000e+02	4.400000e+02	8.088910e-05	1.314507e-05	2.197333e-05
4.400000e+02	4.800000e+02	6.930507e-05	8.310775e-06	2.101743e-05
4.800000e+02	5.200000e+02	5.952830e-05	1.123023e-05	2.838030e-05
5.200000e+02	5.600000e+02	4.844373e-05	7.470325e-06	1.332850e-05
5.600000e+02	6.000000e+02	4.283185e-05	4.276250e-06	1.144163e-05
6.000000e+02	6.400000e+02	4.194757e-05	1.053392e-05	1.055738e-05
6.400000e+02	6.800000e+02	3.400067e-05	2.715375e-06	1.054010e-05
6.800000e+02	7.200000e+02	3.131407e-05	5.950650e-06	1.063733e-05
7.200000e+02	7.600000e+02	2.418717e-05	1.782210e-06	8.927250e-06
7.600000e+02	8.000000e+02	2.391275e-05	4.211888e-06	4.349075e-06
8.000000e+02	8.400000e+02	2.254292e-05	1.852175e-06	3.161430e-06
8.400000e+02	8.800000e+02	1.771454e-05	2.611132e-06	6.285078e-06
8.800000e+02	9.200000e+02	1.796002e-05	2.617977e-06	4.097110e-06
9.200000e+02	9.600000e+02	1.538985e-05	2.849905e-06	2.234022e-06
9.600000e+02	1.000000e+03	1.292410e-05	9.952450e-07	2.405550e-06
1.000000e+03	1.040000e+03	5.848892e-05	4.773933e-05	0.000000e+00
1.040000e+03	1.080000e+03	1.147007e-05	2.385248e-06	0.000000e+00
1.080000e+03	1.120000e+03	1.077550e-05	2.775525e-06	2.719797e-06
1.120000e+03	1.160000e+03	9.534380e-06	2.123432e-06	1.328555e-06
1.160000e+03	1.200000e+03	8.837343e-06	3.155740e-06	1.409310e-06
1.200000e+03	1.240000e+03	7.640360e-06	1.563512e-06	1.165830e-06
1.240000e+03	1.280000e+03	6.477195e-06	1.002540e-06	2.145827e-06
1.280000e+03	1.320000e+03	4.920885e-06	0.000000e+00	2.421618e-06
1.320000e+03	1.360000e+03	5.657005e-06	8.099875e-07	3.260158e-06
1.360000e+03	1.400000e+03	5.104720e-06	5.403156e-06	1.771485e-06
1.400000e+03	1.440000e+03	5.843985e-06	1.943765e-06	9.683300e-07
1.440000e+03	1.480000e+03	3.797760e-06	0.000000e+00	2.478377e-06
1.480000e+03	1.520000e+03	4.111898e-06	8.652925e-07	8.962275e-07
1.520000e+03	1.560000e+03	3.756338e-06	7.932750e-07	5.695025e-07
1.560000e+03	1.600000e+03	4.229733e-06	1.376788e-06	0.000000e+00
1.600000e+03	1.640000e+03	3.968457e-06	1.316912e-06	3.913200e-07
1.640000e+03	1.680000e+03	2.817260e-06	7.050947e-07	8.322325e-07
1.680000e+03	1.720000e+03	2.445058e-06	2.305905e-07	5.456618e-07
1.720000e+03	1.760000e+03	2.404412e-06	2.397520e-07	5.108632e-07
1.760000e+03	1.800000e+03	2.218103e-06	3.566835e-07	8.962420e-07
1.800000e+03	1.840000e+03	1.658568e-06	6.951633e-07	0.000000e+00
1.840000e+03	1.880000e+03	2.108122e-06	6.068077e-07	2.293558e-07
1.880000e+03	1.920000e+03	2.136238e-06	6.208957e-07	7.934548e-07
1.920000e+03	1.960000e+03	2.030599e-06	8.102625e-07	0.000000e+00
1.960000e+03	2.000000e+03	1.371688e-06	1.873932e-07	4.738170e-07
2.000000e+03	2.040000e+03	1.425774e-06	4.445860e-07	3.818720e-07
2.040000e+03	2.080000e+03	1.287395e-06	4.539167e-07	2.352897e-07
2.080000e+03	2.120000e+03	1.307372e-06	3.872085e-07	2.717710e-07
2.120000e+03	2.160000e+03	2.292993e-06	1.507365e-06	0.000000e+00
2.160000e+03	2.200000e+03	7.539533e-07	0.000000e+00	5.756680e-07
2.200000e+03	2.240000e+03	9.081585e-07	4.588790e-07	4.225710e-07
2.240000e+03	2.280000e+03	8.667340e-07	2.191257e-07	4.336553e-07
2.280000e+03	2.320000e+03	9.238810e-07	1.011010e-07	0.000000e+00
2.320000e+03	2.360000e+03	8.055290e-07	8.586842e-07	9.245710e-07
2.360000e+03	2.400000e+03	5.164315e-07	7.148175e-08	0.000000e+00
2.400000e+03	2.440000e+03	5.261168e-07	1.350015e-07	1.142270e-07
2.440000e+03	2.480000e+03	1.199753e-06	7.595670e-07	0.000000e+00
2.480000e+03	2.520000e+03	2.610825e-07	0.000000e+00	2.754207e-07
2.520000e+03	2.560000e+03	4.031330e-07	6.608075e-08	1.943295e-07
2.560000e+03	2.600000e+03	2.722488e-07	0.000000e+00	1.667967e-07
2.600000e+03	2.640000e+03	3.836908e-07	7.832325e-08	5.702100e-08
2.640000e+03	2.680000e+03	5.099008e-07	2.636707e-07	0.000000e+00
2.680000e+03	2.720000e+03	2.436156e-07	0.000000e+00	4.511190e-08
2.720000e+03	2.760000e+03	2.437125e-07	9.324015e-08	7.062275e-08
2.760000e+03	2.800000e+03	2.644753e-07	8.911820e-08	3.427625e-08
2.800000e+03	2.840000e+03	4.392947e-07	2.278421e-07	0.000000e+00
2.840000e+03	2.880000e+03	2.813548e-07	1.153479e-07	5.359725e-08
2.880000e+03	2.920000e+03	1.602821e-07	2.037647e-08	7.145013e-08
2.920000e+03	2.960000e+03	2.689373e-07	1.289591e-07	0.000000e+00
